species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
tunbeg1,KP,3.278987072902865,12.807940740792985,25.548867008631305,postbreeding_migration,0.2226367552273064,0.0225193061148033,0.1066173951715704,105.0,22.26367552273064,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.2226367552273064
gwfgoo,KP,4.5499466720631165,54.300203089065,93.62736189838498,postbreeding_migration,0.2633522994301573,0.0210805487093205,0.1281660902648588,112.0,26.33522994301573,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.2633522994301573
bktgul,KP,2.441884221429908,5.2046736265108,10.494678871139378,breeding,0.1087450991040297,0.0666484934463861,0.1493760131260363,175.0,10.87450991040297,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1087450991040297
mallar3,KP,2.9210701525600973,7.565568232423951,17.561140086764585,nonbreeding,0.1715525746665472,0.0069252362966105,0.0249949140715194,126.0,17.15525746665472,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1715525746665472
dunlin,KP,2.487304968206061,5.402969269655412,11.028814360210612,prebreeding_migration,0.0663788911576074,0.0078425116514727,0.0684767604444294,154.0,6.637889115760739,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.0663788911576074
spbduc,KP,2.1240627891794044,4.560881664607317,7.36505399407952,postbreeding_migration,0.194840192225149,0.0324401388313563,0.0983562000810613,133.0,19.4840192225149,0.8858029845067417,abundant,88.58029845067416,,peak_abundance_with_occupancy_days_modifiers,0.194840192225149
grekno,KP,2.104992968916904,3.8765912376958926,7.207045304975433,prebreeding_migration,0.0654054561865201,0.0483514957040465,0.1431802247709746,84.0,6.54054561865201,0.8778502517586406,abundant,87.78502517586406,,peak_abundance_with_occupancy_days_modifiers,0.0654054561865201
batgod,KP,2.002058624809337,3.324681643130811,6.404283061056919,prebreeding_migration,0.0649682538166091,0.0149664320210253,0.1851603520297733,105.0,6.49682538166091,0.8349232960757756,abundant,83.49232960757756,,peak_abundance_with_occupancy_days_modifiers,0.0649682538166091
barswa,KP,1.6944106472135185,1.928966158067736,4.443436914960461,postbreeding_migration,0.2990122181149236,0.0013186674083336,0.0025168266784706,140.0,29.901221811492363,0.7066241242621586,common,70.66241242621587,,peak_abundance_with_occupancy_days_modifiers,0.2990122181149236
eutspa,KP,1.5847365998862686,3.878006341855533,3.878006341855533,resident,0.2850709382591018,0.0038025716215672,0.0084547057658063,365.0,28.50709382591018,0.6608864940280996,common,66.08864940280996,,peak_abundance_with_occupancy_days_modifiers,0.2850709382591018
rook1,KP,1.4295031585639264,3.176623556689304,3.176623556689304,nonbreeding,0.3737566187808079,0.0084499918634232,0.0110751868385888,168.0,37.37566187808079,0.5961491207644277,common,59.61491207644277,,peak_abundance_with_occupancy_days_modifiers,0.3737566187808079
kenplo1,KP,1.3867899378251545,0.9346575173904678,3.0019827980947484,postbreeding_migration,0.0744573811990123,0.0044685188768263,0.0572378397487797,91.0,7.44573811990123,0.578336324174306,common,57.8336324174306,,peak_abundance_with_occupancy_days_modifiers,0.0744573811990123
