species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
houspa,KW,3.298348846943914,26.067908742393097,26.067908742393097,resident,0.9080136094687514,0.0011872084751974,0.0060749108265797,365.0,90.80136094687515,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9080136094687514
rocpig,KW,2.197077888669892,7.998679898827361,7.998679898827361,resident,0.8684333111755114,0.0016535628245788,0.0029913397720944,365.0,86.84333111755113,0.916252646057339,abundant,91.6252646057339,,peak_abundance_with_occupancy_days_modifiers,0.8684333111755114
whiwag,KW,1.8197206196732705,2.5231095626734032,5.1701343948980325,nonbreeding,0.8618617663033358,0.0017530266810331,0.0055800353488588,77.0,86.18617663033358,0.7588824417463553,abundant,75.88824417463553,,peak_abundance_with_occupancy_days_modifiers,0.8618617663033358
crelar1,KW,1.7678274380352346,3.900927733548514,4.858112413929328,breeding,0.8686586073342482,0.0015632613848024,0.003623454395701,161.0,86.86586073342481,0.7372413041092325,common,73.72413041092325,,peak_abundance_with_occupancy_days_modifiers,0.8686586073342482
barswa,KW,1.7399570720142654,1.8413791702986138,4.6970988524443085,prebreeding_migration,0.9146518025998724,0.0006836147471559777,0.0006815464402499873,140.0,91.46518025998725,0.7256184587176386,common,72.56184587176386,,peak_abundance_with_occupancy_days_modifiers,0.9146518025998724
eucdov,KW,1.7370909746989864,4.680793789828046,4.680793789828046,resident,0.8433803678137289,0.0011876815449972,0.002608626838154,365.0,84.33803678137289,0.7244232033001933,common,72.44232033001933,,peak_abundance_with_occupancy_days_modifiers,0.8433803678137289
bkhgul,KW,1.6917699842914937,1.6658255663291692,4.429081595053007,nonbreeding,0.0634982501401068,0.001248085204816,0.0028336483408251,112.0,6.34982501401068,0.7055228822888412,common,70.55228822888412,,peak_abundance_with_occupancy_days_modifiers,0.0634982501401068
comchi1,KW,1.4004221851098948,1.3861200447876254,3.056912373339149,prebreeding_migration,0.910384392729866,0.0022319976612752,0.0046216688244241,98.0,91.03843927298661,0.5840214128599478,common,58.40214128599478,,peak_abundance_with_occupancy_days_modifiers,0.910384392729866
grefla3,KW,1.374553059877921,1.3452444947569246,2.9533094354124696,nonbreeding,0.0290354505737887,0.0013890728471729,0.0046753142286781,133.0,2.90354505737887,0.5732331497004046,rare,57.323314970040464,rare,peak_abundance_with_occupancy_days_modifiers,0.0290354505737887
skylar,KW,1.2654095086867434,2.020471701340059,2.54454396048657,nonbreeding,0.7490832331232298,0.0043251949281708,0.0054425286879334,56.0,74.90832331232298,0.5277167535386131,common,52.77167535386131,,peak_abundance_with_occupancy_days_modifiers,0.7490832331232298
spaspa1,KW,1.1601776443262646,1.4501,2.1905,nonbreeding,0.8933,,,,89.33,0.48383165749033075,common,48.383165749033076,,peak_abundance_with_occupancy_days_modifiers,0.8933
eubeat1,KW,1.1283246087211234,1.1674265286669594,2.0904744064514285,prebreeding_migration,0.8869570570098183,0.0009783693796649852,0.0013911135670225,91.0,88.69570570098183,0.47054790987779704,common,47.054790987779704,,peak_abundance_with_occupancy_days_modifiers,0.8869570570098183
dunlin,KW,1.1084302103969028,0.8176594615340552,2.029598826913219,nonbreeding,0.0421612007900749,0.0013967028633831,0.0043604149452152,168.0,4.2161200790074895,0.4622513013687009,rare,46.22513013687009,rare,peak_abundance_with_occupancy_days_modifiers,0.0421612007900749
grecor,KW,1.0721357689327444,0.5677917946038141,1.9216127309413185,nonbreeding,0.0840456340854841,0.0005887352744627181,0.00174352668647,133.0,8.40456340854841,0.4471153436494956,common,44.711534364949564,,peak_abundance_with_occupancy_days_modifiers,0.0840456340854841
