species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
whwdov,KY,1.4929265678357717,1.6389,3.4501,breeding,0.5841,0.0002,0.0006,119.0,58.41,0.622598736805344,common,62.259873680534405,,peak_abundance_with_occupancy_days_modifiers,0.5841
snoegr,KY,1.3381277524992825,2.2669249999999996,2.8119,breeding,0.9115,0.0001,0.0007,119.0,91.14999999999999,0.5580426166559278,common,55.80426166559278,,peak_abundance_with_occupancy_days_modifiers,0.9115
barswa,KY,1.2051620968371548,1.1449500000000001,2.3373,prebreeding_migration,1.0,0.0,0.0,154.0,100.0,0.5025916312978577,common,50.25916312978577,,peak_abundance_with_occupancy_days_modifiers,1.0
buwtea,KY,1.1094533118459846,1.3645333333333334,2.0327,postbreeding_migration,0.8938,0.0006,0.0006,133.0,89.38000000000001,0.46267796781268106,common,46.2677967812681,,peak_abundance_with_occupancy_days_modifiers,0.8938
magfri,KY,1.074900028708358,1.5579500000000002,1.9297,nonbreeding,0.9204,0.0034,0.0015,140.0,92.04,0.44826812951423756,common,44.826812951423754,,peak_abundance_with_occupancy_days_modifiers,0.9204
banana,KY,0.9657663753346806,1.6268,1.6268,resident,0.5841,0.0001,0.0008,365.0,58.41,0.4027558610629481,common,40.27558610629481,,peak_abundance_with_occupancy_days_modifiers,0.5841
palwar,KY,0.9106749930885194,0.9839666666666668,1.486,postbreeding_migration,1.0,0.0008,0.0015,91.0,100.0,0.37978097017796414,common,37.978097017796415,,peak_abundance_with_occupancy_days_modifiers,1.0
gragra1,KY,0.8879324087691004,1.4301,1.4301,resident,0.469,0.0028,0.0041,365.0,46.9,0.3702965758520693,common,37.029657585206934,,peak_abundance_with_occupancy_days_modifiers,0.469
normoc,KY,0.8661756904423072,1.1603249999999998,1.3778,prebreeding_migration,0.5841,0.0002,0.0005,112.0,58.41,0.361223319578703,common,36.1223319578703,,peak_abundance_with_occupancy_days_modifiers,0.5841
leater1,KY,0.8416964876631842,0.7227666666666667,1.3203,breeding,0.6903,0.0039,0.0034,84.0,69.03,0.3510146991035663,common,35.10146991035663,,peak_abundance_with_occupancy_days_modifiers,0.6903
whcpig2,KY,0.7298647634951081,1.0748,1.0748,resident,0.5841,0.0089,0.0111,365.0,58.41,0.3043772477366568,common,30.437724773665682,,peak_abundance_with_occupancy_days_modifiers,0.5841
grykin,KY,0.6773734264439045,0.531525,0.9687,breeding,1.0,0.0036,0.0019,112.0,100.0,0.2824866599171373,fairly_common,28.24866599171373,,peak_abundance_with_occupancy_days_modifiers,1.0
