species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eursta,KZ,2.153725391223366,3.140625,7.6169,postbreeding_migration,0.7059,0.1311,0.0834,140.0,70.59,0.8981732503730008,abundant,89.81732503730008,,peak_abundance_with_occupancy_days_modifiers,0.7059
renpha,KZ,2.141265444071753,3.97925,7.5102,prebreeding_migration,0.6131,,,,61.309999999999995,0.8929770488153438,abundant,89.29770488153437,,peak_abundance_with_occupancy_days_modifiers,0.6131
mallar3,KZ,1.6005384292470677,2.568025,3.9557,nonbreeding,0.2785,0.1116,0.0804,126.0,27.85,0.6674763687153115,common,66.74763687153114,,peak_abundance_with_occupancy_days_modifiers,0.2785
rook1,KZ,1.4440914598461074,2.37935,3.238,nonbreeding,0.9167,0.2718,0.3199,217.0,91.67,0.602232914934953,common,60.2232914934953,,peak_abundance_with_occupancy_days_modifiers,0.9167
barswa,KZ,1.3981735236499682,1.70145,3.0478,postbreeding_migration,0.9772,0.0503,0.1006,133.0,97.72,0.5830836481938113,common,58.30836481938113,,peak_abundance_with_occupancy_days_modifiers,0.9772
grecor,KZ,1.1631508098056809,1.1282750000000001,2.2,postbreeding_migration,0.7724,0.1653,0.1533,98.0,77.24,0.4850715638003118,common,48.50715638003118,,peak_abundance_with_occupancy_days_modifiers,0.7724
eurcoo,KZ,1.0728841400953784,0.9277,1.9238,postbreeding_migration,0.4804,0.187,0.1261,154.0,48.04,0.44742743866512175,common,44.74274386651217,,peak_abundance_with_occupancy_days_modifiers,0.4804
comcra,KZ,1.0358144738440693,1.13215,1.8174,postbreeding_migration,0.8162,0.1755,0.0774,133.0,81.62,0.43196818709903967,common,43.196818709903965,,peak_abundance_with_occupancy_days_modifiers,0.8162
gnwtea,KZ,0.9865254985566058,0.5627249999999999,1.6819,postbreeding_migration,0.5105,0.0787,0.0777,133.0,51.05,0.4114130878640581,common,41.14130878640581,,peak_abundance_with_occupancy_days_modifiers,0.5105
banswa,KZ,0.9617993271049207,1.1847,1.6164,postbreeding_migration,0.9341,,,,93.41000000000001,0.40110147345279595,common,40.11014734527959,,peak_abundance_with_occupancy_days_modifiers,0.9341
