species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
comcha,LB,2.651917143757516,5.367450000000001,13.1812,nonbreeding,0.9354,0.0009,0.0039,112.0,93.54,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9354
rocpig,LB,3.1168519586215018,21.5752,21.5752,resident,0.9693,0.0006,0.0046,365.0,96.93,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9693
euhbuz1,LB,2.223682568398004,2.920666666666667,8.2413,postbreeding_migration,0.9346,0.0007,0.0129,105.0,93.46,0.9273476592674298,abundant,92.73476592674298,,peak_abundance_with_occupancy_days_modifiers,0.9346
eursta,LB,2.1686993518812265,2.846275,7.7469,nonbreeding,0.3844,0.0003,0.0006,112.0,38.440000000000005,0.9044178769952409,abundant,90.44178769952408,,peak_abundance_with_occupancy_days_modifiers,0.3844
whisto1,LB,2.1222854906717257,2.5224333333333333,7.3502,prebreeding_migration,0.7062,0.0005,0.0007,28.0,70.62,0.8850617934598097,abundant,88.50617934598097,,peak_abundance_with_occupancy_days_modifiers,0.7062
barswa,LB,1.9907469306645056,4.071975,6.321,postbreeding_migration,0.9992,0.0002,0.0005,154.0,99.92,0.830205953215497,abundant,83.02059532154969,,peak_abundance_with_occupancy_days_modifiers,0.9992
houspa,LB,1.931738779281496,5.9015,5.9015,resident,0.9396,0.0005,0.0011,365.0,93.96,0.8055976427307165,abundant,80.55976427307165,,peak_abundance_with_occupancy_days_modifiers,0.9396
blakit1,LB,1.8256776874315157,2.7877,5.207,nonbreeding,0.5321,0.0003,0.0035,147.0,53.21,0.7613667319594526,abundant,76.13667319594526,,peak_abundance_with_occupancy_days_modifiers,0.5321
corbun1,LB,1.7481384221236245,1.9780749999999998,4.7439,nonbreeding,0.8211,0.002,0.0061,91.0,82.11,0.7290303467188236,common,72.90303467188237,,peak_abundance_with_occupancy_days_modifiers,0.8211
eucdov,LB,1.697540360655646,4.4605,4.4605,resident,0.8311,0.0006,0.0017,365.0,83.11,0.7079293161434015,common,70.79293161434015,,peak_abundance_with_occupancy_days_modifiers,0.8311
comcra,LB,1.6614419541808956,2.5620999999999996,4.2669,nonbreeding,0.1378,0.0003,0.0012,105.0,13.780000000000001,0.6928751113646319,common,69.28751113646318,,peak_abundance_with_occupancy_days_modifiers,0.1378
bkhgul,LB,1.6423309557361259,1.4114750000000003,4.1672,nonbreeding,0.0777,0.0007,0.0024,175.0,7.7700000000000005,0.6849052059807046,common,68.49052059807046,,peak_abundance_with_occupancy_days_modifiers,0.0777
comswi,LB,1.5523383203935277,1.5286,3.7225,prebreeding_migration,1.0,0.0006,0.0018,196.0,100.0,0.6473753620532107,common,64.73753620532106,,peak_abundance_with_occupancy_days_modifiers,1.0
levspa1,LB,1.4625838805394757,1.1291666666666667,3.3171,postbreeding_migration,0.6925,,,,69.25,0.6099448533599316,common,60.99448533599316,,peak_abundance_with_occupancy_days_modifiers,0.6925
eubeat1,LB,1.3771274732950733,2.458466666666667,2.9635,postbreeding_migration,0.9469,0.0011,0.0031,105.0,94.69,0.5743067634842743,common,57.43067634842743,,peak_abundance_with_occupancy_days_modifiers,0.9469
eurjac,LB,1.3200744271997813,2.1673999999999998,2.7437,nonbreeding,0.6713,0.0023,0.0032,140.0,67.13,0.5505137952331169,common,55.051379523311695,,peak_abundance_with_occupancy_days_modifiers,0.6713
hoocro1,LB,1.2906366209234494,2.21635,2.6351,nonbreeding,0.7684,0.0019,0.0028,168.0,76.84,0.5382372764834146,common,53.82372764834146,,peak_abundance_with_occupancy_days_modifiers,0.7684
whiwag,LB,1.279432719335797,1.1358249999999999,2.5946,nonbreeding,0.8875,0.0005,0.0012,112.0,88.75,0.533564886611034,common,53.3564886611034,,peak_abundance_with_occupancy_days_modifiers,0.8875
meapip1,LB,1.221626064563254,1.3501999999999998,2.3927,nonbreeding,0.9685,0.0019,0.0065,98.0,96.85000000000001,0.5094576391310045,common,50.94576391310045,,peak_abundance_with_occupancy_days_modifiers,0.9685
leswhi4,LB,1.1770845330402246,0.85325,2.2449,prebreeding_migration,0.9784,0.0004,0.0036,140.0,97.84,0.4908823777222572,common,49.08823777222572,,peak_abundance_with_occupancy_days_modifiers,0.9784
