species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eursta,LI,2.893505332629632,8.22284835927162,17.056492811198705,postbreeding_migration,0.34026535758129,6.0393166896425344e-06,8.789757933232632e-06,126.0,34.026535758129,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.34026535758129
comcha,LI,2.3785260628901628,5.155057484749466,9.7889888476426,postbreeding_migration,1.0,1.7936184233436973e-05,2.158180123513733e-05,112.0,100.0,0.9919224120719818,abundant,99.19224120719818,,peak_abundance_with_occupancy_days_modifiers,1.0
mallar3,LI,1.6220890459998194,2.6295597832891744,4.063657488487502,nonbreeding,0.2760589892596971,1.518735420739704e-05,1.1993777177014044e-05,154.0,27.605898925969708,0.676463673956379,common,67.6463673956379,,peak_abundance_with_occupancy_days_modifiers,0.2760589892596971
cowpig1,LI,1.2909524762072226,1.0985995873959478,2.6362483468882125,postbreeding_migration,0.34026535758129,7.727508579581534e-06,7.154241038244968e-06,112.0,34.026535758129,0.5383689983677504,common,53.836899836775046,,peak_abundance_with_occupancy_days_modifiers,0.34026535758129
barswa,LI,1.231330865194452,1.800263821095103,2.4257857627908868,postbreeding_migration,0.4495870031013416,2.256822945597707e-06,3.236548662728318e-06,98.0,44.95870031013416,0.5135048553465285,common,51.35048553465285,,peak_abundance_with_occupancy_days_modifiers,0.4495870031013416
carcro1,LI,1.1246698229873993,1.67665,2.0792,nonbreeding,0.9518,0.0,0.0,105.0,95.17999999999999,0.4690237458431189,common,46.90237458431189,,peak_abundance_with_occupancy_days_modifiers,0.9518
eursis,LI,1.0979787546945015,1.108625,1.9981,nonbreeding,1.0,0.0,0.0,154.0,100.0,0.45789270580326386,common,45.78927058032639,,peak_abundance_with_occupancy_days_modifiers,1.0
gretit1,LI,1.09585841188529,1.9917497349722524,1.9917497349722524,resident,0.8850030422818683,1.1727080687858758e-05,1.063242481224351e-05,365.0,88.50030422818683,0.45700845417089925,common,45.70084541708992,,peak_abundance_with_occupancy_days_modifiers,0.8850030422818683
eurbla,LI,1.0619891713188312,1.5944247715280664,1.892118189843546,prebreeding_migration,0.6248172932929122,1.4521315501731112e-05,2.0362635474019407e-05,119.0,62.48172932929123,0.44288388378174576,common,44.288388378174574,,peak_abundance_with_occupancy_days_modifiers,0.6248172932929122
blackc1,LI,0.9958767063542567,0.9768075796060697,1.707096630044334,breeding,0.968877570929874,2.2438298098628587e-05,3.7072945859939295e-05,84.0,96.8877570929874,0.4153128444146176,common,41.53128444146176,,peak_abundance_with_occupancy_days_modifiers,0.968877570929874
