species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
norpin,LK,2.611252320504689,5.723386399081112,12.616091890250768,nonbreeding,0.2540459695394093,0.0026091895205051,0.0120328845099873,49.0,25.404596953940928,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.2540459695394093
barswa,LK,4.910821724301895,69.18769926375803,134.75091841808242,nonbreeding,0.7846575749217898,0.0034143805146111,0.0815579726486645,126.0,78.46575749217898,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7846575749217898
grcter1,LK,2.657977276837854,7.218002602238401,13.26740088985897,breeding,0.2899994427236951,0.0175754175193082,0.1188429676679823,273.0,28.99994427236951,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.2899994427236951
grefla3,LK,2.390666957310521,4.208014990178671,9.92077520548631,nonbreeding,0.2465645455711403,0.0083307380878231,0.0129940215642214,84.0,24.65645455711403,0.996985558306133,abundant,99.6985558306133,,peak_abundance_with_occupancy_days_modifiers,0.2465645455711403
categr2,LK,2.282102537496945,5.060348074081145,8.797257871547826,nonbreeding,0.6376429199648197,0.0105998136939149,0.0210330441347406,126.0,63.76429199648197,0.9517106786876915,abundant,95.17106786876916,,peak_abundance_with_occupancy_days_modifiers,0.6376429199648197
rorpar,LK,2.205874406068569,8.07818611937524,8.07818611937524,resident,0.7575072245256942,0.0145192092341111,0.0372688015611571,365.0,75.75072245256942,0.9199210787443143,abundant,91.99210787443143,,peak_abundance_with_occupancy_days_modifiers,0.7575072245256942
lewduc1,LK,2.181614482414381,4.2758,7.8606,postbreeding_migration,0.5408,0.0177,0.0926,112.0,54.08,0.9098039047670388,abundant,90.98039047670387,,peak_abundance_with_occupancy_days_modifiers,0.5408
eurwig,LK,1.8724819318478265,2.689869468876378,5.504419909207909,nonbreeding,0.2100551863845675,0.0024746349913387,0.0088546801988867,49.0,21.00551863845675,0.7808856179371917,abundant,78.08856179371917,,peak_abundance_with_occupancy_days_modifiers,0.2100551863845675
blhibi1,LK,1.8552253994930328,4.277829653050206,5.393139098543303,postbreeding_migration,0.5815864842158086,0.0462279581903774,0.1704420499795507,168.0,58.158648421580864,0.7736890849815822,abundant,77.36890849815822,,peak_abundance_with_occupancy_days_modifiers,0.5815864842158086
spodov,LK,1.8312917494635859,5.24194448149572,5.24194448149572,resident,0.9499937178037442,0.011394890760659,0.0242814602548682,365.0,94.99937178037442,0.7637079776742909,abundant,76.37079776742908,,peak_abundance_with_occupancy_days_modifiers,0.9499937178037442
bnhgul1,LK,1.762425455054595,2.23650307297113,4.826552310688244,nonbreeding,0.2513846822537839,0.0345737097234103,0.1398965535980236,91.0,25.13846822537839,0.7349885022283832,common,73.49885022283831,,peak_abundance_with_occupancy_days_modifiers,0.2513846822537839
commyn,LK,1.7561501659595555,4.790103493554171,4.790103493554171,resident,0.851363236587511,0.0112100612615951,0.0179668466125354,365.0,85.1363236587511,0.7323715034102004,common,73.23715034102004,,peak_abundance_with_occupancy_days_modifiers,0.851363236587511
revbul,LK,1.7328615304725623,4.656817927359103,4.656817927359103,resident,0.9417012187460736,0.0168461794348494,0.0204310253286642,365.0,94.17012187460736,0.722659388060052,common,72.26593880600521,,peak_abundance_with_occupancy_days_modifiers,0.9417012187460736
litcor1,LK,1.5737869214220739,3.8248851018632375,3.8248851018632375,resident,0.5065963060686016,0.0158087889338477,0.0251098552223462,365.0,50.65963060686016,0.6563201234328498,common,65.63201234328498,,peak_abundance_with_occupancy_days_modifiers,0.5065963060686016
inpher1,LK,1.512449719648373,2.5381009728793162,3.5378336095238154,nonbreeding,0.7195627591405955,0.0191662656740921,0.029964309974015,126.0,71.95627591405955,0.6307405234938919,common,63.074052349389184,,peak_abundance_with_occupancy_days_modifiers,0.7195627591405955
yebbab1,LK,1.37030327897426,2.936544385594157,2.936544385594157,resident,0.866189219751225,0.130657266317944,0.1337311848014098,365.0,86.6189219751225,0.5714608534071217,common,57.14608534071217,,peak_abundance_with_occupancy_days_modifiers,0.866189219751225
btbeat1,LK,1.3664374036967046,1.769473892386592,2.9213555739170523,nonbreeding,0.8306319889433346,0.0553360676320415,0.1074753757018936,105.0,83.06319889433345,0.5698486581951749,common,56.984865819517495,,peak_abundance_with_occupancy_days_modifiers,0.8306319889433346
lbbgul,LK,1.3223093508599462,1.272004636467538,2.7520762403489005,nonbreeding,0.2434708312769589,0.0073246341287578,0.0125254093739868,84.0,24.34708312769589,0.5514458307917661,common,55.14458307917661,,peak_abundance_with_occupancy_days_modifiers,0.2434708312769589
litegr,LK,1.2929818946602625,1.7375355139994997,2.643635309467017,nonbreeding,0.5950411953498553,0.0080227503930454,0.0127065741287152,119.0,59.504119534985534,0.5392153315984222,common,53.92153315984222,,peak_abundance_with_occupancy_days_modifiers,0.5950411953498553
whiter,LK,1.2840854909948234,1.0652300147157119,2.6113638218808872,nonbreeding,0.6226101622813827,0.0236236236236236,0.030343577188898,126.0,62.26101622813827,0.5355052431027487,common,53.550524310274874,,peak_abundance_with_occupancy_days_modifiers,0.6226101622813827
whiter2,LK,1.2840854909948234,1.0652300147157119,2.6113638218808872,nonbreeding,0.6226101622813827,0.0236236236236236,0.030343577188898,126.0,62.26101622813827,0.5355052431027487,common,53.550524310274874,,peak_abundance_with_occupancy_days_modifiers,0.6226101622813827
nutman,LK,1.2267790800947285,2.4102277574113606,2.4102277574113606,resident,0.82912426184194,0.0126453234914813,0.018158350727605,365.0,82.912426184194,0.5116066135211416,common,51.160661352114154,,peak_abundance_with_occupancy_days_modifiers,0.82912426184194
caster1,LK,1.054062848205812,0.6533562390293963,1.8692849380002248,nonbreeding,0.1929460113734262,0.0158491557332788,0.0731902316406288,140.0,19.29460113734262,0.4395783502987221,common,43.957835029872214,,peak_abundance_with_occupancy_days_modifiers,0.1929460113734262
rewlap1,LK,1.0511398064351651,1.8172681242676192,1.8609101441736229,nonbreeding,0.6656615152657369,0.0135532691058116,0.0106233795613108,203.0,66.56615152657369,0.43835934719887626,common,43.835934719887625,,peak_abundance_with_occupancy_days_modifiers,0.6656615152657369
compea,LK,1.0243767540338262,1.7853589557537315,1.7853589557537315,resident,0.7666792310591782,0.0245148848981559,0.0426162832431841,365.0,76.66792310591782,0.4271982874541335,common,42.71982874541335,,peak_abundance_with_occupancy_days_modifiers,0.7666792310591782
cursan,LK,1.007324140584078,0.8312732815274811,1.7382639934854855,nonbreeding,0.2002458493337722,0.0222654017602011,0.0688627969936871,112.0,20.02458493337722,0.4200867952871517,common,42.00867952871517,,peak_abundance_with_occupancy_days_modifiers,0.2002458493337722
bkwsti,LK,1.0001745064791459,1.154308215009241,1.7187562276419173,nonbreeding,0.364464381013445,0.0065860983981693,0.0098331385532324,105.0,36.446438101344505,0.41710516627856353,common,41.71051662785635,,peak_abundance_with_occupancy_days_modifiers,0.364464381013445
houcro1,LK,0.9651535846285683,1.6251908144705085,1.6251908144705085,resident,0.1415382847728651,0.0038087597925592,0.0100469400751039,365.0,14.15382847728651,0.4025003074893355,common,40.250030748933554,,peak_abundance_with_occupancy_days_modifiers,0.1415382847728651
litsti,LK,0.907263040891819,0.8908916990163878,1.4775323406780434,nonbreeding,0.1749112447426087,0.0071988924780802,0.0262391823431488,126.0,17.491124474260868,0.37835807559394896,common,37.835807559394894,,peak_abundance_with_occupancy_days_modifiers,0.1749112447426087
whtkin2,LK,0.9027580561382564,1.4663961981668343,1.4663961981668343,resident,0.8566402814423922,0.0124368852698245,0.0183823685544786,365.0,85.66402814423923,0.3764793510288411,common,37.64793510288411,,peak_abundance_with_occupancy_days_modifiers,0.8566402814423922
pursun3,LK,0.8647729586343036,1.3744669225603297,1.3744669225603297,resident,0.8625455459228546,0.0388193050411377,0.0620168817879367,365.0,86.25455459228546,0.3606383349782844,common,36.06383349782844,,peak_abundance_with_occupancy_days_modifiers,0.8625455459228546
bktgod,LK,0.8441500540964727,0.4369,1.326,nonbreeding,0.1001,0.0036,0.0235,105.0,10.01,0.3520379157807589,common,35.20379157807589,,peak_abundance_with_occupancy_days_modifiers,0.1001
whbbul2,LK,0.842037313867859,1.3210909538239453,1.3210909538239453,resident,0.8234702852117101,0.0742511442425341,0.1407295172859781,365.0,82.34702852117101,0.35115683467076186,common,35.11568346707619,,peak_abundance_with_occupancy_days_modifiers,0.8234702852117101
whrmun,LK,0.8355669778604391,1.3061211973520934,1.3061211973520934,resident,0.7694433974117352,0.0143142305516728,0.0417580846510587,365.0,76.94433974117352,0.34845849497226916,common,34.845849497226915,,peak_abundance_with_occupancy_days_modifiers,0.7694433974117352
comtai1,LK,0.8199860165479415,1.270468088328761,1.270468088328761,resident,0.8885538384219123,0.0120779671032519,0.0183577967530755,365.0,88.85538384219123,0.3419607294154296,common,34.19607294154296,,peak_abundance_with_occupancy_days_modifiers,0.8885538384219123
