species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
amufal1,LS,1.0581394819759788,1.0070007720873417,1.8810058365477176,nonbreeding,0.947585851391502,0.0163686982508134,0.0316687576214327,77.0,94.7585851391502,0.4412784386288556,common,44.127843862885555,,peak_abundance_with_occupancy_days_modifiers,0.947585851391502
capgri1,LS,0.9144685739670774,1.077678402610365,1.495448753036903,nonbreeding,0.9837554856296212,0.1818968043689254,0.3006978096016852,189.0,98.37554856296212,0.3813630162838105,common,38.13630162838105,,peak_abundance_with_occupancy_days_modifiers,0.9837554856296212
barswa,LS,0.8550959475459627,0.7512666666666666,1.3516,nonbreeding,0.7129,0.0006,0.0004,112.0,71.28999999999999,0.3566027079022747,common,35.66027079022747,,peak_abundance_with_occupancy_days_modifiers,0.7129
spepig1,LS,0.7500472276927572,1.1171,1.1171,resident,1.0,0.006,0.0073,365.0,100.0,0.31279398904583666,common,31.279398904583665,,peak_abundance_with_occupancy_days_modifiers,1.0
capspa1,LS,0.6998745013093718,1.0135,1.0135,resident,0.9877,0.0192,0.0131,365.0,98.77,0.2918703369778991,common,29.18703369778991,,peak_abundance_with_occupancy_days_modifiers,0.9877
rewsta1,LS,0.6146449524049877,0.849,0.849,resident,0.9264,0.0337,0.0634,365.0,92.64,0.2563268543782941,common,25.632685437829412,,peak_abundance_with_occupancy_days_modifiers,0.9264
hadibi1,LS,0.5645748997601815,0.7587,0.7587,resident,1.0,0.0033,0.0059,365.0,100.0,0.23544602058509265,common,23.544602058509266,,peak_abundance_with_occupancy_days_modifiers,1.0
helgui,LS,0.5499631508583884,0.7331891501582335,0.7331891501582335,resident,0.2219555698991515,0.0011508782447835,0.0016416781215975,365.0,22.19555698991515,0.22935244799768725,fairly_common,22.935244799768725,,peak_abundance_with_occupancy_days_modifiers,0.2219555698991515
rindov,LS,0.3943367503203206,0.4834,0.4834,resident,0.6476,0.0022,0.0008,365.0,64.75999999999999,0.16445119801254926,common,16.445119801254926,,peak_abundance_with_occupancy_days_modifiers,0.6476
capwhe2,LS,0.39312258490977786,0.4816,0.4816,resident,0.6892,0.055,0.0413,365.0,68.92,0.16394485170780598,common,16.394485170780598,,peak_abundance_with_occupancy_days_modifiers,0.6892
comwax,LS,0.35578454765358575,0.4273,0.4273,resident,0.8969,0.0043,0.0051,365.0,89.69,0.1483736807397686,common,14.837368073976858,,peak_abundance_with_occupancy_days_modifiers,0.8969
reedov1,LS,0.34422779863697495,0.4109,0.4109,resident,0.9266,0.002,0.0013,365.0,92.66,0.14355414206028158,common,14.355414206028158,,peak_abundance_with_occupancy_days_modifiers,0.9266
categr1,LS,0.3410289222081723,0.24423281004931213,0.406393916291574,nonbreeding,0.1732089440167115,0.0003407350002423367,0.00022985786270972913,140.0,17.32089440167115,0.14222010697330734,fairly_common,14.222010697330735,,peak_abundance_with_occupancy_days_modifiers,0.1732089440167115
eubeat1,LS,0.338826605774953,0.18233333333333332,0.4033,prebreeding_migration,0.8991,0.0009,0.0005,91.0,89.91,0.14130166968448898,fairly_common,14.130166968448899,,peak_abundance_with_occupancy_days_modifiers,0.8991
bokmak1,LS,0.2869067719840292,0.3323,0.3323,resident,0.9764,0.0283,0.026,365.0,97.64,0.11964941723631067,common,11.964941723631068,,peak_abundance_with_occupancy_days_modifiers,0.9764
combul2,LS,0.28347512246682066,0.3277358491103571,0.3277358491103571,resident,0.2846562510839344,0.0007778151424844734,0.0003884830217229372,365.0,28.46562510839344,0.1182183082316193,fairly_common,11.82183082316193,,peak_abundance_with_occupancy_days_modifiers,0.2846562510839344
comhom1,LS,0.28028850056337146,0.14575367115027296,0.3235115911027563,prebreeding_migration,1.0,0.0087635059644114,0.0018119177989058,84.0,100.0,0.11688938367865905,fairly_common,11.688938367865905,,peak_abundance_with_occupancy_days_modifiers,1.0
whrswi1,LS,0.25982257557270155,0.2967,0.2967,breeding,1.0,,,,100.0,0.10835443003709067,fairly_common,10.835443003709067,,peak_abundance_with_occupancy_days_modifiers,1.0
soufis1,LS,0.2577381960787088,0.294,0.294,resident,0.8707,0.0155,0.0221,365.0,87.07000000000001,0.10748517627207525,common,10.748517627207525,,peak_abundance_with_occupancy_days_modifiers,0.8707
alpswi1,LS,0.25541711186450544,0.19505,0.291,nonbreeding,0.9296,0.0069,0.0157,119.0,92.96,0.10651720897152891,fairly_common,10.651720897152892,,peak_abundance_with_occupancy_days_modifiers,0.9296
egygoo,LS,0.2434950475621073,0.2757,0.2757,resident,0.201,,,,20.1,0.10154532198478622,fairly_common,10.154532198478622,,peak_abundance_with_occupancy_days_modifiers,0.201
comswi,LS,0.23309388216737784,0.14159999999999998,0.2625,nonbreeding,0.733,0.0017,0.0006,126.0,73.3,0.09720769910662304,fairly_common,9.720769910662304,,peak_abundance_with_occupancy_days_modifiers,0.733
rekcoo1,LS,0.21776913497675482,0.2433,0.2433,resident,0.132,0.0148,0.0136,365.0,13.200000000000001,0.09081678313774556,fairly_common,9.081678313774557,,peak_abundance_with_occupancy_days_modifiers,0.132
comqua1,LS,0.20953132389434773,0.10506666666666668,0.2331,nonbreeding,0.9957,,,,99.57000000000001,0.08738134908194817,fairly_common,8.738134908194816,,peak_abundance_with_occupancy_days_modifiers,0.9957
whisto1,LS,0.19111610447544983,0.1691,0.2106,prebreeding_migration,0.6413,,,,64.13,0.07970160608908289,fairly_common,7.970160608908289,,peak_abundance_with_occupancy_days_modifiers,0.6413
karpri1,LS,0.16915188274531232,0.1843,0.1843,resident,0.7241,0.0589,0.0328,365.0,72.41,0.07054181417519126,fairly_common,7.054181417519126,,peak_abundance_with_occupancy_days_modifiers,0.7241
yebduc1,LS,0.15194825627205824,0.1641,0.1641,resident,0.2764,0.0155,0.0108,365.0,27.639999999999997,0.06336734468588065,uncommon,6.336734468588065,,peak_abundance_with_occupancy_days_modifiers,0.2764
reccuc1,LS,0.13735815588757672,0.09847047591494612,0.1472389653376689,breeding,0.629806598532763,0.0068532165249219,0.0057928158079033,91.0,62.9806598532763,0.05728280023142052,uncommon,5.7282800231420525,,peak_abundance_with_occupancy_days_modifiers,0.629806598532763
sacibi2,LS,0.13284806741181512,0.1420764665151964,0.1420764665151964,resident,0.0892287256120627,0.0023526054861913,0.0023580257423093,365.0,8.92287256120627,0.05540194724883872,uncommon,5.540194724883872,,peak_abundance_with_occupancy_days_modifiers,0.0892287256120627
litgre1,LS,0.1221291332330635,0.0852,0.1299,breeding,0.3937,0.001,0.0005,84.0,39.37,0.05093180449475483,uncommon,5.093180449475483,,peak_abundance_with_occupancy_days_modifiers,0.3937
soubou1,LS,0.1185827158269478,0.1259,0.1259,resident,0.7314,0.0294,0.0151,365.0,73.14,0.04945283356289391,fairly_common,4.945283356289391,,peak_abundance_with_occupancy_days_modifiers,0.7314
pitwhy,LS,0.10849559615329893,0.1146,0.1146,resident,0.9621,0.0028,0.0017,365.0,96.21,0.04524617792280952,fairly_common,4.524617792280952,,peak_abundance_with_occupancy_days_modifiers,0.9621
lammer1,LS,0.10228579354075011,0.1077,0.1077,resident,0.4617,0.0045,0.0066,365.0,46.17,0.04265648908902571,uncommon,4.265648908902571,,peak_abundance_with_occupancy_days_modifiers,0.4617
vereag1,LS,0.09785240016750463,0.1028,0.1028,resident,0.7892,0.0288,0.0387,365.0,78.92,0.04080762044845677,fairly_common,4.0807620448456765,,peak_abundance_with_occupancy_days_modifiers,0.7892
spwgoo1,LS,0.09776171778249576,0.1027,0.1027,resident,0.1392,,,,13.919999999999998,0.04076980295657648,uncommon,4.0769802956576475,,peak_abundance_with_occupancy_days_modifiers,0.1392
combuz1,LS,0.09531017980432487,0.07453333333333334,0.1,prebreeding_migration,0.9997,0.0026,0.0006,84.0,99.97,0.039747432210872534,uncommon,3.9747432210872535,,peak_abundance_with_occupancy_days_modifiers,0.9997
blucra2,LS,0.08973156054938883,0.0938806035810488,0.0938806035810488,resident,0.1565463253410046,0.0129442680872251,0.0072563282971916,365.0,15.65463253410046,0.03742096728214121,uncommon,3.742096728214121,,peak_abundance_with_occupancy_days_modifiers,0.1565463253410046
soashe1,LS,0.07052340960732865,0.0730696892767512,0.0730696892767512,resident,0.3043184648207311,0.0111948833091203,0.0067203790387822,365.0,30.431846482073112,0.02941054615993597,uncommon,2.941054615993597,,peak_abundance_with_occupancy_days_modifiers,0.3043184648207311
blaplo1,LS,0.0697126124113003,0.0722,0.0722,resident,0.0993,0.0012,0.0013,365.0,9.93,0.029072417466316176,uncommon,2.907241746631618,,peak_abundance_with_occupancy_days_modifiers,0.0993
litswi1,LS,0.0656004570839488,0.056,0.0678,nonbreeding,0.1654,0.0004,0.0003,84.0,16.54,0.027357515496242837,uncommon,2.735751549624284,,peak_abundance_with_occupancy_days_modifiers,0.1654
