species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
comcha,LT,2.757455363860691,5.091147800625192,14.75968920689642,postbreeding_migration,1.0,0.0076786773295566,0.013469699126348,112.0,100.0,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,1.0
barswa,LT,2.413991788541024,4.501847152289133,10.17849438809088,postbreeding_migration,0.8862362922446385,0.0023170191783518,0.0029136886782939,105.0,88.62362922446385,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8862362922446385
tunbeg1,LT,2.5795276443843846,7.2931520524906785,12.1909058893784,prebreeding_migration,0.6168595278057204,0.0329402129665853,0.0371247777125213,98.0,61.68595278057204,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6168595278057204
gwfgoo,LT,3.19293153292166,9.975986083770325,23.359734235797653,prebreeding_migration,0.6561111865144248,0.0154981004395866,0.015123273408267,119.0,65.61111865144248,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6561111865144248
eursta,LT,4.117724875673438,26.194064528802173,60.41934653526019,postbreeding_migration,0.6647499859028342,0.0047779955868699,0.0118621577156782,126.0,66.47499859028342,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6647499859028342
norlap,LT,3.131119337841211,10.582311387837267,21.899597588271032,postbreeding_migration,0.6282018439544365,0.0096097709796041,0.0471274284995441,161.0,62.82018439544365,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6282018439544365
comcra,LT,2.897737765126871,5.551768537448894,17.133077653922474,postbreeding_migration,0.9159879613979448,0.0279837621309834,0.0638255082247003,133.0,91.59879613979449,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9159879613979448
eugplo,LT,2.2305865234380424,5.133018077551884,8.305322268844913,postbreeding_migration,0.5370520748650145,0.0187992621353197,0.082894766384251,126.0,53.70520748650145,0.9302268321480623,abundant,93.02268321480624,,peak_abundance_with_occupancy_days_modifiers,0.5370520748650145
yellow2,LT,2.0035751047193573,3.055764697057974,6.415520025729224,nonbreeding,0.9436901158470804,0.014612094286851,0.0360298619241726,112.0,94.36901158470803,0.8355557173191983,abundant,83.55557173191983,,peak_abundance_with_occupancy_days_modifiers,0.9436901158470804
mallar3,LT,1.8997454839478243,3.3694749768648915,5.6841929913530285,nonbreeding,0.1021693991591953,0.0055623455395523,0.0054894219230707,154.0,10.21693991591953,0.7922554022681733,abundant,79.22554022681733,,peak_abundance_with_occupancy_days_modifiers,0.1021693991591953
cowpig1,LT,1.7444343865927168,2.9085531076641065,4.722663744516346,postbreeding_migration,0.9417337302336566,0.0086615545000007,0.0070173393410934,105.0,94.17337302336566,0.7274856439234488,common,72.74856439234489,,peak_abundance_with_occupancy_days_modifiers,0.9417337302336566
gragoo,LT,1.6476315596540547,2.173433769747734,4.194661998855503,nonbreeding,0.3402690116710421,0.0174988318137314,0.0181350188873233,154.0,34.026901167104214,0.6871157295085911,common,68.71157295085911,,peak_abundance_with_occupancy_days_modifiers,0.3402690116710421
lotduc,LT,1.5745938409286893,3.029441486185925,3.8287799669790927,nonbreeding,0.1269250679095103,0.0023589228185915,0.0083161317490612,91.0,12.69250679095103,0.6566566350043807,common,65.66566350043807,,peak_abundance_with_occupancy_days_modifiers,0.1269250679095103
fieldf,LT,1.5586076687167756,1.721575,3.7522,postbreeding_migration,0.9936,0.0063,0.0035,91.0,99.36,0.6499898833771264,common,64.99898833771263,,peak_abundance_with_occupancy_days_modifiers,0.9936
skylar,LT,1.4961782322296053,2.336394245172887,3.464593783408102,prebreeding_migration,0.9802900616622306,0.009405129254505,0.0115703647096484,154.0,98.02900616622307,0.6239547861836136,common,62.39547861836135,,peak_abundance_with_occupancy_days_modifiers,0.9802900616622306
redpol1,LT,1.406806527770578,1.711051022806562,3.0828959478393747,postbreeding_migration,0.996997103681046,0.0080229324381909,0.0055289828733833,63.0,99.6997103681046,0.5866838905474043,common,58.66838905474043,,peak_abundance_with_occupancy_days_modifiers,0.996997103681046
bkhgul,LT,1.3127260236767324,1.2432276830359619,2.716290612689826,prebreeding_migration,0.197259570584398,0.0044362418287806,0.0072224742857269,161.0,19.7259570584398,0.5474492729387496,common,54.74492729387496,,peak_abundance_with_occupancy_days_modifiers,0.197259570584398
gretit1,LT,1.2558834014388998,2.5109385729682523,2.5109385729682523,resident,0.994907641024918,0.0062811397410741,0.0063862244790611,365.0,99.4907641024918,0.5237440582520811,common,52.374405825208115,,peak_abundance_with_occupancy_days_modifiers,0.994907641024918
ruff,LT,1.2032545829264674,0.8170879464185162,2.330940121532612,prebreeding_migration,0.3205781588079641,0.0046938221038986,0.0051886073349174,133.0,32.05781588079641,0.5017961362100086,common,50.17961362100086,,peak_abundance_with_occupancy_days_modifiers,0.3205781588079641
eursis,LT,1.1968273361650648,1.2149999999999999,2.3096,postbreeding_migration,0.9999,0.0069,0.0102,154.0,99.99,0.4991157661228272,common,49.91157661228272,,peak_abundance_with_occupancy_days_modifiers,0.9999
taibeg1,LT,1.1723892536640539,1.5327499999999998,2.2297,prebreeding_migration,0.5971,,,,59.709999999999994,0.4889242941356077,common,48.89242941356077,,peak_abundance_with_occupancy_days_modifiers,0.5971
whoswa,LT,1.1306620164727406,1.0662770923266311,2.0977065542316624,prebreeding_migration,0.8306425657339765,0.0290960735344383,0.0274475006931563,168.0,83.06425657339766,0.47152268462218755,common,47.15226846221876,,peak_abundance_with_occupancy_days_modifiers,0.8306425657339765
eurlin1,LT,1.0843738223175563,1.1817783197554799,1.9575872636473208,nonbreeding,0.6216337459631555,0.0100475809514323,0.0099447553046123,147.0,62.16337459631555,0.4522190083189413,common,45.22190083189413,,peak_abundance_with_occupancy_days_modifiers,0.6216337459631555
meapip1,LT,1.072575343123103,0.8269318183949182,1.9228972787984215,postbreeding_migration,0.8804058614368167,0.0263866370202082,0.0125543527972442,98.0,88.04058614368167,0.44729866032530924,common,44.72986603253092,,peak_abundance_with_occupancy_days_modifiers,0.8804058614368167
grecor,LT,0.8962313079496641,0.8647489101430076,1.450351069463531,breeding,0.0657802118614538,0.0018846762842248,0.0074930922987119,133.0,6.578021186145381,0.37375748562352856,common,37.375748562352854,,peak_abundance_with_occupancy_days_modifiers,0.0657802118614538
tunswa,LT,0.8559390307756325,0.7212052558162014,1.3535834305039052,postbreeding_migration,0.6170187512450994,0.013058121553229,0.0130079490930541,70.0,61.70187512450994,0.35695430091771346,common,35.69543009177135,,peak_abundance_with_occupancy_days_modifiers,0.6170187512450994
hoocro1,LT,0.7645837304977939,0.88405,1.1481,postbreeding_migration,0.9062,0.0094,0.0073,168.0,90.62,0.31885618157356643,common,31.885618157356642,,peak_abundance_with_occupancy_days_modifiers,0.9062
whisto1,LT,0.759159226405009,0.8938498163632124,1.1364791698740453,breeding,0.841231751324383,0.0204082559856346,0.0188383044428211,70.0,84.1231751324383,0.3165939876594617,common,31.659398765946168,,peak_abundance_with_occupancy_days_modifiers,0.841231751324383
comrav,LT,0.7198744964464994,1.05417538815468,1.05417538815468,resident,0.9901865433466188,0.0021114742583957,0.0019787493805362,365.0,99.01865433466187,0.3002109827784087,common,30.021098277840867,,peak_abundance_with_occupancy_days_modifiers,0.9901865433466188
eurgol,LT,0.7183762346057209,0.6729499999999999,1.0511,nonbreeding,0.988,0.0057,0.0048,245.0,98.8,0.29958615905996916,common,29.958615905996915,,peak_abundance_with_occupancy_days_modifiers,0.988
comchi1,LT,0.6940323154674441,0.8323989156400214,1.0017710535100104,prebreeding_migration,0.99546168262758,0.0084222753033093,0.0086563627502796,70.0,99.54616826275799,0.28943395624509516,common,28.943395624509517,,peak_abundance_with_occupancy_days_modifiers,0.99546168262758
comgol,LT,0.6759303840582865,0.4616625193783123,0.9658611312520308,nonbreeding,0.0859037495147761,0.0084560561970549,0.0151302349728898,126.0,8.59037495147761,0.2818848645001365,fairly_common,28.18848645001365,,peak_abundance_with_occupancy_days_modifiers,0.0859037495147761
brambl,LT,0.6681913510669469,0.35874027066080744,0.950705985826152,postbreeding_migration,0.993598363655843,0.0048957388109907,0.001912258338814,98.0,99.3598363655843,0.27865743706444696,fairly_common,27.865743706444697,,peak_abundance_with_occupancy_days_modifiers,0.993598363655843
combuz1,LT,0.6356298822629167,0.595903343496365,0.8882111176535712,postbreeding_migration,0.93398661288938,0.0083312371120994,0.0076930951132682,105.0,93.398661288938,0.26507824986081624,fairly_common,26.507824986081623,,peak_abundance_with_occupancy_days_modifiers,0.93398661288938
blutit,LT,0.6334394927563152,0.8840797261652973,0.8840797261652973,resident,0.9911363360122252,0.0076718225102555,0.0053104055028831,365.0,99.11363360122252,0.26416478648672764,common,26.416478648672765,,peak_abundance_with_occupancy_days_modifiers,0.9911363360122252
eurbla,LT,0.6301790794048571,0.5405863147910507,0.8779468507581819,breeding,0.9855188693510374,0.0085611431759015,0.0045780527624698,119.0,98.55188693510374,0.2628050885097375,fairly_common,26.28050885097375,,peak_abundance_with_occupancy_days_modifiers,0.9855188693510374
sonthr1,LT,0.6133520406529569,0.5653017419897889,0.8466109509181106,prebreeding_migration,0.9931830833607734,0.0087722631246768,0.00755673755383,105.0,99.31830833607734,0.2557876682984441,fairly_common,25.57876682984441,,peak_abundance_with_occupancy_days_modifiers,0.9931830833607734
eurwig,LT,0.5992302340786645,0.27430381305601903,0.8207167351336023,prebreeding_migration,0.1055864545765352,0.0024307146626083,0.0097240427949151,147.0,10.55864545765352,0.24989841753153635,fairly_common,24.989841753153634,,peak_abundance_with_occupancy_days_modifiers,0.1055864545765352
grewhi1,LT,0.576821719825257,0.4445006358603692,0.7803709114672328,breeding,0.996972110879681,0.0088528348551956,0.0108097086889448,56.0,99.6972110879681,0.2405533412441735,fairly_common,24.05533412441735,,peak_abundance_with_occupancy_days_modifiers,0.996972110879681
comcuc,LT,0.5728733966592949,0.41225989036092664,0.7733552908362352,breeding,0.9748756156032344,0.0036343893088263,0.0054390335383832,70.0,97.48756156032344,0.23890676259215657,fairly_common,23.890676259215656,,peak_abundance_with_occupancy_days_modifiers,0.9748756156032344
whiwag,LT,0.5546201524582496,0.5142269962333641,0.7412794384244663,postbreeding_migration,0.8274268479252526,0.0031172684899873,0.0026658072391212,133.0,82.74268479252525,0.23129456851174393,fairly_common,23.129456851174393,,peak_abundance_with_occupancy_days_modifiers,0.8274268479252526
thrnig1,LT,0.551024913489313,0.381077767109458,0.7350303629226772,breeding,0.8693515145059629,0.0176978052639894,0.0229049615823793,28.0,86.9351514505963,0.22979523740678667,rare,22.97952374067867,rare,peak_abundance_with_occupancy_days_modifiers,0.8693515145059629
trepip,LT,0.5506820837248372,0.42721459268077705,0.7344356448213563,postbreeding_migration,0.9933980131266632,0.0050616924569136,0.0097455908102128,70.0,99.33980131266632,0.22965226629025587,fairly_common,22.965226629025587,,peak_abundance_with_occupancy_days_modifiers,0.9933980131266632
eurjay1,LT,0.5489132478905021,0.7313704246353008,0.7313704246353008,resident,0.9930633348114672,0.0046884310281446,0.0056659802293266,365.0,99.30633348114672,0.22891460445222622,common,22.891460445222624,,peak_abundance_with_occupancy_days_modifiers,0.9930633348114672
goldcr1,LT,0.5253862380995228,0.36868640602687686,0.6911118940994613,postbreeding_migration,0.5319682121776793,0.0084493804839736,0.0108652481837909,98.0,53.19682121776793,0.21910307929603245,fairly_common,21.910307929603245,,peak_abundance_with_occupancy_days_modifiers,0.5319682121776793
wlwwar,LT,0.5237192627068745,0.5029258119581225,0.6882952005174816,breeding,0.9737256445654556,0.0139894765050978,0.0077472138310122,91.0,97.37256445654556,0.218407896561591,fairly_common,21.8407896561591,,peak_abundance_with_occupancy_days_modifiers,0.9737256445654556
blksco1,LT,0.5224597961190842,0.2806909562884594,0.686170187594392,prebreeding_migration,0.128403248741395,0.0050819722974885,0.0023598239539633,147.0,12.8403248741395,0.21788265819856587,fairly_common,21.788265819856587,,peak_abundance_with_occupancy_days_modifiers,0.128403248741395
eurjac,LT,0.5184961300702103,0.4525,0.6795,nonbreeding,0.2464,0.0053,0.0048,140.0,24.64,0.21622968106739687,fairly_common,21.622968106739687,,peak_abundance_with_occupancy_days_modifiers,0.2464
blackc1,LT,0.5109525878574875,0.49744930313733066,0.6668782869196305,breeding,0.9957334289668232,0.0109868865061428,0.0071062762579982,77.0,99.57334289668232,0.21308377961861533,fairly_common,21.30837796186153,,peak_abundance_with_occupancy_days_modifiers,0.9957334289668232
comhom1,LT,0.48885126404874796,0.360771295797694,0.6304421962150056,breeding,0.5306675685713284,0.0058433072497258,0.0029345046656617,91.0,53.06675685713284,0.203866811697015,fairly_common,20.3866811697015,,peak_abundance_with_occupancy_days_modifiers,0.5306675685713284
eurrob1,LT,0.47625948698315773,0.33999739196277357,0.6100407463743278,prebreeding_migration,0.9568504941085088,0.0089672611073034,0.0052100856412654,112.0,95.68504941085088,0.19861563279507097,fairly_common,19.861563279507095,,peak_abundance_with_occupancy_days_modifiers,0.9568504941085088
rebshr1,LT,0.4606335235614785,0.3756220621443209,0.5850778511399535,breeding,0.9794420453157932,0.010655984532958,0.0082994594175297,70.0,97.94420453157932,0.19209909990102028,fairly_common,19.209909990102027,,peak_abundance_with_occupancy_days_modifiers,0.9794420453157932
gresca,LT,0.4512101641692201,0.21110080371997617,0.5702112495610826,prebreeding_migration,0.1368228338772964,0.0021143264010013,0.0016650333863066,119.0,13.68228338772964,0.1881692537984166,fairly_common,18.81692537984166,,peak_abundance_with_occupancy_days_modifiers,0.1368228338772964
bohwax,LT,0.44368800738902425,0.23366031477123692,0.5584441866941572,postbreeding_migration,0.3858292915768791,0.0065712701674407,0.0028442494989359,77.0,38.582929157687914,0.18503227076770346,fairly_common,18.503227076770344,,peak_abundance_with_occupancy_days_modifiers,0.3858292915768791
eurbul,LT,0.4343764516025845,0.29979999999999996,0.544,nonbreeding,0.9738,,,,97.38,0.18114905039020418,fairly_common,18.114905039020417,,peak_abundance_with_occupancy_days_modifiers,0.9738
grswoo,LT,0.4216533499512795,0.5244799720205948,0.5244799720205948,resident,0.7572877916895755,0.0039971235900013,0.0054574270175114,365.0,75.72877916895754,0.1758431048822267,common,17.58431048822267,,peak_abundance_with_occupancy_days_modifiers,0.7572877916895755
eurcoo,LT,0.41472043859457003,0.24956887970128216,0.5139474402514284,postbreeding_migration,0.0909290986153655,0.0025731698688591,0.0013483530778221,154.0,9.09290986153655,0.17295185627960583,fairly_common,17.29518562796058,,peak_abundance_with_occupancy_days_modifiers,0.0909290986153655
eaywag1,LT,0.39480852791963555,0.31970000000000004,0.4841,postbreeding_migration,0.8012,0.0015,0.0017,84.0,80.12,0.16464794455301193,fairly_common,16.464794455301192,,peak_abundance_with_occupancy_days_modifiers,0.8012
gnwtea,LT,0.3912756123637409,0.1841589024097934,0.4788660510173433,prebreeding_migration,0.2839470877525496,0.0028438145557762,0.0013930748419061,154.0,28.394708775254962,0.16317460433003725,fairly_common,16.317460433003724,,peak_abundance_with_occupancy_days_modifiers,0.2839470877525496
eugori2,LT,0.3878668913856795,0.25020445966331156,0.473833591283867,breeding,0.9817590920232782,0.0106940837392556,0.0088573295216137,63.0,98.17590920232782,0.16175305726885827,fairly_common,16.175305726885828,,peak_abundance_with_occupancy_days_modifiers,0.9817590920232782
eurmag1,LT,0.3741903462705602,0.4538138521662964,0.4538138521662964,resident,0.6538911017270533,0.0038465332678081,0.001852112353859,365.0,65.38911017270533,0.15604949495307852,common,15.604949495307851,,peak_abundance_with_occupancy_days_modifiers,0.6538911017270533
mutswa,LT,0.35841589812170244,0.3739336203939537,0.4310606721764797,postbreeding_migration,0.1391457663576941,0.0137356140129664,0.0114302420061103,133.0,13.91457663576941,0.14947103911816262,fairly_common,14.947103911816262,,peak_abundance_with_occupancy_days_modifiers,0.1391457663576941
bargoo,LT,0.3480558764046269,0.21249996656303075,0.4163113859171575,prebreeding_migration,0.2640539577590704,0.0502793657853721,0.0034638397806005,84.0,26.405395775907042,0.1451505744862834,fairly_common,14.51505744862834,,peak_abundance_with_occupancy_days_modifiers,0.2640539577590704
whinch1,LT,0.3480478372382137,0.32195,0.4163,breeding,0.9506,0.0021,0.0064,98.0,95.06,0.14514722189348914,fairly_common,14.514722189348914,,peak_abundance_with_occupancy_days_modifiers,0.9506
eurgre1,LT,0.3371394684021117,0.396546489178681,0.4009344362013562,nonbreeding,0.8202381000753225,0.0084087797360768,0.0048324850226287,287.0,82.02381000753225,0.1405980787512318,common,14.059807875123179,,peak_abundance_with_occupancy_days_modifiers,0.8202381000753225
comsni,LT,0.3289945358425072,0.2698543064444313,0.3895702627361035,prebreeding_migration,0.8238260142035484,0.01345376812286,0.0120707751746761,154.0,82.38260142035485,0.1372013780479107,fairly_common,13.720137804791069,,peak_abundance_with_occupancy_days_modifiers,0.8238260142035484
litgul,LT,0.3262270361352325,0.11204668323426116,0.3857299439324269,breeding,0.0506601174631787,0.0058224687905417,0.0250525131314398,154.0,5.06601174631787,0.13604724102672003,fairly_common,13.604724102672003,,peak_abundance_with_occupancy_days_modifiers,0.0506601174631787
