species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eursta,LV,3.0988689651184123,8.413605094261989,21.17285881714367,postbreeding_migration,0.4268441571790253,0.00298315539838,0.0039590926664058,126.0,42.68441571790253,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4268441571790253
gwfgoo,LV,2.6517727759941363,5.251096000859838,13.17915283964949,prebreeding_migration,0.6026171012918201,0.0111310253905353,0.0085888679937139,112.0,60.26171012918201,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6026171012918201
lotduc,LV,2.5918652014935275,9.911836232509254,12.354657514503115,postbreeding_migration,0.1500697958901489,0.0064911937612934,0.0297637108107481,98.0,15.00697958901489,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1500697958901489
comcra,LV,2.6565303124624418,5.573195125072266,13.246771397711072,postbreeding_migration,0.8977981834846411,0.0280330565435876,0.0448046840459484,126.0,89.77981834846412,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8977981834846411
comcha,LV,2.6042531703134104,4.586885622856339,12.521123554607849,postbreeding_migration,0.999863275369142,0.0079278637192134,0.0115025600838579,112.0,99.9863275369142,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.999863275369142
norlap,LV,2.322927902939948,4.836012623264722,9.205511351461375,postbreeding_migration,0.4681705151388073,0.0076430808904603,0.0198088291235883,161.0,46.81705151388073,0.9687361784691562,abundant,96.87361784691562,,peak_abundance_with_occupancy_days_modifiers,0.4681705151388073
tunbeg1,LV,1.846539427283102,3.9597772361539194,5.33784894199926,prebreeding_migration,0.446012394440557,0.0304885549977212,0.015904137089783,98.0,44.6012394440557,0.7700667532190301,abundant,77.006675321903,,peak_abundance_with_occupancy_days_modifiers,0.446012394440557
barswa,LV,1.8080949321280633,2.329976867668447,5.098817696379673,postbreeding_migration,0.7433993226626089,0.0017274831095753,0.0014692632519697,84.0,74.33993226626089,0.7540341534674264,abundant,75.40341534674265,,peak_abundance_with_occupancy_days_modifiers,0.7433993226626089
cowpig1,LV,1.5984800112060085,2.4454910550115607,3.945509589374598,postbreeding_migration,0.933737966045216,0.0086449654384523,0.0059420895339272,105.0,93.3737966045216,0.6666179417170978,common,66.66179417170977,,peak_abundance_with_occupancy_days_modifiers,0.933737966045216
yellow2,LV,1.505985519901974,1.9663530832102067,3.50859475137984,nonbreeding,0.8465920238450719,0.0131955579784746,0.0198351034273939,112.0,84.6592023845072,0.6280447428150071,common,62.80447428150071,,peak_abundance_with_occupancy_days_modifiers,0.8465920238450719
