species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
grefla3,LY,1.521605768258294,2.7091428659232624,3.5795730271091,nonbreeding,0.0589568595794602,0.0011983438629129,0.004854579164949,14.0,5.895685957946021,0.6345588923416839,rare,63.455889234168396,rare,peak_abundance_with_occupancy_days_modifiers,0.0589568595794602
eubeat1,LY,1.3386674361906827,1.583562681632795,2.813957775487239,prebreeding_migration,0.5819472103238158,0.0004800683878440516,0.0014004079496832,14.0,58.19472103238158,0.5582676822363651,rare,55.82676822363651,rare,peak_abundance_with_occupancy_days_modifiers,0.5819472103238158
spaspa1,LY,0.8037041711245891,0.79235,1.2338,nonbreeding,0.2601,,,,26.009999999999998,0.3351706724817291,common,33.51706724817291,,peak_abundance_with_occupancy_days_modifiers,0.2601
houspa,LY,0.6792071565096349,0.972313376346308,0.972313376346308,resident,0.3513195837274594,0.0008177136997732224,0.0004033706173609222,365.0,35.13195837274594,0.2832513847516754,fairly_common,28.325138475167538,,peak_abundance_with_occupancy_days_modifiers,0.3513195837274594
eaywag1,LY,0.3882511273734765,0.1624,0.4744,postbreeding_migration,0.8304,0.0385,0.0415,105.0,83.04,0.16191329612172053,fairly_common,16.191329612172055,,peak_abundance_with_occupancy_days_modifiers,0.8304
kenplo1,LY,0.2855920500614021,0.3305495469141444,0.3305495469141444,nonbreeding,0.1522642167835547,0.0033578575534338,0.0023995579646488,21.0,15.22642167835547,0.11910113560885958,rare,11.910113560885959,rare,peak_abundance_with_occupancy_days_modifiers,0.1522642167835547
crelar1,LY,0.2619505349511682,0.2994622628753111,0.2994622628753111,nonbreeding,0.1254207761998809,0.0021613209335761,0.0027846737877666,28.0,12.54207761998809,0.10924185802554627,rare,10.924185802554627,rare,peak_abundance_with_occupancy_days_modifiers,0.1254207761998809
medgul1,LY,0.18575590342318538,0.0735567692520539,0.2041283009055422,prebreeding_migration,0.035812879558197,0.0015233908646941,0.004940464378055,7.0,3.5812879558197,0.07746622862574232,very_rare,7.746622862574232,very_rare,peak_abundance_with_occupancy_days_modifiers,0.035812879558197
yelgul1,LY,0.12236622575901596,0.1102625017494328,0.1301679226050422,postbreeding_migration,0.016709829147811,0.0082044426044445,0.005604143340409,35.0,1.6709829147811,0.05103067975784166,rare,5.103067975784166,rare,peak_abundance_with_occupancy_days_modifiers,0.016709829147811
isawhe1,LY,0.09612802709422041,0.04563333333333334,0.1009,prebreeding_migration,0.4522,,,,45.22,0.04008850102199747,uncommon,4.008850102199747,,peak_abundance_with_occupancy_days_modifiers,0.4522
spofly1,LY,0.09430967947074133,0.0757,0.0989,postbreeding_migration,0.9131,0.0313,0.027,63.0,91.31,0.0393301911641374,uncommon,3.93301911641374,,peak_abundance_with_occupancy_days_modifiers,0.9131
norwhe,LY,0.09255111126801113,0.05945609727376315,0.0969692076146585,prebreeding_migration,0.1429163561968599,0.0029027698018079,0.0066949354032723,21.0,14.29163561968599,0.03859681126107016,rare,3.859681126107016,rare,peak_abundance_with_occupancy_days_modifiers,0.1429163561968599
levshe1,LY,0.09241161101379089,0.06004426051284315,0.0968161908045146,breeding,0.0171377155980383,0.0011097179103777,0.0005696075066068643,35.0,1.7137715598038301,0.03853863513644845,rare,3.8538635136448454,rare,peak_abundance_with_occupancy_days_modifiers,0.0171377155980383
comnig1,LY,0.09035536007908614,0.0945631786599803,0.0945631786599803,prebreeding_migration,0.4035130378661454,0.0012224967897145,0.0005185693743918808,7.0,40.35130378661454,0.037681111891780174,very_rare,3.7681111891780175,very_rare,peak_abundance_with_occupancy_days_modifiers,0.4035130378661454
wooshr1,LY,0.08147390305843386,0.0848849050365931,0.0848849050365931,prebreeding_migration,0.2267388265540477,0.0101072913045804,0.0132042680911474,35.0,22.67388265540477,0.03397725663112591,uncommon,3.3977256631125914,,peak_abundance_with_occupancy_days_modifiers,0.2267388265540477
norshr1,LY,0.08056564783956718,0.057,0.0839,nonbreeding,0.4619,,,,46.19,0.03359848478517839,uncommon,3.359848478517839,,peak_abundance_with_occupancy_days_modifiers,0.4619
sarwar1,LY,0.0644805344615764,0.0496003926277453,0.0666048160055467,breeding,0.1505803790251105,0.016525327152143,0.0078556928578951,56.0,15.058037902511051,0.02689047148682477,uncommon,2.689047148682477,,peak_abundance_with_occupancy_days_modifiers,0.1505803790251105
hoopoe,LY,0.06049665098255498,0.0623640396886654,0.0623640396886654,prebreeding_migration,0.0928617591439048,0.0003660929433550408,0.000810811093456163,21.0,9.28617591439048,0.025229063032412853,rare,2.5229063032412853,rare,peak_abundance_with_occupancy_days_modifiers,0.0928617591439048
squher1,LY,0.05892906752928749,0.038149999999999996,0.0607,postbreeding_migration,0.3617,0.0484,0.0588,98.0,36.17,0.024575329956139653,uncommon,2.4575329956139655,,peak_abundance_with_occupancy_days_modifiers,0.3617
comswi,LY,0.05498326740454433,0.0565229361567106,0.0565229361567106,prebreeding_migration,0.0102672512598412,4.982113236595673e-05,0.0002222897215908106,0.0,1.0267251259841201,0.02292980349403592,very_rare,2.292980349403592,very_rare,peak_abundance_with_occupancy_days_modifiers,0.0102672512598412
eutdov,LY,0.0539466968398683,0.04250004289213525,0.0554283429897238,prebreeding_migration,0.0700152226666541,0.0005407106847479759,0.001516318782096,7.0,7.001522266665409,0.022497519992569097,very_rare,2.2497519992569095,very_rare,peak_abundance_with_occupancy_days_modifiers,0.0700152226666541
lbbgul,LY,0.049785792261646936,0.027702583594033964,0.0510459300891149,prebreeding_migration,0.0519065547452295,0.000404879797161859,0.00017519148525858537,0.0,5.190655474522949,0.020762288005825334,very_rare,2.0762288005825336,very_rare,peak_abundance_with_occupancy_days_modifiers,0.0519065547452295
tawpip1,LY,0.04859966983606235,0.022466666666666666,0.0498,prebreeding_migration,0.411,,,,41.099999999999994,0.020267636534161915,rare,2.0267636534161912,,peak_abundance_with_occupancy_days_modifiers,0.411
comred2,LY,0.04500569317468188,0.02438499760543255,0.0460338151449976,prebreeding_migration,0.1276786783441932,0.0019912327251547,0.0036886082980372,28.0,12.767867834419318,0.01876883185234351,rare,1.876883185234351,,peak_abundance_with_occupancy_days_modifiers,0.1276786783441932
wlwwar,LY,0.041884052647053485,0.02827270201300655,0.0427735649065051,postbreeding_migration,0.0784920815939225,0.0005455780177726397,0.0009330298291685138,21.0,7.84920815939225,0.01746700663793974,rare,1.746700663793974,,peak_abundance_with_occupancy_days_modifiers,0.0784920815939225
dunlin,LY,0.038851949455854545,0.0396165564590504,0.0396165564590504,postbreeding_migration,0.0126093835702697,1.7875417279272114e-05,1.1409399547767593e-05,0.0,1.2609383570269699,0.016202521393069002,very_rare,1.6202521393069003,very_rare,peak_abundance_with_occupancy_days_modifiers,0.0126093835702697
eupfly1,LY,0.029689960825549033,0.0301351022012378,0.0301351022012378,prebreeding_migration,0.0925686584266135,0.0028378534342606,0.0038141483188514,21.0,9.25686584266135,0.01238167536437087,rare,1.238167536437087,,peak_abundance_with_occupancy_days_modifiers,0.0925686584266135
