species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
sposta1,MA,1.1373989084819256,2.1186459227000998,2.1186459227000998,resident,0.2352450252433987,0.1418469733840975,0.0610263922477048,365.0,23.52450252433987,0.4743321868075449,common,47.43321868075449,,peak_abundance_with_occupancy_days_modifiers,0.2352450252433987
barswa,MA,1.0712059203754392,0.8508664329361942,1.9188973362070345,prebreeding_migration,0.7301718437993068,0.0170149905904111,0.0087874123070091,154.0,73.01718437993068,0.44672756668198016,common,44.67275666819802,,peak_abundance_with_occupancy_days_modifiers,0.7301718437993068
lbbgul,MA,0.8710597386670085,0.645922111311407,1.3894416960294356,nonbreeding,0.0261763193108404,0.0211285900553452,0.1696659663839645,154.0,2.61763193108404,0.3632601258896816,rare,36.32601258896816,rare,peak_abundance_with_occupancy_days_modifiers,0.0261763193108404
categr1,MA,0.814097178827043,1.0957614552003385,1.2571369611535688,breeding,0.1406475307437483,0.0081951159505146,0.0277132661939472,140.0,14.064753074374831,0.33950489333797407,common,33.95048933379741,,peak_abundance_with_occupancy_days_modifiers,0.1406475307437483
whiwag,MA,0.8030962782165271,0.5153986368192665,1.2324425014706386,nonbreeding,0.641666644536963,0.0411911470237407,0.0419802765213307,77.0,64.1666644536963,0.3349171614485501,common,33.49171614485501,,peak_abundance_with_occupancy_days_modifiers,0.641666644536963
eubeat1,MA,0.8004323329003343,0.8845695941473272,1.2265033110767325,postbreeding_migration,0.5330095548915602,0.0302467331901505,0.0217147053684531,84.0,53.300955489156024,0.3338062099627148,common,33.38062099627148,,peak_abundance_with_occupancy_days_modifiers,0.5330095548915602
houspa,MA,0.7616908429033872,1.141894768005311,1.141894768005311,resident,0.3400441298357377,0.014031801196105,0.0083985306003949,365.0,34.004412983573765,0.3176497537419495,common,31.764975374194947,,peak_abundance_with_occupancy_days_modifiers,0.3400441298357377
blakit1,MA,0.7423977519164869,0.693667133793579,1.100967077700609,postbreeding_migration,0.2526890617546523,0.019825868175591,0.0388723790041839,91.0,25.26890617546523,0.30960390986971686,common,30.960390986971685,,peak_abundance_with_occupancy_days_modifiers,0.2526890617546523
euhbuz1,MA,0.7196839215016485,0.4306157250477823,1.0537839510936011,postbreeding_migration,0.2153739045801991,0.0153482907700162,0.0097067463324772,42.0,21.53739045801991,0.30013150685341206,common,30.013150685341206,,peak_abundance_with_occupancy_days_modifiers,0.2153739045801991
eursta,MA,0.6642886007622548,0.39489244986940314,0.943107704188001,nonbreeding,0.473991750449776,0.0034809177628113,0.0001740519250533902,70.0,47.399175044977596,0.27702986377174954,fairly_common,27.702986377174955,,peak_abundance_with_occupancy_days_modifiers,0.473991750449776
eurlin1,MA,0.6083115966172,0.4925625202539682,0.83732662997077,nonbreeding,0.4158301836156622,0.0398863694505558,0.0235568807520425,147.0,41.58301836156622,0.2536856398683724,fairly_common,25.368563986837238,,peak_abundance_with_occupancy_days_modifiers,0.4158301836156622
comchi1,MA,0.6001719157541583,0.5152058810329114,0.822432078246172,nonbreeding,0.7849924594567562,0.0778529938653083,0.1149061879045066,84.0,78.49924594567563,0.2502911292926279,fairly_common,25.02911292926279,,peak_abundance_with_occupancy_days_modifiers,0.7849924594567562
whisto1,MA,0.5865168913139764,0.4706682345391984,0.7977158580198207,nonbreeding,0.3416851336882854,0.0537332951443784,0.1282431425185839,133.0,34.16851336882854,0.24459654179538237,fairly_common,24.459654179538237,,peak_abundance_with_occupancy_days_modifiers,0.3416851336882854
eaywag1,MA,0.5267383422260398,0.295325,0.6934,postbreeding_migration,0.8551,0.0159,0.0223,126.0,85.50999999999999,0.2196669505133684,fairly_common,21.966695051336842,,peak_abundance_with_occupancy_days_modifiers,0.8551
eurser1,MA,0.5045074856881678,0.4816218610081511,0.6561696323123127,prebreeding_migration,0.3262991992923811,0.1001459022856729,0.1392189307826103,168.0,32.62991992923811,0.21039596324797036,fairly_common,21.039596324797035,,peak_abundance_with_occupancy_days_modifiers,0.3262991992923811
eurbla,MA,0.49295200359921065,0.46809301603755993,0.6371419425826101,prebreeding_migration,0.3960759791736274,0.0254615034953081,0.0209919386881206,119.0,39.60759791736274,0.20557695291835248,fairly_common,20.55769529183525,,peak_abundance_with_occupancy_days_modifiers,0.3960759791736274
