species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
yelgul1,MC,2.4034434893044283,8.77075,10.0612,breeding,0.8533,0.0001,0.0001,238.0,85.33,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8533
bkhgul,MC,2.3322603933037955,4.019699999999999,9.3012,nonbreeding,0.6719,0.0,0.0,161.0,67.19000000000001,0.972628129243535,abundant,97.2628129243535,,peak_abundance_with_occupancy_days_modifiers,0.6719
eursta,MC,1.9472093047869334,2.9072,6.0091,postbreeding_migration,0.354,0.0,0.0,70.0,35.4,0.812049352978839,abundant,81.20493529788389,,peak_abundance_with_occupancy_days_modifiers,0.354
comswi,MC,1.5640220489036178,1.6490333333333336,3.778,breeding,1.0,0.0,0.0,70.0,100.0,0.6522478552945252,common,65.22478552945252,,peak_abundance_with_occupancy_days_modifiers,1.0
grecor,MC,1.4777334214366722,2.1858333333333335,3.383,nonbreeding,0.5354,0.0,0.0,98.0,53.54,0.616262702629269,common,61.626270262926894,,peak_abundance_with_occupancy_days_modifiers,0.5354
cowpig1,MC,1.398099406569653,1.2946499999999999,3.0475,postbreeding_migration,1.0,0.0,0.0,112.0,100.0,0.583052738970562,common,58.305273897056196,,peak_abundance_with_occupancy_days_modifiers,1.0
comcha,MC,1.1804073063032277,1.1761,2.2557,nonbreeding,0.646,0.0,0.0,112.0,64.60000000000001,0.4922680818022878,common,49.22680818022878,,peak_abundance_with_occupancy_days_modifiers,0.646
barswa,MC,1.0516254974437729,1.2283,1.8623,prebreeding_migration,1.0,0.0,0.0,112.0,100.0,0.4385618960816892,common,43.85618960816892,,peak_abundance_with_occupancy_days_modifiers,1.0
rocpig,MC,0.8771756131455862,1.4041,1.4041,resident,0.4145,0.0,0.0,365.0,41.449999999999996,0.36581064364913335,common,36.58106436491334,,peak_abundance_with_occupancy_days_modifiers,0.4145
medgul1,MC,0.8495952194358871,0.524875,1.3387,prebreeding_migration,0.7167,0.0003,0.0002,70.0,71.67,0.35430872610395536,common,35.43087261039554,,peak_abundance_with_occupancy_days_modifiers,0.7167
levshe1,MC,0.7629530548039083,1.1446,1.1446,breeding,0.5354,0.0002,0.0001,203.0,53.54,0.3181761369893079,common,31.817613698930792,,peak_abundance_with_occupancy_days_modifiers,0.5354
eurbla,MC,0.6773734264439045,0.817975,0.9687,prebreeding_migration,0.646,0.0,0.0,119.0,64.60000000000001,0.2824866599171373,fairly_common,28.24866599171373,,peak_abundance_with_occupancy_days_modifiers,0.646
comhom1,MC,0.6629813750204815,0.6767655801759586,0.9405692832841024,breeding,0.5262336447228465,3.907848960202067e-06,4.213037694137213e-06,91.0,52.62336447228465,0.2764847082945265,fairly_common,27.64847082945265,,peak_abundance_with_occupancy_days_modifiers,0.5262336447228465
eurrob1,MC,0.6420117684451749,0.5054,0.9003,nonbreeding,0.646,0.0,0.0,119.0,64.60000000000001,0.2677397031172008,fairly_common,26.77397031172008,,peak_abundance_with_occupancy_days_modifiers,0.646
eucdov,MC,0.5387714754163895,0.7139,0.7139,resident,0.4646,0.0,0.0,365.0,46.46,0.22468515682406642,fairly_common,22.468515682406643,,peak_abundance_with_occupancy_days_modifiers,0.4646
eurcrm1,MC,0.5206373311499836,0.528925,0.6831,nonbreeding,0.4646,0.0,0.0001,112.0,46.46,0.21712263127421486,fairly_common,21.712263127421487,,peak_abundance_with_occupancy_days_modifiers,0.4646
eurgol,MC,0.38838676657341314,0.349,0.4746,nonbreeding,0.8186,0.0,0.0,245.0,81.86,0.16196986206164105,common,16.196986206164105,,peak_abundance_with_occupancy_days_modifiers,0.8186
blackc1,MC,0.35725477580374143,0.37345,0.4294,prebreeding_migration,0.4646,0.0,0.0,140.0,46.46,0.14898681350116724,fairly_common,14.898681350116725,,peak_abundance_with_occupancy_days_modifiers,0.4646
carcro1,MC,0.3564849258864457,0.3583,0.4283,nonbreeding,0.4646,0.0,0.0,105.0,46.46,0.1486657611491197,fairly_common,14.86657611491197,,peak_abundance_with_occupancy_days_modifiers,0.4646
alpswi1,MC,0.31983459546818965,0.22196666666666667,0.3769,breeding,0.4646,0.0,0.0,105.0,46.46,0.13338138620830553,fairly_common,13.338138620830552,,peak_abundance_with_occupancy_days_modifiers,0.4646
meapip1,MC,0.3071169850903883,0.312,0.3595,postbreeding_migration,0.5855,0.0,0.0,98.0,58.550000000000004,0.12807773073924922,fairly_common,12.807773073924922,,peak_abundance_with_occupancy_days_modifiers,0.5855
eurmag1,MC,0.3054974323217824,0.3573,0.3573,resident,0.646,0.0,0.0,365.0,64.60000000000001,0.12740232477511973,common,12.740232477511974,,peak_abundance_with_occupancy_days_modifiers,0.646
gretit1,MC,0.29684001023654655,0.3456,0.3456,resident,0.4646,,,,46.46,0.12379189933934481,fairly_common,12.379189933934482,,peak_abundance_with_occupancy_days_modifiers,0.4646
comchi1,MC,0.2722384309579276,0.199325,0.3129,nonbreeding,1.0,0.0,0.0,133.0,100.0,0.1135322438999691,fairly_common,11.35322438999691,,peak_abundance_with_occupancy_days_modifiers,1.0
whiwag,MC,0.26620304077465673,0.22455,0.305,postbreeding_migration,0.646,0.0,0.0,112.0,64.60000000000001,0.11101529069866121,fairly_common,11.101529069866121,,peak_abundance_with_occupancy_days_modifiers,0.646
blared1,MC,0.25184761944256484,0.1588,0.2864,nonbreeding,1.0,0.0,0.0,119.0,100.0,0.10502861501063633,fairly_common,10.502861501063633,,peak_abundance_with_occupancy_days_modifiers,1.0
houspa,MC,0.24474847506659408,0.2773,0.2773,resident,0.1814,0.0,0.0,365.0,18.14,0.10206804185445922,fairly_common,10.206804185445922,,peak_abundance_with_occupancy_days_modifiers,0.1814
mallar3,MC,0.22968212815379221,0.2582,0.2582,prebreeding_migration,0.1814,0.0,0.0,14.0,18.14,0.09578488717138617,rare,9.578488717138617,rare,peak_abundance_with_occupancy_days_modifiers,0.1814
eursis,MC,0.22498186058784975,0.1632,0.2523,postbreeding_migration,0.646,0.0,0.0,112.0,64.60000000000001,0.09382472334802736,fairly_common,9.382472334802735,,peak_abundance_with_occupancy_days_modifiers,0.646
sarwar1,MC,0.20782684720231648,0.17345,0.231,nonbreeding,0.5959,0.0,0.0,154.0,59.589999999999996,0.08667052709094349,fairly_common,8.66705270909435,,peak_abundance_with_occupancy_days_modifiers,0.5959
sonthr1,MC,0.20733931976924247,0.08497500000000001,0.2304,postbreeding_migration,0.8186,0.0,0.0,49.0,81.86,0.08646721235964368,fairly_common,8.646721235964367,,peak_abundance_with_occupancy_days_modifiers,0.8186
eurser1,MC,0.1919418001709452,0.16385,0.2116,postbreeding_migration,0.646,0.0,0.0,161.0,64.60000000000001,0.08004594793956409,fairly_common,8.004594793956409,,peak_abundance_with_occupancy_days_modifiers,0.646
palswi3,MC,0.18780648702452432,0.1387,0.2066,breeding,0.3179,0.0,0.0,105.0,31.790000000000003,0.07832138840882402,fairly_common,7.832138840882402,,peak_abundance_with_occupancy_days_modifiers,0.3179
eursha1,MC,0.1863965759470937,0.2049,0.2049,breeding,0.354,0.0002,0.0,7.0,35.4,0.07773340982050765,very_rare,7.773340982050765,very_rare,peak_abundance_with_occupancy_days_modifiers,0.354
eaywag1,MC,0.18082043066768747,0.10204999999999999,0.1982,prebreeding_migration,0.5354,0.0,0.0,42.0,53.54,0.0754079766197078,uncommon,7.54079766197078,,peak_abundance_with_occupancy_days_modifiers,0.5354
blutit,MC,0.1799854969964068,0.1972,0.1972,resident,0.4629,0.0,0.0,365.0,46.29,0.07505978223409304,uncommon,7.505978223409304,,peak_abundance_with_occupancy_days_modifiers,0.4629
eurlin1,MC,0.1793170477736559,0.13535,0.1964,postbreeding_migration,0.5855,0.0,0.0,63.0,58.550000000000004,0.07478101725618351,uncommon,7.478101725618351,,peak_abundance_with_occupancy_days_modifiers,0.5855
santer1,MC,0.15802886422491005,0.092875,0.1712,prebreeding_migration,0.354,0.0,0.0,49.0,35.4,0.06590315516177177,uncommon,6.590315516177177,,peak_abundance_with_occupancy_days_modifiers,0.354
eurgre1,MC,0.14781637469421868,0.14125,0.1593,nonbreeding,0.646,0.0,0.0,287.0,64.60000000000001,0.06164421623039247,fairly_common,6.164421623039247,,peak_abundance_with_occupancy_days_modifiers,0.646
winwre4,MC,0.13453089295760615,0.07805,0.144,nonbreeding,1.0,,,,100.0,0.056103740010549755,uncommon,5.610374001054976,,peak_abundance_with_occupancy_days_modifiers,1.0
eurjay1,MC,0.1241626426204225,0.1322,0.1322,year_round,0.2815,,,,28.15,0.051779843777548865,uncommon,5.177984377754886,,peak_abundance_with_occupancy_days_modifiers,0.2815
hoocro1,MC,0.11395349007584525,0.07823333333333334,0.1207,nonbreeding,0.1814,0.0,0.0,91.0,18.14,0.047522296477468876,uncommon,4.752229647746888,,peak_abundance_with_occupancy_days_modifiers,0.1814
firecr1,MC,0.1127034899130848,0.089225,0.1193,postbreeding_migration,0.646,0.0,0.0,147.0,64.60000000000001,0.047001005920312165,uncommon,4.700100592031217,,peak_abundance_with_occupancy_days_modifiers,0.646
litgul,MC,0.09957380489609238,0.1047,0.1047,prebreeding_migration,0.5354,,,,53.54,0.04152550197902874,uncommon,4.152550197902874,,peak_abundance_with_occupancy_days_modifiers,0.5354
graher1,MC,0.09449166309271763,0.051275,0.0991,prebreeding_migration,0.1814,0.0,0.0,49.0,18.14,0.039406084229210214,uncommon,3.9406084229210214,,peak_abundance_with_occupancy_days_modifiers,0.1814
comcra,MC,0.08883471370049074,0.0796,0.0929,nonbreeding,0.1814,0.0,0.0,7.0,18.14,0.03704695309600391,very_rare,3.7046953096003907,very_rare,peak_abundance_with_occupancy_days_modifiers,0.1814
