species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
gwfgoo,MD,2.4333384858437075,8.684644191702192,10.39686691766734,nonbreeding,0.0708578630937035,0.0048906463789905,0.0034280734168015,84.0,7.0857863093703495,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.0708578630937035
barswa,MD,2.6379551037924758,8.860011899240066,12.984577339669691,postbreeding_migration,0.9994579380316808,0.0014422870772088,0.0030461986584096,98.0,99.94579380316809,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9994579380316808
mallar3,MD,3.107637030772615,9.384645428785245,21.368126708843025,nonbreeding,0.160154119476363,0.002227576726341,0.0104790664060571,154.0,16.0154119476363,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.160154119476363
eursta,MD,4.946760558660756,58.01470399938873,139.71837585170286,postbreeding_migration,0.8965489987505737,0.0044095397838485,0.0124648532613377,126.0,89.65489987505737,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8965489987505737
eutspa,MD,2.120586854212825,7.336028085713631,7.336028085713631,resident,0.9516830870104313,0.0032579203934389,0.0041046357931077,365.0,95.16830870104313,0.8843534070351937,abundant,88.43534070351937,,peak_abundance_with_occupancy_days_modifiers,0.9516830870104313
eubeat1,MD,2.0947167265026008,5.336063387802343,7.123139574108735,postbreeding_migration,0.9970186591742436,0.0048419875173841,0.013197101484359,63.0,99.70186591742436,0.8735647258097484,abundant,87.35647258097484,,peak_abundance_with_occupancy_days_modifiers,0.9970186591742436
cowpig1,MD,2.0610994743303928,4.587870672452511,6.854600996736406,nonbreeding,0.7332239093205808,0.0080740094093505,0.0072467078827423,112.0,73.32239093205808,0.8595452427432607,abundant,85.95452427432608,,peak_abundance_with_occupancy_days_modifiers,0.7332239093205808
fieldf,MD,1.9953939501540394,3.06425,6.3551,nonbreeding,1.0,0.0006,0.0001,91.0,100.0,0.8321439108662123,abundant,83.21439108662123,,peak_abundance_with_occupancy_days_modifiers,1.0
rook1,MD,1.9845726744229957,4.16881155028478,6.275937526837769,nonbreeding,0.6387593328606589,0.0037342105714331,0.0056579364883504,217.0,63.87593328606589,0.827631088369834,abundant,82.7631088369834,,peak_abundance_with_occupancy_days_modifiers,0.6387593328606589
eurlin1,MD,1.8376536216662087,3.0819926772913675,5.281781519292895,nonbreeding,0.9650043579584772,0.0079205356050878,0.0121596473158624,147.0,96.50043579584772,0.7663610844528862,abundant,76.63610844528861,,peak_abundance_with_occupancy_days_modifiers,0.9650043579584772
comcha,MD,1.7813920817125661,2.765977150704593,4.938117011645862,postbreeding_migration,0.9989158760633612,0.0049018452896824,0.0025115345241498,112.0,99.89158760633612,0.7428981999008079,common,74.28981999008079,,peak_abundance_with_occupancy_days_modifiers,0.9989158760633612
comhom1,MD,1.7350311885910104,2.7045532550288183,4.669104612432911,breeding,0.946950871326528,0.0052949512812635,0.0109576915683439,91.0,94.6950871326528,0.7235642057737615,common,72.35642057737614,,peak_abundance_with_occupancy_days_modifiers,0.946950871326528
bohwax,MD,1.732610693080479,3.0459094043078525,4.655399163849623,postbreeding_migration,0.7855352850983358,0.0040174155709667,0.0080596494066311,35.0,78.55352850983358,0.7225547807425731,common,72.25547807425731,,peak_abundance_with_occupancy_days_modifiers,0.7855352850983358
yellow2,MD,1.6360855276093806,1.8502401913663369,4.135029188598149,nonbreeding,0.988050464603979,0.0077689178809084,0.01179254811646,112.0,98.8050464603979,0.6823006601535399,common,68.23006601535398,,peak_abundance_with_occupancy_days_modifiers,0.988050464603979
gretit1,MD,1.5665730476265636,3.790204231769716,3.790204231769716,resident,0.9935910228992928,0.0031853832557713,0.0048951843137246,365.0,99.35910228992928,0.6533117043924754,common,65.33117043924754,,peak_abundance_with_occupancy_days_modifiers,0.9935910228992928
eurgol,MD,1.4633248442893096,2.26245,3.3203,nonbreeding,1.0,0.003,0.0076,245.0,100.0,0.6102538592444835,common,61.02538592444835,,peak_abundance_with_occupancy_days_modifiers,1.0
houspa,MD,1.4591589406403263,3.302339483331281,3.302339483331281,resident,0.8643854900900364,0.0019771745165125,0.0013463511270794,365.0,86.43854900900364,0.608516542483305,common,60.8516542483305,,peak_abundance_with_occupancy_days_modifiers,0.8643854900900364
eurgre1,MD,1.2720724371016834,2.004378815770885,2.568239857527635,nonbreeding,0.999399318944358,0.0048176322861221,0.0119202885464475,287.0,99.9399318944358,0.5304954105093841,common,53.04954105093841,,peak_abundance_with_occupancy_days_modifiers,0.999399318944358
whisto1,MD,1.2679009922522186,1.9650559671171235,2.553386144014718,postbreeding_migration,0.930234143042222,0.0116016865851617,0.0145140902129922,70.0,93.0234143042222,0.5287557828881175,common,52.87557828881175,,peak_abundance_with_occupancy_days_modifiers,0.930234143042222
whiwag,MD,1.2613966814662019,1.164228515872063,2.530348818372296,postbreeding_migration,0.9924111324435292,0.0021004303483663,0.0026805997211839,154.0,99.24111324435292,0.5260432746064584,common,52.60432746064584,,peak_abundance_with_occupancy_days_modifiers,0.9924111324435292
banswa,MD,1.1684199544865572,2.081893645094104,2.2169057633211224,breeding,0.5145735520216804,0.0039881407341616,0.008061689680792,98.0,51.457355202168046,0.48726896780733797,common,48.726896780733796,,peak_abundance_with_occupancy_days_modifiers,0.5145735520216804
rebshr1,MD,1.1459760502380378,1.621369946177894,2.145510034821846,breeding,0.9959345352376048,0.0055022963177099,0.0154548588403357,84.0,99.59345352376047,0.4779091327456811,common,47.79091327456811,,peak_abundance_with_occupancy_days_modifiers,0.9959345352376048
eurmag1,MD,1.119764157458821,2.0641314655188614,2.0641314655188614,resident,0.8912079481088334,0.0026622047934645,0.0042778473111618,365.0,89.12079481088334,0.46697792441620845,common,46.69779244162085,,peak_abundance_with_occupancy_days_modifiers,0.8912079481088334
corbun1,MD,1.0837897065845572,1.857771511146904,1.9558601948480407,postbreeding_migration,0.8774468767177914,0.0081953554013175,0.0126757706588208,140.0,87.74468767177915,0.45197541313794015,common,45.19754131379401,,peak_abundance_with_occupancy_days_modifiers,0.8774468767177914
bkhgul,MD,1.0744272502644652,1.168302384776828,1.9283152283638103,postbreeding_migration,0.1102635399722104,0.0015381074907924,0.002647252359159,161.0,11.02635399722104,0.44807096558916704,common,44.807096558916705,,peak_abundance_with_occupancy_days_modifiers,0.1102635399722104
combuz1,MD,0.9755534141184145,1.1229583040880171,1.6526348104051058,postbreeding_migration,0.9969418179707435,0.0042857168462407,0.0088904289566167,105.0,99.69418179707435,0.4068373732518904,common,40.68373732518904,,peak_abundance_with_occupancy_days_modifiers,0.9969418179707435
skylar,MD,0.9409527860409305,1.328156440574788,1.5624216952359762,nonbreeding,0.6764093193077644,0.0047357375536198,0.0047067581856629,154.0,67.64093193077643,0.39240779057995634,common,39.24077905799563,,peak_abundance_with_occupancy_days_modifiers,0.6764093193077644
gnwtea,MD,0.9110833155323944,0.7104159229846826,1.4870152968656156,nonbreeding,0.1103237468049967,0.0016211146316847,0.0015794871617901,154.0,11.03237468049967,0.3799512538632056,common,37.99512538632056,,peak_abundance_with_occupancy_days_modifiers,0.1103237468049967
comgol,MD,0.8987902416286258,0.5725064962811733,1.4566293848108145,nonbreeding,0.0603237236324669,0.0027518158918466,0.0105743953297511,56.0,6.03237236324669,0.37482464385516195,common,37.482464385516195,,peak_abundance_with_occupancy_days_modifiers,0.0603237236324669
gragoo,MD,0.8881044490728704,0.5611423579146656,1.4305181111071412,nonbreeding,0.0537598685032075,0.0013336739707199,0.0022703004422867,154.0,5.37598685032075,0.37036832223137195,common,37.036832223137196,,peak_abundance_with_occupancy_days_modifiers,0.0537598685032075
eugori2,MD,0.8856206671839641,0.9591147056161836,1.4244887251815892,breeding,0.999186907047521,0.0055269269906888,0.0135217940567758,63.0,99.9186907047521,0.3693325047304651,common,36.933250473046506,,peak_abundance_with_occupancy_days_modifiers,0.999186907047521
