species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eurcoo,ME,2.4510984898749233,3.925585317890163,10.601083395035507,nonbreeding,0.0747159772660688,0.0002539691214810265,0.0024368533694762,154.0,7.47159772660688,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.0747159772660688
bkhgul,ME,2.1947411283966045,3.7922886445191466,7.977676690416509,nonbreeding,0.1736070241619583,0.0011607324276915,0.0017361652146657,161.0,17.36070241619583,0.9152781413323848,abundant,91.52781413323848,,peak_abundance_with_occupancy_days_modifiers,0.1736070241619583
comcha,ME,1.998521213183423,4.786733005430175,6.378137335436129,postbreeding_migration,0.9834517717390494,0.0020576621194068,0.0022755806859437,112.0,98.34517717390494,0.8334480808459688,abundant,83.34480808459688,,peak_abundance_with_occupancy_days_modifiers,0.9834517717390494
eursta,ME,1.8790883626509096,3.0894242435301673,5.547533164816093,postbreeding_migration,0.0966097680443089,8.600354932430196e-05,0.00012159475108211084,126.0,9.66097680443089,0.7836407135737802,abundant,78.36407135737802,,peak_abundance_with_occupancy_days_modifiers,0.0966097680443089
grefla3,ME,1.8490213086607599,4.062616109546769,5.353598267156921,postbreeding_migration,0.12244267989594,0.0012019183046473,0.0017863412884496,133.0,12.244267989594,0.7711017781451861,abundant,77.11017781451861,,peak_abundance_with_occupancy_days_modifiers,0.12244267989594
yelgul1,ME,1.723457391050717,3.81166911965807,4.603869778988666,postbreeding_migration,0.1949109921812645,0.0038673345897051,0.0061929855664033,133.0,19.49109921812645,0.7187375573076729,common,71.87375573076729,,peak_abundance_with_occupancy_days_modifiers,0.1949109921812645
norlap,ME,1.4229396711591327,1.4184009628059506,3.149300107228277,nonbreeding,0.1382841715328722,0.00035249088911990206,0.0005907643127278537,77.0,13.82841715328722,0.5934119339159237,common,59.34119339159237,,peak_abundance_with_occupancy_days_modifiers,0.1382841715328722
gnwtea,ME,1.3889643027307599,1.5926263036795498,3.010694036316971,nonbreeding,0.0652553511975912,0.0001967503626968512,0.0006561784661626579,154.0,6.52553511975912,0.5792431047707196,common,57.92431047707196,,peak_abundance_with_occupancy_days_modifiers,0.0652553511975912
comhom1,ME,1.3307107454395373,1.4385435808418887,2.7837317021536845,postbreeding_migration,0.9638327318651626,0.0017544615256284,0.0044942019170968,91.0,96.38327318651626,0.5549494844645917,common,55.49494844645917,,peak_abundance_with_occupancy_days_modifiers,0.9638327318651626
mallar3,ME,1.311192742469601,1.2861035835735024,2.710596860310388,nonbreeding,0.0729439830257986,0.0003759033314937542,0.0004925079172885294,154.0,7.29439830257986,0.5468098450102137,common,54.68098450102137,,peak_abundance_with_occupancy_days_modifiers,0.0729439830257986
gretit1,ME,1.2907533196834566,2.635524236415952,2.635524236415952,resident,0.9556731988768916,0.001306500784381,0.0014515088394803,365.0,95.56731988768917,0.5382859436463765,common,53.82859436463765,,peak_abundance_with_occupancy_days_modifiers,0.9556731988768916
compoc,ME,1.259264011996502,0.8777483885535091,2.522827774031436,nonbreeding,0.0676766197066585,0.00024668526088222247,0.0016447104851004,119.0,6.76766197066585,0.525153882357392,common,52.5153882357392,,peak_abundance_with_occupancy_days_modifiers,0.0676766197066585
eurbla,ME,1.238083816606944,2.1523611043291093,2.448998215668038,prebreeding_migration,0.9723403945096616,0.0023497520625189,0.0027873290766535,119.0,97.23403945096616,0.5163210548232519,common,51.63210548232519,,peak_abundance_with_occupancy_days_modifiers,0.9723403945096616
banswa,ME,1.221300892087564,0.9128582902055168,2.3915969666894825,prebreeding_migration,0.130792863810536,0.00010109640019729788,0.0006545209721074024,105.0,13.0792863810536,0.5093220316758422,common,50.93220316758422,,peak_abundance_with_occupancy_days_modifiers,0.130792863810536
grecor,ME,1.1773936934111433,1.1716673746837039,2.2459033495775658,nonbreeding,0.1049289190011717,0.00046091661102302,0.0012778387574922,133.0,10.49289190011717,0.491011307611075,common,49.1011307611075,,peak_abundance_with_occupancy_days_modifiers,0.1049289190011717
eursis,ME,1.1598955170850083,0.76975,2.1896,nonbreeding,0.9432,0.0015,0.0028,154.0,94.32000000000001,0.4837140012922237,common,48.37140012922237,,peak_abundance_with_occupancy_days_modifiers,0.9432
misthr1,ME,1.1423032506394797,1.4824320088489107,2.133978396489969,nonbreeding,0.8929666094580616,0.0029258320993768,0.0087694971147853,126.0,89.29666094580617,0.4763774563458724,common,47.63774563458724,,peak_abundance_with_occupancy_days_modifiers,0.8929666094580616
barswa,ME,1.0895929011430836,1.7730472114710771,1.973063495416974,postbreeding_migration,0.466084947301798,0.00022799106227660323,0.00033108017825271785,98.0,46.6084947301798,0.45439553324258247,common,45.43955332425825,,peak_abundance_with_occupancy_days_modifiers,0.466084947301798
eurwig,ME,1.00544543915059,0.8522885481513763,1.7331244423483791,nonbreeding,0.0760901536037418,0.0003704196148430455,0.0011520699402613,105.0,7.60901536037418,0.41930331593557213,common,41.93033159355721,,peak_abundance_with_occupancy_days_modifiers,0.0760901536037418
eurjay1,ME,0.944467580613365,1.5714439274608862,1.5714439274608862,resident,0.9497674516083242,0.0009709848305633812,0.0026362168306924,365.0,94.97674516083242,0.3938735737658637,common,39.387357376586365,,peak_abundance_with_occupancy_days_modifiers,0.9497674516083242
hoocro1,ME,0.9309822806171448,0.7432749999999999,1.537,nonbreeding,0.5878,0.0019,0.0022,168.0,58.78,0.38824976685936663,common,38.82497668593666,,peak_abundance_with_occupancy_days_modifiers,0.5878
fieldf,ME,0.9095480510067626,0.8160000000000001,1.4832,postbreeding_migration,0.8825,0.0002,0.0,14.0,88.25,0.3793109988266125,rare,37.93109988266125,rare,peak_abundance_with_occupancy_days_modifiers,0.8825
eurrob1,ME,0.8869186463759176,0.9789799903812996,1.4276377043105897,prebreeding_migration,0.9858023907741292,0.0021101013901159,0.0025273944697952,112.0,98.58023907741293,0.3698738040969043,common,36.98738040969043,,peak_abundance_with_occupancy_days_modifiers,0.9858023907741292
