species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
laugul,MF,2.3646110853730917,3.9284750000000006,9.6399,breeding,0.9239,0.0007,0.0006,161.0,92.39,0.9861194157214229,abundant,98.61194157214229,,peak_abundance_with_occupancy_days_modifiers,0.9239
magfri,MF,1.163744383605892,1.8876,2.2019,postbreeding_migration,0.9067,0.0008,0.0004,140.0,90.67,0.4853191033017006,common,48.53191033017006,,peak_abundance_with_occupancy_days_modifiers,0.9067
brnpel,MF,1.1112652347914251,1.3457499999999998,2.0382,postbreeding_migration,0.8353,0.0007,0.0002,161.0,83.53,0.46343359837169457,common,46.34335983716946,,peak_abundance_with_occupancy_days_modifiers,0.8353
banana,MF,1.066811976118312,1.9061,1.9061,resident,0.5813,0.0,0.0002,365.0,58.13,0.4448951496006455,common,44.489514960064554,,peak_abundance_with_occupancy_days_modifiers,0.5813
zendov,MF,0.9019889471632954,1.4645,1.4645,resident,0.6194,0.0014,0.0056,365.0,61.94,0.3761586076737472,common,37.61586076737472,,peak_abundance_with_occupancy_days_modifiers,0.6194
leater1,MF,0.8522854018982426,0.9555000000000001,1.345,postbreeding_migration,0.6439,0.0011,0.0019,98.0,64.39,0.35543061932959896,common,35.543061932959894,,peak_abundance_with_occupancy_days_modifiers,0.6439
royter1,MF,0.7852248687608533,0.853275,1.1929,breeding,0.8331,0.0009,0.0006,126.0,83.31,0.3274642048251285,common,32.74642048251285,,peak_abundance_with_occupancy_days_modifiers,0.8331
barswa,MF,0.7335210746982186,0.291825,1.0824,postbreeding_migration,1.0,0.0,0.0,154.0,100.0,0.3059020479414813,common,30.59020479414813,,peak_abundance_with_occupancy_days_modifiers,1.0
semsan,MF,0.719399551704011,0.40622499999999995,1.0532,postbreeding_migration,0.7201,0.0003,0.0,112.0,72.00999999999999,0.3000129154366544,common,30.00129154366544,,peak_abundance_with_occupancy_days_modifiers,0.7201
bknsti,MF,0.6632548226949087,0.74095,0.9411,postbreeding_migration,0.7189,0.0,0.0,140.0,71.89,0.2765987448321222,fairly_common,27.65987448321222,,peak_abundance_with_occupancy_days_modifiers,0.7189
snoegr,MF,0.6206302497207681,0.695275,0.8601,postbreeding_migration,0.8097,0.0,0.0001,119.0,80.97,0.2588229172312791,fairly_common,25.88229172312791,,peak_abundance_with_occupancy_days_modifiers,0.8097
whcpin,MF,0.6172915282564095,0.6633749999999999,0.8539,prebreeding_migration,0.8097,0.0002,0.0003,105.0,80.97,0.2574305622346982,fairly_common,25.743056223469818,,peak_abundance_with_occupancy_days_modifiers,0.8097
grykin,MF,0.6069899841087708,0.7527,0.8349,postbreeding_migration,0.9239,0.0004,0.0006,112.0,92.39,0.25313448464344596,fairly_common,25.313448464344596,,peak_abundance_with_occupancy_days_modifiers,0.9239
santer1,MF,0.5666197740881866,0.35555000000000003,0.7623,breeding,0.7569,0.0004,0.0002,126.0,75.69,0.23629879941626267,fairly_common,23.629879941626267,,peak_abundance_with_occupancy_days_modifiers,0.7569
cargra1,MF,0.5579572704982618,0.7471,0.7471,resident,0.3196,0.0001,0.0002,365.0,31.96,0.23268625482843522,fairly_common,23.26862548284352,,peak_abundance_with_occupancy_days_modifiers,0.3196
semplo,MF,0.5410444023499873,0.37017500000000003,0.7178,postbreeding_migration,0.7581,0.0002,0.0001,161.0,75.81,0.2256330409787173,fairly_common,22.563304097871733,,peak_abundance_with_occupancy_days_modifiers,0.7581
greegr,MF,0.5045861989759716,0.573575,0.6563,postbreeding_migration,0.429,0.0,0.0,133.0,42.9,0.21042878923861996,fairly_common,21.042878923861995,,peak_abundance_with_occupancy_days_modifiers,0.429
rudtur,MF,0.5039218474491962,0.3182,0.6552,postbreeding_migration,0.7189,0.0001,0.0001,119.0,71.89,0.21015173313266253,fairly_common,21.015173313266253,,peak_abundance_with_occupancy_days_modifiers,0.7189
