species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
categr1,MG,1.5675434794812773,1.9218875919425746,3.794855054835248,nonbreeding,0.366331989073804,0.0222796751806908,0.0650615892983032,140.0,36.6331989073804,0.6537164059095609,common,65.37164059095609,,peak_abundance_with_occupancy_days_modifiers,0.366331989073804
rebduc1,MG,0.9914724131102061,1.5819,1.6952,breeding,0.9683,,,,96.83,0.41347611147051744,common,41.347611147051744,,peak_abundance_with_occupancy_days_modifiers,0.9683
squher1,MG,0.6486204151764708,0.451275,0.9129,nonbreeding,0.6383,0.0803,0.2523,119.0,63.83,0.2704957228676312,fairly_common,27.04957228676312,,peak_abundance_with_occupancy_days_modifiers,0.6383
blakit1,MG,0.5061460891396183,0.3773008836908948,0.6588856622282879,postbreeding_migration,0.8405519073267911,0.0502841826427128,0.0244224211992086,105.0,84.05519073267911,0.2110793139639248,fairly_common,21.10793139639248,,peak_abundance_with_occupancy_days_modifiers,0.8405519073267911
commyn,MG,0.4307768979385807,0.5384522797911315,0.5384522797911315,resident,0.7788091197520844,0.087311421656131,0.0171957499575311,365.0,77.88091197520845,0.17964791991764478,common,17.96479199176448,,peak_abundance_with_occupancy_days_modifiers,0.7788091197520844
piecro1,MG,0.41647098728469806,0.5166,0.5166,resident,0.8155,0.0703,0.0862,365.0,81.55,0.1736818917861545,common,17.368189178615452,,peak_abundance_with_occupancy_days_modifiers,0.8155
wfwduc1,MG,0.2831995681630777,0.3273700361858784,0.3273700361858784,resident,0.0947834427801962,0.0068343019605923,0.0116282344039617,365.0,9.47834427801962,0.11810339316136213,fairly_common,11.810339316136213,,peak_abundance_with_occupancy_days_modifiers,0.0947834427801962
litegr,MG,0.25220406671801454,0.2623794353972089,0.2868586155064065,nonbreeding,0.102629359614454,0.0143253357500566,0.0124335788692516,119.0,10.2629359614454,0.10517726507033377,fairly_common,10.517726507033377,,peak_abundance_with_occupancy_days_modifiers,0.102629359614454
cursan,MG,0.25130710463252437,0.2365758900394847,0.2857048696294179,postbreeding_migration,0.0512520764538407,0.0571722482569436,0.0785066088834883,56.0,5.12520764538407,0.10480320282680489,fairly_common,10.480320282680488,,peak_abundance_with_occupancy_days_modifiers,0.0512520764538407
whimbr,MG,0.23169293950007924,0.21828964629123915,0.2607325482209131,postbreeding_migration,0.0750469359589518,0.038264362348713,0.0632220538995235,112.0,7.50469359589518,0.09662346063583127,fairly_common,9.662346063583128,,peak_abundance_with_occupancy_days_modifiers,0.0750469359589518
greegr,MG,0.13669873909255187,0.09515678980399508,0.1464827060684538,breeding,0.1040186647450913,0.0059862953857839,0.0044555811256548,154.0,10.40186647450913,0.05700780206844598,uncommon,5.700780206844598,,peak_abundance_with_occupancy_days_modifiers,0.1040186647450913
grefla3,MG,0.1289140574214666,0.1375923523443302,0.1375923523443302,postbreeding_migration,0.0274035914744247,0.0066739959904287,0.0008628609136036979,49.0,2.74035914744247,0.05376133765467686,rare,5.376133765467686,rare,peak_abundance_with_occupancy_days_modifiers,0.0274035914744247
commoo3,MG,0.12821729780075383,0.07785,0.1368,breeding,0.5594,0.0301,0.0179,182.0,55.94,0.05347076632380314,fairly_common,5.347076632380314,,peak_abundance_with_occupancy_days_modifiers,0.5594
lesfla1,MG,0.09171503547267013,0.0960524415083166,0.0960524415083166,prebreeding_migration,0.0333438823331034,0.0181296696292624,0.0003536743278658843,42.0,3.3343882333103396,0.0382481405727272,rare,3.82481405727272,rare,peak_abundance_with_occupancy_days_modifiers,0.0333438823331034
rudtur,MG,0.07119474817448851,0.0560752572746705,0.0737903242123599,postbreeding_migration,0.0650225404418469,0.0186544985140043,0.0280641416977726,77.0,6.502254044184689,0.029690516088053922,uncommon,2.969051608805392,,peak_abundance_with_occupancy_days_modifiers,0.0650225404418469
grcter1,MG,0.07110208549677048,0.0495893293934271,0.0736908285354498,breeding,0.1622319708738969,0.0834032664127557,0.0081742040045059,133.0,16.22319708738969,0.02965187274996943,uncommon,2.965187274996943,,peak_abundance_with_occupancy_days_modifiers,0.1622319708738969
corplo,MG,0.05724082457038744,0.0517470438732302,0.0589107914278432,nonbreeding,0.0487895094542498,0.0380668423242268,0.0294873006093298,56.0,4.87895094542498,0.02387127795768446,rare,2.387127795768446,rare,peak_abundance_with_occupancy_days_modifiers,0.0487895094542498
bkbplo,MG,0.05108331246792962,0.050511471983066505,0.052410568552673,nonbreeding,0.0573629814454787,0.0309374929456646,0.0153244186286607,70.0,5.73629814454787,0.02130339596037271,uncommon,2.1303395960372713,,peak_abundance_with_occupancy_days_modifiers,0.0573629814454787
helgui,MG,0.05074985237381636,0.0520596901306648,0.0520596901306648,resident,0.5262446995176465,0.0632580321091912,0.0027023286760007,365.0,52.62446995176465,0.02116433229988006,fairly_common,2.1164332299880058,,peak_abundance_with_occupancy_days_modifiers,0.5262446995176465
bkwsti,MG,0.05030459216809754,0.046444132300595055,0.0515913540900472,nonbreeding,0.0679730918560459,0.0075171869090261,0.0012736645534959,105.0,6.79730918560459,0.02097864437148314,uncommon,2.097864437148314,,peak_abundance_with_occupancy_days_modifiers,0.0679730918560459
bcnher,MG,0.04526344192420683,0.029652783532082425,0.0463034638021213,prebreeding_migration,0.0131776149094558,0.001565770125495,0.0025033206993462,42.0,1.31776149094558,0.018876321429744485,rare,1.8876321429744485,,peak_abundance_with_occupancy_days_modifiers,0.0131776149094558
