species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eursta,MK,2.8090411842420937,8.32555,15.594,postbreeding_migration,0.3876,0.0007,0.0016,140.0,38.76,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.3876
comcha,MK,1.9616569435222317,3.7117250000000004,6.1111,nonbreeding,1.0,0.0023,0.0043,112.0,100.0,0.818074486311054,abundant,81.8074486311054,,peak_abundance_with_occupancy_days_modifiers,1.0
cowpig1,MK,1.6267079235990545,1.92435,4.0871,nonbreeding,0.99,0.0065,0.0057,112.0,99.0,0.6783898955272838,common,67.83898955272838,,peak_abundance_with_occupancy_days_modifiers,0.99
barswa,MK,1.5145556410639014,2.380733333333333,3.5474,postbreeding_migration,0.9901,0.0003,0.0008,119.0,99.00999999999999,0.6316187609379611,common,63.16187609379611,,peak_abundance_with_occupancy_days_modifiers,0.9901
comhom1,MK,1.489602073014058,2.381220833326678,3.43533023020877,breeding,0.7395954986944961,0.0031668281094698,0.009274175701054,91.0,73.95954986944962,0.6212123147795674,common,62.12123147795674,,peak_abundance_with_occupancy_days_modifiers,0.7395954986944961
mallar3,MK,1.2507037068135423,1.2712999999999999,2.4928,nonbreeding,0.0941,0.0002,0.0004,126.0,9.41,0.5215839578156211,common,52.158395781562106,,peak_abundance_with_occupancy_days_modifiers,0.0941
eubeat1,MK,1.1511098576258638,1.1077000000000001,2.1617,postbreeding_migration,0.9916,0.0012,0.0022,77.0,99.16,0.48005009671773763,common,48.00500967177376,,peak_abundance_with_occupancy_days_modifiers,0.9916
fieldf,MK,1.0540332452701422,1.2675999999999998,1.8692,nonbreeding,0.9704,,,,97.04,0.4395660049156666,common,43.95660049156666,,peak_abundance_with_occupancy_days_modifiers,0.9704
eurcoo,MK,1.0416891412684888,0.863975,1.834,nonbreeding,0.0646,0.0002,0.0009,154.0,6.460000000000001,0.4344181137038674,common,43.44181137038674,,peak_abundance_with_occupancy_days_modifiers,0.0646
hoocro1,MK,1.0137077815776656,0.853825,1.7558,nonbreeding,0.7712,0.0045,0.0045,168.0,77.12,0.42274898035670144,common,42.27489803567014,,peak_abundance_with_occupancy_days_modifiers,0.7712
gretit1,MK,0.9973544565938828,1.7111,1.7111,resident,0.9916,,,,99.16,0.4159291141309766,common,41.59291141309766,,peak_abundance_with_occupancy_days_modifiers,0.9916
eurgol,MK,0.9591969528846124,1.07045,1.6096,nonbreeding,0.9955,0.0022,0.0028,245.0,99.55000000000001,0.40001619910832,common,40.001619910832,,peak_abundance_with_occupancy_days_modifiers,0.9955
gnwtea,MK,0.9503056104614327,0.5590999999999999,1.5865,nonbreeding,0.07,0.0002,0.0006,147.0,7.000000000000001,0.3963082213146095,common,39.63082213146095,,peak_abundance_with_occupancy_days_modifiers,0.07
eurbla,MK,0.9383261587347674,1.29495,1.5557,prebreeding_migration,1.0,0.003,0.0042,119.0,100.0,0.39131240191308697,common,39.1312401913087,,peak_abundance_with_occupancy_days_modifiers,1.0
misthr1,MK,0.9216762041504929,0.85565,1.5135,nonbreeding,0.933,0.0044,0.0182,112.0,93.30000000000001,0.3843688315357019,common,38.43688315357019,,peak_abundance_with_occupancy_days_modifiers,0.933
eursis,MK,0.8760519006144806,0.5226500000000001,1.4014,nonbreeding,0.9892,0.0028,0.0032,154.0,98.92,0.36534201912501296,common,36.534201912501295,,peak_abundance_with_occupancy_days_modifiers,0.9892
corbun1,MK,0.7899108489922534,0.9319750000000001,1.2032,nonbreeding,0.4518,0.0035,0.0058,91.0,45.18,0.32941841036719605,common,32.9418410367196,,peak_abundance_with_occupancy_days_modifiers,0.4518
eurrob1,MK,0.74012618175394,0.70235,1.0962,prebreeding_migration,1.0,0.0029,0.0058,119.0,100.0,0.30865659153254194,common,30.865659153254192,,peak_abundance_with_occupancy_days_modifiers,1.0
eurjay1,MK,0.6540424606791843,0.9233,0.9233,year_round,0.9701,,,,97.00999999999999,0.2727568914700388,fairly_common,27.275689147003877,,peak_abundance_with_occupancy_days_modifiers,0.9701
yellow2,MK,0.6449018679319508,0.48602500000000004,0.9058,nonbreeding,0.8486,0.0041,0.0024,112.0,84.86,0.2689449682176249,fairly_common,26.89449682176249,,peak_abundance_with_occupancy_days_modifiers,0.8486
gwfgoo,MK,0.5888971591861462,0.3265,0.802,postbreeding_migration,0.0186,0.0001,0.0,42.0,1.8599999999999999,0.2455891905983436,rare,24.55891905983436,rare,peak_abundance_with_occupancy_days_modifiers,0.0186
eurgre1,MK,0.5878422189145218,0.5788,0.8001,nonbreeding,1.0,0.0021,0.0031,287.0,100.0,0.24514924633405835,common,24.514924633405837,,peak_abundance_with_occupancy_days_modifiers,1.0
grecor,MK,0.570470942692431,0.578275,0.7691,nonbreeding,0.0728,0.0002,0.0012,98.0,7.28,0.23790486146906867,fairly_common,23.79048614690687,,peak_abundance_with_occupancy_days_modifiers,0.0728
comrav,MK,0.5693963731237703,0.7672,0.7672,resident,0.9604,0.0006,0.0006,365.0,96.04,0.23745673115209837,common,23.745673115209836,,peak_abundance_with_occupancy_days_modifiers,0.9604
rebshr1,MK,0.5278597163217703,0.5177,0.6953,breeding,0.9913,0.001,0.002,49.0,99.13,0.22013459983419212,fairly_common,22.01345998341921,,peak_abundance_with_occupancy_days_modifiers,0.9913
combuz1,MK,0.5098251234324072,0.5757,0.665,nonbreeding,0.992,0.0025,0.0047,154.0,99.2,0.21261359043317832,fairly_common,21.26135904331783,,peak_abundance_with_occupancy_days_modifiers,0.992
eurlin1,MK,0.5066971131822106,0.537,0.6598,postbreeding_migration,0.9853,0.0034,0.0027,133.0,98.53,0.2113091088381393,fairly_common,21.13091088381393,,peak_abundance_with_occupancy_days_modifiers,0.9853
eurjac,MK,0.474742383592909,0.38680000000000003,0.6076,nonbreeding,0.1803,0.0015,0.0017,140.0,18.029999999999998,0.19798295154019774,fairly_common,19.798295154019772,,peak_abundance_with_occupancy_days_modifiers,0.1803
rook1,MK,0.45603147167885216,0.38805,0.5778,nonbreeding,0.1051,0.0003,0.0005,217.0,10.51,0.19017989519895015,fairly_common,19.017989519895014,,peak_abundance_with_occupancy_days_modifiers,0.1051
blutit,MK,0.4499922301582419,0.5683,0.5683,resident,0.9991,0.0028,0.0025,365.0,99.91,0.18766133586522146,common,18.766133586522145,,peak_abundance_with_occupancy_days_modifiers,0.9991
eurmag1,MK,0.44423700260870275,0.5593,0.5593,resident,0.3943,0.0006,0.0011,365.0,39.43,0.1852612195570464,fairly_common,18.526121955704642,,peak_abundance_with_occupancy_days_modifiers,0.3943
bkhgul,MK,0.43418213220565854,0.28757499999999997,0.5437,nonbreeding,0.0187,0.0004,0.0007,175.0,1.87,0.181068012907404,rare,18.1068012907404,rare,peak_abundance_with_occupancy_days_modifiers,0.0187
houspa,MK,0.41871033485818504,0.52,0.52,resident,0.3829,0.0005,0.0002,365.0,38.29,0.17461577225995584,fairly_common,17.461577225995583,,peak_abundance_with_occupancy_days_modifiers,0.3829
hawfin,MK,0.41429269671084346,0.319075,0.5133,nonbreeding,0.991,,,,99.1,0.17277347405892304,fairly_common,17.277347405892304,,peak_abundance_with_occupancy_days_modifiers,0.991
sonthr1,MK,0.41277168329060254,0.337575,0.511,postbreeding_migration,1.0,0.0049,0.0034,49.0,100.0,0.17213916219489162,fairly_common,17.21391621948916,,peak_abundance_with_occupancy_days_modifiers,1.0
eutspa,MK,0.3946063647732885,0.4838,0.4838,resident,0.2938,0.0005,0.0003,365.0,29.38,0.16456363597263296,fairly_common,16.456363597263294,,peak_abundance_with_occupancy_days_modifiers,0.2938
comnig1,MK,0.37383683264998774,0.3112,0.4533,prebreeding_migration,0.7151,0.004,0.0064,63.0,71.50999999999999,0.15590206832249015,fairly_common,15.590206832249015,,peak_abundance_with_occupancy_days_modifiers,0.7151
rocpig,MK,0.3699760901778608,0.4477,0.4477,resident,0.1039,0.0002,0.0002,365.0,10.39,0.1542920136566659,fairly_common,15.42920136566659,,peak_abundance_with_occupancy_days_modifiers,0.1039
eurwig,MK,0.36464311358790924,0.20299999999999999,0.44,nonbreeding,0.0555,0.0004,0.0011,49.0,5.55,0.15206798967594887,fairly_common,15.206798967594887,,peak_abundance_with_occupancy_days_modifiers,0.0555
yebcho1,MK,0.3643652972227386,0.4396,0.4396,resident,0.1472,0.0032,0.0046,365.0,14.719999999999999,0.15195213125280493,fairly_common,15.195213125280493,,peak_abundance_with_occupancy_days_modifiers,0.1472
comchi1,MK,0.3633227979101969,0.301825,0.4381,prebreeding_migration,1.0,0.001,0.0009,133.0,100.0,0.15151737527143752,fairly_common,15.151737527143752,,peak_abundance_with_occupancy_days_modifiers,1.0
whiwag,MK,0.3586529863223601,0.2086,0.4314,postbreeding_migration,0.9612,0.0007,0.0003,112.0,96.12,0.14956991257746133,fairly_common,14.956991257746132,,peak_abundance_with_occupancy_days_modifiers,0.9612
eugori2,MK,0.35318887465390053,0.24883333333333332,0.4236,breeding,0.6125,,,,61.25000000000001,0.1472912010213545,fairly_common,14.72912010213545,,peak_abundance_with_occupancy_days_modifiers,0.6125
blackc1,MK,0.3348995720608916,0.2368,0.3978,breeding,0.9803,0.0034,0.0022,140.0,98.03,0.1396639694235103,fairly_common,13.96639694235103,,peak_abundance_with_occupancy_days_modifiers,0.9803
spaspa1,MK,0.32562793486653496,0.21025000000000002,0.3849,breeding,0.2945,,,,29.45,0.1357973963919298,fairly_common,13.579739639192981,,peak_abundance_with_occupancy_days_modifiers,0.2945
skylar,MK,0.3217211146752037,0.342325,0.3795,breeding,0.9333,0.0015,0.0012,154.0,93.33,0.13416812582467436,fairly_common,13.416812582467436,,peak_abundance_with_occupancy_days_modifiers,0.9333
eutdov,MK,0.3140805463063118,0.15883333333333333,0.369,breeding,0.588,0.0011,0.0009,63.0,58.8,0.13098176132595496,fairly_common,13.098176132595496,,peak_abundance_with_occupancy_days_modifiers,0.588
comcuc,MK,0.30844012553629035,0.23596666666666666,0.3613,prebreeding_migration,0.9923,0.0009,0.0018,91.0,99.22999999999999,0.12862952316359388,fairly_common,12.862952316359388,,peak_abundance_with_occupancy_days_modifiers,0.9923
brambl,MK,0.30158497762077235,0.24516666666666667,0.352,postbreeding_migration,0.9857,0.0016,0.0001,49.0,98.57000000000001,0.12577070443481847,fairly_common,12.577070443481848,,peak_abundance_with_occupancy_days_modifiers,0.9857
