species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
combul2,ML,0.8567254966029668,1.3554351715138435,1.3554351715138435,resident,0.507001748208546,0.0226244997054117,0.0262386027403154,365.0,50.700174820854606,0.35728228264246026,common,35.72822826424603,,peak_abundance_with_occupancy_days_modifiers,0.507001748208546
barswa,ML,0.7887754915733522,0.59445,1.2007,prebreeding_migration,0.9998,0.0298,0.0135,154.0,99.98,0.3289449295476706,common,32.89449295476706,,peak_abundance_with_occupancy_days_modifiers,0.9998
vilwea1,ML,0.7053665660758219,1.0245886944491565,1.0245886944491565,resident,0.5557821227812841,0.0447831335774688,0.0404913621312648,365.0,55.57821227812841,0.29416070588130866,common,29.416070588130864,,peak_abundance_with_occupancy_days_modifiers,0.5557821227812841
comhom1,ML,0.35200441633524443,0.1716750857553818,0.4219148033571716,prebreeding_migration,0.3228906317435998,0.0318006595593853,0.0307247084609794,35.0,32.28906317435998,0.146797243536183,fairly_common,14.679724353618301,,peak_abundance_with_occupancy_days_modifiers,0.3228906317435998
eaywag1,ML,0.3498819235311306,0.2581,0.4189,postbreeding_migration,0.8638,0.0309,0.0282,98.0,86.38,0.1459120952863027,fairly_common,14.59120952863027,,peak_abundance_with_occupancy_days_modifiers,0.8638
blakit1,ML,0.3077787741509033,0.29065,0.3604,postbreeding_migration,0.3757,0.0219,0.026,147.0,37.57,0.12835371821377423,fairly_common,12.835371821377423,,peak_abundance_with_occupancy_days_modifiers,0.3757
afpswi1,ML,0.29739819706209714,0.3463513058574695,0.3463513058574695,resident,0.4910179655224936,0.0567682654275117,0.0539618795018698,365.0,49.10179655224936,0.1240246813260656,fairly_common,12.402468132606561,,peak_abundance_with_occupancy_days_modifiers,0.4910179655224936
litswi1,ML,0.29274423804404565,0.24415,0.3401,breeding,0.3653,0.0321,0.0267,84.0,36.53,0.1220838296671772,fairly_common,12.20838296671772,,peak_abundance_with_occupancy_days_modifiers,0.3653
afghor1,ML,0.25208080120880744,0.2867,0.2867,resident,0.3063,0.0445,0.1148,365.0,30.630000000000003,0.10512585936024897,fairly_common,10.512585936024896,,peak_abundance_with_occupancy_days_modifiers,0.3063
litsti,ML,0.24169048860078787,0.09693333333333332,0.2734,prebreeding_migration,0.3857,0.0321,0.0325,70.0,38.57,0.10079276244568115,fairly_common,10.079276244568115,,peak_abundance_with_occupancy_days_modifiers,0.3857
norwhe,ML,0.22713557258374723,0.18213333333333334,0.255,postbreeding_migration,0.8322,,,,83.22,0.09472289101211553,fairly_common,9.472289101211553,,peak_abundance_with_occupancy_days_modifiers,0.8322
grbcam1,ML,0.2247396515460233,0.2519967183471827,0.2519967183471827,resident,0.5399637940379771,0.0224817146563683,0.023118241299282,365.0,53.99637940379771,0.09372371433208992,common,9.372371433208993,,peak_abundance_with_occupancy_days_modifiers,0.5399637940379771
broman1,ML,0.1841572298446041,0.2022048307158085,0.2022048307158085,resident,0.3645437662361429,0.0379367796309606,0.0187127147421265,365.0,36.45437662361429,0.0767995299601598,fairly_common,7.67995299601598,,peak_abundance_with_occupancy_days_modifiers,0.3645437662361429
orabis1,ML,0.17806249987357117,0.1949,0.1949,resident,0.2972,0.1088,0.1487,365.0,29.720000000000002,0.07425783014525497,uncommon,7.425783014525497,,peak_abundance_with_occupancy_days_modifiers,0.2972
banswa,ML,0.15743100794882842,0.11336666666666667,0.1705,prebreeding_migration,0.5724,,,,57.24,0.06565382972922947,uncommon,6.565382972922946,,peak_abundance_with_occupancy_days_modifiers,0.5724
eutdov,ML,0.15349332095710863,0.11420000000000001,0.1659,postbreeding_migration,0.6911,0.0853,0.1361,98.0,69.11,0.06401168670639237,uncommon,6.401168670639238,,peak_abundance_with_occupancy_days_modifiers,0.6911
wooshr1,ML,0.14071800693887934,0.067,0.1511,prebreeding_migration,0.709,0.0699,0.15,84.0,70.89999999999999,0.05868396695017454,uncommon,5.868396695017454,,peak_abundance_with_occupancy_days_modifiers,0.709
bkrwax,ML,0.1365276343515192,0.1462865542236674,0.1462865542236674,resident,0.3364356313875409,0.2003146097397261,0.2082843264925319,365.0,33.64356313875409,0.05693644584910911,uncommon,5.693644584910911,,peak_abundance_with_occupancy_days_modifiers,0.3364356313875409
rorpar,ML,0.12909657333440996,0.1378,0.1378,resident,0.3208,0.074,0.0197,365.0,32.08,0.05383745270232455,uncommon,5.383745270232454,,peak_abundance_with_occupancy_days_modifiers,0.3208
piecro1,ML,0.1238976366562374,0.1319,0.1319,resident,0.179,0.0317,0.0453,365.0,17.9,0.05166932770656302,uncommon,5.1669327706563015,,peak_abundance_with_occupancy_days_modifiers,0.179
