species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
amufal1,MM,4.599608396531232,49.242912882488056,98.44536486596762,postbreeding_migration,0.4796881131374362,0.0776801186321912,0.4651415187067595,49.0,47.96881131374362,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4796881131374362
barswa,MM,1.4049478946320462,1.8456204733342705,3.0753143899794355,nonbreeding,0.2975800545785012,0.0127704191698468,0.0183566654940973,154.0,29.758005457850118,0.5859087803248623,common,58.59087803248622,,peak_abundance_with_occupancy_days_modifiers,0.2975800545785012
categr2,MM,1.0501848788856125,1.5148728194781833,1.8581794862578973,nonbreeding,0.3063810199359025,0.049013521553517,0.039356820648148,126.0,30.63810199359025,0.43796111147924943,common,43.79611114792495,,peak_abundance_with_occupancy_days_modifiers,0.3063810199359025
spodov,MM,0.940027505011866,1.5600518316169143,1.5600518316169143,resident,0.5166132864922551,0.0596332341407297,0.0695432161020487,365.0,51.66132864922551,0.3920219184196662,common,39.20219184196662,,peak_abundance_with_occupancy_days_modifiers,0.5166132864922551
lewduc1,MM,0.9372299678878108,0.830025,1.5529,nonbreeding,0.158,0.0556,0.0682,112.0,15.8,0.3908552548227233,common,39.08552548227233,,peak_abundance_with_occupancy_days_modifiers,0.158
revbul,MM,0.7561190874537701,1.1299938394789983,1.1299938394789983,resident,0.5962977707170177,0.0948703984656411,0.0440916375841071,365.0,59.629777071701774,0.3153261512423645,common,31.53261512423645,,peak_abundance_with_occupancy_days_modifiers,0.5962977707170177
bkwsti,MM,0.6602939429361322,0.5243491579390358,0.9353611365352008,nonbreeding,0.1038965739536703,0.0189688246005521,0.0540658786896686,105.0,10.38965739536703,0.2753639620656,fairly_common,27.53639620656,,peak_abundance_with_occupancy_days_modifiers,0.1038965739536703
bladro1,MM,0.6590423945109157,0.6135828213443552,0.9329404534695588,nonbreeding,0.3272828638079683,0.0564338279317562,0.0570191743729246,126.0,32.72828638079683,0.2748420258328487,fairly_common,27.484202583284873,,peak_abundance_with_occupancy_days_modifiers,0.3272828638079683
nutman,MM,0.568080925304962,0.7648768689284484,0.7648768689284484,resident,0.2893649599149654,0.0424707196035829,0.0554553184122045,365.0,28.936495991496543,0.23690814680242697,fairly_common,23.690814680242696,,peak_abundance_with_occupancy_days_modifiers,0.2893649599149654
houspa,MM,0.5639848106111981,0.7576625163477104,0.7576625163477104,resident,0.1365942085143224,0.005994134977053,0.005926101958321,365.0,13.659420851432241,0.23519993429613856,fairly_common,23.519993429613855,,peak_abundance_with_occupancy_days_modifiers,0.1365942085143224
commyn,MM,0.5469828726111134,0.7280314537384065,0.7280314537384065,resident,0.2546449843303559,0.0322672221542793,0.0262790986756208,365.0,25.464498433035587,0.22810957543311652,fairly_common,22.810957543311652,,peak_abundance_with_occupancy_days_modifiers,0.2546449843303559
comter,MM,0.5366983288055223,0.2992675952003163,0.7103505145967404,nonbreeding,0.1210178885687897,0.0006226874972516945,0.0006637406795797085,147.0,12.10178885687897,0.2238205875351634,fairly_common,22.38205875351634,,peak_abundance_with_occupancy_days_modifiers,0.1210178885687897
asiope1,MM,0.5318040301511824,0.702,0.702,resident,0.1394,0.0511,0.0827,365.0,13.94,0.22177950646299954,fairly_common,22.177950646299955,,peak_abundance_with_occupancy_days_modifiers,0.1394
