species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
taibeg1,MN,2.6691014509636353,7.59125,13.427,prebreeding_migration,0.2488,,,,24.88,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.2488
comcra,MN,2.2497116033869773,3.264366666666666,8.485,nonbreeding,0.4234,0.1103,0.1156,133.0,42.34,0.9382026099753468,abundant,93.82026099753467,,peak_abundance_with_occupancy_days_modifiers,0.4234
mallar3,MN,1.7098260864653687,1.9046249999999998,4.528,postbreeding_migration,0.7107,0.0484,0.0545,91.0,71.07,0.7130528617582128,common,71.30528617582128,,peak_abundance_with_occupancy_days_modifiers,0.7107
norlap,MN,1.5584814034332475,1.8435666666666666,3.7516,postbreeding_migration,0.3972,0.0916,0.1527,133.0,39.72,0.6499372266639827,common,64.99372266639827,,peak_abundance_with_occupancy_days_modifiers,0.3972
gnwtea,MN,1.497902817681474,1.5907,3.4723,postbreeding_migration,0.6424,0.0571,0.0925,98.0,64.24,0.6246739941788219,common,62.467399417882184,,peak_abundance_with_occupancy_days_modifiers,0.6424
recpoc,MN,1.4122301031436104,0.897525,3.1051,postbreeding_migration,0.3314,0.0713,0.2653,56.0,33.14,0.5889456971552899,common,58.89456971552899,,peak_abundance_with_occupancy_days_modifiers,0.3314
eutspa,MN,1.3339742239201913,2.7961,2.7961,resident,0.8083,0.0907,0.0948,365.0,80.83,0.5563104606997404,common,55.63104606997405,,peak_abundance_with_occupancy_days_modifiers,0.8083
eurcoo,MN,1.1652423709658728,1.24,2.2067,postbreeding_migration,0.5102,0.0628,0.0952,147.0,51.019999999999996,0.4859438125527566,common,48.59438125527566,,peak_abundance_with_occupancy_days_modifiers,0.5102
horlar,MN,1.1069110914828049,1.404575,2.025,postbreeding_migration,0.927,,,,92.7,0.4616177795750967,common,46.16177795750967,,peak_abundance_with_occupancy_days_modifiers,0.927
fotswi,MN,1.0948050503251556,1.3618,1.9886,breeding,0.9966,,,,99.66000000000001,0.456569168280442,common,45.656916828044196,,peak_abundance_with_occupancy_days_modifiers,0.9966
whwter,MN,0.9979813118292918,0.9582333333333334,1.7128,breeding,0.3299,0.0807,0.1792,98.0,32.99,0.41619053306887605,common,41.61905330688761,,peak_abundance_with_occupancy_days_modifiers,0.3299
bohwax,MN,0.9905815444544045,1.2801666666666665,1.6928,postbreeding_migration,0.7532,0.2799,0.4118,49.0,75.32,0.41310459038454367,common,41.31045903845437,,peak_abundance_with_occupancy_days_modifiers,0.7532
blakit1,MN,0.9863017515389659,1.2691333333333334,1.6813,postbreeding_migration,1.0,0.0593,0.1251,84.0,100.0,0.41131977811021775,common,41.13197781102178,,peak_abundance_with_occupancy_days_modifiers,1.0
banswa,MN,0.9523911974988778,0.6203666666666666,1.5919,postbreeding_migration,0.5876,,,,58.76,0.3971779786643586,common,39.71779786643586,,peak_abundance_with_occupancy_days_modifiers,0.5876
brambl,MN,0.9302330839968606,0.616675,1.5351,postbreeding_migration,1.0,0.071,0.0302,98.0,100.0,0.38793732760116256,common,38.79373276011626,,peak_abundance_with_occupancy_days_modifiers,1.0
gadwal,MN,0.8946175561926608,0.9028333333333333,1.4464,postbreeding_migration,0.654,0.109,0.1264,105.0,65.4,0.3730844988691403,common,37.30844988691403,,peak_abundance_with_occupancy_days_modifiers,0.654
barswa,MN,0.8270222641159728,0.6794666666666668,1.2865,postbreeding_migration,0.6504,0.0193,0.0136,119.0,65.03999999999999,0.3448950725653788,common,34.489507256537884,,peak_abundance_with_occupancy_days_modifiers,0.6504
bkhgul,MN,0.7641646677952256,0.5316333333333333,1.1472,postbreeding_migration,0.4566,0.0694,0.0574,119.0,45.660000000000004,0.31868141885255763,common,31.868141885255763,,peak_abundance_with_occupancy_days_modifiers,0.4566
redpol1,MN,0.7545638199079656,0.5813823519098523,1.1266837039281192,postbreeding_migration,0.4413509753230788,0.018742215720002,0.0172868967295334,21.0,44.13509753230788,0.3146775542984332,rare,31.46775542984332,rare,peak_abundance_with_occupancy_days_modifiers,0.4413509753230788
eurwig,MN,0.7522647850430341,0.5175333333333333,1.1218,postbreeding_migration,0.5005,,,,50.05,0.3137187822907431,common,31.371878229074312,,peak_abundance_with_occupancy_days_modifiers,0.5005
comrav,MN,0.7456447495176992,1.1078,1.1078,resident,0.9995,0.0381,0.0504,365.0,99.95,0.3109580130442993,common,31.095801304429934,,peak_abundance_with_occupancy_days_modifiers,0.9995
grecor,MN,0.7427465410512294,0.503725,1.1017,postbreeding_migration,0.571,0.0606,0.0604,70.0,57.099999999999994,0.30974936623668137,common,30.974936623668135,,peak_abundance_with_occupancy_days_modifiers,0.571
gragoo,MN,0.7370683676178735,0.5705666666666668,1.0898,breeding,0.3621,0.1199,0.1184,91.0,36.21,0.3073813839908473,common,30.73813839908473,,peak_abundance_with_occupancy_days_modifiers,0.3621
compoc,MN,0.6968403523975629,0.7191000000000001,1.0074,breeding,0.2921,0.0762,0.2273,112.0,29.21,0.2906049986012702,common,29.06049986012702,,peak_abundance_with_occupancy_days_modifiers,0.2921
whiwag,MN,0.6755940213123561,0.6355666666666666,0.9652,postbreeding_migration,0.9999,0.0441,0.0465,84.0,99.99,0.2817445903398151,fairly_common,28.17445903398151,,peak_abundance_with_occupancy_days_modifiers,0.9999
laplon,MN,0.6741172546531398,0.7101000000000001,0.9623,nonbreeding,0.2206,,,,22.06,0.28112873080834644,fairly_common,28.112873080834643,,peak_abundance_with_occupancy_days_modifiers,0.2206
comswi,MN,0.6478882741543304,0.6598,0.9115,breeding,0.9301,0.0847,0.0596,70.0,93.01,0.2701903963463081,fairly_common,27.019039634630808,,peak_abundance_with_occupancy_days_modifiers,0.9301
skylar,MN,0.6474696670632927,0.5839666666666666,0.9107,postbreeding_migration,0.9424,0.0716,0.081,154.0,94.24,0.2700158236300655,fairly_common,27.00158236300655,,peak_abundance_with_occupancy_days_modifiers,0.9424
eurmag1,MN,0.6326006806919116,0.8825,0.8825,resident,0.863,0.08,0.1033,365.0,86.3,0.2638149746855539,common,26.38149746855539,,peak_abundance_with_occupancy_days_modifiers,0.863
tufduc,MN,0.6244935372428972,0.54505,0.8673,postbreeding_migration,0.3931,0.0992,0.1994,84.0,39.31,0.26043403326539205,fairly_common,26.043403326539206,,peak_abundance_with_occupancy_days_modifiers,0.3931
litbun,MN,0.6197697107551698,0.4489666666666667,0.8585,postbreeding_migration,0.9974,0.0269,0.0098,21.0,99.74,0.2584640446085419,rare,25.84640446085419,rare,peak_abundance_with_occupancy_days_modifiers,0.9974
bahgoo,MN,0.6022920622158591,0.4311666666666667,0.8263,breeding,0.3855,,,,38.550000000000004,0.2511752990417206,fairly_common,25.11752990417206,,peak_abundance_with_occupancy_days_modifiers,0.3855
carcro1,MN,0.5497963056640627,0.580275,0.7329,prebreeding_migration,0.9578,0.1405,0.1282,105.0,95.78,0.22928286814729992,fairly_common,22.928286814729994,,peak_abundance_with_occupancy_days_modifiers,0.9578
graher1,MN,0.5250243431658036,0.38933333333333336,0.6905,postbreeding_migration,0.6407,0.0324,0.0664,98.0,64.07000000000001,0.21895215738637927,fairly_common,21.895215738637926,,peak_abundance_with_occupancy_days_modifiers,0.6407
rook1,MN,0.5082623413628259,0.49085,0.6624,nonbreeding,0.3801,0.0888,0.0387,147.0,38.01,0.21196185968942585,fairly_common,21.196185968942586,,peak_abundance_with_occupancy_days_modifiers,0.3801
comshe,MN,0.5063355584931258,0.4589666666666667,0.6592,prebreeding_migration,0.309,,,,30.9,0.2111583288215196,fairly_common,21.11583288215196,,peak_abundance_with_occupancy_days_modifiers,0.309
norpin,MN,0.4619084515313758,0.3028666666666667,0.5871,prebreeding_migration,0.4504,0.0499,0.0333,84.0,45.04,0.1926307861612002,fairly_common,19.26307861612002,,peak_abundance_with_occupancy_days_modifiers,0.4504
rebcho1,MN,0.4451985103267644,0.5608,0.5608,resident,0.5242,0.1633,0.1183,365.0,52.42,0.18566219942008255,common,18.566219942008257,,peak_abundance_with_occupancy_days_modifiers,0.5242
cinvul1,MN,0.43728672043112043,0.5485,0.5485,breeding,0.9523,0.2022,0.3929,70.0,95.23,0.18236272675945597,fairly_common,18.236272675945596,,peak_abundance_with_occupancy_days_modifiers,0.9523
whoswa,MN,0.4184471423313334,0.346,0.5196,postbreeding_migration,0.5804,0.0967,0.0244,49.0,58.040000000000006,0.17450601245107797,fairly_common,17.450601245107798,,peak_abundance_with_occupancy_days_modifiers,0.5804
comgol,MN,0.41118206843739347,0.41076666666666667,0.5086,prebreeding_migration,0.3479,0.0438,0.1135,70.0,34.79,0.17147624131121428,fairly_common,17.14762413112143,,peak_abundance_with_occupancy_days_modifiers,0.3479
eursta,MN,0.4034631054374913,0.28305,0.497,postbreeding_migration,0.287,0.0253,0.0031,126.0,28.7,0.16825718371204978,fairly_common,16.825718371204978,,peak_abundance_with_occupancy_days_modifiers,0.287
isawhe1,MN,0.3498114439173297,0.24053333333333335,0.4188,breeding,0.9206,0.1327,0.1663,14.0,92.06,0.14588270300441264,rare,14.588270300441264,rare,peak_abundance_with_occupancy_days_modifiers,0.9206
norsho,MN,0.3484008074864867,0.2931333333333333,0.4168,prebreeding_migration,0.5243,0.0607,0.0814,91.0,52.43,0.14529442192022804,fairly_common,14.529442192022804,,peak_abundance_with_occupancy_days_modifiers,0.5243
norwhe,MN,0.34337691579474267,0.34185,0.4097,breeding,0.7955,0.0726,0.1174,35.0,79.55,0.14319929635376358,fairly_common,14.319929635376358,,peak_abundance_with_occupancy_days_modifiers,0.7955
taifly1,MN,0.33839895074348864,0.3731,0.4027,prebreeding_migration,0.9828,,,,98.28,0.1411233236840128,fairly_common,14.112332368401281,,peak_abundance_with_occupancy_days_modifiers,0.9828
daured1,MN,0.3281520050054942,0.23010000000000003,0.3884,prebreeding_migration,0.9695,0.1827,0.144,112.0,96.95,0.1368500153981025,fairly_common,13.685001539810248,,peak_abundance_with_occupancy_days_modifiers,0.9695
bkwsti,MN,0.3273594121045428,0.2845333333333333,0.3873,postbreeding_migration,0.3273,0.0326,0.0284,84.0,32.73,0.13651947848519283,fairly_common,13.651947848519283,,peak_abundance_with_occupancy_days_modifiers,0.3273
comros,MN,0.3088073540667292,0.26793333333333336,0.3618,prebreeding_migration,0.9951,0.0556,0.0931,105.0,99.51,0.12878266935584207,fairly_common,12.878266935584207,,peak_abundance_with_occupancy_days_modifiers,0.9951
comter,MN,0.3070434259304008,0.24806666666666666,0.3594,breeding,0.3602,0.0594,0.0431,70.0,36.02,0.12804705418684847,fairly_common,12.804705418684847,,peak_abundance_with_occupancy_days_modifiers,0.3602
palwar5,MN,0.2917736903550345,0.1973,0.3388,postbreeding_migration,0.9588,0.1771,0.1607,77.0,95.88,0.12167907984343758,fairly_common,12.167907984343758,,peak_abundance_with_occupancy_days_modifiers,0.9588
citwag,MN,0.2889312918522129,0.26226666666666665,0.335,postbreeding_migration,0.9256,0.0859,0.1271,84.0,92.56,0.12049370759842516,fairly_common,12.049370759842516,,peak_abundance_with_occupancy_days_modifiers,0.9256
hawfin,MN,0.28457725749830215,0.13319999999999999,0.3292,prebreeding_migration,0.9942,,,,99.42,0.11867793423947046,fairly_common,11.867793423947045,,peak_abundance_with_occupancy_days_modifiers,0.9942
woosan,MN,0.28322214172968757,0.1338,0.3274,postbreeding_migration,0.5754,0.0221,0.0421,98.0,57.54,0.1181128070698284,fairly_common,11.811280706982838,,peak_abundance_with_occupancy_days_modifiers,0.5754
duswar,MN,0.2726953301434575,0.21996666666666664,0.3135,postbreeding_migration,0.9972,0.1109,0.0911,56.0,99.72,0.1137227856599504,fairly_common,11.37227856599504,,peak_abundance_with_occupancy_days_modifiers,0.9972
twite1,MN,0.26620304077465673,0.165575,0.305,postbreeding_migration,0.4696,0.2661,0.1756,63.0,46.96,0.11101529069866121,fairly_common,11.101529069866121,,peak_abundance_with_occupancy_days_modifiers,0.4696
eaywag,MN,0.2659731292895654,0.16413333333333333,0.3047,postbreeding_migration,0.6825,0.1004,0.0817,91.0,68.25,0.11091941016221768,fairly_common,11.091941016221767,,peak_abundance_with_occupancy_days_modifiers,0.6825
grywag,MN,0.26251809878823135,0.18256666666666668,0.3002,postbreeding_migration,0.9989,0.0641,0.1139,105.0,99.89,0.10947855052980264,fairly_common,10.947855052980264,,peak_abundance_with_occupancy_days_modifiers,0.9989
pieavo1,MN,0.2614116877404143,0.18482432843412858,0.2987622398791382,postbreeding_migration,0.1495028503074077,0.1288602911239689,0.126852904533908,77.0,14.95028503074077,0.10901714128463333,fairly_common,10.901714128463333,,peak_abundance_with_occupancy_days_modifiers,0.1495028503074077
olbpip,MN,0.2541769938943827,0.130625,0.2894,postbreeding_migration,0.9838,0.0847,0.078,119.0,98.38,0.10600003960880051,fairly_common,10.600003960880052,,peak_abundance_with_occupancy_days_modifiers,0.9838
chukar,MN,0.24137631957526948,0.273,0.273,resident,0.3887,0.1445,0.12,365.0,38.87,0.10066174378565777,fairly_common,10.066174378565778,,peak_abundance_with_occupancy_days_modifiers,0.3887
comred1,MN,0.23515117043848682,0.1891333333333333,0.2651,postbreeding_migration,0.5189,0.0768,0.1024,126.0,51.89,0.09806565495417265,fairly_common,9.806565495417265,,peak_abundance_with_occupancy_days_modifiers,0.5189
bktgod,MN,0.22673708682433993,0.1554,0.2545,breeding,0.3434,0.062,0.1239,56.0,34.339999999999996,0.09455670954292142,fairly_common,9.455670954292142,,peak_abundance_with_occupancy_days_modifiers,0.3434
grcgre1,MN,0.2239432314847741,0.13863333333333333,0.251,postbreeding_migration,0.196,0.0779,0.0859,112.0,19.6,0.09339158136936887,fairly_common,9.339158136936888,,peak_abundance_with_occupancy_days_modifiers,0.196
lirplo,MN,0.22322354811438042,0.22543333333333335,0.2501,postbreeding_migration,0.6781,0.0613,0.0842,98.0,67.81,0.09309145009234536,fairly_common,9.309145009234536,,peak_abundance_with_occupancy_days_modifiers,0.6781
eursis,MN,0.21623977499741528,0.10046666666666666,0.2414,postbreeding_migration,0.9984,0.0611,0.0205,84.0,99.83999999999999,0.09017899048821307,fairly_common,9.017899048821306,,peak_abundance_with_occupancy_days_modifiers,0.9984
eurkes,MN,0.21252739885102048,0.139225,0.2368,postbreeding_migration,1.0,0.0501,0.0636,98.0,100.0,0.08863080938601572,fairly_common,8.863080938601572,,peak_abundance_with_occupancy_days_modifiers,1.0
hoopoe,MN,0.21196126191164041,0.1877,0.2361,postbreeding_migration,0.9512,0.0433,0.045,84.0,95.12,0.0883947119443124,fairly_common,8.83947119443124,,peak_abundance_with_occupancy_days_modifiers,0.9512
steeag1,MN,0.211313855560631,0.11566666666666665,0.2353,postbreeding_migration,0.9935,0.3427,0.4463,84.0,99.35000000000001,0.08812472252552773,fairly_common,8.812472252552773,,peak_abundance_with_occupancy_days_modifiers,0.9935
comcuc,MN,0.20465366200036506,0.13186666666666666,0.2271,breeding,0.8235,0.0437,0.0534,84.0,82.35,0.08534720607774167,fairly_common,8.534720607774167,,peak_abundance_with_occupancy_days_modifiers,0.8235
asbfly,MN,0.2034305200041898,0.10026666666666667,0.2256,prebreeding_migration,0.9496,0.1095,0.1806,49.0,94.96,0.08483711624602526,fairly_common,8.483711624602526,,peak_abundance_with_occupancy_days_modifiers,0.9496
amufal1,MN,0.1929088317763121,0.14871026712514154,0.2127722221896652,breeding,0.6236356774079401,0.2589146503073564,0.2082637348798782,63.0,62.36356774079401,0.08044923144253309,fairly_common,8.044923144253309,,peak_abundance_with_occupancy_days_modifiers,0.6236356774079401
spored,MN,0.19086826276242105,0.07913333333333333,0.2103,postbreeding_migration,0.4701,0.0592,0.1432,161.0,47.010000000000005,0.07959824806680386,fairly_common,7.959824806680387,,peak_abundance_with_occupancy_days_modifiers,0.4701
leswhi4,MN,0.18747492203474936,0.11809999999999998,0.2062,postbreeding_migration,0.9975,0.0681,0.0755,91.0,99.75,0.07818311506822563,fairly_common,7.818311506822563,,peak_abundance_with_occupancy_days_modifiers,0.9975
arcwar1,MN,0.18307127568450057,0.12013333333333333,0.2009,prebreeding_migration,0.9754,0.1014,0.0278,21.0,97.54,0.07634665189979478,rare,7.634665189979478,rare,peak_abundance_with_occupancy_days_modifiers,0.9754
eucdov,MN,0.180486540848225,0.1978,0.1978,resident,0.4534,0.0452,0.0113,365.0,45.34,0.07526873374982516,uncommon,7.526873374982516,,peak_abundance_with_occupancy_days_modifiers,0.4534
crelar1,MN,0.17697395046735934,0.1936,0.1936,breeding,0.4963,0.0527,0.0126,77.0,49.63,0.07380386978319897,uncommon,7.380386978319898,,peak_abundance_with_occupancy_days_modifiers,0.4963
grnsan,MN,0.1716818216896095,0.13063333333333335,0.1873,postbreeding_migration,0.6791,0.0694,0.0824,140.0,67.91,0.07159688066328888,uncommon,7.159688066328888,,peak_abundance_with_occupancy_days_modifiers,0.6791
brnshr,MN,0.17050197998861247,0.11403333333333333,0.1859,prebreeding_migration,0.996,0.1099,0.1088,63.0,99.6,0.07110484845722002,uncommon,7.110484845722002,,peak_abundance_with_occupancy_days_modifiers,0.996
pagplo,MN,0.16889853646181394,0.0658,0.184,postbreeding_migration,0.1666,0.0511,0.1629,84.0,16.66,0.0704361605687255,uncommon,7.043616056872549,,peak_abundance_with_occupancy_days_modifiers,0.1666
wiltit1,MN,0.1678845089961851,0.1828,0.1828,resident,0.1958,0.041,0.0718,365.0,19.580000000000002,0.07001327826976449,uncommon,7.001327826976449,,peak_abundance_with_occupancy_days_modifiers,0.1958
gargan,MN,0.1666155269723372,0.1003,0.1813,prebreeding_migration,0.3348,0.0379,0.0383,98.0,33.48,0.0694840716616848,uncommon,6.948407166168479,,peak_abundance_with_occupancy_days_modifiers,0.3348
eurspo1,MN,0.16466662155523387,0.13506666666666667,0.179,breeding,0.2966,0.1468,0.1221,49.0,29.659999999999997,0.06867131497493055,uncommon,6.867131497493055,,peak_abundance_with_occupancy_days_modifiers,0.2966
comsni,MN,0.16390297126993658,0.08876666666666666,0.1781,postbreeding_migration,0.6585,0.0354,0.0525,105.0,65.85,0.06835284807024117,uncommon,6.835284807024117,,peak_abundance_with_occupancy_days_modifiers,0.6585
eargre,MN,0.16211884947643518,0.11793333333333333,0.176,breeding,0.5651,0.0989,0.0682,70.0,56.510000000000005,0.06760881149210515,uncommon,6.760881149210515,,peak_abundance_with_occupancy_days_modifiers,0.5651
eyethr,MN,0.15614868248993136,0.10443333333333334,0.169,prebreeding_migration,0.916,,,,91.60000000000001,0.06511905847652141,uncommon,6.511905847652141,,peak_abundance_with_occupancy_days_modifiers,0.916
leskes1,MN,0.15022871324669096,0.1175,0.1621,breeding,0.5794,0.1714,0.2042,14.0,57.940000000000005,0.06265023954585486,rare,6.2650239545854856,rare,peak_abundance_with_occupancy_days_modifiers,0.5794
falduc,MN,0.14758756311426505,0.07861211471003084,0.1590347690804698,postbreeding_migration,0.1737830452937583,0.1982943595011806,0.1647933633920167,56.0,17.37830452937583,0.06154879439001886,uncommon,6.154879439001886,,peak_abundance_with_occupancy_days_modifiers,0.1737830452937583
comsan,MN,0.13871791931182267,0.1079,0.1488,postbreeding_migration,0.8009,0.0447,0.0465,84.0,80.08999999999999,0.05784986562400506,uncommon,5.784986562400507,,peak_abundance_with_occupancy_days_modifiers,0.8009
rocpig,MN,0.13810840211762923,0.1481,0.1481,resident,0.1501,0.0136,0.0046,365.0,15.010000000000002,0.05759567721089631,uncommon,5.759567721089631,,peak_abundance_with_occupancy_days_modifiers,0.1501
