species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
litegr,MO,2.7627340743088564,9.24305,14.8431,breeding,0.7807,0.0,0.0002,84.0,78.07,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7807
pieavo1,MO,1.6730936655612152,2.012345813164849,4.328627314744509,prebreeding_migration,0.1944135045941819,3.707823507601038e-05,0.00016351608512768173,70.0,19.441350459418192,0.6977342524257518,common,69.77342524257519,,peak_abundance_with_occupancy_days_modifiers,0.1944135045941819
livbul1,MO,1.6468878278809385,3.4463,4.1908,postbreeding_migration,0.7086,0.0001,0.0001,112.0,70.86,0.6868055692686702,common,68.68055692686703,,peak_abundance_with_occupancy_days_modifiers,0.7086
eutspa,MO,1.468841622087456,3.3442,3.3442,resident,0.635,0.0,0.0,365.0,63.5,0.6125545342826009,common,61.25545342826009,,peak_abundance_with_occupancy_days_modifiers,0.635
bcnher,MO,1.31705145837773,1.7486,2.7324,prebreeding_migration,0.6306,0.0,0.0001,112.0,63.06,0.5492531193160559,common,54.92531193160559,,peak_abundance_with_occupancy_days_modifiers,0.6306
cremyn,MO,1.3106274821944757,2.7085,2.7085,resident,0.8535,0.0001,0.0002,365.0,85.35000000000001,0.546574113165901,common,54.6574113165901,,peak_abundance_with_occupancy_days_modifiers,0.8535
swiwhe1,MO,1.2935209609675358,1.7168750000000002,2.6456,nonbreeding,0.7086,0.0,0.0001,147.0,70.86,0.5394401397096806,common,53.944013970968065,,peak_abundance_with_occupancy_days_modifiers,0.7086
gubter2,MO,1.2858668599465388,1.3128442213493137,2.617802726596304,prebreeding_migration,0.2295529219534959,1.9096724911677647e-05,0.00031401167203169977,70.0,22.95529219534959,0.5362481316566914,common,53.62481316566914,,peak_abundance_with_occupancy_days_modifiers,0.2295529219534959
whssta2,MO,1.0564699784701423,0.7083333333333334,1.8762,postbreeding_migration,0.4431,0.0003,0.0021,84.0,44.31,0.4405822015893254,common,44.058220158932535,,peak_abundance_with_occupancy_days_modifiers,0.4431
greegr,MO,1.0069355000962057,0.87985,1.7372,nonbreeding,0.6816,0.0,0.0,133.0,68.16,0.41992471961509,common,41.992471961509,,peak_abundance_with_occupancy_days_modifiers,0.6816
spodov,MO,0.9800164227546999,1.6645,1.6645,resident,0.7086,0.0,0.0,365.0,70.86,0.4086985924164277,common,40.86985924164277,,peak_abundance_with_occupancy_days_modifiers,0.7086
barswa,MO,0.938873803874413,0.764575,1.5571,prebreeding_migration,0.7814,0.0,0.0,126.0,78.14,0.3915407876753253,common,39.15407876753253,,peak_abundance_with_occupancy_days_modifiers,0.7814
rewbul,MO,0.879917161759796,1.4107,1.4107,resident,0.3443,0.0,0.0001,365.0,34.43,0.3669539582239231,common,36.695395822392314,,peak_abundance_with_occupancy_days_modifiers,0.3443
bkcsta1,MO,0.775648402071689,1.172,1.172,resident,0.6543,0.0001,0.0004,365.0,65.42999999999999,0.3234705080203517,common,32.34705080203517,,peak_abundance_with_occupancy_days_modifiers,0.6543
kenplo1,MO,0.7643043748762733,0.60835,1.1475,postbreeding_migration,0.0898,0.0,0.0,77.0,8.98,0.3187396812306659,common,31.873968123066593,,peak_abundance_with_occupancy_days_modifiers,0.0898
magrob,MO,0.7584198071761413,1.1349,1.1349,resident,0.7086,0.0,0.0001,365.0,70.86,0.31628562589018194,common,31.628562589018195,,peak_abundance_with_occupancy_days_modifiers,0.7086
caster1,MO,0.7260499002356531,0.38399999999999995,1.0669,prebreeding_migration,0.5366,0.0,0.0002,63.0,53.66,0.30278632618860984,common,30.278632618860986,,peak_abundance_with_occupancy_days_modifiers,0.5366
graher1,MO,0.6651591440197765,0.5250250000000001,0.9448,nonbreeding,0.4697,0.0,0.0,119.0,46.97,0.27739290850827203,fairly_common,27.739290850827203,,peak_abundance_with_occupancy_days_modifiers,0.4697
whiter2,MO,0.5924275716172119,0.32469418199467115,0.8083730463223912,prebreeding_migration,0.4536315107197579,2.2809698683880386e-05,1.8848305731848116e-05,56.0,45.363151071975786,0.24706148693718488,fairly_common,24.70614869371849,,peak_abundance_with_occupancy_days_modifiers,0.4536315107197579
chpher1,MO,0.5513531749420586,0.5022249999999999,0.7356,prebreeding_migration,0.7271,0.0,0.0001,147.0,72.71,0.22993213306543753,fairly_common,22.99321330654375,,peak_abundance_with_occupancy_days_modifiers,0.7271
blakit1,MO,0.513841072726448,0.5201,0.6717,prebreeding_migration,0.7814,0.0,0.0,147.0,78.14,0.21428837137111068,fairly_common,21.428837137111067,,peak_abundance_with_occupancy_days_modifiers,0.7814
