species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
wfwduc1,MR,1.367900257374773,2.92709614112259,2.92709614112259,resident,0.0919515238238121,0.0033467094053814,0.052481861157576,365.0,9.19515238238121,0.5704587155628436,common,57.045871556284354,,peak_abundance_with_occupancy_days_modifiers,0.0919515238238121
dunlin,MR,1.20670346492681,0.9066875975083143,2.3424479741679414,nonbreeding,0.0642037542755831,0.0203842679602553,0.0482315494600636,119.0,6.42037542755831,0.5032344317183518,common,50.32344317183518,,peak_abundance_with_occupancy_days_modifiers,0.0642037542755831
lbbgul,MR,0.8881721604405036,0.6063349141109755,1.4306826903843826,nonbreeding,0.0387117272346719,0.0083791779565694,0.0468483886751857,119.0,3.87117272346719,0.3703965600649426,rare,37.03965600649426,rare,peak_abundance_with_occupancy_days_modifiers,0.0387117272346719
grwpel1,MR,0.8333335763876814,0.6353962384919741,1.3009764501550878,nonbreeding,0.0334199238096902,0.0244697115133924,0.1318639059452805,98.0,3.34199238096902,0.3475270942150746,rare,34.75270942150746,rare,peak_abundance_with_occupancy_days_modifiers,0.0334199238096902
barswa,MR,0.756924280752954,0.4513344884023697,1.1317095869073177,prebreeding_migration,0.5357889748932168,0.0191853665918683,0.0073885965727023,112.0,53.578897489321676,0.315661942929482,common,31.566194292948204,,peak_abundance_with_occupancy_days_modifiers,0.5357889748932168
banswa,MR,0.6989534406817283,0.39071951029902885,1.011646298243141,nonbreeding,0.0611711294404022,0.0255814901666226,0.1662716834072743,91.0,6.11711294404022,0.2914862248617063,common,29.148622486170627,,peak_abundance_with_occupancy_days_modifiers,0.0611711294404022
norsho,MR,0.6978224027569837,0.5118081348651481,1.0093723361997244,nonbreeding,0.023073737112674,0.0011934483535238,0.0038111152515524,63.0,2.3073737112673998,0.29101454541115845,rare,29.101454541115846,rare,peak_abundance_with_occupancy_days_modifiers,0.023073737112674
gargan,MR,0.6748681928734455,0.6335503963247472,0.9637741194867656,nonbreeding,0.0294583088774245,0.0057860271816756,0.0424410128876069,70.0,2.94583088774245,0.2814418963701725,rare,28.14418963701725,rare,peak_abundance_with_occupancy_days_modifiers,0.0294583088774245
eaywag1,MR,0.6403791150212896,0.47056666666666663,0.8972,postbreeding_migration,0.9951,0.0319,0.0501,119.0,99.51,0.26705883375547085,fairly_common,26.705883375547085,,peak_abundance_with_occupancy_days_modifiers,0.9951
lesfla1,MR,0.43318055410043504,0.3563780642891238,0.5421546379085711,breeding,0.0140846725895749,0.0238223484529413,0.0044297046116919,21.0,1.40846725895749,0.18065032239498452,rare,18.065032239498453,rare,peak_abundance_with_occupancy_days_modifiers,0.0140846725895749
corshe,MR,0.4318490495452506,0.28689499765959425,0.5401026184232126,postbreeding_migration,0.0194980124112354,0.000353305336192119,0.0004431502435971078,35.0,1.94980124112354,0.1800950418661437,rare,18.009504186614368,rare,peak_abundance_with_occupancy_days_modifiers,0.0194980124112354
eubeat1,MR,0.42356225274613934,0.18003678149896848,0.5273928354019,prebreeding_migration,0.6806589680384452,0.0337824416325797,0.0157911283161375,49.0,68.06589680384451,0.17663917917976352,fairly_common,17.663917917976352,,peak_abundance_with_occupancy_days_modifiers,0.6806589680384452
leskes1,MR,0.41402983027678636,0.4758206835997404,0.5129022565043388,prebreeding_migration,0.0695908899897244,0.0022516919877254,0.0668184236562226,35.0,6.95908899897244,0.17266385024130304,fairly_common,17.266385024130305,,peak_abundance_with_occupancy_days_modifiers,0.0695908899897244
norwhe,MR,0.40839223348171766,0.330845057192294,0.5043971203820838,prebreeding_migration,0.8555680239282631,0.1682886584571253,0.3036347912911268,98.0,85.55680239282631,0.17031278976796985,fairly_common,17.031278976796983,,peak_abundance_with_occupancy_days_modifiers,0.8555680239282631
grefla3,MR,0.3715229988635579,0.2579534770649963,0.4499411927176068,nonbreeding,0.0177093741947494,0.0205147663172598,0.020205250364628,77.0,1.77093741947494,0.15493712468517706,rare,15.493712468517707,rare,peak_abundance_with_occupancy_days_modifiers,0.0177093741947494
grecor,MR,0.3662559476435522,0.19215053289364034,0.4423243549356755,nonbreeding,0.0321555635597748,0.0019964240677302,0.0035570941178576,133.0,3.2155563559774802,0.1527405937191441,rare,15.274059371914412,rare,peak_abundance_with_occupancy_days_modifiers,0.0321555635597748
caster1,MR,0.3597483055311322,0.1568590501379311,0.432968698871606,nonbreeding,0.0342609815134675,0.0093464359036243,0.056300210599748,105.0,3.42609815134675,0.15002669616646844,rare,15.002669616646843,rare,peak_abundance_with_occupancy_days_modifiers,0.0342609815134675
colpra,MR,0.3394609301788983,0.16960710089635922,0.4041904298168812,postbreeding_migration,0.0366047342998028,0.0119306643328203,0.033530362999647,98.0,3.66047342998028,0.14156620350760507,rare,14.156620350760507,rare,peak_abundance_with_occupancy_days_modifiers,0.0366047342998028
