species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
carmar1,MS,3.0673221337528114,17.539522578233274,20.48429351017393,breeding,0.4827586206896552,0.0017616710708443,0.0381517187497311,203.0,48.275862068965516,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4827586206896552
manshe,MS,2.104878459707031,7.206105576506976,7.206105576506976,prebreeding_migration,0.3793103448275862,5.405644475677057e-05,9.83657061999172e-05,49.0,37.93103448275862,0.877802497709007,abundant,87.7802497709007,,peak_abundance_with_occupancy_days_modifiers,0.3793103448275862
laugul,MS,1.876990354722777,2.439773814431552,5.533810788187488,breeding,0.6896551724137931,0.0004633490872022982,0.0002856201086742617,77.0,68.96551724137932,0.782765776310284,abundant,78.2765776310284,,peak_abundance_with_occupancy_days_modifiers,0.6896551724137931
banana,MS,1.5604613332310981,3.761017154003012,3.761017154003012,resident,0.6896551724137931,4.2035263382451536e-05,0.0008359710104278832,365.0,68.96551724137932,0.6507629215224325,common,65.07629215224325,,peak_abundance_with_occupancy_days_modifiers,0.6896551724137931
zendov,MS,1.4602463523433125,3.3070204422391694,3.3070204422391694,resident,0.6896551724137931,0.0015741833923652,0.0093758826118977,365.0,68.96551724137932,0.6089700283862642,common,60.89700283862642,,peak_abundance_with_occupancy_days_modifiers,0.6896551724137931
peethr1,MS,1.2691527865338819,2.5578370376907547,2.5578370376907547,resident,0.6206896551724138,0.0111731843575419,0.0343526967416101,365.0,62.06896551724138,0.5292778216509707,common,52.92778216509707,,peak_abundance_with_occupancy_days_modifiers,0.6206896551724138
scnpig1,MS,0.9923496200060438,1.6975652852962757,1.6975652852962757,resident,0.6896551724137931,0.0012987012987012,0.0036116364397058,365.0,68.96551724137932,0.41384193516006246,common,41.38419351600625,,peak_abundance_with_occupancy_days_modifiers,0.6896551724137931
bkfgra,MS,0.9776583972489163,1.658224442909504,1.658224442909504,resident,0.6551724137931034,0.0014089729328883,0.0036230821081659,365.0,65.51724137931035,0.40771521940071137,common,40.77152194007114,,peak_abundance_with_occupancy_days_modifiers,0.6551724137931034
magfri,MS,0.9642902024485431,1.277544038562939,1.6229252496670032,breeding,0.7586206896551724,0.0005181481385528123,0.0001984681086331511,140.0,75.86206896551724,0.4021402491540865,common,40.21402491540865,,peak_abundance_with_occupancy_days_modifiers,0.7586206896551724
anchum1,MS,0.754126046075877,1.125752901208812,1.125752901208812,resident,0.6206896551724138,0.0172579098753595,0.028309894261248,365.0,62.06896551724138,0.3144949884303343,common,31.44949884303343,,peak_abundance_with_occupancy_days_modifiers,0.6206896551724138
bkwvir,MS,0.6451718201471037,0.556136341765523,0.9063145443797112,breeding,0.6896551724137931,0.0025859839668994,0.0024322067691662,105.0,68.96551724137932,0.2690575470354804,fairly_common,26.90575470354804,,peak_abundance_with_occupancy_days_modifiers,0.6896551724137931
brnpel,MS,0.6341466482887098,0.7567848564478858,0.8854125347630731,nonbreeding,0.3793103448275862,0.000610016470444702,8.994278421604886e-05,161.0,37.93103448275862,0.264459693249511,fairly_common,26.4459693249511,,peak_abundance_with_occupancy_days_modifiers,0.3793103448275862
grykin,MS,0.5855507625967673,0.6968187972389419,0.7959798718320912,breeding,0.5517241379310345,0.0005724098454493417,0.0006221848763117631,98.0,55.172413793103445,0.24419363482602097,fairly_common,24.419363482602098,,peak_abundance_with_occupancy_days_modifiers,0.5517241379310345
