species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
yelgul1,MT,2.6500043347692315,11.200099999999999,13.1541,breeding,0.918,0.001,0.0018,238.0,91.8,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.918
bkhgul,MT,3.056634503892438,10.230766666666666,20.2559,nonbreeding,0.623,0.0003,0.0006,105.0,62.3,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.623
blkter,MT,2.509395989687358,11.2975,11.2975,postbreeding_migration,0.3607,0.0,0.0039,21.0,36.07,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.3607
eursta,MT,3.77797262100782,17.129974999999998,42.7273,postbreeding_migration,1.0,0.0,0.0001,70.0,100.0,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,1.0
spaspa1,MT,2.2743399275537435,8.3792,8.7215,breeding,1.0,,,,100.0,0.9484734188993846,abundant,94.84734188993846,,peak_abundance_with_occupancy_days_modifiers,1.0
barswa,MT,2.1879483525558228,4.000066666666666,7.9169,prebreeding_migration,1.0,0.0,0.0,119.0,100.0,0.9124453337790948,abundant,91.24453337790948,,peak_abundance_with_occupancy_days_modifiers,1.0
comswi,MT,1.7389386930444724,2.351566666666667,4.6913,prebreeding_migration,1.0,0.0,0.0001,98.0,100.0,0.7251937617004897,common,72.51937617004897,,peak_abundance_with_occupancy_days_modifiers,1.0
eurrob1,MT,1.4972094216910459,1.645525,3.4692,nonbreeding,1.0,0.0001,0.0003,119.0,100.0,0.6243848255907296,common,62.43848255907296,,peak_abundance_with_occupancy_days_modifiers,1.0
medgul1,MT,1.438269922710233,1.229125,3.2134,nonbreeding,0.6393,0.0034,0.0142,112.0,63.93,0.5998051453814143,common,59.98051453814143,,peak_abundance_with_occupancy_days_modifiers,0.6393
meapip1,MT,1.2924780649156058,1.8793999999999997,2.6418,nonbreeding,1.0,0.0001,0.0004,98.0,100.0,0.5390052182751374,common,53.900521827513735,,peak_abundance_with_occupancy_days_modifiers,1.0
eubeat1,MT,1.2303712781804668,1.3254,2.4225,postbreeding_migration,0.9508,0.0,0.0,77.0,95.08,0.5131046764793067,common,51.31046764793067,,peak_abundance_with_occupancy_days_modifiers,0.9508
grecor,MT,1.1968575508403347,0.8327999999999999,2.3097,nonbreeding,0.4918,0.0,0.0001,98.0,49.18,0.4991283666211112,common,49.91283666211112,,peak_abundance_with_occupancy_days_modifiers,0.4918
rocpig,MT,1.0896388138690014,1.9732,1.9732,resident,0.3443,0.0,0.0,365.0,34.43,0.45441468033646887,common,45.441468033646885,,peak_abundance_with_occupancy_days_modifiers,0.3443
comchi1,MT,1.0602871743464417,1.2276666666666667,1.8872,nonbreeding,1.0,0.0,0.0002,98.0,100.0,0.44217409591415335,common,44.21740959141533,,peak_abundance_with_occupancy_days_modifiers,1.0
sarwar1,MT,1.0572693251337273,1.6276,1.8785,prebreeding_migration,0.8197,0.0003,0.0008,161.0,81.97,0.4409155550400172,common,44.091555504001725,,peak_abundance_with_occupancy_days_modifiers,0.8197
sonthr1,MT,1.0320094160001614,0.7473,1.8067,postbreeding_migration,1.0,0.0001,0.0001,28.0,100.0,0.4303813547268871,rare,43.03813547268871,rare,peak_abundance_with_occupancy_days_modifiers,1.0
comhom1,MT,1.0154992650818528,0.9872016152072793,1.7607413951331916,prebreeding_migration,0.834936713107514,4.326003891522631e-05,0.0001624167934702591,105.0,83.49367131075141,0.4234960870066496,common,42.34960870066496,,peak_abundance_with_occupancy_days_modifiers,0.834936713107514
whiwag,MT,0.9953606588576351,1.2651999999999999,1.7057,nonbreeding,1.0,0.0,0.0,77.0,100.0,0.415097635893013,common,41.5097635893013,,peak_abundance_with_occupancy_days_modifiers,1.0
skylar,MT,0.9873827319815685,0.817275,1.6842,postbreeding_migration,0.8361,0.0001,0.0,77.0,83.61,0.41177058196927907,common,41.17705819692791,,peak_abundance_with_occupancy_days_modifiers,0.8361
blared1,MT,0.9317703027225414,1.1045333333333334,1.539,nonbreeding,1.0,0.0001,0.0004,84.0,100.0,0.3885783976024753,common,38.85783976024753,,peak_abundance_with_occupancy_days_modifiers,1.0
eugplo,MT,0.8880969975033731,0.6045333333333334,1.4305,nonbreeding,0.2459,0.0003,0.0001,21.0,24.59,0.37036521468552464,rare,37.036521468552465,rare,peak_abundance_with_occupancy_days_modifiers,0.2459
comcha,MT,0.8621301729147194,0.7457666666666666,1.3682,postbreeding_migration,0.7541,0.0,0.0,70.0,75.41,0.35953620772962436,common,35.95362077296244,,peak_abundance_with_occupancy_days_modifiers,0.7541
levshe1,MT,0.8456536522747143,0.8830499999999999,1.3295,breeding,0.7705,0.0053,0.0022,154.0,77.05,0.3526649649247722,common,35.266496492477216,,peak_abundance_with_occupancy_days_modifiers,0.7705
banswa,MT,0.8441500540964727,0.69205,1.326,prebreeding_migration,0.9016,,,,90.16,0.3520379157807589,common,35.20379157807589,,peak_abundance_with_occupancy_days_modifiers,0.9016
eaywag1,MT,0.8148779691310923,0.8092,1.2589,prebreeding_migration,1.0,0.0,0.0,91.0,100.0,0.33983050818567256,common,33.98305081856726,,peak_abundance_with_occupancy_days_modifiers,1.0
eurlin1,MT,0.7282247071726413,0.441225,1.0714,postbreeding_migration,0.5574,0.0001,0.0001,70.0,55.74,0.30369329112642807,common,30.369329112642806,,peak_abundance_with_occupancy_days_modifiers,0.5574
categr1,MT,0.6948342370567212,1.0033769607543943,1.0033769607543943,postbreeding_migration,1.0,7.558898940544725e-07,2.9822690054741073e-07,49.0,100.0,0.2897683835232061,common,28.976838352320613,,peak_abundance_with_occupancy_days_modifiers,1.0
gargan,MT,0.6112861540796248,0.8428,0.8428,prebreeding_migration,0.1311,0.0,0.0,42.0,13.11,0.25492612668035625,fairly_common,25.492612668035626,,peak_abundance_with_occupancy_days_modifiers,0.1311
stonec4,MT,0.5484103840932619,0.4858666666666667,0.7305,nonbreeding,0.9672,0.0001,0.0002,70.0,96.72,0.2287048939603025,fairly_common,22.87048939603025,,peak_abundance_with_occupancy_days_modifiers,0.9672
grefla3,MT,0.5463860206678304,0.6745467680019822,0.7270003825362221,nonbreeding,0.1510980916786596,0.00011640690680980406,7.260900554325609e-06,91.0,15.10980916786596,0.22786066883988296,fairly_common,22.786066883988294,,peak_abundance_with_occupancy_days_modifiers,0.1510980916786596
trepip,MT,0.5415100058969856,0.4689,0.7186,prebreeding_migration,1.0,,,,100.0,0.22582721273937761,fairly_common,22.58272127393776,,peak_abundance_with_occupancy_days_modifiers,1.0
spofly1,MT,0.5115653501009905,0.2876666666666667,0.6679,prebreeding_migration,1.0,0.0,0.0001,77.0,100.0,0.21333932132239783,fairly_common,21.333932132239784,,peak_abundance_with_occupancy_days_modifiers,1.0
zitcis1,MT,0.48710653714539787,0.6276,0.6276,resident,0.4754,0.0,0.0002,365.0,47.54,0.20313920406412878,fairly_common,20.313920406412876,,peak_abundance_with_occupancy_days_modifiers,0.4754
blackc1,MT,0.4105853108027358,0.3363333333333333,0.5077,nonbreeding,0.7049,0.0,0.0001,126.0,70.49,0.17122737404773233,fairly_common,17.122737404773233,,peak_abundance_with_occupancy_days_modifiers,0.7049
burthr,MT,0.3629054936893685,0.228425,0.4375,prebreeding_migration,0.541,0.0001,0.0007,119.0,54.1,0.15134334589427406,fairly_common,15.134334589427406,,peak_abundance_with_occupancy_days_modifiers,0.541
eurcoo,MT,0.3406065357596679,0.2043,0.4058,nonbreeding,0.1311,0.0,0.0,91.0,13.11,0.14204395814258233,fairly_common,14.204395814258234,,peak_abundance_with_occupancy_days_modifiers,0.1311
wemhar1,MT,0.31305737878300915,0.21989999999999998,0.3676,postbreeding_migration,0.8525,0.0,0.0001,98.0,85.25,0.1305550673268844,fairly_common,13.05550673268844,,peak_abundance_with_occupancy_days_modifiers,0.8525
bcnher,MT,0.2915495839782702,0.31605000000000005,0.3385,prebreeding_migration,0.9016,0.0,0.0,56.0,90.16,0.12158562022520211,fairly_common,12.158562022520211,,peak_abundance_with_occupancy_days_modifiers,0.9016
eupfly1,MT,0.2701034701774879,0.3101,0.3101,prebreeding_migration,1.0,0.0,0.0001,77.0,100.0,0.11264189610010539,fairly_common,11.264189610010538,,peak_abundance_with_occupancy_days_modifiers,1.0
eutdov,MT,0.2654364635044612,0.21519999999999997,0.304,prebreeding_migration,0.9016,0.0,0.0001,63.0,90.16,0.11069560314646015,fairly_common,11.069560314646015,,peak_abundance_with_occupancy_days_modifiers,0.9016
wlwwar,MT,0.25557201853354733,0.2265,0.2912,prebreeding_migration,0.9836,0.0,0.0,77.0,98.36,0.106581810070167,fairly_common,10.6581810070167,,peak_abundance_with_occupancy_days_modifiers,0.9836
norwhe,MT,0.24412195769940148,0.2672,0.2765,prebreeding_migration,0.7049,,,,70.49,0.10180676381855007,fairly_common,10.180676381855006,,peak_abundance_with_occupancy_days_modifiers,0.7049
woowar,MT,0.24169048860078787,0.14584999999999998,0.2734,prebreeding_migration,0.9836,0.0001,0.0002,77.0,98.36,0.10079276244568115,fairly_common,10.079276244568115,,peak_abundance_with_occupancy_days_modifiers,0.9836
dunnoc1,MT,0.22274347129287003,0.2495,0.2495,postbreeding_migration,0.9016,0.0001,0.0001,42.0,90.16,0.09289124250740355,fairly_common,9.289124250740354,,peak_abundance_with_occupancy_days_modifiers,0.9016
grewhi1,MT,0.21123290028837466,0.11954999999999999,0.2352,prebreeding_migration,1.0,0.0,0.0,77.0,100.0,0.08809096155474029,fairly_common,8.809096155474029,,peak_abundance_with_occupancy_days_modifiers,1.0
cetwar1,MT,0.21026092548319608,0.20385,0.234,breeding,0.5902,,,,59.019999999999996,0.0876856165773325,fairly_common,8.76856165773325,,peak_abundance_with_occupancy_days_modifiers,0.5902
