species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
commyn,MU,2.2942074816067928,8.916573830076919,8.916573830076919,resident,0.8419243986254296,0.00040532246297089774,0.0012228113399915,365.0,84.19243986254295,0.9567588324778782,abundant,95.67588324778782,,peak_abundance_with_occupancy_days_modifiers,0.8419243986254296
rewbul,MU,2.2094701393108744,8.110887612673835,8.110887612673835,resident,0.8419243986254296,0.0011200102400936,0.0062484194421898,365.0,84.19243986254295,0.9214206159772765,abundant,92.14206159772765,,peak_abundance_with_occupancy_days_modifiers,0.8419243986254296
houspa,MU,1.6788586388038913,4.359435427281046,4.359435427281046,resident,0.8316151202749141,0.00015002783574307794,0.00014017765853831197,365.0,83.16151202749141,0.7001384330036418,common,70.01384330036417,,peak_abundance_with_occupancy_days_modifiers,0.8316151202749141
vilwea1,MU,1.6762145552845924,4.345283350276783,4.345283350276783,resident,0.8075601374570447,0.0004910821570000104,0.0012959859834548,365.0,80.75601374570446,0.699035764530463,common,69.9035764530463,,peak_abundance_with_occupancy_days_modifiers,0.8075601374570447
zebdov,MU,1.3377232142098505,2.810358252363516,2.810358252363516,resident,0.8384879725085911,0.0019681228624895,0.0025080295665169,365.0,83.8487972508591,0.5578739110856633,common,55.78739110856633,,peak_abundance_with_occupancy_days_modifiers,0.8384879725085911
comwax,MU,1.1790242630967924,2.251200338563149,2.251200338563149,resident,0.738831615120275,0.0006185021316747887,0.0030227169035956,365.0,73.8831615120275,0.4916913079864651,common,49.169130798646506,,peak_abundance_with_occupancy_days_modifiers,0.738831615120275
rocpig,MU,1.1524041367545603,2.165794771638318,2.165794771638318,resident,0.6632302405498282,0.00017424622707262727,0.00011175824318566858,365.0,66.32302405498281,0.48058985303794843,common,48.05898530379484,,peak_abundance_with_occupancy_days_modifiers,0.6632302405498282
spodov,MU,0.7065943389348969,1.0270759560827076,1.0270759560827076,resident,0.8350515463917526,0.0003662159046211022,0.00017394799646736832,365.0,83.50515463917526,0.29467272693285446,common,29.467272693285445,,peak_abundance_with_occupancy_days_modifiers,0.8350515463917526
nutman,MU,0.5513200476573803,0.7355425052370402,0.7355425052370402,resident,0.738831615120275,0.0004119934157703415,0.0002026098595178428,365.0,73.8831615120275,0.22991831791468675,common,22.991831791468677,,peak_abundance_with_occupancy_days_modifiers,0.738831615120275
rorpar,MU,0.5263818642727347,0.6927964478167882,0.6927964478167882,resident,0.7319587628865979,0.000512952656637198,0.00011686156797001984,365.0,73.19587628865979,0.21951828766001155,common,21.951828766001157,,peak_abundance_with_occupancy_days_modifiers,0.7319587628865979
yefcan,MU,0.26643289941260706,0.3053,0.3053,resident,0.5798,0.0003,0.0004,365.0,57.98,0.11111114919613516,common,11.111114919613515,,peak_abundance_with_occupancy_days_modifiers,0.5798
houcro1,MU,0.26329162650168714,0.3012061298175161,0.3012061298175161,resident,0.4673539518900343,0.0004827505422069509,7.147603521353165e-05,365.0,46.735395189003434,0.10980113664197806,fairly_common,10.980113664197805,,peak_abundance_with_occupancy_days_modifiers,0.4673539518900343
strher,MU,0.14384056547649995,0.14017220477563966,0.1546999948048048,breeding,0.6288659793814433,0.0001980600933804637,0.0002115354266315641,133.0,62.88659793814433,0.05998617500448069,uncommon,5.998617500448069,,peak_abundance_with_occupancy_days_modifiers,0.6288659793814433
whimbr,MU,0.13714146421672488,0.13284057528258308,0.1469903951419217,nonbreeding,0.2871208354137319,0.0007399186089530152,0.00023719908499176897,98.0,28.71208354137319,0.057192432785723425,uncommon,5.719243278572343,,peak_abundance_with_occupancy_days_modifiers,0.2871208354137319
gryfra,MU,0.13146676274230568,0.1405,0.1405,resident,0.5546,0.0006,0.0002,365.0,55.46,0.05482589845922776,fairly_common,5.482589845922776,,peak_abundance_with_occupancy_days_modifiers,0.5546
grsplo,MU,0.11653781624795155,0.07175000000000001,0.1236,nonbreeding,0.4174,0.003,0.0005,42.0,41.74,0.048600044201242594,uncommon,4.86000442012426,,peak_abundance_with_occupancy_days_modifiers,0.4174
commoo3,MU,0.11529104433473457,0.1222,0.1222,nonbreeding,0.2829,0.0001,0.0001,49.0,28.29,0.04808009992871319,uncommon,4.808009992871319,,peak_abundance_with_occupancy_days_modifiers,0.2829
rudtur,MU,0.08208188725156575,0.0855446984618853,0.0855446984618853,postbreeding_migration,0.2567977846361974,0.0004082735432739936,0.00018029586473209183,49.0,25.67977846361974,0.03423080573313581,uncommon,3.423080573313581,,peak_abundance_with_occupancy_days_modifiers,0.2567977846361974
cursan,MU,0.022064565256442625,0.01979462159556045,0.022309788033275,nonbreeding,0.078710662977361,0.0001600182878043205,1.615970408476239e-05,21.0,7.8710662977361,0.009201638414630602,rare,0.9201638414630602,,peak_abundance_with_occupancy_days_modifiers,0.078710662977361
comsan,MU,0.007587956555506288,0.00514153514663085,0.0076168180515932,nonbreeding,0.1887578225468286,0.00010993596790767172,7.990678578231544e-06,35.0,18.87578225468286,0.003164423668366074,very_rare,0.31644236683660737,,peak_abundance_with_occupancy_days_modifiers,0.1887578225468286
bkbplo,MU,0.005788253162585521,0.0042755932541726,0.0058050374682328,nonbreeding,0.19278113234922,0.0005304860154856769,8.660165165516721e-06,35.0,19.278113234922,0.002413889058561996,very_rare,0.24138890585619963,,peak_abundance_with_occupancy_days_modifiers,0.19278113234922
