species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
houcro1,MV,0.5639492420882635,0.7576,0.7576,resident,0.0708,0.0,0.0003,365.0,7.08,0.23518510106995968,fairly_common,23.51851010699597,,peak_abundance_with_occupancy_days_modifiers,0.0708
rocpig,MV,0.5219435894998372,0.6853,0.6853,resident,0.0442,0.0,0.0,365.0,4.42,0.21766738331767224,rare,21.766738331767225,rare,peak_abundance_with_occupancy_days_modifiers,0.0442
blnter1,MV,0.32063317259146684,0.378,0.378,postbreeding_migration,0.1814,,,,18.14,0.13371441873576254,fairly_common,13.371441873576254,,peak_abundance_with_occupancy_days_modifiers,0.1814
comsan,MV,0.14045735269525578,0.1508,0.1508,postbreeding_migration,0.3274,0.0,0.0001,7.0,32.74,0.05857526568762134,very_rare,5.857526568762134,very_rare,peak_abundance_with_occupancy_days_modifiers,0.3274
grcter1,MV,0.09294374564273797,0.058800000000000005,0.0974,prebreeding_migration,0.2699,0.0009,0.0001,56.0,26.99,0.03876055251331786,uncommon,3.8760552513317856,,peak_abundance_with_occupancy_days_modifiers,0.2699
rudtur,MV,0.05344597570562602,0.024533333333333334,0.0549,prebreeding_migration,0.2124,0.0,0.0,7.0,21.240000000000002,0.02228870306051937,very_rare,2.2288703060519373,very_rare,peak_abundance_with_occupancy_days_modifiers,0.2124
commyn,MV,0.04027784649857016,0.0411,0.0411,resident,0.0265,0.0,0.0,365.0,2.65,0.016797166646717387,rare,1.6797166646717387,rare,peak_abundance_with_occupancy_days_modifiers,0.0265
comter,MV,0.01004933585300144,0.0101,0.0101,prebreeding_migration,0.0088,0.0,0.0,7.0,0.88,0.004190898563002608,very_rare,0.41908985630026085,very_rare,peak_abundance_with_occupancy_days_modifiers,0.0088
grsplo,MV,0.004688989486131542,0.0047,0.0047,nonbreeding,0.0133,0.0001,0.0,7.0,1.3299999999999998,0.0019554604987645544,very_rare,0.19554604987645544,very_rare,peak_abundance_with_occupancy_days_modifiers,0.0133
greegr,MV,0.004091617903253565,0.0041,0.0041,breeding,0.0088,0.0,0.0,21.0,0.88,0.0017063371989880915,very_rare,0.17063371989880916,rare,peak_abundance_with_occupancy_days_modifiers,0.0088
