species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,MW,1.5128168738296748,1.7618749999999999,3.5395,nonbreeding,0.9745,0.0026,0.004,154.0,97.45,0.6308936386801417,common,63.08936386801417,,peak_abundance_with_occupancy_days_modifiers,0.9745
combul2,MW,1.3081708626446853,2.6994008076026867,2.6994008076026867,resident,0.9313363528150068,0.0098162890503611,0.0123424274316408,365.0,93.13363528150069,0.5455496232402323,common,54.55496232402323,,peak_abundance_with_occupancy_days_modifiers,0.9313363528150068
eubeat1,MW,0.9258053242427405,0.9364666666666667,1.5239,prebreeding_migration,0.9903,0.0068,0.0102,91.0,99.03,0.38609080836224985,common,38.60908083622498,,peak_abundance_with_occupancy_days_modifiers,0.9903
categr1,MW,0.8456092704897213,0.7809498897374694,1.3293966149260827,nonbreeding,0.2807555563097865,0.0029157041233182,0.0038919309283626,140.0,28.07555563097865,0.35264645628284075,common,35.26464562828407,,peak_abundance_with_occupancy_days_modifiers,0.2807555563097865
comswi,MW,0.7613664195370892,0.7016666666666667,1.1412,nonbreeding,0.7685,0.0059,0.0088,133.0,76.85,0.3175144586896683,common,31.751445868966833,,peak_abundance_with_occupancy_days_modifiers,0.7685
rindov,MW,0.7536776802999777,1.1248,1.1248,resident,0.8438,0.0094,0.0065,365.0,84.38,0.3143080053785783,common,31.430800537857827,,peak_abundance_with_occupancy_days_modifiers,0.8438
reedov1,MW,0.6911952768347,0.9961,0.9961,resident,0.9958,0.0074,0.0102,365.0,99.58,0.28825081923951884,common,28.825081923951885,,peak_abundance_with_occupancy_days_modifiers,0.9958
bubcor1,MW,0.6421696257950777,0.9006,0.9006,resident,0.8003,0.0175,0.0218,365.0,80.03,0.26780553474533464,common,26.780553474533463,,peak_abundance_with_occupancy_days_modifiers,0.8003
eswdov1,MW,0.6373388308450373,0.8914407322024227,0.8914407322024227,resident,0.788461045278245,0.0190240588142442,0.0244000353751181,365.0,78.84610452782451,0.26579093677483906,common,26.579093677483907,,peak_abundance_with_occupancy_days_modifiers,0.788461045278245
helgui,MW,0.5612626268073283,0.7528843423975446,0.7528843423975446,resident,0.604001809102264,0.0130776937134674,0.0070393058598237,365.0,60.400180910226396,0.2340646954745144,common,23.40646954745144,,peak_abundance_with_occupancy_days_modifiers,0.604001809102264
litswi1,MW,0.5529076241453575,0.6339999999999999,0.7383,breeding,0.9022,0.0055,0.007,84.0,90.22,0.23058038873403683,fairly_common,23.05803887340368,,peak_abundance_with_occupancy_days_modifiers,0.9022
