species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,MY,2.0687344245361476,2.2815499999999997,6.9148,nonbreeding,0.9646,0.0089,0.0265,154.0,96.46000000000001,0.8627292642859716,abundant,86.27292642859716,,peak_abundance_with_occupancy_days_modifiers,0.9646
pltswi1,MY,1.5278122066389994,3.608084249965025,3.608084249965025,resident,0.6493699511117085,0.2973212223869699,0.4247165450802857,365.0,64.93699511117084,0.6371471781818167,common,63.71471781818167,,peak_abundance_with_occupancy_days_modifiers,0.6493699511117085
sttbab1,MY,0.6673284699712032,0.9490234845113116,0.9490234845113116,resident,0.6490257924368469,0.059552808434727,0.085855295344453,365.0,64.90257924368468,0.27829758769757423,common,27.829758769757422,,peak_abundance_with_occupancy_days_modifiers,0.6490257924368469
categr2,MY,0.6111034434897596,0.664748477759357,0.8424633316823664,postbreeding_migration,0.350274995428696,0.0249014300683268,0.0096093264982653,126.0,35.0274995428696,0.2548499304461262,fairly_common,25.48499304461262,,peak_abundance_with_occupancy_days_modifiers,0.350274995428696
yevbul1,MY,0.608980640363394,0.8385562931656345,0.8385562931656345,resident,0.4262862946104678,0.128122693852819,0.1168595885714353,365.0,42.62862946104678,0.2539646527818151,fairly_common,25.396465278181513,,peak_abundance_with_occupancy_days_modifiers,0.4262862946104678
pacswa1,MY,0.6081338062329886,0.837,0.837,resident,0.9263,0.1778,0.1594,365.0,92.63,0.2536114955192725,common,25.361149551927248,,peak_abundance_with_occupancy_days_modifiers,0.9263
asgsta1,MY,0.48137621554070265,0.6183,0.6183,resident,0.2051,0.2378,0.2294,365.0,20.51,0.2007494743416927,fairly_common,20.07494743416927,,peak_abundance_with_occupancy_days_modifiers,0.2051
spodov,MY,0.38913245348726677,0.4757,0.4757,resident,0.3783,0.0202,0.0174,365.0,37.830000000000005,0.16228083765857915,fairly_common,16.228083765857914,,peak_abundance_with_occupancy_days_modifiers,0.3783
reebul1,MY,0.3745144279185478,0.4542850829098672,0.4542850829098672,resident,0.6989066998236328,0.3106042446593157,0.3570107137687154,365.0,69.89066998236328,0.1561846474977555,common,15.618464749775551,,peak_abundance_with_occupancy_days_modifiers,0.6989066998236328
litegr,MY,0.37431837911132765,0.32615,0.454,nonbreeding,0.2347,0.007,0.0132,84.0,23.47,0.15610288879484457,fairly_common,15.610288879484457,,peak_abundance_with_occupancy_days_modifiers,0.2347
