species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,MZ,2.289870067281615,6.602732782664536,8.87365468702965,nonbreeding,0.7721585542162751,0.0382098505609957,0.0610765245950788,98.0,77.21585542162751,0.9549499902092518,abundant,95.49499902092518,,peak_abundance_with_occupancy_days_modifiers,0.7721585542162751
combul2,MZ,1.2339488951151378,2.434766322977914,2.434766322977914,resident,0.873057614417244,0.0721821464201666,0.0873245989437686,365.0,87.3057614417244,0.5145966586251723,common,51.459665862517234,,peak_abundance_with_occupancy_days_modifiers,0.873057614417244
eubeat1,MZ,1.1352387412097722,1.6465123251553335,2.111916396911975,prebreeding_migration,0.830204262089582,0.1180861517035104,0.180805149310583,105.0,83.0204262089582,0.4734313270841623,common,47.34313270841623,,peak_abundance_with_occupancy_days_modifiers,0.830204262089582
rindov,MZ,1.054299827019504,1.8699649783153676,1.8699649783153676,resident,0.7396416807926887,0.0824854812471958,0.0567442427963698,365.0,73.96416807926886,0.43967717814011303,common,43.9677178140113,,peak_abundance_with_occupancy_days_modifiers,0.7396416807926887
eswdov1,MZ,0.728314015131476,1.0715850007668275,1.0715850007668275,resident,0.7763409936345091,0.1469337498724525,0.2300756790608167,365.0,77.63409936345091,0.3037305354380741,common,30.37305354380741,,peak_abundance_with_occupancy_days_modifiers,0.7763409936345091
bubcor1,MZ,0.7106263969034318,1.0352657435978148,1.0352657435978148,resident,0.7398919008749898,0.2172587403546071,0.2059360901648238,365.0,73.98919008749898,0.2963542257098337,common,29.635422570983373,,peak_abundance_with_occupancy_days_modifiers,0.7398919008749898
lessts1,MZ,0.6331852965432717,0.5757950711244291,0.8836008610992558,breeding,0.9759403311972344,0.1082108222239045,0.1436547157962272,168.0,97.59403311972345,0.2640587784321111,fairly_common,26.405877843211112,,peak_abundance_with_occupancy_days_modifiers,0.9759403311972344
categr1,MZ,0.6230420286827534,0.53143190893545,0.864591564200046,prebreeding_migration,0.2058680867310477,0.014916642121029,0.0209052442459088,140.0,20.58680867310477,0.2598287071793825,fairly_common,25.98287071793825,,peak_abundance_with_occupancy_days_modifiers,0.2058680867310477
wfwduc1,MZ,0.5797741418627557,0.7856350849882332,0.7856350849882332,resident,0.3607963874315258,0.0339060973368147,0.0363705326498742,365.0,36.07963874315258,0.2417845968669652,fairly_common,24.17845968669652,,peak_abundance_with_occupancy_days_modifiers,0.3607963874315258
litswi1,MZ,0.5447051751996684,0.6146499999999999,0.7241,breeding,0.9195,0.0504,0.0527,84.0,91.95,0.2271597018346808,fairly_common,22.71597018346808,,peak_abundance_with_occupancy_days_modifiers,0.9195
comswi,MZ,0.5192615932933241,0.2934347409707602,0.6807860876468202,nonbreeding,0.5842402255109157,0.0618510867207772,0.0626224359441624,70.0,58.42402255109157,0.21654890402587934,fairly_common,21.654890402587935,,peak_abundance_with_occupancy_days_modifiers,0.5842402255109157
blbpuf2,MZ,0.5181389226509255,0.6789001772762527,0.6789001772762527,resident,0.7509920828245523,0.1497468459717574,0.2314205520798789,365.0,75.09920828245524,0.21608071400309808,common,21.608071400309807,,peak_abundance_with_occupancy_days_modifiers,0.7509920828245523
reedov1,MZ,0.5128621102222087,0.670064269171873,0.670064269171873,resident,0.666505895026224,0.0732451032755958,0.0765789719772507,365.0,66.65058950262241,0.21388011229685308,common,21.388011229685308,,peak_abundance_with_occupancy_days_modifiers,0.666505895026224
fotdro5,MZ,0.5045504055665689,0.6562407164369932,0.6562407164369932,resident,0.6836360075371897,0.0716960739674665,0.0758184831257456,365.0,68.36360075371897,0.2104138622274996,common,21.04138622274996,,peak_abundance_with_occupancy_days_modifiers,0.6836360075371897
comter,MZ,0.4715256720056922,0.24017256124454267,0.6024371226478819,prebreeding_migration,0.07851424586273,0.0009787419049921565,0.0028048260737732,119.0,7.851424586273,0.19664147861445858,fairly_common,19.66414786144586,,peak_abundance_with_occupancy_days_modifiers,0.07851424586273
whimbr,MZ,0.4033535824473994,0.3098004531745701,0.4968360530619757,prebreeding_migration,0.0469167820448768,0.0323661085011754,0.1326019225161926,133.0,4.69167820448768,0.16821150907757587,rare,16.821150907757588,rare,peak_abundance_with_occupancy_days_modifiers,0.0469167820448768
cursan,MZ,0.364002910763636,0.33034244987737993,0.4390784029690347,prebreeding_migration,0.0476696207310112,0.0791703673858709,0.1599008590186709,105.0,4.76696207310112,0.15180100436114563,rare,15.180100436114563,rare,peak_abundance_with_occupancy_days_modifiers,0.0476696207310112
whbvul1,MZ,0.34391040638749765,0.4104522623332038,0.4104522623332038,resident,0.4453868130130883,0.0851702799550833,0.1001223305640909,365.0,44.53868130130883,0.14342177921146254,fairly_common,14.342177921146254,,peak_abundance_with_occupancy_days_modifiers,0.4453868130130883
helgui,MZ,0.341272675617608,0.4067367713880314,0.4067367713880314,resident,0.3895207908784955,0.0595001817638211,0.0268293242523752,365.0,38.95207908784955,0.14232176004056213,fairly_common,14.232176004056212,,peak_abundance_with_occupancy_days_modifiers,0.3895207908784955
colpra,MZ,0.34080327867821947,0.2720357595963359,0.4060766084043799,prebreeding_migration,0.307908921209998,0.1898556136897963,0.1931516218312125,119.0,30.790892120999803,0.14212600631240171,fairly_common,14.212600631240171,,peak_abundance_with_occupancy_days_modifiers,0.307908921209998
rebshr1,MZ,0.3282777935831148,0.25884451846692275,0.3885746558457934,prebreeding_migration,0.8848936751467846,0.1105393419946552,0.1295369176015617,91.0,88.48936751467846,0.13690247330944144,fairly_common,13.690247330944144,,peak_abundance_with_occupancy_days_modifiers,0.8848936751467846
grbcam1,MZ,0.31809911579839667,0.3745124903791093,0.3745124903791093,resident,0.6923989465340455,0.0660323812519682,0.0786976897124345,365.0,69.23989465340455,0.1326576349713436,common,13.265763497134362,,peak_abundance_with_occupancy_days_modifiers,0.6923989465340455
spwgoo1,MZ,0.301363059507645,0.3517,0.3517,resident,0.3033,,,,30.330000000000002,0.12567815739340069,fairly_common,12.567815739340068,,peak_abundance_with_occupancy_days_modifiers,0.3033
