species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
rindov,NA,1.6985287924245085,4.4659,4.4659,resident,0.9758,0.0893,0.2105,365.0,97.58,0.70834152420773,common,70.834152420773,,peak_abundance_with_occupancy_days_modifiers,0.9758
helgui,NA,1.358104192014955,2.8888138646305386,2.8888138646305386,resident,0.5296859794891614,0.0937371355816103,0.2207605201607765,365.0,52.96859794891614,0.5663734389992905,common,56.63734389992905,,peak_abundance_with_occupancy_days_modifiers,0.5296859794891614
barswa,NA,1.1386980122073953,1.2598,2.1227,nonbreeding,0.9843,0.0216,0.0194,119.0,98.42999999999999,0.47487395514088565,common,47.48739551408857,,peak_abundance_with_occupancy_days_modifiers,0.9843
grefla3,NA,0.8952872063807077,1.1740810013238414,1.4480387808637547,postbreeding_migration,0.016161433333583,0.0135200053355139,0.047319890962261,133.0,1.6161433333583002,0.37336376468847926,rare,37.336376468847924,rare,peak_abundance_with_occupancy_days_modifiers,0.016161433333583
socwea1,NA,0.8745516502914161,1.3978,1.3978,resident,0.2916,0.4695,0.4731,365.0,29.160000000000004,0.36471636614505043,common,36.471636614505044,,peak_abundance_with_occupancy_days_modifiers,0.2916
lesfla1,NA,0.7197744222961876,0.8695443986932766,1.0539698285838903,prebreeding_migration,0.0159820839103859,0.0477578880580265,0.0282094919825887,161.0,1.59820839103859,0.3001692486161845,rare,30.01692486161845,rare,peak_abundance_with_occupancy_days_modifiers,0.0159820839103859
comswi,NA,0.6768145259390477,0.7789666666666667,0.9676,prebreeding_migration,0.9627,0.0422,0.058,126.0,96.27,0.2822535803030286,fairly_common,28.22535803030286,,peak_abundance_with_occupancy_days_modifiers,0.9627
capspa1,NA,0.6653647995474937,0.9452,0.9452,resident,0.562,0.3011,0.3372,365.0,56.2,0.2774786735248056,common,27.74786735248056,,peak_abundance_with_occupancy_days_modifiers,0.562
wbswea1,NA,0.5812095273190806,0.7882,0.7882,resident,0.7501,0.1905,0.2001,365.0,75.01,0.242383199096432,common,24.2383199096432,,peak_abundance_with_occupancy_days_modifiers,0.7501
grygab1,NA,0.47486822911042864,0.607802321984355,0.607802321984355,resident,0.5213383487169463,0.2184299055930426,0.2425418875846811,365.0,52.13383487169463,0.19803543319731898,common,19.803543319731897,,peak_abundance_with_occupancy_days_modifiers,0.5213383487169463
amufal1,NA,0.458788751759553,0.3396578432543531,0.5821564397135326,postbreeding_migration,0.7852340770074108,0.0104653642653323,0.0090546859538364,56.0,78.52340770074107,0.19132977030483128,fairly_common,19.13297703048313,,peak_abundance_with_occupancy_days_modifiers,0.7852340770074108
eubeat1,NA,0.4449421986503644,0.45156666666666667,0.5604,prebreeding_migration,0.8296,0.0541,0.0638,91.0,82.96,0.18555530914872354,fairly_common,18.555530914872353,,peak_abundance_with_occupancy_days_modifiers,0.8296
fotdro5,NA,0.3924474110268609,0.4806,0.4806,resident,0.7039,0.075,0.106,365.0,70.39,0.1636632823287859,common,16.36632823287859,,peak_abundance_with_occupancy_days_modifiers,0.7039
litswi1,NA,0.39041914990289317,0.32155,0.4776,nonbreeding,0.7676,0.0529,0.0518,84.0,76.75999999999999,0.16281743174182484,fairly_common,16.281743174182484,,peak_abundance_with_occupancy_days_modifiers,0.7676
blakit1,NA,0.3543823178788483,0.162475,0.4253,prebreeding_migration,0.9061,0.0193,0.015,112.0,90.61,0.14778890550348353,fairly_common,14.778890550348352,,peak_abundance_with_occupancy_days_modifiers,0.9061
spepig1,NA,0.3229526865337002,0.3812,0.3812,resident,0.4908,0.081,0.0682,365.0,49.08,0.13468173118203397,fairly_common,13.468173118203397,,peak_abundance_with_occupancy_days_modifiers,0.4908
bubcor1,NA,0.3133498192003587,0.368,0.368,resident,0.459,0.0821,0.0727,365.0,45.9,0.13067702445348076,fairly_common,13.067702445348075,,peak_abundance_with_occupancy_days_modifiers,0.459
comter,NA,0.27002713721306015,0.11387499999999999,0.31,postbreeding_migration,0.0074,0.0005,0.0254,133.0,0.74,0.11261006278140559,very_rare,11.26100627814056,very_rare,peak_abundance_with_occupancy_days_modifiers,0.0074
