species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
whbwoo4,NC,0.7603526128304101,0.9465451242251245,1.1390303370749035,breeding,0.8379160636758322,0.0143002617653857,0.0261750067701618,224.0,83.79160636758321,0.31709166845434,common,31.709166845434,,peak_abundance_with_occupancy_days_modifiers,0.8379160636758322
comwax,NC,0.6716681488828211,0.9575,0.9575,resident,0.195,0.0008,0.0095,365.0,19.5,0.2801073743720996,fairly_common,28.010737437209958,,peak_abundance_with_occupancy_days_modifiers,0.195
commyn,NC,0.6423800635062922,0.901,0.901,resident,0.2622,0.0012,0.0015,365.0,26.22,0.26789329408728824,fairly_common,26.789329408728825,,peak_abundance_with_occupancy_days_modifiers,0.2622
gryfan1,NC,0.5608721412501264,0.6365999999999999,0.7522,breeding,0.7198,0.0211,0.0269,119.0,71.98,0.23390185034877786,fairly_common,23.390185034877785,,peak_abundance_with_occupancy_days_modifiers,0.7198
sackin1,NC,0.40085449555048114,0.28700000000000003,0.4931,prebreeding_migration,0.8483,0.0096,0.0239,140.0,84.83000000000001,0.16716930889257708,fairly_common,16.716930889257707,,peak_abundance_with_occupancy_days_modifiers,0.8483
silgul2,NC,0.3448654859792347,0.4118,0.4118,resident,0.132,0.023,0.0076,365.0,13.200000000000001,0.14382007833760513,fairly_common,14.382007833760513,,peak_abundance_with_occupancy_days_modifiers,0.132
spodov,NC,0.29951182420535816,0.3492,0.3492,resident,0.2647,0.001,0.0009,365.0,26.47,0.12490613230819894,fairly_common,12.490613230819894,,peak_abundance_with_occupancy_days_modifiers,0.2647
silver3,NC,0.2870568770578626,0.3325,0.3325,resident,0.7825,0.0178,0.0045,365.0,78.25,0.11971201591421628,common,11.971201591421627,,peak_abundance_with_occupancy_days_modifiers,0.7825
rufwhi1,NC,0.2792970159173407,0.21155,0.3222,breeding,0.4717,0.0016,0.0024,35.0,47.17,0.11647590246566439,fairly_common,11.64759024656644,,peak_abundance_with_occupancy_days_modifiers,0.4717
houspa,NC,0.23015888620811473,0.2588,0.2588,resident,0.1401,0.0002,0.0001,365.0,14.01,0.09598371072291105,fairly_common,9.598371072291105,,peak_abundance_with_occupancy_days_modifiers,0.1401
grcter1,NC,0.16109792034232798,0.147475,0.1748,breeding,0.295,0.0122,0.0026,147.0,29.5,0.06718305097383379,uncommon,6.718305097383379,,peak_abundance_with_occupancy_days_modifiers,0.295
shbcuc1,NC,0.16007594784663493,0.0958,0.1736,breeding,0.7543,0.0179,0.0331,35.0,75.42999999999999,0.06675685533998509,uncommon,6.675685533998508,,peak_abundance_with_occupancy_days_modifiers,0.7543
whikit1,NC,0.1473849869130583,0.1588,0.1588,resident,0.4446,0.0022,0.0023,365.0,44.46,0.061464313552383965,uncommon,6.146431355238397,,peak_abundance_with_occupancy_days_modifiers,0.4446
purswa6,NC,0.13662659753182504,0.14475,0.1464,breeding,0.4678,0.0417,0.0205,35.0,46.78,0.05697771670085505,uncommon,5.697771670085505,,peak_abundance_with_occupancy_days_modifiers,0.4678
pabduc1,NC,0.11973668160233342,0.1272,0.1272,resident,0.1024,0.002,0.0026,365.0,10.24,0.04993407466982465,uncommon,4.993407466982465,,peak_abundance_with_occupancy_days_modifiers,0.1024
swahar1,NC,0.10327834945350173,0.056999999999999995,0.1088,breeding,0.7304,0.0391,0.0267,112.0,73.04,0.043070417054942835,uncommon,4.307041705494283,,peak_abundance_with_occupancy_days_modifiers,0.7304
gretea1,NC,0.0833296075870042,0.0869,0.0869,resident,0.0521,0.0012,0.0005,365.0,5.21,0.03475114552845237,uncommon,3.4751145528452367,,peak_abundance_with_occupancy_days_modifiers,0.0521
blnter1,NC,0.052687322279006465,0.0322,0.0541,postbreeding_migration,0.1721,,,,17.21,0.021972320007754047,uncommon,2.1972320007754047,,peak_abundance_with_occupancy_days_modifiers,0.1721
lipcor1,NC,0.0515482618805766,0.0529,0.0529,resident,0.1457,0.0055,0.0079,365.0,14.57,0.021497294925820157,uncommon,2.149729492582016,,peak_abundance_with_occupancy_days_modifiers,0.1457
whfher1,NC,0.050693114315518116,0.029599999999999998,0.052,breeding,0.2893,0.0015,0.0026,112.0,28.93,0.021140670691743236,uncommon,2.1140670691743235,,peak_abundance_with_occupancy_days_modifiers,0.2893
osprey,NC,0.04573789167385374,0.03825,0.0468,nonbreeding,0.2383,0.001,0.0025,21.0,23.830000000000002,0.01907418234345033,rare,1.907418234345033,rare,peak_abundance_with_occupancy_days_modifiers,0.2383
pagplo,NC,0.039605254592359425,0.0224,0.0404,nonbreeding,0.1299,0.001,0.0004,63.0,12.989999999999998,0.01651667403561776,rare,1.651667403561776,,peak_abundance_with_occupancy_days_modifiers,0.1299
bubrai1,NC,0.03845118637425273,0.0392,0.0392,resident,0.2221,0.0124,0.0227,365.0,22.21,0.016035390206753968,rare,1.6035390206753968,,peak_abundance_with_occupancy_days_modifiers,0.2221
rudtur,NC,0.031789322489407336,0.0122,0.0323,nonbreeding,0.1373,0.005,0.0013,119.0,13.73,0.013257177179514116,rare,1.3257177179514115,,peak_abundance_with_occupancy_days_modifiers,0.1373
