species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
bkwpet,NF,4.4759867524199155,86.8812747001648,86.8812747001648,breeding,0.95,0.00012646011514526274,0.0012222268311141,133.0,95.0,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.95
eursta,NF,1.723795733979715,2.2733156184355416,4.605766129493714,prebreeding_migration,0.65,1.7559926626521972e-05,3.91383526642173e-06,49.0,65.0,0.7188786572684743,common,71.88786572684744,,peak_abundance_with_occupancy_days_modifiers,0.65
grynod1,NF,1.4123130833297413,3.1054406560957437,3.1054406560957437,resident,0.9,0.0003398470688190314,8.384924756618725e-05,365.0,90.0,0.5889803025807528,common,58.89803025807529,,peak_abundance_with_occupancy_days_modifiers,0.9
silver3,NF,0.9191920118707664,1.507263731956482,1.507263731956482,resident,0.45,7.553313806618381e-05,9.328989804838133e-05,365.0,45.0,0.3833328428885299,common,38.333284288852994,,peak_abundance_with_occupancy_days_modifiers,0.45
criros2,NF,0.7629261221911571,1.1445422410964965,1.1445422410964965,resident,0.5,0.00025280614824552534,0.000229372332751832,365.0,50.0,0.318164905217405,common,31.816490521740498,,peak_abundance_with_occupancy_days_modifiers,0.5
houspa,NF,0.7187822712799621,1.051932990923524,1.051932990923524,resident,0.25,3.099748672377644e-06,2.324735966255483e-06,365.0,25.0,0.29975548950523395,common,29.975548950523397,,peak_abundance_with_occupancy_days_modifiers,0.25
rocpig,NF,0.5257671988692214,0.6917562641203403,0.6917562641203403,resident,0.65,1.1736792497119971e-05,2.453309679798003e-06,365.0,65.0,0.21926195227685868,common,21.92619522768587,,peak_abundance_with_occupancy_days_modifiers,0.65
eurbla,NF,0.5194590143264691,0.47198836604754124,0.6811179429292679,nonbreeding,0.65,1.99487470652324e-05,1.0864676061335957e-05,56.0,65.0,0.21663123499144926,fairly_common,21.663123499144927,,peak_abundance_with_occupancy_days_modifiers,0.65
welswa1,NF,0.4789676253253403,0.4160226881504059,0.6144068688154221,prebreeding_migration,0.5,0.0001218974748469249,5.755912943693528e-05,49.0,50.0,0.19974501420421906,fairly_common,19.974501420421905,,peak_abundance_with_occupancy_days_modifiers,0.5
sackin1,NF,0.37487688695790716,0.30716419136151674,0.4548122972249985,breeding,0.65,0.0001307689212569911,0.00029427871628578034,77.0,65.0,0.15633580465773284,fairly_common,15.633580465773283,,peak_abundance_with_occupancy_days_modifiers,0.65
calqua,NF,0.25173010285862485,0.2862488355487585,0.2862488355487585,resident,0.5,8.804211934989699e-05,4.478899997747927e-05,365.0,50.0,0.10497960678860381,fairly_common,10.49796067886038,,peak_abundance_with_occupancy_days_modifiers,0.5
pagplo,NF,0.1957740717184557,0.12799294292926783,0.2162520885467529,nonbreeding,0.1,2.223655244490894e-05,2.439073015461024e-05,49.0,10.0,0.08164412930760949,fairly_common,8.16441293076095,,peak_abundance_with_occupancy_days_modifiers,0.1
redjun,NF,0.18739660131084362,0.2061055332422256,0.2061055332422256,resident,0.3,3.059195431601489e-05,0.0003291906280640909,365.0,30.0,0.07815045278943719,fairly_common,7.815045278943719,,peak_abundance_with_occupancy_days_modifiers,0.3
golwhi1,NF,0.17361711616380826,0.1644,0.1896,prebreeding_migration,0.0909,0.0001,0.0002,133.0,9.09,0.07240396114597412,uncommon,7.240396114597412,,peak_abundance_with_occupancy_days_modifiers,0.0909
rudtur,NF,0.1617890490761504,0.1398079941049218,0.1756122186779976,prebreeding_migration,0.35,0.00011476938526648016,3.5627008125430365e-05,42.0,35.0,0.06747127404248175,uncommon,6.747127404248175,,peak_abundance_with_occupancy_days_modifiers,0.35
sonthr1,NF,0.14234479666825492,0.0902556480839848,0.1529741216450929,postbreeding_migration,0.5,1.3617151074120877e-05,4.17237315483147e-06,35.0,50.0,0.05936239096136042,uncommon,5.936239096136042,,peak_abundance_with_occupancy_days_modifiers,0.5
eurgol,NF,0.12150941739719721,0.1292,0.1292,nonbreeding,0.1818,0.0,0.0,49.0,18.18,0.05067336291772006,uncommon,5.067336291772006,,peak_abundance_with_occupancy_days_modifiers,0.1818
gryfan1,NF,0.06115599100997813,0.057635655999183605,0.0630647297948598,breeding,0.3,8.249010118785745e-05,1.125491572318962e-05,28.0,30.0,0.02550402918081092,rare,2.550402918081092,rare,peak_abundance_with_occupancy_days_modifiers,0.3
auskes1,NF,0.04568846544165634,0.046748261898756,0.046748261898756,breeding,0.65,1.7230570212585475e-05,5.116341030047983e-06,105.0,65.0,0.019053570003637988,rare,1.9053570003637987,,peak_abundance_with_occupancy_days_modifiers,0.65
wantat1,NF,0.04364242891770334,0.028394380553315068,0.0446087662130594,nonbreeding,0.5,0.0017170329670329,0.0005840436239919123,182.0,50.0,0.018200306499112518,rare,1.8200306499112517,,peak_abundance_with_occupancy_days_modifiers,0.5
morepo2,NF,0.04119426610358078,0.0420545217551989,0.0420545217551989,resident,0.3,0.0002629042152309175,4.486291172946597e-05,365.0,30.0,0.017179343306143045,rare,1.7179343306143045,,peak_abundance_with_occupancy_days_modifiers,0.3
eurgre1,NF,0.034971102605871454,0.0355897825211286,0.0355897825211286,nonbreeding,0.5,1.145586912815108e-05,8.954172535953188e-07,28.0,50.0,0.014584082550469285,rare,1.4584082550469284,,peak_abundance_with_occupancy_days_modifiers,0.5
purswa6,NF,0.031054205090113928,0.0315414171665906,0.0315414171665906,breeding,0.15,8.577800651912849e-05,1.9755000349398905e-05,35.0,15.0,0.012950609412509233,rare,1.2950609412509233,,peak_abundance_with_occupancy_days_modifiers,0.15
whfher1,NF,0.00860531082163353,0.0086424429435282,0.0086424429435282,breeding,0.25,1.878315226374551e-05,3.627110218963604e-06,35.0,25.0,0.003588693350894743,very_rare,0.3588693350894743,,peak_abundance_with_occupancy_days_modifiers,0.25
batgod,NF,0.006225253067957644,0.0062446702271699,0.0062446702271699,postbreeding_migration,0.05,1.864349901189455e-05,9.249054615536178e-07,21.0,5.0,0.0025961321741515032,very_rare,0.2596132174151503,,peak_abundance_with_occupancy_days_modifiers,0.05
grwpet2,NF,0.004507634356325965,0.0045178090222179,0.0045178090222179,breeding,0.15,3.7095198644788745e-05,4.3433218114674763e-07,7.0,15.0,0.0018798295352847475,very_rare,0.18798295352847474,,peak_abundance_with_occupancy_days_modifiers,0.15
whimbr,NF,0.0022522564894109395,0.0019286688417196,0.0022547947242856,nonbreeding,0.05,1.057026584218593e-05,2.9848858459193105e-07,14.0,5.0,0.0009392639098798598,very_rare,0.09392639098798598,,peak_abundance_with_occupancy_days_modifiers,0.05
ausgre1,NF,0.00043776365988200573,0.0004378594923764467,0.0004378594923764467,resident,0.05,2.2187708009762596e-05,3.450943338957251e-07,365.0,5.0,0.00018256162595920472,very_rare,0.018256162595920472,,peak_abundance_with_occupancy_days_modifiers,0.05
