species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
categr1,NG,1.209291106474387,1.4049832564815423,2.351108231404889,prebreeding_migration,0.5475415872952981,0.0578846349373688,0.0551200258872826,140.0,54.75415872952981,0.5043135620610864,common,50.43135620610863,,peak_abundance_with_occupancy_days_modifiers,0.5475415872952981
wfwduc1,NG,1.0948719690523865,1.9888,1.9888,resident,0.4713,0.0578,0.0983,365.0,47.13,0.45659707555729007,common,45.65970755572901,,peak_abundance_with_occupancy_days_modifiers,0.4713
combul2,NG,0.9043386040277582,1.4702975377874024,1.4702975377874024,resident,0.7559569647683347,0.0716885297163108,0.0604853581556491,365.0,75.59569647683347,0.3771384906949606,common,37.71384906949606,,peak_abundance_with_occupancy_days_modifiers,0.7559569647683347
litswi1,NG,0.8788380548235037,0.90755,1.4081,breeding,0.9315,0.0625,0.0805,84.0,93.15,0.3665039356776787,common,36.65039356776787,,peak_abundance_with_occupancy_days_modifiers,0.9315
blakit1,NG,0.6229392855164488,0.622375,0.8644,prebreeding_migration,0.9975,0.0439,0.0497,147.0,99.75,0.2597858599510359,fairly_common,25.978585995103593,,peak_abundance_with_occupancy_days_modifiers,0.9975
barswa,NG,0.5773434348163022,0.702,0.7813,postbreeding_migration,0.9122,0.0237,0.0067,112.0,91.22,0.24077091329453096,fairly_common,24.077091329453097,,peak_abundance_with_occupancy_days_modifiers,0.9122
vilwea1,NG,0.4984815972091154,0.6462197473619303,0.6462197473619303,resident,0.388567556092366,0.0717025606481758,0.0584859133382377,365.0,38.8567556092366,0.20788297256509533,fairly_common,20.788297256509534,,peak_abundance_with_occupancy_days_modifiers,0.388567556092366
broman1,NG,0.40154782084684576,0.4941355629495135,0.4941355629495135,resident,0.4249637686933605,0.0972788328226659,0.1005882013202524,365.0,42.496376869336046,0.16745844799895487,fairly_common,16.745844799895487,,peak_abundance_with_occupancy_days_modifiers,0.4249637686933605
rorpar,NG,0.3661003845858877,0.4421,0.4421,resident,0.4537,0.0763,0.0461,365.0,45.37,0.152675718885189,fairly_common,15.2675718885189,,peak_abundance_with_occupancy_days_modifiers,0.4537
afghor1,NG,0.35093852208679577,0.4204,0.4204,resident,0.8189,0.0868,0.1226,365.0,81.89,0.14635273110874708,common,14.635273110874708,,peak_abundance_with_occupancy_days_modifiers,0.8189
afpswi1,NG,0.2520056118723267,0.2866032575177973,0.2866032575177973,resident,0.5227038593053467,0.1587688982447957,0.1173148104325944,365.0,52.270385930534665,0.10509450297144679,common,10.50945029714468,,peak_abundance_with_occupancy_days_modifiers,0.5227038593053467
orabis1,NG,0.24224004700519813,0.2741,0.2741,resident,0.7355,0.1961,0.1523,365.0,73.55000000000001,0.10102194610129961,common,10.102194610129962,,peak_abundance_with_occupancy_days_modifiers,0.7355
eaywag1,NG,0.24200455895512835,0.19796666666666665,0.2738,nonbreeding,0.8227,0.0461,0.0299,77.0,82.27,0.10092373995662719,fairly_common,10.092373995662719,,peak_abundance_with_occupancy_days_modifiers,0.8227
grbcam1,NG,0.215013855242229,0.2398790756719821,0.2398790756719821,resident,0.6973846824300515,0.0762849169526559,0.0578167607868029,365.0,69.73846824300514,0.0896677422410135,common,8.96677422410135,,peak_abundance_with_occupancy_days_modifiers,0.6973846824300515
piecro1,NG,0.21204215824303588,0.2362,0.2362,resident,0.5674,0.0733,0.0591,365.0,56.74,0.08842844833485171,common,8.84284483348517,,peak_abundance_with_occupancy_days_modifiers,0.5674
helgui,NG,0.2103313067419569,0.2340868535297054,0.2340868535297054,resident,0.4207331318917448,0.0552867198744245,0.013283110437735,365.0,42.073313189174485,0.08771496784198497,fairly_common,8.771496784198497,,peak_abundance_with_occupancy_days_modifiers,0.4207331318917448
spepig1,NG,0.2017156039005893,0.2235,0.2235,resident,0.3765,0.0686,0.0441,365.0,37.65,0.08412194068224879,fairly_common,8.41219406822488,,peak_abundance_with_occupancy_days_modifiers,0.3765
comswi,NG,0.18995898392316593,0.14356666666666665,0.2092,nonbreeding,0.2698,0.0186,0.0146,140.0,26.979999999999997,0.07921904933799787,fairly_common,7.921904933799786,,peak_abundance_with_occupancy_days_modifiers,0.2698
orcwax,NG,0.1837697829830861,0.2017391304501248,0.2017391304501248,resident,0.4281671927770046,0.1280172839824315,0.1017008219666042,365.0,42.81671927770046,0.07663795206895116,fairly_common,7.663795206895116,,peak_abundance_with_occupancy_days_modifiers,0.4281671927770046
pitwhy,NG,0.18215487623685567,0.1998,0.1998,resident,0.7726,0.0671,0.0904,365.0,77.25999999999999,0.07596448364664353,fairly_common,7.596448364664353,,peak_abundance_with_occupancy_days_modifiers,0.7726
