species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
categr1,NI,1.6367921106461272,2.421806740613068,4.138658795274254,nonbreeding,0.5991697914234881,0.0077121513424495,0.0150169149777739,140.0,59.916979142348815,0.6825953281670939,common,68.2595328167094,,peak_abundance_with_occupancy_days_modifiers,0.5991697914234881
blkvul,NI,1.4980369678404195,3.4729,3.4729,resident,0.9828,0.0072,0.0238,365.0,98.28,0.6247299391404169,common,62.47299391404169,,peak_abundance_with_occupancy_days_modifiers,0.9828
turvul,NI,1.4456240271958853,2.171375,3.2445,postbreeding_migration,0.9932,0.0062,0.0219,126.0,99.32,0.6028720451618498,common,60.28720451618498,,peak_abundance_with_occupancy_days_modifiers,0.9932
buwtea,NI,1.4020446712111223,2.3373,3.0635,nonbreeding,0.2696,0.0445,0.1616,133.0,26.96,0.5846980421187955,common,58.46980421187955,,peak_abundance_with_occupancy_days_modifiers,0.2696
neocor,NI,1.1110348086666668,2.0375,2.0375,resident,0.1805,0.0062,0.0418,365.0,18.05,0.46333750321384004,common,46.333750321384,,peak_abundance_with_occupancy_days_modifiers,0.1805
barswa,NI,1.0890668758245783,1.0927,1.9715,postbreeding_migration,0.8346,0.0016,0.0017,154.0,83.46000000000001,0.4541761636460565,common,45.41761636460565,,peak_abundance_with_occupancy_days_modifiers,0.8346
grtgra,NI,1.051380908962671,1.672975,1.8616,nonbreeding,0.8603,0.103,0.0701,126.0,86.03,0.43845989476250047,common,43.84598947625005,,peak_abundance_with_occupancy_days_modifiers,0.8603
bbwduc,NI,1.0165703616644934,1.46655,1.7637,nonbreeding,0.2443,0.0149,0.0319,161.0,24.43,0.4239427689759547,common,42.39427689759547,,peak_abundance_with_occupancy_days_modifiers,0.2443
grbani,NI,0.8922439107156022,1.4053749999999998,1.4406,prebreeding_migration,0.957,0.0821,0.1518,133.0,95.7,0.3720946118194492,common,37.20946118194492,,peak_abundance_with_occupancy_days_modifiers,0.957
brwhaw,NI,0.872297046188265,0.5981000000000001,1.3924,postbreeding_migration,0.7964,0.074,0.0737,91.0,79.64,0.3637761232041984,common,36.377612320419836,,peak_abundance_with_occupancy_days_modifiers,0.7964
orcpar,NI,0.807502124797348,1.2423,1.2423,resident,0.8008,0.1542,0.1902,365.0,80.08,0.3367545421843982,common,33.67545421843982,,peak_abundance_with_occupancy_days_modifiers,0.8008
clcrob,NI,0.7438878222631296,1.1041,1.1041,resident,0.9573,0.134,0.1924,365.0,95.73,0.31022531746976756,common,31.022531746976757,,peak_abundance_with_occupancy_days_modifiers,0.9573
grekis,NI,0.733809162278835,1.083,1.083,resident,0.9604,0.0096,0.0125,365.0,96.04,0.3060221897941654,common,30.60221897941654,,peak_abundance_with_occupancy_days_modifiers,0.9604
trokin,NI,0.7133908870369877,0.9010750000000001,1.0409,nonbreeding,0.9749,0.009,0.0165,119.0,97.49,0.2975071076412993,common,29.750710764129927,,peak_abundance_with_occupancy_days_modifiers,0.9749
whwdov,NI,0.6650563003934197,0.755025,0.9446,breeding,0.5592,0.0343,0.0279,119.0,55.92,0.2773500193848297,fairly_common,27.735001938482974,,peak_abundance_with_occupancy_days_modifiers,0.5592
greegr,NI,0.5953138202111822,0.773325,0.8136,nonbreeding,0.6196,0.0025,0.007,133.0,61.96,0.24826514609057315,fairly_common,24.826514609057316,,peak_abundance_with_occupancy_days_modifiers,0.6196
varsee3,NI,0.5698489642154517,0.768,0.768,resident,0.7631,0.1899,0.2913,365.0,76.31,0.23764547629739957,common,23.76454762973996,,peak_abundance_with_occupancy_days_modifiers,0.7631
swahaw,NI,0.5571556213485969,0.47046666666666664,0.7457,prebreeding_migration,0.8069,0.068,0.0959,112.0,80.69,0.23235194116646724,fairly_common,23.235194116646724,,peak_abundance_with_occupancy_days_modifiers,0.8069
rewbla,NI,0.5288030569966433,0.59075,0.6969,prebreeding_migration,0.3143,0.0057,0.0029,126.0,31.430000000000003,0.22052800345176216,fairly_common,22.052800345176216,,peak_abundance_with_occupancy_days_modifiers,0.3143
oltpar1,NI,0.5285083586182986,0.6964,0.6964,resident,0.5363,0.1559,0.1759,365.0,53.63,0.22040510468229227,common,22.040510468229225,,peak_abundance_with_occupancy_days_modifiers,0.5363
miskit,NI,0.5179601126665901,0.4304,0.6786,postbreeding_migration,0.4539,0.0335,0.1057,84.0,45.39,0.2160061444477201,fairly_common,21.60061444477201,,peak_abundance_with_occupancy_days_modifiers,0.4539
monoro1,NI,0.5166486370687794,0.6764,0.6764,resident,0.6019,0.2484,0.3182,365.0,60.19,0.2154592166428706,common,21.54592166428706,,peak_abundance_with_occupancy_days_modifiers,0.6019
socfly1,NI,0.507600428410296,0.6613,0.6613,resident,0.9697,0.0183,0.0536,365.0,96.97,0.21168582054791765,common,21.168582054791766,,peak_abundance_with_occupancy_days_modifiers,0.9697
bknsti,NI,0.48870270667821997,0.48597499999999993,0.6302,nonbreeding,0.1311,0.0045,0.0152,140.0,13.11,0.20380485846152005,fairly_common,20.380485846152006,,peak_abundance_with_occupancy_days_modifiers,0.1311
snoegr,NI,0.4684399072695528,0.432875,0.5975,nonbreeding,0.3838,0.0073,0.019,119.0,38.379999999999995,0.1953546147671738,fairly_common,19.53546147671738,,peak_abundance_with_occupancy_days_modifiers,0.3838
easkin,NI,0.4669991202254368,0.40199999999999997,0.5952,prebreeding_migration,0.8726,0.0138,0.0457,63.0,87.26,0.194753759900633,fairly_common,19.475375990063302,,peak_abundance_with_occupancy_days_modifiers,0.8726
y00599,NI,0.46304195291218425,0.5889,0.5889,resident,0.6152,0.3845,0.451,365.0,61.519999999999996,0.19310349295272144,common,19.310349295272143,,peak_abundance_with_occupancy_days_modifiers,0.6152
blbgra1,NI,0.4593849500975948,0.5831,0.5831,resident,0.8555,0.0102,0.0096,365.0,85.55,0.191578404323508,common,19.1578404323508,,peak_abundance_with_occupancy_days_modifiers,0.8555
whfpar1,NI,0.4490353228095392,0.5668,0.5668,resident,0.6035,0.157,0.1505,365.0,60.35,0.1872622745052205,common,18.72622745052205,,peak_abundance_with_occupancy_days_modifiers,0.6035
cliswa,NI,0.4478858239921165,0.24093333333333333,0.565,postbreeding_migration,0.8795,0.012,0.01,119.0,87.94999999999999,0.1867828962644514,fairly_common,18.678289626445142,,peak_abundance_with_occupancy_days_modifiers,0.8795
whcsee1,NI,0.4216664874461724,0.5245,0.5245,resident,0.8679,0.1888,0.1507,365.0,86.79,0.17584858364313918,common,17.58485836431392,,peak_abundance_with_occupancy_days_modifiers,0.8679
melbla1,NI,0.41982813094393184,0.5217,0.5217,resident,0.91,0.1537,0.0923,365.0,91.0,0.1750819294347195,common,17.50819294347195,,peak_abundance_with_occupancy_days_modifiers,0.91
sctfly,NI,0.41949949707196754,0.33526666666666666,0.5212,nonbreeding,0.3847,0.2768,0.4608,91.0,38.47,0.17494487846519122,fairly_common,17.49448784651912,,peak_abundance_with_occupancy_days_modifiers,0.3847
