species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
gragoo,NL,3.5613171107478974,24.348270249849246,34.20954148361027,nonbreeding,0.6958067311438333,0.0271804357402808,0.1091472044360078,154.0,69.58067311438333,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6958067311438333
bargoo,NL,4.497424492759861,37.78452507979191,88.78558982348515,nonbreeding,0.4652833585606332,0.0954121361504151,0.3076783228699574,119.0,46.52833585606332,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4652833585606332
eurcoo,NL,2.479842312607925,7.2841033003170494,10.939381579458813,nonbreeding,0.6901176772538695,0.0118684463811965,0.0171296808025353,154.0,69.01176772538695,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6901176772538695
eursta,NL,4.465637428811311,56.51239763973361,85.97645317072282,postbreeding_migration,0.9081199596735516,0.0048461549054657,0.0123896641411334,126.0,90.81199596735516,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9081199596735516
eurwig,NL,3.596938476008796,14.190764845264418,35.48635941232227,nonbreeding,0.4730574102015079,0.0164525292187958,0.1685248117639642,147.0,47.30574102015079,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4730574102015079
cowpig1,NL,2.5197013787636493,7.159453302080995,11.424885774778437,postbreeding_migration,0.8976507846218025,0.010447090607438,0.0094758845848351,112.0,89.76507846218024,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8976507846218025
gwfgoo,NL,4.531787074939297,36.58419150005263,91.92447578887813,nonbreeding,0.6661095590854356,0.0203841917392675,0.0412627395304595,140.0,66.61095590854356,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6661095590854356
mallar3,NL,2.8812511973632917,11.153795045310412,16.836576301137296,nonbreeding,0.7670105016159017,0.0125974944339059,0.0128177390653702,154.0,76.70105016159016,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7670105016159017
bkhgul,NL,3.322469714437769,22.299528934338493,26.728748152141243,nonbreeding,0.6952432686277942,0.0282299743402134,0.0513192573135763,161.0,69.52432686277942,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6952432686277942
mewgul,NL,2.414900786975086,4.92652043412348,10.188660241657326,nonbreeding,0.7218629994767118,0.0451067828160467,0.115314029016162,154.0,72.18629994767119,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7218629994767118
norlap,NL,3.472430076225353,17.62100298728013,31.21493214351484,nonbreeding,0.4764995988015271,0.0138947050430412,0.0669844457369129,168.0,47.64995988015271,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4764995988015271
comcha,NL,2.446630098106938,4.3829031233704825,10.54936085384199,postbreeding_migration,0.8969546961404572,0.004541946165569,0.0057728926582065,112.0,89.69546961404572,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8969546961404572
carmar1,NL,2.44589519221488,6.022506806467261,10.540876278565044,postbreeding_migration,0.4761904761904761,0.0010066691833396,0.0167781841432279,56.0,47.61904761904761,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4761904761904761
laugul,NL,2.185567322885916,3.408785505087248,7.895693852787926,breeding,0.8095238095238095,0.0003938467241219535,0.00029510466298299226,56.0,80.95238095238095,0.9114523672818013,abundant,91.14523672818014,,peak_abundance_with_occupancy_days_modifiers,0.8095238095238095
eugplo,NL,2.1815434896052666,4.932932971767686,7.859970983443647,nonbreeding,0.3279658646240875,0.0310718239889843,0.036335171407988,168.0,32.79658646240875,0.9097742984660796,abundant,90.97742984660796,,peak_abundance_with_occupancy_days_modifiers,0.3279658646240875
tunbeg1,NL,2.0500786938306637,4.077839103930152,6.76851241625389,nonbreeding,0.6489886964479974,0.0309696088578142,0.0129474037621479,84.0,64.89886964479975,0.854949220296097,abundant,85.4949220296097,,peak_abundance_with_occupancy_days_modifiers,0.6489886964479974
