species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
atlpuf,NO,3.3070191230195882,10.961299985038266,26.30361532798989,breeding,0.099147058005326,0.0035498345249601,0.0196411294799269,98.0,9.9147058005326,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.099147058005326
commur,NO,2.0906027074340674,2.084060521508259,7.089789471521438,prebreeding_migration,0.0681356470060884,0.0030411802267637,0.0089539151958355,105.0,6.81356470060884,0.8718490465992331,abundant,87.18490465992332,,peak_abundance_with_occupancy_days_modifiers,0.0681356470060884
bklkit,NO,1.9235015482833875,2.6895059298985213,5.844884248900371,prebreeding_migration,0.1419270399580244,0.0044193571489026,0.0052573129912884,119.0,14.19270399580244,0.8021624505888615,abundant,80.21624505888614,,peak_abundance_with_occupancy_days_modifiers,0.1419270399580244
norful,NO,1.786907922112193,1.7723541521069366,4.9709612157781145,prebreeding_migration,0.0572675442503608,0.0018696253232963,0.0016275197605233,70.0,5.72675442503608,0.7451984840133787,common,74.51984840133787,,peak_abundance_with_occupancy_days_modifiers,0.0572675442503608
redpol1,NO,1.2830445691432817,1.5632141380127609,2.6076066301755465,postbreeding_migration,0.8730237542983452,0.0463655952559752,0.0479273213517927,112.0,87.30237542983453,0.5350711449737146,common,53.507114497371454,,peak_abundance_with_occupancy_days_modifiers,0.8730237542983452
meapip1,NO,1.264049189856239,1.2193617439278321,2.539725528636388,postbreeding_migration,0.881616783914751,0.1361225073389145,0.3143750240675052,105.0,88.16167839147509,0.5271494565236284,common,52.71494565236284,,peak_abundance_with_occupancy_days_modifiers,0.881616783914751
comeid,NO,1.2507526387874786,1.5497126380219217,2.4929709137801046,prebreeding_migration,0.1426381724254788,0.1932124255389098,0.1231550630781721,98.0,14.26381724254788,0.5216043640337288,common,52.16043640337288,,peak_abundance_with_occupancy_days_modifiers,0.1426381724254788
fieldf,NO,1.2387799458313415,1.000375,2.4514,postbreeding_migration,0.6547,0.0341,0.0641,91.0,65.47,0.5166113632584426,common,51.66113632584426,,peak_abundance_with_occupancy_days_modifiers,0.6547
wlwwar,NO,1.1331014613808503,1.4388465724481554,2.105272463269348,breeding,0.8852046140550239,0.0732854981040608,0.1365490338370437,84.0,88.52046140550239,0.47254001216596425,common,47.25400121659643,,peak_abundance_with_occupancy_days_modifiers,0.8852046140550239
thbmur,NO,1.0583168578336257,0.7292088602271564,1.881516902752924,prebreeding_migration,0.039944530423865,0.0012267240019259,0.0054403321959746,70.0,3.9944530423864997,0.441352410106951,rare,44.1352410106951,rare,peak_abundance_with_occupancy_days_modifiers,0.039944530423865
redwin,NO,0.9933258443410087,0.6365000000000001,1.7002,postbreeding_migration,0.7182,0.0002,0.0001,0.0,71.82,0.4142490523290394,very_rare,41.42490523290394,very_rare,peak_abundance_with_occupancy_days_modifiers,0.7182
hergul,NO,0.9790401535272647,1.2210750000000001,1.6619,nonbreeding,0.1121,0.0309,0.1015,133.0,11.21,0.4082914565258364,common,40.82914565258364,,peak_abundance_with_occupancy_days_modifiers,0.1121
comcha,NO,0.9779086828129366,0.8910770552203731,1.6588898413798323,prebreeding_migration,0.7223161704531167,0.0259862183665224,0.018233144335347,112.0,72.23161704531167,0.4078195965880137,common,40.78195965880137,,peak_abundance_with_occupancy_days_modifiers,0.7223161704531167
gretit1,NO,0.9721594458393186,1.6436471126106285,1.6436471126106285,resident,0.8547476400986276,0.0310958991713538,0.0240894116273422,365.0,85.47476400986275,0.4054219785440411,common,40.54219785440411,,peak_abundance_with_occupancy_days_modifiers,0.8547476400986276
kineid,NO,0.926506645544254,0.6362661204243739,1.525670685670103,nonbreeding,0.0791540397207909,0.2866545619609623,0.7267411782182284,63.0,7.91540397207909,0.3863832820617767,common,38.63832820617767,,peak_abundance_with_occupancy_days_modifiers,0.0791540397207909
mewgul,NO,0.9187000166869279,0.7710568749331042,1.5060304736791896,breeding,0.2685958008818555,0.0912055634835099,0.1936147850671325,154.0,26.85958008818555,0.38312766496044454,common,38.31276649604445,,peak_abundance_with_occupancy_days_modifiers,0.2685958008818555
eursis,NO,0.9143688863114565,0.537025,1.4952,postbreeding_migration,0.7228,0.0247,0.0451,154.0,72.28,0.3813214433023915,common,38.13214433023915,,peak_abundance_with_occupancy_days_modifiers,0.7228
