species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
categr2,NP,1.1705322078073854,1.6220410579423503,2.223707864553919,postbreeding_migration,0.2440754815116256,0.0064246488093996,0.0092131985202343,126.0,24.407548151162562,0.48814984586101684,common,48.81498458610169,,peak_abundance_with_occupancy_days_modifiers,0.2440754815116256
revbul,NP,1.1206189008597713,2.0667516312938385,2.0667516312938385,resident,0.5756868798372345,0.0211496560789529,0.0186216380569957,365.0,57.56868798372346,0.4673343801007608,common,46.73343801007608,,peak_abundance_with_occupancy_days_modifiers,0.5756868798372345
commyn,NP,1.052808875898095,1.865689189100972,1.865689189100972,resident,0.5287728126340403,0.0142985137969197,0.0143712633040174,365.0,52.87728126340403,0.43905540322845504,common,43.9055403228455,,peak_abundance_with_occupancy_days_modifiers,0.5287728126340403
gnwtea,NP,0.9315074888275137,0.8556203997691713,1.53833280319866,nonbreeding,0.0815552295236757,0.0042631924285852,0.005812853317411,70.0,8.155522952367571,0.38846879569533244,common,38.84687956953324,,peak_abundance_with_occupancy_days_modifiers,0.0815552295236757
lewduc1,NP,0.8985747260683751,0.626275,1.4561,nonbreeding,0.1134,0.007,0.0127,112.0,11.34,0.3747347668856815,common,37.473476688568155,,peak_abundance_with_occupancy_days_modifiers,0.1134
spodov,NP,0.8486812489510001,1.3365634737366945,1.3365634737366945,resident,0.5880698169587072,0.0144859509495686,0.0127145402370468,365.0,58.80698169587072,0.3539275708069516,common,35.39275708069516,,peak_abundance_with_occupancy_days_modifiers,0.5880698169587072
labcro1,NP,0.8375505089323235,1.3107,1.3107,resident,1.0,0.0189,0.0277,365.0,100.0,0.34928569167864143,common,34.92856916786414,,peak_abundance_with_occupancy_days_modifiers,1.0
whcbul2,NP,0.7978173724016603,1.2206886986723446,1.2206886986723446,resident,0.4642708244773945,0.3585591689837509,0.2837851081031273,365.0,46.42708244773945,0.3327156867324729,common,33.271568673247295,,peak_abundance_with_occupancy_days_modifiers,0.4642708244773945
rorpar,NP,0.7878536900615716,1.1986723261130308,1.1986723261130308,resident,0.2650628178468857,0.0083784936984919,0.0091199614691519,365.0,26.506281784688568,0.3285605084587942,common,32.85605084587942,,peak_abundance_with_occupancy_days_modifiers,0.2650628178468857
junbab2,NP,0.7618248348036584,1.1421817837839223,1.1421817837839223,resident,0.2965817017071451,0.0147683360770193,0.0154864142663197,365.0,29.65817017071451,0.31770563270455093,common,31.770563270455092,,peak_abundance_with_occupancy_days_modifiers,0.2965817017071451
blabul1,NP,0.6404557432505029,0.6863220656315987,0.8973453846466763,nonbreeding,0.3893910479262842,0.0366847056620398,0.0465695428542351,70.0,38.93910479262842,0.26709079020915033,fairly_common,26.709079020915034,,peak_abundance_with_occupancy_days_modifiers,0.3893910479262842
houspa,NP,0.6017256755792005,0.8252659009630529,0.8252659009630529,resident,0.240673552951182,0.0024387767182069,0.0014905160501182,365.0,24.0673552951182,0.25093909746816423,fairly_common,25.093909746816422,,peak_abundance_with_occupancy_days_modifiers,0.240673552951182
ortdov,NP,0.592926418001059,0.6352606128609593,0.8092753717193645,postbreeding_migration,0.7987344254177201,0.0235467777846107,0.0199647246314743,140.0,79.87344254177201,0.24726952203759395,fairly_common,24.726952203759396,,peak_abundance_with_occupancy_days_modifiers,0.7987344254177201
houcro1,NP,0.5833769470487746,0.7920799832178084,0.7920799832178084,resident,0.1645615292739251,0.0081726914014653,0.0090370278659961,365.0,16.45615292739251,0.24328708332952634,fairly_common,24.328708332952633,,peak_abundance_with_occupancy_days_modifiers,0.1645615292739251
rocpig,NP,0.5827650570885171,0.7909837628854097,0.7909837628854097,resident,0.2024118639735368,0.0029869587919749,0.0022925775614442,365.0,20.24118639735368,0.2430319053961117,fairly_common,24.30319053961117,,peak_abundance_with_occupancy_days_modifiers,0.2024118639735368
gytmar1,NP,0.5739995402229956,0.7753534683893863,0.7753534683893863,resident,0.2555027847356168,0.0323497227540964,0.1128777359798239,365.0,25.550278473561676,0.23937640093561371,fairly_common,23.93764009356137,,peak_abundance_with_occupancy_days_modifiers,0.2555027847356168
bladro1,NP,0.5571019493947694,0.6759350592531814,0.7456063073845588,postbreeding_migration,0.3277422720690499,0.0123569901817559,0.0103587641667322,126.0,32.77422720690499,0.2323295582232101,fairly_common,23.23295582232101,,peak_abundance_with_occupancy_days_modifiers,0.3277422720690499
