species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
auisha1,NZ,2.5522956339066614,11.836537976492972,11.836537976492972,resident,0.8791946308724832,0.3075117370892019,0.9707978760242632,365.0,87.91946308724832,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8791946308724832
caisha2,NZ,2.2699948788578177,8.67935124461196,8.67935124461196,resident,0.7631578947368421,1.0,1.0,365.0,76.31578947368422,0.946661392850868,abundant,94.6661392850868,,peak_abundance_with_occupancy_days_modifiers,0.7631578947368421
sooshe,NZ,1.8447020786435369,2.6579985916128868,5.326214795132795,breeding,0.0766954085296531,0.002390418197373,0.0043296598259984,91.0,7.66954085296531,0.7693005193219922,abundant,76.93005193219922,,peak_abundance_with_occupancy_days_modifiers,0.0766954085296531
silver3,NZ,1.6779145966646116,4.354378281849724,4.354378281849724,resident,0.8812191302252741,0.2455666244240598,0.447437040728777,365.0,88.12191302252741,0.6997447368526927,common,69.97447368526927,,peak_abundance_with_occupancy_days_modifiers,0.8812191302252741
eursta,NZ,1.5974120028877263,3.0076239759722294,3.9402305635185546,breeding,0.332555956022655,0.0160916466078274,0.0099885533920657,126.0,33.2555956022655,0.6661725476540634,common,66.61725476540634,,peak_abundance_with_occupancy_days_modifiers,0.332555956022655
rocpen1,NZ,1.5959706200450359,3.933114929353808,3.933114929353808,breeding,0.6524064171122995,0.0022534586896691,0.0143450999663017,70.0,65.24064171122996,0.6655714443202184,common,66.55714443202184,,peak_abundance_with_occupancy_days_modifiers,0.6524064171122995
houspa,NZ,1.4128381899631663,3.1075970163273747,3.1075970163273747,resident,0.3660841384741194,0.0074933324406057,0.0113375148471182,365.0,36.60841384741194,0.5891992890558428,common,58.919928905584285,,peak_abundance_with_occupancy_days_modifiers,0.3660841384741194
comcha,NZ,1.2996746574491291,1.909884409523352,2.668103083453886,postbreeding_migration,0.90080867431929,0.0387751738949002,0.02944291234325,112.0,90.08086743192901,0.5420064304694985,common,54.20064304694985,,peak_abundance_with_occupancy_days_modifiers,0.90080867431929
kelgul,NZ,1.2884525675550207,2.627169411167519,2.627169411167519,resident,0.2481114756071869,0.1894214420293185,0.1097375306134288,365.0,24.81114756071869,0.5373264554841806,common,53.732645548418056,,peak_abundance_with_occupancy_days_modifiers,0.2481114756071869
dovpri1,NZ,1.146309427576686,2.146558851402073,2.146558851402073,breeding,0.5989304812834224,0.0002726500366373487,9.889162517617046e-06,91.0,59.893048128342244,0.4780481618944643,common,47.80481618944643,,peak_abundance_with_occupancy_days_modifiers,0.5989304812834224
nezfan1,NZ,1.1439240556196288,2.13906208300198,2.13906208300198,resident,0.800860162946361,1.0,1.0,365.0,80.0860162946361,0.4770533845227763,common,47.70533845227763,,peak_abundance_with_occupancy_days_modifiers,0.800860162946361
flushe1,NZ,1.108970378600397,1.5196503383122195,2.0312357619391843,prebreeding_migration,0.078815129388308,0.0526049973418394,0.0375299342329468,175.0,7.8815129388308,0.46247656900637535,common,46.24765690063754,,peak_abundance_with_occupancy_days_modifiers,0.078815129388308
eurbla,NZ,1.0906534805674626,1.4983580206827483,1.976218338072468,postbreeding_migration,0.8042220674198141,0.0425291942240704,0.0578583262842269,119.0,80.42220674198141,0.4548378292162267,common,45.48378292162267,,peak_abundance_with_occupancy_days_modifiers,0.8042220674198141
gryger1,NZ,1.0731933841617172,1.924704307619837,1.924704307619837,resident,0.8969691425783632,1.0,1.0,365.0,89.69691425783633,0.4475564034576407,common,44.75564034576407,,peak_abundance_with_occupancy_days_modifiers,0.8969691425783632
silgul2,NZ,1.0535705479713338,1.8678727359946727,1.8678727359946727,resident,0.1138443935926773,0.1880813808884246,0.316343266551342,365.0,11.38443935926773,0.4393730451546389,common,43.937304515463886,,peak_abundance_with_occupancy_days_modifiers,0.1138443935926773
faipri1,NZ,1.0190362647239295,1.2780294497058193,1.7705234257810307,breeding,0.0509871367380295,0.0341161056238661,0.0195153323391926,175.0,5.09871367380295,0.4249711304258516,common,42.49711304258516,,peak_abundance_with_occupancy_days_modifiers,0.0509871367380295
parshe1,NZ,1.0014435123999514,1.7222085354282402,1.7222085354282402,resident,0.542169776802049,1.0,1.0,365.0,54.216977680204906,0.41763438285244864,common,41.76343828524487,,peak_abundance_with_occupancy_days_modifiers,0.542169776802049
chisha1,NZ,0.9989648082576748,1.715469341539689,1.715469341539689,resident,0.583710407239819,0.09375,0.2051176475509698,365.0,58.371040723981906,0.41660068293636177,common,41.66006829363618,,peak_abundance_with_occupancy_days_modifiers,0.583710407239819
mallar3,NZ,0.9416254703926346,1.1443890554176175,1.5641459760961844,breeding,0.2398768142456397,0.016892286697654,0.0273418870024036,154.0,23.98768142456397,0.3926883217438212,common,39.26883217438212,,peak_abundance_with_occupancy_days_modifiers,0.2398768142456397
eurgre1,NZ,0.9401120055017395,1.0474904902241382,1.5602681663908555,breeding,0.351485598328134,0.0196342140987381,0.0873701299145401,287.0,35.1485598328134,0.3920571578610346,common,39.20571578610346,,peak_abundance_with_occupancy_days_modifiers,0.351485598328134
