species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
houspa,OM,2.444084655267745,10.52,10.52,resident,0.9477,0.0154,0.0597,365.0,94.77,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9477
eucdov,OM,2.051440650264777,6.7791,6.7791,resident,0.821,0.0168,0.0793,365.0,82.1,0.8555172002448308,abundant,85.55172002448307,,peak_abundance_with_occupancy_days_modifiers,0.821
rocpig,OM,1.4583591760200578,3.2989,3.2989,resident,0.819,0.0152,0.0211,365.0,81.89999999999999,0.608183014731138,common,60.8183014731138,,peak_abundance_with_occupancy_days_modifiers,0.819
bkwsti,OM,1.242106388306839,1.23075,2.4629,breeding,0.7059,0.0159,0.0365,105.0,70.59,0.5179985975189346,common,51.799859751893464,,peak_abundance_with_occupancy_days_modifiers,0.7059
gnwtea,OM,1.2111668649061766,0.9792666666666667,2.3574,nonbreeding,0.5377,0.0203,0.0114,119.0,53.769999999999996,0.5050958140856299,common,50.50958140856299,,peak_abundance_with_occupancy_days_modifiers,0.5377
crelar1,OM,1.0949388833018008,1.5061,1.989,breeding,0.9335,0.0203,0.0266,147.0,93.35,0.4566249809667437,common,45.66249809667437,,peak_abundance_with_occupancy_days_modifiers,0.9335
rewlap1,OM,0.772743634831088,0.7094,1.1657,breeding,0.4251,0.0234,0.0372,203.0,42.51,0.32225912599147316,common,32.225912599147314,,peak_abundance_with_occupancy_days_modifiers,0.4251
whiwag,OM,0.7588412837553077,0.781,1.1358,nonbreeding,0.8163,0.0135,0.0162,77.0,81.63,0.316461395275921,common,31.646139527592098,,peak_abundance_with_occupancy_days_modifiers,0.8163
mallar3,OM,0.753442336343701,0.3978,1.1243,nonbreeding,0.3553,0.0113,0.0022,126.0,35.53,0.31420985932568485,common,31.420985932568485,,peak_abundance_with_occupancy_days_modifiers,0.3553
litsti,OM,0.6947958208054698,0.5077,1.0033,nonbreeding,0.5242,0.019,0.0378,126.0,52.42,0.28975236270207716,common,28.975236270207716,,peak_abundance_with_occupancy_days_modifiers,0.5242
barswa,OM,0.6936470556015963,0.5908749999999999,1.001,postbreeding_migration,0.9228,0.0053,0.0022,154.0,92.28,0.28927329040192085,common,28.927329040192085,,peak_abundance_with_occupancy_days_modifiers,0.9228
commoo3,OM,0.6251894873767182,0.5184500000000001,0.8686,breeding,0.695,0.0195,0.0593,294.0,69.5,0.2607242670140114,common,26.07242670140114,,peak_abundance_with_occupancy_days_modifiers,0.695
litgre1,OM,0.6086236154892913,0.46695,0.8379,breeding,0.587,0.0153,0.0369,84.0,58.699999999999996,0.25381576184477006,fairly_common,25.381576184477005,,peak_abundance_with_occupancy_days_modifiers,0.587
renpha,OM,0.5101854188785674,0.37195,0.6656,postbreeding_migration,0.6524,,,,65.24,0.21276384530470976,fairly_common,21.276384530470978,,peak_abundance_with_occupancy_days_modifiers,0.6524
spofly1,OM,0.4079952379617895,0.45185,0.5038,postbreeding_migration,0.992,0.0071,0.0269,98.0,99.2,0.1701472297769095,fairly_common,17.014722977690948,,peak_abundance_with_occupancy_days_modifiers,0.992
norsho,OM,0.39068982252601003,0.23316666666666666,0.478,nonbreeding,0.3469,0.0282,0.0072,112.0,34.69,0.16293031099313632,fairly_common,16.29303109931363,,peak_abundance_with_occupancy_days_modifiers,0.3469
marwar3,OM,0.3624184185657981,0.4368,0.4368,prebreeding_migration,0.8948,0.0419,0.1615,49.0,89.48,0.15114021979068826,fairly_common,15.114021979068825,,peak_abundance_with_occupancy_days_modifiers,0.8948
kenplo1,OM,0.3524861833172777,0.2551,0.4226,nonbreeding,0.4846,0.0377,0.0391,98.0,48.46,0.14699815597280963,fairly_common,14.699815597280963,,peak_abundance_with_occupancy_days_modifiers,0.4846
watpip1,OM,0.3519236745132457,0.21135,0.4218,nonbreeding,0.5989,0.0352,0.0515,21.0,59.89,0.1467635715810669,rare,14.67635715810669,rare,peak_abundance_with_occupancy_days_modifiers,0.5989
hoopoe,OM,0.3378997886123984,0.17174999999999999,0.402,postbreeding_migration,0.9867,0.0125,0.0157,112.0,98.67,0.1409151569067758,fairly_common,14.09151569067758,,peak_abundance_with_occupancy_days_modifiers,0.9867
banswa,OM,0.32807997705861963,0.14786666666666665,0.3883,postbreeding_migration,0.8451,,,,84.50999999999999,0.13681997741116803,fairly_common,13.681997741116803,,peak_abundance_with_occupancy_days_modifiers,0.8451
clrwar1,OM,0.317289417204439,0.1735,0.3734,breeding,0.6573,,,,65.73,0.13231996443037256,fairly_common,13.231996443037255,,peak_abundance_with_occupancy_days_modifiers,0.6573
eutdov,OM,0.29602219672678226,0.1795,0.3445,postbreeding_migration,0.6721,0.0233,0.0495,119.0,67.21000000000001,0.12345084461562873,fairly_common,12.345084461562873,,peak_abundance_with_occupancy_days_modifiers,0.6721
norpin,OM,0.2909517213194036,0.10495,0.3377,nonbreeding,0.4539,0.0376,0.006,133.0,45.39,0.1213362921308317,fairly_common,12.13362921308317,,peak_abundance_with_occupancy_days_modifiers,0.4539
eaywag1,OM,0.29042829811980614,0.14643333333333333,0.337,postbreeding_migration,0.8326,0.0076,0.0058,126.0,83.26,0.12111800770217666,fairly_common,12.111800770217666,,peak_abundance_with_occupancy_days_modifiers,0.8326
comchi1,OM,0.28848175262234527,0.3038666666666667,0.3344,prebreeding_migration,0.9821,0.0238,0.0209,84.0,98.21,0.12030623517835448,fairly_common,12.030623517835448,,peak_abundance_with_occupancy_days_modifiers,0.9821
gloibi,OM,0.2826192781093186,0.13172499999999998,0.3266,postbreeding_migration,0.7433,,,,74.33,0.11786139341252326,fairly_common,11.786139341252326,,peak_abundance_with_occupancy_days_modifiers,0.7433
leswhi4,OM,0.2640551418206247,0.27053333333333335,0.3022,prebreeding_migration,0.9584,0.0123,0.0163,119.0,95.84,0.1101195472613236,fairly_common,11.01195472613236,,peak_abundance_with_occupancy_days_modifiers,0.9584
lbbgul,OM,0.2639783457525456,0.20136666666666667,0.3021,nonbreeding,0.0246,0.0047,0.0376,133.0,2.46,0.11008752081340063,rare,11.008752081340063,rare,peak_abundance_with_occupancy_days_modifiers,0.0246
egyvul1,OM,0.26236426446749106,0.124475,0.3,nonbreeding,0.2085,0.0107,0.0259,140.0,20.849999999999998,0.10941439663514121,fairly_common,10.941439663514121,,peak_abundance_with_occupancy_days_modifiers,0.2085
whsbul1,OM,0.2426324038980567,0.2746,0.2746,resident,0.2237,0.0631,0.0426,365.0,22.37,0.10118557163462019,fairly_common,10.11855716346202,,peak_abundance_with_occupancy_days_modifiers,0.2237
rutscr1,OM,0.24059046491793043,0.15856666666666666,0.272,postbreeding_migration,0.9248,,,,92.47999999999999,0.10033401693859575,fairly_common,10.033401693859576,,peak_abundance_with_occupancy_days_modifiers,0.9248
tawpip1,OM,0.22649791912678338,0.1572,0.2542,nonbreeding,0.9062,,,,90.62,0.094456968866058,fairly_common,9.4456968866058,,peak_abundance_with_occupancy_days_modifiers,0.9062
