species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
turvul,PA,2.4499183008655225,4.01055,10.5874,postbreeding_migration,0.9606,0.004,0.0378,126.0,96.06,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9606
brwhaw,PA,1.3545972743766361,1.2389666666666665,2.8752,postbreeding_migration,0.782,0.0539,0.0968,91.0,78.2,0.5649109407500544,common,56.49109407500544,,peak_abundance_with_occupancy_days_modifiers,0.782
blkvul,PA,1.2688331486728626,2.5567,2.5567,resident,0.9306,0.0046,0.0118,365.0,93.06,0.5291445223094001,common,52.914452230940014,,peak_abundance_with_occupancy_days_modifiers,0.9306
cliswa,PA,0.9984235614126774,0.604,1.714,postbreeding_migration,0.8011,0.0074,0.0205,98.0,80.11,0.41637496547024166,common,41.63749654702416,,peak_abundance_with_occupancy_days_modifiers,0.8011
swahaw,PA,0.9794157544932189,0.7517333333333333,1.6629,postbreeding_migration,0.2941,0.0357,0.0726,112.0,29.409999999999997,0.4084480942948896,common,40.84480942948896,,peak_abundance_with_occupancy_days_modifiers,0.2941
categr1,PA,0.9671307392135154,1.134838935946466,1.6303863570285866,nonbreeding,0.3965445441675883,0.0033010439228485,0.0038260031291514,140.0,39.654454416758824,0.4033248449941115,common,40.332484499411144,,peak_abundance_with_occupancy_days_modifiers,0.3965445441675883
neocor,PA,0.9490676513880921,1.5833,1.5833,resident,0.2129,0.0049,0.0219,365.0,21.29,0.395791952281769,common,39.5791952281769,,peak_abundance_with_occupancy_days_modifiers,0.2129
barswa,PA,0.8140808034555739,0.6729499999999999,1.2571,prebreeding_migration,0.5657,0.0008,0.001,154.0,56.57,0.33949806427764984,common,33.94980642776498,,peak_abundance_with_occupancy_days_modifiers,0.5657
orcpar,PA,0.7742662318447373,1.169,1.169,resident,0.7122,0.0924,0.1206,365.0,71.22,0.32289409826525073,common,32.28940982652507,,peak_abundance_with_occupancy_days_modifiers,0.7122
brnpel,PA,0.7275969152891709,0.87335,1.0701,breeding,0.1367,0.0517,0.0501,161.0,13.669999999999998,0.3034314815759477,common,30.34314815759477,,peak_abundance_with_occupancy_days_modifiers,0.1367
magfri,PA,0.7026023393307004,0.82345,1.019,prebreeding_migration,0.1606,0.0527,0.0796,140.0,16.06,0.2930079337913518,common,29.300793379135182,,peak_abundance_with_occupancy_days_modifiers,0.1606
easkin,PA,0.6420117684451749,0.4083666666666666,0.9003,prebreeding_migration,0.747,0.008,0.0465,70.0,74.7,0.2677397031172008,fairly_common,26.77397031172008,,peak_abundance_with_occupancy_days_modifiers,0.747
miskit,PA,0.6233146709612645,0.3811,0.8651,postbreeding_migration,0.2236,0.0111,0.0908,84.0,22.36,0.2599424078407933,fairly_common,25.99424078407933,,peak_abundance_with_occupancy_days_modifiers,0.2236
