species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
perboo1,PE,3.6539019305332694,37.62508479414885,37.62508479414885,resident,0.0485615950442831,0.2392339144595928,0.964056077478372,365.0,4.85615950442831,1.0,rare,100.0,rare,peak_abundance_with_occupancy_days_modifiers,0.0485615950442831
guacor1,PE,4.037662568042923,55.69367021277641,55.69367021277641,resident,0.0478014644363218,0.3485240247254986,0.949414400041395,365.0,4.78014644363218,1.0,rare,100.0,rare,peak_abundance_with_occupancy_days_modifiers,0.0478014644363218
fragul,PE,3.2035442510589065,10.81410681033245,23.619633910771817,nonbreeding,0.0484586508196316,0.155753114572589,0.8578921851184989,112.0,4.84586508196316,1.0,rare,100.0,rare,peak_abundance_with_occupancy_days_modifiers,0.0484586508196316
soumar,PE,1.6091649172165594,2.5407558378913686,3.9986352102113134,nonbreeding,0.0331588406391778,0.4335966964375151,0.1551389334557572,105.0,3.3158840639177805,0.6710738936228211,rare,67.1073893622821,rare,peak_abundance_with_occupancy_days_modifiers,0.0331588406391778
grygul,PE,1.3051684792606122,2.6883104451778403,2.6883104451778403,nonbreeding,0.0441344434388706,0.388541790903132,0.6323530804568884,119.0,4.41344434388706,0.5442975321175999,rare,54.42975321175999,rare,peak_abundance_with_occupancy_days_modifiers,0.0441344434388706
incter1,PE,1.2359806524689017,2.441752028939709,2.441752028939709,resident,0.054570522567719,0.3825747403056761,0.818577476179003,365.0,5.4570522567719,0.5154439672532063,common,51.54439672532063,,peak_abundance_with_occupancy_days_modifiers,0.054570522567719
perpel1,PE,1.0937882229736806,1.9855626542671927,1.9855626542671927,resident,0.0492886764953765,0.2443674754400818,0.6392533495917928,365.0,4.92886764953765,0.45614511833839083,rare,45.61451183383908,rare,peak_abundance_with_occupancy_days_modifiers,0.0492886764953765
yercac1,PE,0.8458729026237342,1.3300107996824997,1.3300107996824997,resident,0.6520742080540782,0.1129712644568997,0.2207469386058619,365.0,65.20742080540782,0.35275639942214443,common,35.27563994221444,,peak_abundance_with_occupancy_days_modifiers,0.6520742080540782
rayfin1,PE,0.7766459169826205,1.174167683355034,1.174167683355034,resident,0.3209419640075155,0.8974605006130886,0.9285552105852264,365.0,32.09419640075155,0.32388650404913893,common,32.388650404913896,,peak_abundance_with_occupancy_days_modifiers,0.3209419640075155
maspet,PE,0.7329733748058944,0.5415972648781363,1.0812597820213594,breeding,0.0588097605840859,0.0471955984359706,0.0287862070933487,21.0,5.88097605840859,0.3056736393456026,rare,30.56736393456026,rare,peak_abundance_with_occupancy_days_modifiers,0.0588097605840859
eleter1,PE,0.6795167888101594,0.485709971502268,0.9729241628291134,nonbreeding,0.0410213256578889,0.1687222249754563,0.5899325661803623,196.0,4.10213256578889,0.2833805114504253,rare,28.33805114504253,rare,peak_abundance_with_occupancy_days_modifiers,0.0410213256578889
lotmoc1,PE,0.6401881110283686,0.8968376618297506,0.8968376618297506,resident,0.2845664478041265,0.8374256101385686,0.8804849494140101,365.0,28.45664478041265,0.2669791789035315,fairly_common,26.69791789035315,,peak_abundance_with_occupancy_days_modifiers,0.2845664478041265
wepdov1,PE,0.5979077948114826,0.8183105392033099,0.8183105392033099,resident,0.2229794732537061,0.5872809741203509,0.81365448773478,365.0,22.29794732537061,0.24934691752143012,fairly_common,24.934691752143014,,peak_abundance_with_occupancy_days_modifiers,0.2229794732537061
