species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
grcter1,PG,0.8378966644461431,0.6599,1.3115,postbreeding_migration,0.1182,0.1343,0.1625,147.0,11.82,0.34943004974037434,common,34.943004974037436,,peak_abundance_with_occupancy_days_modifiers,0.1182
rabeat1,PG,0.485200076127018,0.2718,0.6245,postbreeding_migration,0.6363,0.0621,0.0707,84.0,63.629999999999995,0.20234414806647666,fairly_common,20.234414806647667,,peak_abundance_with_occupancy_days_modifiers,0.6363
succoc,PG,0.47567501648296745,0.6091,0.6091,resident,0.7137,0.1144,0.0843,365.0,71.37,0.19837188966465968,common,19.83718896646597,,peak_abundance_with_occupancy_days_modifiers,0.7137
wilwag1,PG,0.25390844968759113,0.2890537855887808,0.2890537855887808,resident,0.2952090340283945,0.0201291239091537,0.0156506516688234,365.0,29.520903402839448,0.10588804797603903,fairly_common,10.588804797603903,,peak_abundance_with_occupancy_days_modifiers,0.2952090340283945
torimp1,PG,0.1828099584777155,0.13117949512296256,0.200586225165539,breeding,0.0955897858217159,0.8834812997718067,0.901324100366053,140.0,9.55897858217159,0.07623767416012886,fairly_common,7.623767416012886,,peak_abundance_with_occupancy_days_modifiers,0.0955897858217159
dollar1,PG,0.17923346019472147,0.1118,0.1963,breeding,0.6038,0.0762,0.2012,49.0,60.38,0.0747461585282471,uncommon,7.47461585282471,,peak_abundance_with_occupancy_days_modifiers,0.6038
brakit1,PG,0.17546476933074148,0.1918,0.1918,resident,0.7971,0.2401,0.171,365.0,79.71000000000001,0.07317449236470286,fairly_common,7.317449236470286,,peak_abundance_with_occupancy_days_modifiers,0.7971
sufdov1,PG,0.14241555427720917,0.1530557062234574,0.1530557062234574,breeding,0.7530505245620599,0.3670833678019355,0.3923491177059073,245.0,75.30505245620598,0.059391899176234095,fairly_common,5.939189917623409,,peak_abundance_with_occupancy_days_modifiers,0.7530505245620599
pacswa1,PG,0.12195211075074605,0.1297,0.1297,resident,0.1782,0.0499,0.036,365.0,17.82,0.050857980385618125,uncommon,5.085798038561813,,peak_abundance_with_occupancy_days_modifiers,0.1782
chbcuc2,PG,0.11618175428940962,0.06395,0.1232,nonbreeding,0.8149,0.2792,0.5651,119.0,81.49,0.04845155483117667,uncommon,4.845155483117667,,peak_abundance_with_occupancy_days_modifiers,0.8149
torcro2,PG,0.09549198145922065,0.1002,0.1002,resident,0.2497,0.0247,0.0139,365.0,24.97,0.0398232493897786,uncommon,3.98232493897786,,peak_abundance_with_occupancy_days_modifiers,0.2497
blnter1,PG,0.09503741533475173,0.08539999999999999,0.0997,breeding,0.1266,,,,12.659999999999998,0.03963368059183081,uncommon,3.963368059183081,,peak_abundance_with_occupancy_days_modifiers,0.1266
barswa,PG,0.09440067542148431,0.054366666666666674,0.099,postbreeding_migration,0.2645,0.0016,0.0003,49.0,26.450000000000003,0.03936813942308566,uncommon,3.936813942308566,,peak_abundance_with_occupancy_days_modifiers,0.2645
bkfcus1,PG,0.09121088005338417,0.05445,0.0955,nonbreeding,0.441,0.0287,0.0176,63.0,44.1,0.03803789143257285,uncommon,3.803789143257285,,peak_abundance_with_occupancy_days_modifiers,0.441
whikit1,PG,0.08176430180263962,0.0852,0.0852,resident,0.2442,0.0245,0.025,365.0,24.42,0.034098362313888596,uncommon,3.4098362313888595,,peak_abundance_with_occupancy_days_modifiers,0.2442
palcoc1,PG,0.08038111194681247,0.0837,0.0837,resident,0.3963,0.3903,0.401,365.0,39.629999999999995,0.03352152734051921,uncommon,3.3521527340519213,,peak_abundance_with_occupancy_days_modifiers,0.3963
