species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,PH,3.1275891399417,7.48455,21.8189,postbreeding_migration,0.8877,0.0076,0.0449,154.0,88.77000000000001,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8877
whiter2,PH,2.0911752131356787,3.8301887503027894,7.094422248137692,nonbreeding,0.2147764587637071,0.043068068068068,0.4356671675039996,126.0,21.47764587637071,0.87208780002108,abundant,87.208780002108,,peak_abundance_with_occupancy_days_modifiers,0.2147764587637071
categr2,PH,1.5122021794221212,2.4619088861704683,3.5367104521844666,prebreeding_migration,0.3894836771335471,0.0363860796771808,0.0470121675275552,126.0,38.948367713354706,0.6306372912013644,common,63.063729120136436,,peak_abundance_with_occupancy_days_modifiers,0.3894836771335471
kenplo1,PH,1.4201159095954012,1.22265,3.1376,nonbreeding,0.1582,0.0142,0.3248,98.0,15.82,0.592234333878189,common,59.2234333878189,,peak_abundance_with_occupancy_days_modifiers,0.1582
yevbul1,PH,1.276935181861367,2.585633553473348,2.585633553473348,resident,0.7524575166932392,0.2212313496827302,0.3524837481135902,365.0,75.24575166932392,0.5325233325854007,common,53.25233325854008,,peak_abundance_with_occupancy_days_modifiers,0.7524575166932392
litegr,PH,1.214705007654963,1.48475,2.3693,nonbreeding,0.396,0.0115,0.0727,84.0,39.6,0.5065713342173567,common,50.657133421735665,,peak_abundance_with_occupancy_days_modifiers,0.396
grfhaw1,PH,1.20210105369314,1.3262,2.3271,postbreeding_migration,0.4882,0.1078,0.5611,91.0,48.82,0.5013150771552566,common,50.13150771552566,,peak_abundance_with_occupancy_days_modifiers,0.4882
eutspa,PH,1.1894275328839001,2.2852,2.2852,resident,0.5039,0.0134,0.0183,365.0,50.39,0.49602980846441425,common,49.602980846441426,,peak_abundance_with_occupancy_days_modifiers,0.5039
bkwsti,PH,0.974446426042503,0.7266999999999999,1.6497,nonbreeding,0.0557,0.0025,0.0506,105.0,5.57,0.406375723367315,common,40.637572336731495,,peak_abundance_with_occupancy_days_modifiers,0.0557
asgsta1,PH,0.9097493838307328,1.4837,1.4837,resident,0.3683,0.4506,0.5808,365.0,36.83,0.379394961135665,common,37.9394961135665,,peak_abundance_with_occupancy_days_modifiers,0.3683
