species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
lesfla1,PK,3.030487195906603,10.114009353500668,19.70731865313004,prebreeding_migration,0.1066487029207069,0.0751152515512685,0.0743853829706761,154.0,10.66487029207069,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1066487029207069
gnwtea,PK,1.9789027163012232,5.0633,6.2348,nonbreeding,0.427,0.0445,0.0847,119.0,42.699999999999996,0.8252665321750359,abundant,82.5266532175036,,peak_abundance_with_occupancy_days_modifiers,0.427
grefla3,PK,1.9404854978957085,3.909751565323681,5.962130249840369,breeding,0.0714777065015243,0.0578259076766638,0.2124269155222125,133.0,7.147770650152429,0.8092453077115165,abundant,80.92453077115165,,peak_abundance_with_occupancy_days_modifiers,0.0714777065015243
eurcoo,PK,1.7757994496493257,1.90365,4.905,nonbreeding,0.4175,0.0538,0.0881,154.0,41.75,0.7405658911771187,common,74.05658911771187,,peak_abundance_with_occupancy_days_modifiers,0.4175
norsho,PK,1.6460398148786488,3.4219333333333335,4.1864,nonbreeding,0.3582,0.0802,0.1738,126.0,35.82,0.6864519203783667,common,68.64519203783667,,peak_abundance_with_occupancy_days_modifiers,0.3582
houspa,PK,1.6081170404666845,3.9934,3.9934,resident,0.8819,0.0395,0.0623,365.0,88.19,0.6706368950759029,common,67.06368950759028,,peak_abundance_with_occupancy_days_modifiers,0.8819
bahgoo,PK,1.3723982559277792,1.0099749999999998,2.9448,nonbreeding,0.2852,0.1476,0.3401,105.0,28.52,0.5723345266560266,common,57.233452665602655,,peak_abundance_with_occupancy_days_modifiers,0.2852
categr2,PK,1.2834309559474244,1.5811831672528716,2.609000831105059,postbreeding_migration,0.3296775549922249,0.0552535690719613,0.077058156470648,126.0,32.96775549922249,0.535232280786661,common,53.523228078666094,,peak_abundance_with_occupancy_days_modifiers,0.3296775549922249
norpin,PK,1.2006272140748395,1.365675,2.3222,nonbreeding,0.3323,0.0757,0.1138,119.0,33.23,0.5007004382946607,common,50.07004382946607,,peak_abundance_with_occupancy_days_modifiers,0.3323
rocpig,PK,1.1917078969058639,2.2927,2.2927,resident,0.7919,0.0404,0.0403,365.0,79.19,0.49698079412581153,common,49.69807941258115,,peak_abundance_with_occupancy_days_modifiers,0.7919
comcra,PK,1.017799840375816,1.2518,1.7671,prebreeding_migration,0.3073,0.0471,0.0995,84.0,30.73,0.42445550142314276,common,42.445550142314275,,peak_abundance_with_occupancy_days_modifiers,0.3073
bkwsti,PK,0.9758418365006793,1.368125,1.6534,postbreeding_migration,0.4684,0.0411,0.0995,105.0,46.839999999999996,0.4069576547277066,common,40.69576547277066,,peak_abundance_with_occupancy_days_modifiers,0.4684
eucdov,PK,0.9611493681823817,1.6147,1.6147,resident,0.6123,0.0344,0.052,365.0,61.23,0.40083041952900206,common,40.0830419529002,,peak_abundance_with_occupancy_days_modifiers,0.6123
rewlap1,PK,0.896210466039963,1.36265,1.4503,breeding,0.6253,0.1004,0.1326,203.0,62.529999999999994,0.37374879387208404,common,37.3748793872084,,peak_abundance_with_occupancy_days_modifiers,0.6253
gadwal,PK,0.8363380201508617,1.1302333333333332,1.3079,postbreeding_migration,0.3926,0.0706,0.1,126.0,39.26,0.3487800445825333,common,34.87800445825333,,peak_abundance_with_occupancy_days_modifiers,0.3926
houcro1,PK,0.736446104955093,1.0885,1.0885,resident,0.5062,0.1542,0.165,365.0,50.62,0.30712188030449383,common,30.712188030449383,,peak_abundance_with_occupancy_days_modifiers,0.5062
rossta2,PK,0.7137338141683337,1.0416,1.0416,nonbreeding,0.4188,0.1302,0.1259,168.0,41.88,0.29765011936296876,common,29.765011936296876,,peak_abundance_with_occupancy_days_modifiers,0.4188
gragoo,PK,0.6898417235512188,0.8804,0.9934,prebreeding_migration,0.2588,0.0751,0.0719,105.0,25.88,0.2876863436767885,fairly_common,28.768634367678853,,peak_abundance_with_occupancy_days_modifiers,0.2588
