species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
tunbeg1,PL,3.2999244346998116,17.917608870402457,26.110590223365136,nonbreeding,0.5038616310128904,0.1932821120975847,0.4015022077423521,98.0,50.386163101289036,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5038616310128904
mallar3,PL,2.486122727534726,5.737281163155989,11.014601809629104,nonbreeding,0.1449268929146024,0.0192010767939241,0.0512737448535008,154.0,14.49268929146024,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1449268929146024
gwfgoo,PL,2.8547805853437365,7.208345139421462,16.370625419684938,prebreeding_migration,0.4015412918589178,0.0950899200176073,0.0510871430630741,133.0,40.154129185891776,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4015412918589178
comcra,PL,2.4580503429289338,4.007623156799839,10.682013402892643,postbreeding_migration,0.7187060037926463,0.109422387166879,0.1454536952556574,133.0,71.87060037926463,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7187060037926463
eursta,PL,4.200139873244139,32.14474884375839,65.6956593267612,postbreeding_migration,0.633229978641361,0.0221883727143351,0.0764878324905886,126.0,63.3229978641361,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.633229978641361
comcha,PL,2.394734415019185,3.7414797176012895,9.965285457198098,postbreeding_migration,0.99748680278672,0.0362511702283393,0.043836802090216,112.0,99.748680278672,0.998681819921394,abundant,99.8681819921394,,peak_abundance_with_occupancy_days_modifiers,0.99748680278672
norlap,PL,2.338821844757909,4.313215048104996,9.369013056463976,postbreeding_migration,0.4713688428119821,0.0439393010327792,0.0971851460213308,168.0,47.13688428119821,0.9753644670346584,abundant,97.53644670346584,,peak_abundance_with_occupancy_days_modifiers,0.4713688428119821
barswa,PL,2.309432023507835,4.676805162234619,9.068704243320916,postbreeding_migration,0.8986884227816994,0.0112426774900619,0.0152828044518353,105.0,89.86884227816994,0.9631079595952087,abundant,96.31079595952087,,peak_abundance_with_occupancy_days_modifiers,0.8986884227816994
cowpig1,PL,2.0890542846617115,3.0813107472192214,7.077272750369055,postbreeding_migration,0.9114236889838871,0.0414469522243373,0.0441084868279431,112.0,91.14236889838871,0.8712033041475417,abundant,87.12033041475416,,peak_abundance_with_occupancy_days_modifiers,0.9114236889838871
gragoo,PL,1.7181595969065833,2.5754759232776965,4.574260132648081,nonbreeding,0.2652860270685874,0.0657611609935434,0.0951974501104317,154.0,26.528602706858738,0.7165282055464715,common,71.65282055464715,,peak_abundance_with_occupancy_days_modifiers,0.2652860270685874
yellow2,PL,1.7040976839957014,2.3841612086152635,4.496423917747772,nonbreeding,0.8101048490465415,0.0604634229977542,0.1217212548424353,112.0,81.01048490465415,0.7106639323772469,common,71.0663932377247,,peak_abundance_with_occupancy_days_modifiers,0.8101048490465415
fieldf,PL,1.6234985960824346,2.426425,4.0708,postbreeding_migration,0.9896,0.0312,0.0116,91.0,98.96000000000001,0.6770515019981642,common,67.70515019981642,,peak_abundance_with_occupancy_days_modifiers,0.9896
bkhgul,PL,1.406331281118762,1.6551325159674335,3.080956026217592,prebreeding_migration,0.1617185879749769,0.0239514524946308,0.0400740888166186,161.0,16.17185879749769,0.5864856972996814,common,58.64856972996814,,peak_abundance_with_occupancy_days_modifiers,0.1617185879749769
gretit1,PL,1.3199618212849626,2.743278460971033,2.743278460971033,resident,0.9806359386124957,0.0298422753611057,0.0336315144381811,365.0,98.06359386124956,0.5504668349191716,common,55.04668349191716,,peak_abundance_with_occupancy_days_modifiers,0.9806359386124957
eurlin1,PL,1.2724536503332238,1.5843829661989965,2.5696003770821862,nonbreeding,0.6216384524753656,0.0484320933625476,0.0614605666140946,147.0,62.163845247536564,0.5306543887749761,common,53.065438877497606,,peak_abundance_with_occupancy_days_modifiers,0.6216384524753656
grecor,PL,1.2236561321591821,1.1772970300681695,2.399594406020079,postbreeding_migration,0.1078734621910039,0.0138058521742063,0.045906766550973,133.0,10.787346219100389,0.5103042430752873,common,51.03042430752873,,peak_abundance_with_occupancy_days_modifiers,0.1078734621910039
eursis,PL,1.1312730709076582,1.2050999999999998,2.0996,postbreeding_migration,0.9993,0.0335,0.0572,154.0,99.92999999999999,0.4717775141144716,common,47.17775141144716,,peak_abundance_with_occupancy_days_modifiers,0.9993
eugplo,PL,1.0783597304296224,1.9173495477064668,1.939853441945412,postbreeding_migration,0.4322145494789184,0.0729276511349031,0.0936106545645767,140.0,43.22145494789184,0.44971093719667105,common,44.9710937196671,,peak_abundance_with_occupancy_days_modifiers,0.4322145494789184
skylar,PL,1.0714340202521695,1.2451366814729399,1.9195632122698485,prebreeding_migration,0.8819544318897387,0.0407872809524377,0.0370061386832191,154.0,88.19544318897387,0.4468226917190566,common,44.68226917190566,,peak_abundance_with_occupancy_days_modifiers,0.8819544318897387
eutspa,PL,0.968414657255076,1.6337657264811294,1.6337657264811294,resident,0.4481255770196729,0.0145618966159914,0.0086770783289881,365.0,44.81255770196729,0.40386028040537614,common,40.38602804053761,,peak_abundance_with_occupancy_days_modifiers,0.4481255770196729
