species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
sooshe,PM,2.432847879634763,5.669756942464933,10.391276915352066,nonbreeding,0.7142857142857143,4.150197926712032e-05,3.4683026743800106e-05,105.0,71.42857142857143,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7142857142857143
norgan,PM,3.1473626371937558,22.2746,22.2746,breeding,0.8293,0.0,0.0001,77.0,82.93,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8293
bklkit,PM,3.0276920383388757,9.477790680919568,19.64951925153856,breeding,0.5194805194805194,7.812652590870915e-05,6.173826033400621e-05,105.0,51.94805194805194,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5194805194805194
comeid,PM,3.350959670301635,16.054525,27.5301,nonbreeding,0.4146,0.0013,0.004,84.0,41.46,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4146
razorb,PM,3.2098450687445164,9.07795728367977,23.77524746702863,prebreeding_migration,0.8571428571428571,0.0001425535223679436,0.0006168281642554493,126.0,85.71428571428571,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8571428571428571
amhgul1,PM,2.9069472012801585,9.431061582422101,17.300844407700872,breeding,0.8701298701298701,0.0006980628755204308,0.0018043544694285,133.0,87.01298701298701,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8701298701298701
commur,PM,5.249677537400222,108.96655066201696,189.50482787095103,breeding,0.6623376623376623,8.85247748654021e-05,0.00041655862958875096,77.0,66.23376623376623,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6623376623376623
atlpuf,PM,4.742801411343848,42.18435471424292,113.75522840487491,breeding,0.5974025974025974,0.00012231347195526822,0.0002347534693597079,98.0,59.74025974025974,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5974025974025974
greshe,PM,2.1398837893137093,4.383798220521443,7.49844996079609,nonbreeding,0.5974025974025974,0.00011745191662352106,7.667651335528044e-05,119.0,59.74025974025974,0.8924008540274743,abundant,89.24008540274743,,peak_abundance_with_occupancy_days_modifiers,0.5974025974025974
ambduc,PM,1.9462529474360912,1.6986249999999998,6.0024,prebreeding_migration,0.2439,0.0003,0.0185,147.0,24.39,0.811650520985761,abundant,81.1650520985761,,peak_abundance_with_occupancy_days_modifiers,0.2439
lotduc,PM,1.7675180048550208,2.8736,4.8563,postbreeding_migration,0.7805,0.0007,0.0006,77.0,78.05,0.7371122604501019,common,73.71122604501019,,peak_abundance_with_occupancy_days_modifiers,0.7805
comter,PM,1.5723796594774948,2.2204333333333333,3.8181,breeding,0.5122,0.0,0.0002,98.0,51.22,0.6557332496187417,common,65.57332496187416,,peak_abundance_with_occupancy_days_modifiers,0.5122
gbbgul,PM,1.5231172059675733,3.5865,3.5865,resident,0.7805,0.001,0.0021,365.0,78.05,0.6351892108240733,common,63.51892108240733,,peak_abundance_with_occupancy_days_modifiers,0.7805
ribgul,PM,1.506962120844864,1.5731,3.513,breeding,0.561,0.0002,0.0005,105.0,56.10000000000001,0.6284520170416876,common,62.845201704168765,,peak_abundance_with_occupancy_days_modifiers,0.561
sander,PM,1.3160596474374384,2.7287,2.7287,postbreeding_migration,0.3293,,,,32.93,0.5488395020277853,common,54.88395020277853,,peak_abundance_with_occupancy_days_modifiers,0.3293
savspa,PM,1.2572386519505292,1.6086999999999998,2.5157,postbreeding_migration,0.6463,0.0001,0.0004,91.0,64.63,0.5243092416139249,common,52.43092416139249,,peak_abundance_with_occupancy_days_modifiers,0.6463
doveki,PM,1.2291121343062803,2.418193292042071,2.418193292042071,nonbreeding,0.8701298701298701,0.00029666626815973927,0.00035338702142062567,133.0,87.01298701298701,0.5125795726983073,common,51.25795726983073,,peak_abundance_with_occupancy_days_modifiers,0.8701298701298701
whwcro,PM,1.1929523010424705,0.8565333333333335,2.2968,postbreeding_migration,0.5366,,,,53.66,0.49749975095879895,common,49.7499750958799,,peak_abundance_with_occupancy_days_modifiers,0.5366
amerob,PM,1.044508029674909,0.883225,1.842,prebreeding_migration,0.7317,0.0,0.0,98.0,73.17,0.4355936814771549,common,43.55936814771549,,peak_abundance_with_occupancy_days_modifiers,0.7317
doccor,PM,1.0196412287971155,0.6371,1.7722,breeding,0.2927,0.0003,0.0005,112.0,29.270000000000003,0.4252234200400182,common,42.522342004001814,,peak_abundance_with_occupancy_days_modifiers,0.2927
blkgui,PM,0.9985773898200884,1.2646552631026737,1.7144175224102938,breeding,0.5714285714285714,0.00023004285475762017,0.000453793764349888,84.0,57.14285714285714,0.41643911689885327,common,41.64391168988533,,peak_abundance_with_occupancy_days_modifiers,0.5714285714285714
bkbplo,PM,0.9871964393898861,0.422875,1.6837,postbreeding_migration,0.1829,0.0002,0.0008,140.0,18.29,0.41169289192426517,common,41.16928919242652,,peak_abundance_with_occupancy_days_modifiers,0.1829
amgplo,PM,0.9124433401452613,0.74525,1.4904,postbreeding_migration,0.4268,0.0001,0.0021,105.0,42.68,0.38051842817990533,common,38.05184281799053,,peak_abundance_with_occupancy_days_modifiers,0.4268
whrsan,PM,0.8842632850353951,0.7286,1.4212,postbreeding_migration,0.4268,0.0005,0.0001,133.0,42.68,0.3687664324069707,common,36.87664324069707,,peak_abundance_with_occupancy_days_modifiers,0.4268
y00478,PM,0.8655446561562067,0.642175,1.3763,prebreeding_migration,0.8537,0.001,0.0014,112.0,85.37,0.36096015784129987,common,36.09601578412999,,peak_abundance_with_occupancy_days_modifiers,0.8537
harduc,PM,0.84070474491756,0.46457500000000007,1.318,nonbreeding,0.5488,0.0018,0.0011,126.0,54.879999999999995,0.350601110254681,common,35.060111025468096,,peak_abundance_with_occupancy_days_modifiers,0.5488
comgol,PM,0.8057613249290797,0.62495,1.2384,prebreeding_migration,0.2805,,,,28.050000000000004,0.3360285722523433,common,33.60285722523433,,peak_abundance_with_occupancy_days_modifiers,0.2805
redkno,PM,0.7941682946186734,1.2126,1.2126,postbreeding_migration,0.7317,,,,73.17,0.3311939030981408,common,33.11939030981408,,peak_abundance_with_occupancy_days_modifiers,0.7317
cangoo,PM,0.7788660559624828,0.56785,1.179,breeding,0.3902,0.0,0.0,84.0,39.019999999999996,0.32481237391720513,common,32.48123739172051,,peak_abundance_with_occupancy_days_modifiers,0.3902
rebmer,PM,0.7699230193619948,0.4335,1.1596,postbreeding_migration,0.4268,0.0001,0.0,21.0,42.68,0.321082837977109,rare,32.108283797710904,rare,peak_abundance_with_occupancy_days_modifiers,0.4268
pursan,PM,0.7000234844993775,0.39629999999999993,1.0138,nonbreeding,0.7805,0.0029,0.0019,98.0,78.05,0.2919324677939092,common,29.19324677939092,,peak_abundance_with_occupancy_days_modifiers,0.7805
semplo,PM,0.6992286508758133,1.0122,1.0122,postbreeding_migration,0.3415,0.0001,0.0005,133.0,34.150000000000006,0.2916009964270898,common,29.160099642708982,,peak_abundance_with_occupancy_days_modifiers,0.3415
ruckin,PM,0.6424326660154439,0.34146666666666664,0.9011,prebreeding_migration,0.4756,0.0,0.0001,84.0,47.56,0.2679152310374747,fairly_common,26.791523103747473,,peak_abundance_with_occupancy_days_modifiers,0.4756
semsan,PM,0.5921659507058317,0.8079,0.8079,postbreeding_migration,0.2805,0.0001,0.0,126.0,28.050000000000004,0.2469523825428654,fairly_common,24.69523825428654,,peak_abundance_with_occupancy_days_modifiers,0.2805
daejun,PM,0.5450531223152179,0.39039999999999997,0.7247,prebreeding_migration,0.8171,0.0,0.0,105.0,81.71000000000001,0.2273048070523675,fairly_common,22.73048070523675,,peak_abundance_with_occupancy_days_modifiers,0.8171
grecor,PM,0.5369610973706165,0.42222499999999996,0.7108,postbreeding_migration,0.5366,0.0001,0.0,98.0,53.66,0.22393017053825573,fairly_common,22.393017053825574,,peak_abundance_with_occupancy_days_modifiers,0.5366
foxspa,PM,0.5292743938344507,0.34415,0.6977,breeding,0.5488,0.0001,0.0004,119.0,54.879999999999995,0.22072456618039937,fairly_common,22.072456618039936,,peak_abundance_with_occupancy_days_modifiers,0.5488
lcspet,PM,0.4814340128723887,0.41348825093536146,0.6183935361249107,postbreeding_migration,0.4415584415584415,0.00018635936152415955,7.912313970064024e-05,70.0,44.15584415584415,0.20077357770114362,fairly_common,20.07735777011436,,peak_abundance_with_occupancy_days_modifiers,0.4415584415584415
arcter,PM,0.4797682993006478,0.6157,0.6157,breeding,0.3537,0.0001,0.0001,42.0,35.370000000000005,0.20007892118689266,fairly_common,20.007892118689266,,peak_abundance_with_occupancy_days_modifiers,0.3537
manshe,PM,0.4742655281893035,0.6068335900010614,0.6068335900010614,breeding,0.8181818181818182,0.00012117085667795672,7.453437219787254e-06,77.0,81.81818181818183,0.1977840873908685,fairly_common,19.77840873908685,,peak_abundance_with_occupancy_days_modifiers,0.8181818181818182
snobun,PM,0.4636082221568752,0.3788666666666667,0.5898,prebreeding_migration,0.5366,,,,53.66,0.1933396455700249,fairly_common,19.33396455700249,,peak_abundance_with_occupancy_days_modifiers,0.5366
comloo,PM,0.44820526178432335,0.2785666666666667,0.5655,prebreeding_migration,0.3537,0.0002,0.0005,91.0,35.370000000000005,0.18691611217084675,fairly_common,18.691611217084674,,peak_abundance_with_occupancy_days_modifiers,0.3537
norwat,PM,0.4347002333764993,0.24896666666666667,0.5445,breeding,0.4146,0.0,0.0002,63.0,41.46,0.18128407787767947,fairly_common,18.128407787767948,,peak_abundance_with_occupancy_days_modifiers,0.4146
gresca,PM,0.40098843608108586,0.13035,0.4933,prebreeding_migration,0.0854,0.0,0.0,35.0,8.540000000000001,0.1672251664323638,fairly_common,16.72251664323638,,peak_abundance_with_occupancy_days_modifiers,0.0854
norful,PM,0.3914250472077076,0.3202086611453331,0.4790870616478579,breeding,0.5324675324675324,4.326552445682101e-05,5.002501371248224e-07,63.0,53.246753246753244,0.1632369235003788,fairly_common,16.32369235003788,,peak_abundance_with_occupancy_days_modifiers,0.5324675324675324
dunlin,PM,0.39089277892490715,0.4783,0.4783,postbreeding_migration,0.2195,,,,21.95,0.16301495038552322,fairly_common,16.30149503855232,,peak_abundance_with_occupancy_days_modifiers,0.2195
greyel,PM,0.3161966403499821,0.13933333333333334,0.3719,postbreeding_migration,0.439,0.0001,0.0002,161.0,43.9,0.1318642410854654,fairly_common,13.186424108546541,,peak_abundance_with_occupancy_days_modifiers,0.439
comrav,PM,0.2807329833635741,0.3241,0.3241,resident,0.5732,0.0,0.0,365.0,57.32000000000001,0.11707474740377448,common,11.707474740377448,,peak_abundance_with_occupancy_days_modifiers,0.5732
horlar,PM,0.2768738737351776,0.1278,0.319,postbreeding_migration,0.5244,,,,52.44,0.11546537368667588,fairly_common,11.546537368667588,,peak_abundance_with_occupancy_days_modifiers,0.5244
swaspa,PM,0.24059046491793043,0.16413333333333333,0.272,postbreeding_migration,0.6829,0.0001,0.0001,91.0,68.28999999999999,0.10033401693859575,fairly_common,10.033401693859576,,peak_abundance_with_occupancy_days_modifiers,0.6829
eursta,PM,0.23253927295457202,0.1718,0.2618,nonbreeding,0.0488,0.0,0.0,133.0,4.88,0.09697640910030075,rare,9.697640910030076,rare,peak_abundance_with_occupancy_days_modifiers,0.0488
whwsco2,PM,0.2235434713355367,0.09576666666666667,0.2505,postbreeding_migration,0.561,0.0003,0.0003,98.0,56.10000000000001,0.0932248684383363,fairly_common,9.32248684383363,,peak_abundance_with_occupancy_days_modifiers,0.561
yerwar,PM,0.2123656781423313,0.086425,0.2366,postbreeding_migration,0.6829,0.0,0.0,84.0,68.28999999999999,0.08856336661212817,fairly_common,8.856336661212817,,peak_abundance_with_occupancy_days_modifiers,0.6829
pinsis,PM,0.20383840025620426,0.07653333333333333,0.2261,postbreeding_migration,0.2805,0.0,0.0,105.0,28.050000000000004,0.08500721552293754,fairly_common,8.500721552293754,,peak_abundance_with_occupancy_days_modifiers,0.2805
rudtur,PM,0.20204248140615572,0.1127,0.2239,postbreeding_migration,0.3902,0.0001,0.0,14.0,39.019999999999996,0.08425825919009794,rare,8.425825919009794,rare,peak_abundance_with_occupancy_days_modifiers,0.3902
leasan,PM,0.18614756162748364,0.0898,0.2046,postbreeding_migration,0.2439,0.0,0.0001,98.0,24.39,0.0776295627833018,fairly_common,7.762956278330179,,peak_abundance_with_occupancy_days_modifiers,0.2439
bkpwar,PM,0.1630537864362979,0.13296666666666668,0.1771,breeding,0.5488,0.0001,0.0002,70.0,54.879999999999995,0.06799871048830765,uncommon,6.799871048830765,,peak_abundance_with_occupancy_days_modifiers,0.5488
borchi2,PM,0.15597758145435267,0.1688,0.1688,resident,0.1585,0.0,0.0001,365.0,15.85,0.06504770380247889,uncommon,6.504770380247889,,peak_abundance_with_occupancy_days_modifiers,0.1585
thbmur,PM,0.1535471105145396,0.12426208570655999,0.1659627149316978,prebreeding_migration,0.7662337662337663,0.0007532910173133443,0.0003061198387262146,77.0,76.62337662337663,0.06403411869416147,uncommon,6.403411869416146,,peak_abundance_with_occupancy_days_modifiers,0.7662337662337663
yebfly,PM,0.13950103877755748,0.08439999999999999,0.1497,breeding,0.5244,0.0001,0.0001,56.0,52.44,0.05817645180757129,uncommon,5.817645180757129,,peak_abundance_with_occupancy_days_modifiers,0.5244
sposan,PM,0.13557929424182294,0.0912,0.1452,breeding,0.5732,0.0001,0.0001,105.0,57.32000000000001,0.056540957305278965,uncommon,5.654095730527897,,peak_abundance_with_occupancy_days_modifiers,0.5732
amepip,PM,0.1354919694371567,0.049633333333333335,0.1451,postbreeding_migration,0.4146,,,,41.46,0.05650454003315834,uncommon,5.650454003315835,,peak_abundance_with_occupancy_days_modifiers,0.4146
whtspa,PM,0.12301377589514423,0.0951,0.1309,breeding,0.3293,0.0,0.0,105.0,32.93,0.051300729139678314,uncommon,5.130072913967831,,peak_abundance_with_occupancy_days_modifiers,0.3293
cedwax,PM,0.1212437072853642,0.059133333333333336,0.1289,postbreeding_migration,0.5244,0.0,0.0,112.0,52.44,0.05056255319435675,uncommon,5.0562553194356745,,peak_abundance_with_occupancy_days_modifiers,0.5244
amegfi,PM,0.11653781624795155,0.07135,0.1236,nonbreeding,0.0976,0.0,0.0,112.0,9.76,0.048600044201242594,uncommon,4.86000442012426,,peak_abundance_with_occupancy_days_modifiers,0.0976
blksco2,PM,0.11046745302597097,0.07885,0.1168,postbreeding_migration,0.2683,0.0008,0.0001,105.0,26.83,0.046068506109966274,uncommon,4.606850610996627,,peak_abundance_with_occupancy_days_modifiers,0.2683
bawwar,PM,0.09975483313699225,0.0647,0.1049,breeding,0.3537,0.0001,0.0001,91.0,35.370000000000005,0.04160099661924653,uncommon,4.160099661924653,,peak_abundance_with_occupancy_days_modifiers,0.3537
lesyel,PM,0.09848694671465404,0.0348,0.1035,postbreeding_migration,0.2195,0.0,0.0,140.0,21.95,0.04107224691248446,uncommon,4.1072246912484465,,peak_abundance_with_occupancy_days_modifiers,0.2195
amecro,PM,0.09476457644442293,0.053375,0.0994,prebreeding_migration,0.3537,0.0,0.0,91.0,35.370000000000005,0.03951989793692347,uncommon,3.9519897936923467,,peak_abundance_with_occupancy_days_modifiers,0.3537
