species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
sposta1,PT,1.9594325930161898,6.0953,6.0953,resident,0.8142,0.1237,0.1185,365.0,81.42,0.8171468601001535,abundant,81.71468601001534,,peak_abundance_with_occupancy_days_modifiers,0.8142
comhom1,PT,1.8417964664319484,2.1814713578705534,5.307859947119715,breeding,0.8511403425445846,0.013032113585161,0.0341101856192156,140.0,85.11403425445846,0.768088784912842,abundant,76.8088784912842,,peak_abundance_with_occupancy_days_modifiers,0.8511403425445846
comcha,PT,1.763788572264025,2.81,4.8345,nonbreeding,0.9373,0.0083,0.0131,112.0,93.73,0.7355569662580234,common,73.55569662580234,,peak_abundance_with_occupancy_days_modifiers,0.9373
norlap,PT,1.589500476051584,1.86475,3.9013,nonbreeding,0.2411,0.0139,0.0277,133.0,24.11,0.6628731846977701,common,66.287318469777,,peak_abundance_with_occupancy_days_modifiers,0.2411
houspa,PT,1.536114248015257,3.6465,3.6465,resident,0.8599,0.0043,0.0063,365.0,85.99,0.6406093983506603,common,64.06093983506604,,peak_abundance_with_occupancy_days_modifiers,0.8599
meapip1,PT,1.2845938062935514,1.6674666666666667,2.6132,nonbreeding,0.9305,0.0167,0.0652,98.0,93.05,0.5357172270473747,common,53.57172270473747,,peak_abundance_with_occupancy_days_modifiers,0.9305
barswa,PT,1.2679330332848129,1.338525,2.5535,breeding,0.8755,0.0016,0.0036,154.0,87.55,0.5287691450365639,common,52.876914503656394,,peak_abundance_with_occupancy_days_modifiers,0.8755
eurrob1,PT,1.2369819579328816,1.528225,2.4452,nonbreeding,0.9611,0.0103,0.0418,119.0,96.11,0.515861544065396,common,51.5861544065396,,peak_abundance_with_occupancy_days_modifiers,0.9611
eurbla,PT,1.197642812131064,2.068175,2.3123,prebreeding_migration,0.9594,0.0111,0.0242,119.0,95.94,0.4994558460150769,common,49.94558460150769,,peak_abundance_with_occupancy_days_modifiers,0.9594
eurgol,PT,1.1639005286962267,1.8693,2.2024,nonbreeding,0.952,0.0082,0.0214,245.0,95.19999999999999,0.48538422086213207,common,48.53842208621321,,peak_abundance_with_occupancy_days_modifiers,0.952
eurser1,PT,1.128559365036062,1.6285250000000002,2.0912,prebreeding_migration,0.9084,0.0522,0.1028,161.0,90.84,0.4706458108652178,common,47.06458108652178,,peak_abundance_with_occupancy_days_modifiers,0.9084
lbbgul,PT,1.0905801169708453,0.852325,1.976,nonbreeding,0.141,0.0081,0.0748,147.0,14.099999999999998,0.4548072342200859,common,45.48072342200859,,peak_abundance_with_occupancy_days_modifiers,0.141
whiwag,PT,1.0888985964804707,1.043825,1.971,nonbreeding,0.8959,0.0045,0.0085,112.0,89.59,0.45410598570875604,common,45.41059857087561,,peak_abundance_with_occupancy_days_modifiers,0.8959
comchi1,PT,1.0741146570677094,0.72425,1.9274,nonbreeding,0.9091,0.0067,0.0368,133.0,90.91,0.44794060410078107,common,44.79406041007811,,peak_abundance_with_occupancy_days_modifiers,0.9091
cowpig1,PT,1.019280439385979,1.3225,1.7712,nonbreeding,0.8794,0.0221,0.0096,112.0,87.94,0.4250729591690914,common,42.507295916909136,,peak_abundance_with_occupancy_days_modifiers,0.8794
corbun1,PT,0.9707031567127171,1.3605,1.6398,prebreeding_migration,0.5199,0.0097,0.0302,91.0,51.99,0.4048146588069694,common,40.48146588069694,,peak_abundance_with_occupancy_days_modifiers,0.5199
comswi,PT,0.9572407182031092,0.501925,1.6045,breeding,0.9207,0.0052,0.0065,91.0,92.07,0.3992003858809057,common,39.92003858809057,,peak_abundance_with_occupancy_days_modifiers,0.9207
categr1,PT,0.9452549445234183,1.34529807259147,1.573469386888283,postbreeding_migration,0.2382149825380268,0.0019372063967752,0.0041300010039547,140.0,23.82149825380268,0.3942019300201944,common,39.42019300201944,,peak_abundance_with_occupancy_days_modifiers,0.2382149825380268
blackc1,PT,0.9241795332943923,1.1308,1.5198,breeding,0.8277,0.0111,0.033,140.0,82.77,0.38541280087510427,common,38.54128008751043,,peak_abundance_with_occupancy_days_modifiers,0.8277
eurlin1,PT,0.8998767566059003,1.268375,1.4593,nonbreeding,0.8518,0.0145,0.0231,133.0,85.18,0.375277755794453,common,37.5277755794453,,peak_abundance_with_occupancy_days_modifiers,0.8518
yelgul1,PT,0.8689055802122244,1.2016499999999999,1.3843,nonbreeding,0.1126,0.0213,0.033,238.0,11.26,0.3623617720377762,common,36.23617720377762,,peak_abundance_with_occupancy_days_modifiers,0.1126
carcro1,PT,0.8672265301598647,1.0997000000000001,1.3803,nonbreeding,0.8348,0.014,0.0153,105.0,83.48,0.3616615537791196,common,36.16615537791196,,peak_abundance_with_occupancy_days_modifiers,0.8348
mallar3,PT,0.8586192452584069,1.136475,1.3599,postbreeding_migration,0.3731,0.0036,0.0034,126.0,37.31,0.3580720371729949,common,35.807203717299494,,peak_abundance_with_occupancy_days_modifiers,0.3731
sarwar1,PT,0.8502791262802402,1.221225,1.3403,postbreeding_migration,0.8847,0.0554,0.1235,161.0,88.47,0.3545939374107672,common,35.459393741076724,,peak_abundance_with_occupancy_days_modifiers,0.8847
sonthr1,PT,0.8209685519978296,0.66365,1.2727,nonbreeding,0.8839,0.0173,0.0624,49.0,88.39,0.3423704785237556,common,34.237047852375554,,peak_abundance_with_occupancy_days_modifiers,0.8839
eurgre1,PT,0.81372630351833,1.154,1.2563,breeding,0.9075,0.0075,0.033,287.0,90.75,0.33935022632106127,common,33.935022632106126,,peak_abundance_with_occupancy_days_modifiers,0.9075
blutit,PT,0.7954329741006955,1.2154,1.2154,resident,0.8813,0.0094,0.0209,365.0,88.13,0.3317213154069135,common,33.17213154069135,,peak_abundance_with_occupancy_days_modifiers,0.8813
azwmag3,PT,0.7828507636417239,1.1877,1.1877,resident,0.4522,0.2828,0.289,365.0,45.22,0.3264741260898055,common,32.64741260898055,,peak_abundance_with_occupancy_days_modifiers,0.4522
spaspa1,PT,0.7821648768775981,1.08615,1.1862,nonbreeding,0.242,,,,24.2,0.3261880890923159,common,32.61880890923159,,peak_abundance_with_occupancy_days_modifiers,0.242
eubeat1,PT,0.75541750628607,0.7682666666666668,1.1285,breeding,0.6099,0.0066,0.0124,70.0,60.99,0.31503356917022035,common,31.503356917022035,,peak_abundance_with_occupancy_days_modifiers,0.6099
winwre4,PT,0.727210385835646,0.7867500000000001,1.0693,prebreeding_migration,0.782,,,,78.2,0.3032702862735883,common,30.327028627358832,,peak_abundance_with_occupancy_days_modifiers,0.782
gretit1,PT,0.7249849374086966,1.0647,1.0647,resident,0.8897,,,,88.97,0.3023422021941063,common,30.23422021941063,,peak_abundance_with_occupancy_days_modifiers,0.8897
skylar,PT,0.7210541338129531,0.58845,1.0566,nonbreeding,0.393,0.0071,0.0086,154.0,39.300000000000004,0.30070292977035434,common,30.070292977035436,,peak_abundance_with_occupancy_days_modifiers,0.393
comcra,PT,0.7172542559031784,0.3853666666666667,1.0488,nonbreeding,0.113,0.0018,0.0009,84.0,11.3,0.29911825759852084,common,29.911825759852086,,peak_abundance_with_occupancy_days_modifiers,0.113
bkhgul,PT,0.7131948758637233,0.490425,1.0405,nonbreeding,0.0989,0.0085,0.0055,175.0,9.89,0.297425364632967,common,29.742536463296698,,peak_abundance_with_occupancy_days_modifiers,0.0989
gloibi,PT,0.6992783464901855,0.516,1.0123,nonbreeding,0.0263,,,,2.63,0.2916217211079947,rare,29.16217211079947,rare,peak_abundance_with_occupancy_days_modifiers,0.0263
stonec4,PT,0.6991789527916642,0.93195,1.0121,postbreeding_migration,0.9061,0.0208,0.0897,119.0,90.61,0.29158027071620796,common,29.158027071620797,,peak_abundance_with_occupancy_days_modifiers,0.9061
grecor,PT,0.6934971193242332,0.45692499999999997,1.0007,nonbreeding,0.4166,0.0042,0.004,98.0,41.660000000000004,0.2892107621176109,common,28.921076211761086,,peak_abundance_with_occupancy_days_modifiers,0.4166
eursis,PT,0.6805683983530851,0.548,0.975,nonbreeding,0.8019,0.0089,0.0085,77.0,80.19,0.2838190666929562,fairly_common,28.38190666929562,,peak_abundance_with_occupancy_days_modifiers,0.8019
eursta,PT,0.6396936598258557,0.442025,0.8959,nonbreeding,0.2944,0.0024,0.0007,140.0,29.439999999999998,0.2667729767361049,fairly_common,26.67729767361049,,peak_abundance_with_occupancy_days_modifiers,0.2944
eucdov,PT,0.6176151179475085,0.8545,0.8545,resident,0.6443,0.004,0.003,365.0,64.42999999999999,0.25756550961741737,common,25.756550961741738,,peak_abundance_with_occupancy_days_modifiers,0.6443
rocpig,PT,0.6043706101690995,0.8301,0.8301,resident,0.2985,0.0017,0.0016,365.0,29.849999999999998,0.25204212086535044,fairly_common,25.204212086535044,,peak_abundance_with_occupancy_days_modifiers,0.2985
grefla3,PT,0.5850658377545689,0.7428141920035921,0.7951091677062443,breeding,0.0450556182246342,0.0032376046854025,0.0037651260212432,133.0,4.50556182246342,0.24399140545941797,rare,24.399140545941798,rare,peak_abundance_with_occupancy_days_modifiers,0.0450556182246342
eurgri1,PT,0.5776240893044063,0.69525,0.7818,nonbreeding,0.5053,0.0319,0.0368,105.0,50.529999999999994,0.24088795530686902,fairly_common,24.0887955306869,,peak_abundance_with_occupancy_days_modifiers,0.5053
whisto1,PT,0.5772311509626024,0.7603333333333332,0.7811,nonbreeding,0.3368,0.011,0.0244,28.0,33.68,0.2407240872905042,rare,24.07240872905042,rare,peak_abundance_with_occupancy_days_modifiers,0.3368
eugplo,PT,0.542208004994659,0.3821666666666667,0.7198,nonbreeding,0.1361,0.0272,0.0128,35.0,13.61,0.22611830097229235,fairly_common,22.611830097229234,,peak_abundance_with_occupancy_days_modifiers,0.1361
bktgod,PT,0.48581546076182297,0.24674999999999997,0.6255,nonbreeding,0.0103,0.0005,0.015,105.0,1.03,0.2026007833923751,rare,20.260078339237513,rare,peak_abundance_with_occupancy_days_modifiers,0.0103
