species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
grcter1,PW,0.7922229887506329,0.840175,1.2083,nonbreeding,0.5868,0.0017,0.0007,147.0,58.68,0.33038264753994023,common,33.03826475399402,,peak_abundance_with_occupancy_days_modifiers,0.5868
rensti,PW,0.7051745607726637,0.40074999999999994,1.0242,postbreeding_migration,0.6108,0.0015,0.0002,133.0,61.08,0.29408063345056645,common,29.408063345056647,,peak_abundance_with_occupancy_days_modifiers,0.6108
blnter1,PW,0.5691133996364978,0.6105666666666667,0.7667,prebreeding_migration,0.6647,,,,66.47,0.23733872204199147,fairly_common,23.733872204199148,,peak_abundance_with_occupancy_days_modifiers,0.6647
rudtur,PW,0.5444731431782086,0.25882499999999997,0.7237,postbreeding_migration,0.3533,0.0011,0.0004,119.0,35.33,0.2270629369658844,fairly_common,22.70629369658844,,peak_abundance_with_occupancy_days_modifiers,0.3533
pagplo,PW,0.5432540909853283,0.42042500000000005,0.7216,nonbreeding,0.4012,0.0002,0.0005,119.0,40.12,0.22655455271461652,fairly_common,22.65545527146165,,peak_abundance_with_occupancy_days_modifiers,0.4012
colkin1,PW,0.48509751242435406,0.6243333938090425,0.6243333938090425,resident,0.847953216374269,0.0015153415266282,0.0013630040729765,365.0,84.7953216374269,0.20230137568028142,common,20.23013756802814,,peak_abundance_with_occupancy_days_modifiers,0.847953216374269
grsplo,PW,0.41686653083260683,0.307425,0.5172,nonbreeding,0.5689,0.0019,0.0009,133.0,56.88999999999999,0.17384684625785127,fairly_common,17.384684625785127,,peak_abundance_with_occupancy_days_modifiers,0.5689
lipcor1,PW,0.39729851877510397,0.4878,0.4878,resident,0.2156,0.0005,0.0043,365.0,21.560000000000002,0.1656863513940924,fairly_common,16.568635139409242,,peak_abundance_with_occupancy_days_modifiers,0.2156
runher1,PW,0.3937190662127502,0.4824840103200874,0.4824840103200874,resident,0.2732919254658385,0.0003980495571698676,0.0036610480436241,365.0,27.32919254658385,0.16419360373202438,fairly_common,16.419360373202437,,peak_abundance_with_occupancy_days_modifiers,0.2732919254658385
categr2,PW,0.362706255063827,0.22830193723022973,0.4372136230054109,postbreeding_migration,0.484472049689441,0.00014396190546501542,2.0844876902825583e-05,112.0,48.4472049689441,0.15126025693380044,fairly_common,15.126025693380043,,peak_abundance_with_occupancy_days_modifiers,0.484472049689441
gyttat1,PW,0.31247224125899975,0.22896666666666668,0.3668,postbreeding_migration,0.491,0.0054,0.0027,91.0,49.1,0.13031104602593468,fairly_common,13.03110460259347,,peak_abundance_with_occupancy_days_modifiers,0.491
comsan,PW,0.2869067719840292,0.1996,0.3323,nonbreeding,0.3952,0.0,0.0002,147.0,39.519999999999996,0.11964941723631067,fairly_common,11.964941723631068,,peak_abundance_with_occupancy_days_modifiers,0.3952
renpha,PW,0.2130932154607083,0.2375,0.2375,postbreeding_migration,0.3772,,,,37.72,0.08886677323986138,fairly_common,8.886677323986138,,peak_abundance_with_occupancy_days_modifiers,0.3772
pacreh1,PW,0.20359369206949432,0.2258,0.2258,resident,0.7425,0.0017,0.0026,365.0,74.25,0.08490516428263283,common,8.490516428263282,,peak_abundance_with_occupancy_days_modifiers,0.7425
whiter2,PW,0.19144249314901404,0.12246190558147074,0.2109951906175793,postbreeding_migration,0.4539473684210526,0.00015820209056037932,4.998115990647799e-05,91.0,45.39473684210526,0.07983772073815322,fairly_common,7.983772073815322,,peak_abundance_with_occupancy_days_modifiers,0.4539473684210526
barswa,PW,0.18465217213223695,0.09997500000000001,0.2028,postbreeding_migration,0.2814,0.0,0.0,154.0,28.139999999999997,0.07700593692598838,fairly_common,7.700593692598838,,peak_abundance_with_occupancy_days_modifiers,0.2814
bkbplo,PW,0.16982715921226588,0.0927,0.1851,postbreeding_migration,0.2156,0.0003,0.0002,119.0,21.560000000000002,0.07082342633507747,uncommon,7.082342633507747,,peak_abundance_with_occupancy_days_modifiers,0.2156
kenplo1,PW,0.15005659620667913,0.066,0.1619,nonbreeding,0.515,0.0002,0.0001,91.0,51.5,0.06257846116505386,uncommon,6.2578461165053865,,peak_abundance_with_occupancy_days_modifiers,0.515
comgre,PW,0.1487647732651119,0.07695,0.1604,nonbreeding,0.2335,0.0,0.0002,147.0,23.35,0.06203972915443544,uncommon,6.2039729154435435,,peak_abundance_with_occupancy_days_modifiers,0.2335
litegr,PW,0.13958801420705347,0.10485,0.1498,nonbreeding,0.2395,0.0,0.0,84.0,23.95,0.05821272337892915,uncommon,5.821272337892915,,peak_abundance_with_occupancy_days_modifiers,0.2395
chemun,PW,0.12539840939433364,0.1336,0.1336,resident,0.0419,0.0001,0.0002,365.0,4.19,0.0522951985505156,rare,5.22951985505156,rare,peak_abundance_with_occupancy_days_modifiers,0.0419
succoc,PW,0.10804690408313378,0.1141,0.1141,resident,0.1737,0.0001,0.0,365.0,17.37,0.04505905879577548,uncommon,4.505905879577548,,peak_abundance_with_occupancy_days_modifiers,0.1737
whwter,PW,0.10589037525743225,0.04716666666666667,0.1117,postbreeding_migration,0.6587,0.0001,0.0,77.0,65.86999999999999,0.044159716422417776,uncommon,4.415971642241778,,peak_abundance_with_occupancy_days_modifiers,0.6587
grekno,PW,0.10426992117579677,0.056433333333333335,0.1099,nonbreeding,0.0719,0.0018,0.0002,77.0,7.19,0.043483934581560225,uncommon,4.348393458156022,,peak_abundance_with_occupancy_days_modifiers,0.0719
eaywag,PW,0.10426992117579677,0.04413333333333334,0.1099,postbreeding_migration,0.3174,0.0002,0.0001,147.0,31.740000000000002,0.043483934581560225,uncommon,4.348393458156022,,peak_abundance_with_occupancy_days_modifiers,0.3174
bkwsti,PW,0.10237606661686648,0.06065,0.1078,postbreeding_migration,0.2335,0.0,0.0,105.0,23.35,0.04269413588583982,uncommon,4.269413588583982,,peak_abundance_with_occupancy_days_modifiers,0.2335
comter,PW,0.0972174507153592,0.06782499999999998,0.1021,postbreeding_migration,0.3832,0.0,0.0,133.0,38.32,0.04054282595999509,uncommon,4.054282595999509,,peak_abundance_with_occupancy_days_modifiers,0.3832
litter1,PW,0.09531017980432487,0.062725,0.1,postbreeding_migration,0.515,0.0009,0.0003,119.0,51.5,0.039747432210872534,uncommon,3.9747432210872535,,peak_abundance_with_occupancy_days_modifiers,0.515
integr1,PW,0.08937787327377583,0.05886036668632395,0.0934937803417836,postbreeding_migration,0.4013157894736842,0.00022664865100466373,4.389370855351058e-05,105.0,40.13157894736842,0.037273468231776,uncommon,3.7273468231775997,,peak_abundance_with_occupancy_days_modifiers,0.4013157894736842
eutspa,PW,0.07287864541257255,0.0756,0.0756,resident,0.0359,0.0,0.0,365.0,3.5900000000000003,0.030392755780164853,rare,3.0392755780164853,rare,peak_abundance_with_occupancy_days_modifiers,0.0359
batgod,PW,0.07092433833669866,0.05013333333333333,0.0735,nonbreeding,0.1198,0.0008,0.0001,112.0,11.98,0.029577746426735756,uncommon,2.957774642673576,,peak_abundance_with_occupancy_days_modifiers,0.1198
marsan,PW,0.06765864847381481,0.029833333333333333,0.07,postbreeding_migration,0.4611,0.0,0.0,119.0,46.11,0.028215847973567444,uncommon,2.8215847973567443,,peak_abundance_with_occupancy_days_modifiers,0.4611
bubrai1,PW,0.06616220225366876,0.0684,0.0684,resident,0.1796,0.0006,0.0023,365.0,17.96,0.027591781427742143,uncommon,2.759178142774214,,peak_abundance_with_occupancy_days_modifiers,0.1796
woosan,PW,0.06503839617922222,0.0395,0.0672,postbreeding_migration,0.3772,0.0,0.0,168.0,37.72,0.027123117893018578,uncommon,2.712311789301858,,peak_abundance_with_occupancy_days_modifiers,0.3772
cursan,PW,0.0641947120419968,0.03825,0.0663,nonbreeding,0.1257,0.0003,0.0001,91.0,12.57,0.026771274279664796,uncommon,2.6771274279664796,,peak_abundance_with_occupancy_days_modifiers,0.1257
lotsti,PW,0.057608312620313365,0.024833333333333332,0.0593,postbreeding_migration,0.4671,0.0009,0.0002,140.0,46.71,0.024024532377964834,uncommon,2.4024532377964833,,peak_abundance_with_occupancy_days_modifiers,0.4671
shtsan,PW,0.05619127964974249,0.03186666666666667,0.0578,postbreeding_migration,0.2695,0.0003,0.0001,112.0,26.950000000000003,0.023433583729520726,uncommon,2.3433583729520726,,peak_abundance_with_occupancy_days_modifiers,0.2695
bktgod,PW,0.045928931888399804,0.0257,0.047,nonbreeding,0.0479,0.0001,0.0,105.0,4.79,0.019153852300980666,rare,1.9153852300980667,rare,peak_abundance_with_occupancy_days_modifiers,0.0479
tersan,PW,0.04334680450336586,0.02823333333333333,0.0443,postbreeding_migration,0.5569,0.0023,0.0003,133.0,55.69,0.018077021542637954,rare,1.8077021542637954,,peak_abundance_with_occupancy_days_modifiers,0.5569
whbwoo4,PW,0.04233674124416679,0.0432457234710454,0.0432457234710454,prebreeding_migration,0.5,1.11273694342289e-05,1.5267878821656922e-06,7.0,50.0,0.017655792446164435,very_rare,1.7655792446164436,very_rare,peak_abundance_with_occupancy_days_modifiers,0.5
pecsan,PW,0.035367143837291316,0.036,0.036,postbreeding_migration,0.1976,0.0001,0.0,21.0,19.759999999999998,0.014749244572310905,rare,1.4749244572310904,rare,peak_abundance_with_occupancy_days_modifiers,0.1976
fotswi,PW,0.02946171014961901,0.0299,0.0299,postbreeding_migration,0.2934,,,,29.34,0.01228648743914362,rare,1.2286487439143619,,peak_abundance_with_occupancy_days_modifiers,0.2934
sander,PW,0.02264173048082465,0.010933333333333335,0.0229,postbreeding_migration,0.4671,0.0,0.0,7.0,46.71,0.009442335008401522,very_rare,0.9442335008401522,very_rare,peak_abundance_with_occupancy_days_modifiers,0.4671
yelbit,PW,0.02185933435289352,0.014025000000000001,0.0221,nonbreeding,0.2934,0.0003,0.0003,140.0,29.34,0.009116050480129367,rare,0.9116050480129367,,peak_abundance_with_occupancy_days_modifiers,0.2934
redjun,PW,0.02058663360838838,0.0208,0.0208,resident,0.018,0.0,0.0001,365.0,1.7999999999999998,0.008585293045080938,rare,0.8585293045080938,rare,peak_abundance_with_occupancy_days_modifiers,0.018
greegr,PW,0.020194707285519278,0.013725,0.0204,nonbreeding,0.1257,0.0,0.0,105.0,12.57,0.008421847073392743,rare,0.8421847073392743,,peak_abundance_with_occupancy_days_modifiers,0.1257
chiegr,PW,0.017938145131012995,0.007266666666666668,0.0181,nonbreeding,0.2275,0.005,0.0014,49.0,22.75,0.007480787561701551,rare,0.7480787561701551,,peak_abundance_with_occupancy_days_modifiers,0.2275
comred1,PW,0.015479570848386318,0.01,0.0156,postbreeding_migration,0.4072,0.0001,0.0,112.0,40.72,0.006455482449123619,rare,0.6455482449123618,,peak_abundance_with_occupancy_days_modifiers,0.4072
commoo3,PW,0.013607003406216902,0.0137,0.0137,nonbreeding,0.1377,0.0,0.0,56.0,13.77,0.005674561170612519,rare,0.5674561170612519,,peak_abundance_with_occupancy_days_modifiers,0.1377
faecur,PW,0.01222496962256897,0.008833333333333334,0.0123,postbreeding_migration,0.3413,0.0028,0.0002,140.0,34.13,0.005098208316788695,rare,0.5098208316788695,,peak_abundance_with_occupancy_days_modifiers,0.3413
bkhgul,PW,0.011434377625663104,0.0078,0.0115,prebreeding_migration,0.0299,0.0,0.0,28.0,2.9899999999999998,0.004768505845678206,rare,0.47685058456782065,rare,peak_abundance_with_occupancy_days_modifiers,0.0299
ruff,PW,0.008563230660487873,0.0086,0.0086,postbreeding_migration,0.2335,0.0,0.0,49.0,23.35,0.003571144560660661,very_rare,0.3571144560660661,,peak_abundance_with_occupancy_days_modifiers,0.2335
brbsan,PW,0.006578315360122567,0.0066,0.0066,nonbreeding,0.0778,0.0021,0.0003,42.0,7.779999999999999,0.002743370586174741,very_rare,0.2743370586174741,,peak_abundance_with_occupancy_days_modifiers,0.0778
oricuc2,PW,0.005385472276337817,0.0054,0.0054,postbreeding_migration,0.2455,,,,24.55,0.0022459163823501686,very_rare,0.22459163823501685,,peak_abundance_with_occupancy_days_modifiers,0.2455
eurcur,PW,0.004290781417156275,0.00275,0.0043,nonbreeding,0.0539,0.0,0.0,21.0,5.390000000000001,0.0017893948354753858,very_rare,0.17893948354753858,rare,peak_abundance_with_occupancy_days_modifiers,0.0539
osprey,PW,0.0036931718376175702,0.0023666666666666667,0.0037,postbreeding_migration,0.1796,0.0,0.0,70.0,17.96,0.0015401722833823486,very_rare,0.15401722833823486,,peak_abundance_with_occupancy_days_modifiers,0.1796
gysfly1,PW,0.003194890896519197,0.00215,0.0032,postbreeding_migration,0.0359,0.0,0.0,42.0,3.5900000000000003,0.0013323729909149931,very_rare,0.1332372990914993,rare,peak_abundance_with_occupancy_days_modifiers,0.0359
perfal,PW,0.002496880198587199,0.0009333333333333333,0.0025,nonbreeding,0.3174,,,,31.740000000000002,0.0010412799203166443,very_rare,0.10412799203166442,,peak_abundance_with_occupancy_days_modifiers,0.3174
gyfbuz1,PW,0.0016985566355814774,0.0009,0.0017,postbreeding_migration,0.024,0.0,0.0,21.0,2.4,0.00070835313570608,very_rare,0.070835313570608,rare,peak_abundance_with_occupancy_days_modifiers,0.024
blabit1,PW,0.0010993954433009636,0.0007,0.0011,postbreeding_migration,0.1497,0.0001,0.0,28.0,14.97,0.0004584835108407622,very_rare,0.04584835108407622,rare,peak_abundance_with_occupancy_days_modifiers,0.1497
btbeat1,PW,0.0009995003330835331,0.001,0.001,breeding,0.018,0.0,0.0,7.0,1.7999999999999998,0.00041682401413511066,very_rare,0.04168240141351107,very_rare,peak_abundance_with_occupancy_days_modifiers,0.018
lirplo,PW,0.0006997551142733419,0.0006000000000000001,0.0007,nonbreeding,0.006,0.0,0.0,42.0,0.6,0.0002918205487167264,very_rare,0.02918205487167264,very_rare,peak_abundance_with_occupancy_days_modifiers,0.006
pabduc1,PW,0.00029995500899797546,0.0003,0.0003,resident,0.024,0.0,0.0,365.0,2.4,0.00012509095472209328,very_rare,0.012509095472209329,rare,peak_abundance_with_occupancy_days_modifiers,0.024
clrwar1,PW,0.00029995500899797546,0.0003,0.0003,prebreeding_migration,0.1018,,,,10.18,0.00012509095472209328,very_rare,0.012509095472209329,,peak_abundance_with_occupancy_days_modifiers,0.1018
arcwar1,PW,0.0,0.0,0.0,nonbreeding,0.1018,0.0001,0.0,70.0,10.18,0.0,very_rare,0.0,,peak_abundance_with_occupancy_days_modifiers,0.1018
