species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
picpig2,PY,1.4930613871780574,3.4507,3.4507,resident,0.9995,0.0509,0.0822,365.0,99.95,0.6226549608380678,common,62.26549608380678,,peak_abundance_with_occupancy_days_modifiers,0.9995
monpar,PY,1.4634174261664732,3.3207,3.3207,resident,0.7842,0.1298,0.0837,365.0,78.42,0.6102924688861198,common,61.02924688861198,,peak_abundance_with_occupancy_days_modifiers,0.7842
pigdov1,PY,1.4418946172178717,3.2287,3.2287,resident,0.9748,0.066,0.1017,365.0,97.48,0.6013167604001173,common,60.131676040011726,,peak_abundance_with_occupancy_days_modifiers,0.9748
whfibi,PY,1.0758553015454935,1.1146500000000001,1.9325,prebreeding_migration,0.5988,0.0834,0.0359,119.0,59.88,0.44866650922997076,common,44.866650922997074,,peak_abundance_with_occupancy_days_modifiers,0.5988
soulap1,PY,1.0124369257576684,1.64035,1.7523,postbreeding_migration,1.0,0.0311,0.0414,175.0,100.0,0.4222189923149326,common,42.22189923149326,,peak_abundance_with_occupancy_days_modifiers,1.0
eardov1,PY,0.9717632809979795,1.6426,1.6426,resident,0.9886,0.0547,0.0226,365.0,98.86,0.4052567649728592,common,40.525676497285914,,peak_abundance_with_occupancy_days_modifiers,0.9886
grekis,PY,0.9536250515208451,1.5951,1.5951,resident,0.9992,0.0317,0.0586,365.0,99.92,0.3976925357578081,common,39.76925357578081,,peak_abundance_with_occupancy_days_modifiers,0.9992
chacha1,PY,0.9317703027225414,1.539,1.539,resident,0.6495,0.2464,0.2911,365.0,64.95,0.3885783976024753,common,38.85783976024753,,peak_abundance_with_occupancy_days_modifiers,0.6495
categr1,PY,0.8882656492932717,0.852290942255711,1.4309099427431655,prebreeding_migration,0.7391485553242991,0.0275468740444156,0.0173952461838724,140.0,73.91485553242991,0.370435547944784,common,37.0435547944784,,peak_abundance_with_occupancy_days_modifiers,0.7391485553242991
blkvul,PY,0.8515175165313866,1.3432,1.3432,resident,1.0,0.0233,0.0293,365.0,100.0,0.3551103862587194,common,35.51103862587194,,peak_abundance_with_occupancy_days_modifiers,1.0
rufhor2,PY,0.7402215879458741,1.0964,1.0964,resident,0.9973,0.0638,0.0691,365.0,99.72999999999999,0.3086963790049209,common,30.86963790049209,,peak_abundance_with_occupancy_days_modifiers,0.9973
trokin,PY,0.7232398208671146,0.5210999999999999,1.0611,nonbreeding,1.0,0.0259,0.0472,119.0,100.0,0.30161443206945626,common,30.161443206945627,,peak_abundance_with_occupancy_days_modifiers,1.0
whtdov,PY,0.7224632348939984,1.0595,1.0595,resident,0.9999,0.0351,0.079,365.0,99.99,0.3012905705639411,common,30.12905705639411,,peak_abundance_with_occupancy_days_modifiers,0.9999
bufpar,PY,0.7077894572968154,1.0295,1.0295,resident,0.7817,0.089,0.1394,365.0,78.17,0.29517113000136036,common,29.517113000136035,,peak_abundance_with_occupancy_days_modifiers,0.7817
brcmar1,PY,0.7065075322617816,0.6569,1.0269,breeding,0.9807,0.0388,0.0804,126.0,98.07000000000001,0.2946365257383736,common,29.46365257383736,,peak_abundance_with_occupancy_days_modifiers,0.9807
bbwduc,PY,0.7022555729239363,0.81,1.0183,nonbreeding,0.8323,0.0821,0.0574,161.0,83.23,0.29286332096747336,common,29.286332096747337,,peak_abundance_with_occupancy_days_modifiers,0.8323
recfin1,PY,0.6950952817779612,1.0039,1.0039,resident,0.9977,0.0984,0.1769,365.0,99.77000000000001,0.2898772476275734,common,28.98772476275734,,peak_abundance_with_occupancy_days_modifiers,0.9977
reccar,PY,0.6537304481961538,0.9227,0.9227,resident,0.7565,0.1533,0.1451,365.0,75.64999999999999,0.27262677215808634,common,27.262677215808633,,peak_abundance_with_occupancy_days_modifiers,0.7565
