species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eucdov,QA,2.9944022974451747,18.973418158349077,18.973418158349077,resident,0.9157490486968768,0.0008760836431489943,0.0071834091313258,365.0,91.57490486968769,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9157490486968768
houspa,QA,3.3851342307156815,28.52195520337707,28.52195520337707,resident,0.9366721742956624,0.0008319837122114613,0.0045154972664926,365.0,93.66721742956624,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9366721742956624
rocpig,QA,2.135558596595141,7.461771903917716,7.461771903917716,resident,0.7010720515585921,0.0009068583482428318,0.00189575396205,365.0,70.1072051558592,0.8905971085646789,abundant,89.05971085646789,,peak_abundance_with_occupancy_days_modifiers,0.7010720515585921
bkhgul,QA,1.5708855097717098,1.2697026026487213,3.810906412788962,nonbreeding,0.110892510083297,0.0014544766208567,0.0016269814765996,105.0,11.089251008329699,0.6551101407937923,common,65.51101407937922,,peak_abundance_with_occupancy_days_modifiers,0.110892510083297
whiwag,QA,1.4563405782229746,1.9797650221434997,3.2902310024834214,nonbreeding,0.8228571620588204,0.0011370195694499,0.0024124264573796,77.0,82.28571620588204,0.6073411940644967,common,60.73411940644967,,peak_abundance_with_occupancy_days_modifiers,0.8228571620588204
crelar1,QA,1.3278339060870858,2.530898146086482,2.7728621563589018,breeding,0.874569528261434,0.001133938855779,0.001531788628904,161.0,87.4569528261434,0.5537497492696956,common,55.37497492696956,,peak_abundance_with_occupancy_days_modifiers,0.874569528261434
barswa,QA,1.1821601982261956,1.1932980874598735,2.261411894938313,prebreeding_migration,0.900333769274508,0.0005154627005148888,0.00022291433658006712,154.0,90.0333769274508,0.4929990945128314,common,49.29990945128314,,peak_abundance_with_occupancy_days_modifiers,0.900333769274508
grecor,QA,1.018903654571808,0.4952974920485047,1.7701560506074585,nonbreeding,0.2076297533352723,0.0009880685191760623,0.0010911057904443,133.0,20.76297533352723,0.4249158276969852,common,42.491582769698525,,peak_abundance_with_occupancy_days_modifiers,0.2076297533352723
commoo3,QA,1.003385438725089,1.2295500000000001,1.7275,breeding,0.8318,0.0009,0.0048,294.0,83.17999999999999,0.41844422903179035,common,41.84442290317904,,peak_abundance_with_occupancy_days_modifiers,0.8318
lbbgul,QA,0.8740285878511013,0.7010187215863329,1.396546128835656,nonbreeding,0.173235268814102,0.0035152704512438,0.004287164866661,147.0,17.3235268814102,0.3644982321647016,common,36.449823216470165,,peak_abundance_with_occupancy_days_modifiers,0.173235268814102
grefla3,QA,0.8296725718986603,0.6759758122580547,1.2925679661822649,nonbreeding,0.0650644131541689,0.0017823107811665,0.0013725824033804,133.0,6.5064413154168905,0.3460003367580032,common,34.60003367580032,,peak_abundance_with_occupancy_days_modifiers,0.0650644131541689
dunlin,QA,0.7624725395103406,0.5202052512678055,1.1435697344504148,nonbreeding,0.1087641660335044,0.0024043569283683,0.0016394656523757,154.0,10.87641660335044,0.31797574654731536,common,31.797574654731537,,peak_abundance_with_occupancy_days_modifiers,0.1087641660335044
commyn,QA,0.7325227794793274,1.0803221873439623,1.0803221873439623,resident,0.2116590893876993,0.0005016978489628741,0.0007294448816301213,365.0,21.16590893876993,0.3054857264989997,common,30.54857264989997,,peak_abundance_with_occupancy_days_modifiers,0.2116590893876993
