species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
rewbul,RE,1.876435716571048,5.53018789223921,5.53018789223921,resident,0.9025787965616046,0.0014400131658346,0.0051094495618235,365.0,90.25787965616045,0.7825344742354934,abundant,78.25344742354933,,peak_abundance_with_occupancy_days_modifiers,0.9025787965616046
commyn,RE,1.520909590220343,3.5763859384637167,3.5763859384637167,resident,0.9025787965616046,0.000521128880962583,0.0005882179378738228,365.0,90.25787965616045,0.6342685635496601,common,63.42685635496601,,peak_abundance_with_occupancy_days_modifiers,0.9025787965616046
houspa,RE,1.381606439591472,2.9812921985001823,2.9812921985001823,resident,0.8796561604584527,0.00019032456848398733,0.00011497026538716422,365.0,87.96561604584528,0.5761746375099701,common,57.61746375099701,,peak_abundance_with_occupancy_days_modifiers,0.8796561604584527
comwax,RE,1.1419060690025757,2.132733884985348,2.132733884985348,resident,0.8223495702005731,0.0008256284269333226,0.0034344123433916,365.0,82.23495702005731,0.47621181873800456,common,47.62118187380045,,peak_abundance_with_occupancy_days_modifiers,0.8223495702005731
vilwea1,RE,1.0258782322704245,1.7895442528868986,1.7895442528868986,resident,0.5558739255014327,0.0004054039934383065,0.0006401136426395992,365.0,55.587392550143264,0.42782445251381346,common,42.78244525138135,,peak_abundance_with_occupancy_days_modifiers,0.5558739255014327
zebdov,RE,0.7582325088744211,1.1345001743001637,1.1345001743001637,resident,0.4699140401146132,0.0013228366780667,0.0012142496066814,365.0,46.99140401146132,0.31620751643150585,common,31.620751643150584,,peak_abundance_with_occupancy_days_modifiers,0.4699140401146132
rocpig,RE,0.6002205359573983,0.822520687418288,0.822520687418288,resident,0.332378223495702,0.0001047283022819936,5.090278368699362e-05,365.0,33.2378223495702,0.2503114054922566,fairly_common,25.03114054922566,,peak_abundance_with_occupancy_days_modifiers,0.332378223495702
nutman,RE,0.08155637792451849,0.0849743844637044,0.0849743844637044,resident,0.3209169054441261,0.00021461982588966624,2.8071994240603617e-05,365.0,32.09169054441261,0.03401165132176152,uncommon,3.4011651321761516,,peak_abundance_with_occupancy_days_modifiers,0.3209169054441261
commoo3,RE,0.0687795153948257,0.0712,0.0712,nonbreeding,0.2089,0.0001,0.0001,56.0,20.89,0.028683285786104896,uncommon,2.8683285786104897,,peak_abundance_with_occupancy_days_modifiers,0.2089
whimbr,RE,0.06607214629416484,0.0521699619802371,0.0683037885451385,nonbreeding,0.1776504297994269,0.0006553564822155278,0.0001577832658109493,91.0,17.76504297994269,0.02755422517558823,uncommon,2.755422517558823,,peak_abundance_with_occupancy_days_modifiers,0.1776504297994269
strher,RE,0.06328790897004866,0.0577524277224154,0.0653335141567753,breeding,0.1948424068767908,7.637543167094469e-05,0.00010714237479613624,133.0,19.48424068767908,0.026393108026019376,uncommon,2.6393108026019374,,peak_abundance_with_occupancy_days_modifiers,0.1948424068767908
pitwhy,RE,0.04513642917017789,0.0461705783568856,0.0461705783568856,resident,0.9025787965616046,0.00044602717225852585,8.583136319181867e-05,365.0,90.25787965616045,0.01882335299719037,uncommon,1.882335299719037,,peak_abundance_with_occupancy_days_modifiers,0.9025787965616046
rudtur,RE,0.010523062908800252,0.0105786250589314,0.0105786250589314,postbreeding_migration,0.1747851002865329,0.00036624538440755306,2.9385269473786825e-05,49.0,17.47851002865329,0.004388458089964788,rare,0.4388458089964788,,peak_abundance_with_occupancy_days_modifiers,0.1747851002865329
comsan,RE,0.009895070002544016,0.00582294774783455,0.0099441880829909,nonbreeding,0.1346704871060172,0.0001054487855440933,1.4025350262345028e-05,35.0,13.46704871060172,0.004126564706471258,very_rare,0.41265647064712585,,peak_abundance_with_occupancy_days_modifiers,0.1346704871060172
bkbplo,RE,0.005494692108783263,0.0034314595859359,0.0055098156164531,nonbreeding,0.1432664756446991,0.0005643468249847627,1.1766581553402047e-05,35.0,14.32664756446991,0.002291464590265789,very_rare,0.2291464590265789,,peak_abundance_with_occupancy_days_modifiers,0.1432664756446991
cursan,RE,0.0035544384197723693,0.0031498439908881,0.0035607629271496,postbreeding_migration,0.0114613180515759,4.571951080123443e-05,7.785366569590015e-06,21.0,1.14613180515759,0.0014823159543679257,very_rare,0.14823159543679257,,peak_abundance_with_occupancy_days_modifiers,0.0114613180515759
squher1,RE,0.002596625847265978,0.0026,0.0026,breeding,0.0028,0.0,0.0,7.0,0.27999999999999997,0.001082877086719314,very_rare,0.1082877086719314,,peak_abundance_with_occupancy_days_modifiers,0.0028
grsplo,RE,0.0014988761237358919,0.00105,0.0015,postbreeding_migration,0.0111,0.0001,0.0,21.0,1.11,0.0006250798943303071,very_rare,0.06250798943303071,,peak_abundance_with_occupancy_days_modifiers,0.0111
comgre,RE,0.00017268311645308144,0.00017269802704069197,0.00017269802704069197,postbreeding_migration,0.0057306590257879,3.274415680521811e-06,3.160755142933155e-07,14.0,0.5730659025787901,7.201445301301273e-05,very_rare,0.007201445301301273,,peak_abundance_with_occupancy_days_modifiers,0.0057306590257879
