species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
comcra,RO,2.568445659882866,3.8576276368489086,12.045531481009046,postbreeding_migration,0.2436532781730347,0.0143382670080046,0.0312239333512223,133.0,24.36532781730347,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.2436532781730347
eursta,RO,4.272049402285774,39.89355380880265,70.66836252261012,postbreeding_migration,0.4969218476806055,0.015252220994235,0.0451386619871897,126.0,49.69218476806055,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4969218476806055
rook1,RO,2.4463489074326925,7.035188879819159,10.54611373782716,nonbreeding,0.3981558962812644,0.0166649766122268,0.0680709667564262,217.0,39.81558962812644,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.3981558962812644
mallar3,RO,2.4496863276770133,5.46779239774271,10.584712345619398,nonbreeding,0.1069073945763755,0.0106461434748676,0.0371642363735593,154.0,10.69073945763755,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1069073945763755
gwfgoo,RO,3.593982882514614,31.67961972812988,35.37867977282437,nonbreeding,0.2180316032340374,0.0377845814102332,0.0899323322301556,91.0,21.803160323403738,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.2180316032340374
barswa,RO,2.298068226345963,6.029341093553945,8.95493319052488,postbreeding_migration,0.7306063581138411,0.0072472070580488,0.0152321235773462,98.0,73.06063581138412,0.9583688880891332,abundant,95.83688880891333,,peak_abundance_with_occupancy_days_modifiers,0.7306063581138411
cowpig1,RO,2.023190795444344,3.6302906400469306,6.562416601870698,nonbreeding,0.4089060963824921,0.0254354984001629,0.0354930914757288,112.0,40.89060963824921,0.843736095731678,abundant,84.3736095731678,,peak_abundance_with_occupancy_days_modifiers,0.4089060963824921
comcha,RO,1.739968408056346,3.129494736763309,4.697163435362694,postbreeding_migration,0.9821513300017104,0.0307457889611042,0.0243731879621141,112.0,98.21513300017104,0.7256231862143768,common,72.56231862143768,,peak_abundance_with_occupancy_days_modifiers,0.9821513300017104
fieldf,RO,1.6638692779221378,2.102775,4.2797,nonbreeding,0.8942,0.0106,0.0025,91.0,89.42,0.693887383989203,common,69.3887383989203,,peak_abundance_with_occupancy_days_modifiers,0.8942
eutspa,RO,1.5237992968752319,3.589629477120589,3.589629477120589,resident,0.5891911895059636,0.0144409037182109,0.0143798142769112,365.0,58.91911895059636,0.6354736648264628,common,63.54736648264628,,peak_abundance_with_occupancy_days_modifiers,0.5891911895059636
eubeat1,RO,1.49567489403226,2.4785918127034026,3.4623471482773533,postbreeding_migration,0.6486884961566833,0.0214809825159485,0.0462845587451221,63.0,64.86884961566834,0.6237448778514796,common,62.374487785147956,,peak_abundance_with_occupancy_days_modifiers,0.6486884961566833
gretit1,RO,1.4519056002510589,3.2712460525283538,3.2712460525283538,resident,0.958214455577626,0.021994128781043,0.0302489051011148,365.0,95.8214455577626,0.6054916645949548,common,60.54916645949548,,peak_abundance_with_occupancy_days_modifiers,0.958214455577626
comhom1,RO,1.3125693927522115,1.92680432146509,2.715708572239328,postbreeding_migration,0.773539876455478,0.0254293987008724,0.0736125980289638,91.0,77.35398764554779,0.5473839527697255,common,54.738395276972554,,peak_abundance_with_occupancy_days_modifiers,0.773539876455478
gnwtea,RO,1.3027066288312181,1.2086162180145594,2.6792415442437987,nonbreeding,0.0825055900665373,0.0086799676954361,0.0203752311508459,154.0,8.250559006653729,0.5432708607457009,common,54.32708607457008,,peak_abundance_with_occupancy_days_modifiers,0.0825055900665373
