species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eursta,RS,3.6356790792459552,17.563074999999998,36.9276,postbreeding_migration,0.5132,0.0029,0.0145,140.0,51.32,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5132
gwfgoo,RS,3.606329021391341,25.2326,35.8306,nonbreeding,0.2545,0.0107,0.0264,42.0,25.45,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.2545
mallar3,RS,2.3547789817247424,5.5885,9.5358,postbreeding_migration,0.3638,0.0025,0.0057,126.0,36.38,0.9820191100242209,abundant,98.2019110024221,,peak_abundance_with_occupancy_days_modifiers,0.3638
comcra,RS,2.12220165683035,3.6260333333333334,7.3495,postbreeding_migration,0.2045,0.0033,0.0078,133.0,20.45,0.8850268320324585,abundant,88.50268320324585,,peak_abundance_with_occupancy_days_modifiers,0.2045
rook1,RS,1.788069335719155,3.3711,4.9779,nonbreeding,0.3181,0.0027,0.0127,217.0,31.81,0.7456828311073227,common,74.56828311073227,,peak_abundance_with_occupancy_days_modifiers,0.3181
barswa,RS,1.744860016536661,3.5207999999999995,4.7251,postbreeding_migration,0.992,0.0013,0.0046,126.0,99.2,0.7276631453968336,common,72.76631453968336,,peak_abundance_with_occupancy_days_modifiers,0.992
gragoo,RS,1.681032729256796,2.6794000000000002,4.3711,nonbreeding,0.2048,0.0072,0.0225,112.0,20.48,0.7010450991443891,common,70.1045099144389,,peak_abundance_with_occupancy_days_modifiers,0.2048
fieldf,RS,1.5782155272053893,1.8692,3.8463,nonbreeding,0.9827,0.0014,0.0,56.0,98.27,0.658166995493341,common,65.8166995493341,,peak_abundance_with_occupancy_days_modifiers,0.9827
cowpig1,RS,1.4673673071463698,2.0591,3.3378,postbreeding_migration,0.9994,0.0135,0.0092,112.0,99.94,0.611939697197007,common,61.1939697197007,,peak_abundance_with_occupancy_days_modifiers,0.9994
comcha,RS,1.4401668265843803,2.4519,3.2214,nonbreeding,0.9763,0.0069,0.0071,112.0,97.63,0.6005962157403519,common,60.05962157403519,,peak_abundance_with_occupancy_days_modifiers,0.9763
norlap,RS,1.1752646401891922,1.5812,2.239,prebreeding_migration,0.3036,0.0086,0.0081,133.0,30.36,0.4901234234544552,common,49.01234234544552,,peak_abundance_with_occupancy_days_modifiers,0.3036
hoocro1,RS,1.1669560606466598,1.5289000000000001,2.2122,nonbreeding,0.7044,0.0127,0.0175,168.0,70.44,0.4866584766584944,common,48.66584766584944,,peak_abundance_with_occupancy_days_modifiers,0.7044
gretit1,RS,1.1665201272752848,2.2108,2.2108,resident,0.9486,,,,94.86,0.4864766783221281,common,48.64766783221281,,peak_abundance_with_occupancy_days_modifiers,0.9486
