species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
shtshe,RU,3.0724122534276677,11.548858909110578,20.593929929801803,postbreeding_migration,0.0150636308544714,0.004336209649683,0.0085210502982141,35.0,1.50636308544714,1.0,rare,100.0,rare,peak_abundance_with_occupancy_days_modifiers,0.0150636308544714
tunbeg1,RU,2.5949464383798206,3.4721107992616793,12.395869837699934,nonbreeding,0.5030790491266627,0.2990899861958796,0.3314059894974331,105.0,50.30790491266627,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5030790491266627
commur,RU,1.4330233469422342,1.103679461575237,3.1913519665735826,prebreeding_migration,0.0126401695771982,0.0029681605075365,0.014045708619028,28.0,1.2640169577198201,0.5976171533420974,rare,59.76171533420974,rare,peak_abundance_with_occupancy_days_modifiers,0.0126401695771982
rhiauk,RU,1.38431992364675,1.59218930431325,2.992110041785205,breeding,0.0421608518742966,0.0048127760922629,0.0108223151979848,49.0,4.21608518742966,0.5773062482546343,rare,57.73062482546343,rare,peak_abundance_with_occupancy_days_modifiers,0.0421608518742966
eursta,RU,1.2573239798229305,1.1701,2.516,postbreeding_migration,0.084,0.1692,0.186,140.0,8.4,0.5243448261006076,common,52.43448261006076,,peak_abundance_with_occupancy_days_modifiers,0.084
bklkit,RU,1.205541359729394,1.0218964368864019,2.3385659540998023,breeding,0.0268850096947639,0.0045248665913484,0.0120708249378983,56.0,2.68850096947639,0.5027497962087868,rare,50.27497962087868,rare,peak_abundance_with_occupancy_days_modifiers,0.0268850096947639
redpol1,RU,1.1197162440824104,1.1673302032040167,2.0639846561516766,postbreeding_migration,0.4652921911424846,0.120423386347989,0.1930055151221842,112.0,46.52921911424846,0.4669579429862627,common,46.69579429862627,,peak_abundance_with_occupancy_days_modifiers,0.4652921911424846
barswa,RU,0.9381304984786109,0.8535666666666666,1.5552,postbreeding_migration,0.5289,0.1729,0.1524,126.0,52.89,0.3912308052485554,common,39.12308052485554,,peak_abundance_with_occupancy_days_modifiers,0.5289
atlpuf,RU,0.8827973887565042,0.7862724142474683,1.417653372058998,breeding,0.0155348579444049,0.0003310804971366706,0.0006301139645640993,0.0,1.55348579444049,0.368155106176205,very_rare,36.815510617620504,very_rare,peak_abundance_with_occupancy_days_modifiers,0.0155348579444049
comcra,RU,0.8729238351689422,0.5436,1.3939,postbreeding_migration,0.2747,0.3748,0.3256,133.0,27.47,0.3640375145117286,common,36.40375145117286,,peak_abundance_with_occupancy_days_modifiers,0.2747
