species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
houspa,SA,2.2870655873031187,8.846003012552623,8.846003012552623,resident,0.6258405971264265,0.0834470353899942,0.2102293504425725,365.0,62.58405971264265,0.9537804312171179,abundant,95.37804312171178,,peak_abundance_with_occupancy_days_modifiers,0.6258405971264265
crelar1,SA,1.6296740437906292,3.3276405037607146,4.102211349987749,breeding,0.9580932191865668,0.1708568707123227,0.312022435084783,161.0,95.80932191865668,0.679626863724028,common,67.9626863724028,,peak_abundance_with_occupancy_days_modifiers,0.9580932191865668
rocpig,SA,1.4144018248252284,3.1140248222825044,3.1140248222825044,resident,0.5986531769451998,0.1162444074287791,0.1187632431044929,365.0,59.86531769451998,0.5898513754416828,common,58.985137544168275,,peak_abundance_with_occupancy_days_modifiers,0.5986531769451998
eucdov,SA,1.330337788699226,2.7823207970314794,2.7823207970314794,resident,0.5850504528485719,0.0840199446020151,0.1581292464371872,365.0,58.5050452848572,0.5547939494232819,common,55.479394942328184,,peak_abundance_with_occupancy_days_modifiers,0.5850504528485719
euhbuz1,SA,1.2283783167367988,1.2347571154177326,2.4156858818518305,prebreeding_migration,0.1286491341928742,0.0310369837127315,0.1150868792401838,56.0,12.864913419287419,0.5122735470024374,common,51.227354700243744,,peak_abundance_with_occupancy_days_modifiers,0.1286491341928742
barswa,SA,1.1221100461682985,0.9329884147480947,2.0713280147796715,postbreeding_migration,0.7833024598916781,0.0341794573403431,0.0239558457794582,147.0,78.3302459891678,0.4679562359947369,common,46.79562359947369,,peak_abundance_with_occupancy_days_modifiers,0.7833024598916781
spaspa1,SA,1.1087276224092026,1.5624,2.0305,nonbreeding,0.8276,,,,82.76,0.46237533181142854,common,46.23753318114285,,peak_abundance_with_occupancy_days_modifiers,0.8276
whiwag,SA,0.9154695303772689,0.9358013149284611,1.497947838991957,postbreeding_migration,0.5375118982299807,0.113258349211451,0.1288152322630893,77.0,53.75118982299807,0.3817804475292641,common,38.17804475292641,,peak_abundance_with_occupancy_days_modifiers,0.5375118982299807
eaywag1,SA,0.6299411046561527,0.33499999999999996,0.8775,postbreeding_migration,0.8966,0.0499,0.0913,126.0,89.66,0.2627058453311868,fairly_common,26.27058453311868,,peak_abundance_with_occupancy_days_modifiers,0.8966
comchi1,SA,0.6048463056422342,0.5292722014942662,0.8309707773813925,prebreeding_migration,0.5727826057541578,0.1484261834133717,0.1281191750410163,98.0,57.278260575415786,0.2522405012861015,fairly_common,25.22405012861015,,peak_abundance_with_occupancy_days_modifiers,0.5727826057541578
