species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
grcter1,SB,0.7002220942319072,0.589675,1.0142,breeding,0.4845,0.0358,0.0203,147.0,48.449999999999996,0.29201529448562613,common,29.201529448562614,,peak_abundance_with_occupancy_days_modifiers,0.4845
wilwag1,SB,0.33764444840915686,0.4016420587353978,0.4016420587353978,resident,0.3767168083714846,0.0021105962190036,0.001786849096362,365.0,37.67168083714846,0.1408086717711912,fairly_common,14.080867177119119,,peak_abundance_with_occupancy_days_modifiers,0.3767168083714846
pagplo,SB,0.3028415842096035,0.18610000000000002,0.3537,nonbreeding,0.4281,0.0026,0.0047,63.0,42.809999999999995,0.12629475008563817,fairly_common,12.629475008563817,,peak_abundance_with_occupancy_days_modifiers,0.4281
blnter1,SB,0.28322214172968757,0.24015000000000003,0.3274,breeding,0.2325,,,,23.25,0.1181128070698284,fairly_common,11.811280706982838,,peak_abundance_with_occupancy_days_modifiers,0.2325
pacswa1,SB,0.2711715203247913,0.3115,0.3115,resident,0.26,0.0064,0.0076,365.0,26.0,0.11308730760719636,fairly_common,11.308730760719635,,peak_abundance_with_occupancy_days_modifiers,0.26
sufdov1,SB,0.24952463154736704,0.2834151765682115,0.2834151765682115,breeding,0.3471651602300739,0.0075550310248019,0.0324343935640636,7.0,34.71651602300739,0.10405985381345244,very_rare,10.405985381345245,very_rare,peak_abundance_with_occupancy_days_modifiers,0.3471651602300739
comter,SB,0.24090488089285197,0.2724,0.2724,postbreeding_migration,0.3407,0.0013,0.0012,70.0,34.07,0.10046513858451928,fairly_common,10.046513858451927,,peak_abundance_with_occupancy_days_modifiers,0.3407
rudtur,SB,0.1840700273280715,0.11816666666666666,0.2021,postbreeding_migration,0.2671,0.0122,0.0067,119.0,26.71,0.07676316368615202,fairly_common,7.676316368615202,,peak_abundance_with_occupancy_days_modifiers,0.2671
brakit1,SB,0.15896763109564555,0.1723,0.1723,resident,0.6096,0.0162,0.0135,365.0,60.96,0.0662946513548644,fairly_common,6.62946513548644,,peak_abundance_with_occupancy_days_modifiers,0.6096
commyn,SB,0.11306079228401424,0.1197,0.1197,resident,0.0528,0.0004,0.0004,365.0,5.28,0.047150012582522396,uncommon,4.71500125825224,,peak_abundance_with_occupancy_days_modifiers,0.0528
dollar1,SB,0.08764450985204636,0.0707,0.0916,breeding,0.3409,0.0038,0.0083,28.0,34.089999999999996,0.03655059953880477,rare,3.655059953880477,rare,peak_abundance_with_occupancy_days_modifiers,0.3409
pacreh1,SB,0.08065790301745447,0.084,0.084,resident,0.6573,0.0466,0.029,365.0,65.73,0.033636958182634,fairly_common,3.3636958182634,,peak_abundance_with_occupancy_days_modifiers,0.6573
comsan,SB,0.07287864541257255,0.0756,0.0756,postbreeding_migration,0.3676,0.0004,0.0006,35.0,36.76,0.030392755780164853,uncommon,3.0392755780164853,,peak_abundance_with_occupancy_days_modifiers,0.3676
lipcor1,SB,0.07017883462124651,0.0727,0.0727,resident,0.0348,0.0024,0.0195,365.0,3.4799999999999995,0.029266847229465112,rare,2.9266847229465114,rare,peak_abundance_with_occupancy_days_modifiers,0.0348
osprey,SB,0.058740495022600085,0.04676666666666667,0.0605,postbreeding_migration,0.5275,0.0018,0.0052,119.0,52.75,0.02449668911271895,uncommon,2.4496689112718952,,peak_abundance_with_occupancy_days_modifiers,0.5275
pabduc1,SB,0.0568528115927828,0.0585,0.0585,resident,0.2337,0.0083,0.0021,365.0,23.369999999999997,0.02370946397773032,uncommon,2.370946397773032,,peak_abundance_with_occupancy_days_modifiers,0.2337
runher1,SB,0.05064285190109515,0.051947125268844,0.051947125268844,resident,0.5133348529746979,0.0203729000624214,0.0107405316727833,365.0,51.33348529746979,0.021119709636857623,fairly_common,2.111970963685762,,peak_abundance_with_occupancy_days_modifiers,0.5133348529746979
wantat1,SB,0.03719944098910626,0.01905,0.0379,nonbreeding,0.1553,0.1085,0.085,49.0,15.53,0.01551337183533213,rare,1.551337183533213,,peak_abundance_with_occupancy_days_modifiers,0.1553
bubrai1,SB,0.032467190137501496,0.033,0.033,resident,0.0986,0.0099,0.0343,365.0,9.86,0.01353986994586792,rare,1.353986994586792,,peak_abundance_with_occupancy_days_modifiers,0.0986
shbcuc1,SB,0.025960101669531634,0.019,0.0263,nonbreeding,0.1712,0.0059,0.0056,35.0,17.119999999999997,0.010826203280861342,rare,1.0826203280861342,,peak_abundance_with_occupancy_days_modifiers,0.1712
gyttat1,SB,0.022837233902757225,0.007866666666666666,0.0231,postbreeding_migration,0.0676,0.0001,0.0001,0.0,6.76,0.009523866267981677,very_rare,0.9523866267981678,very_rare,peak_abundance_with_occupancy_days_modifiers,0.0676
sackin1,SB,0.022250608934819758,0.014849999999999999,0.0225,prebreeding_migration,0.0939,0.0011,0.002,63.0,9.39,0.00927922465473357,rare,0.927922465473357,,peak_abundance_with_occupancy_days_modifiers,0.0939
batgod,SB,0.012718772407774689,0.0128,0.0128,postbreeding_migration,0.0407,0.0016,0.0005,21.0,4.07,0.0053041400731949654,rare,0.5304140073194965,rare,peak_abundance_with_occupancy_days_modifiers,0.0407
shtsan,SB,0.010841023177874857,0.0072,0.0109,postbreeding_migration,0.0075,0.0001,0.0002,7.0,0.75,0.004521057821354797,very_rare,0.4521057821354797,very_rare,peak_abundance_with_occupancy_days_modifiers,0.0075
asikoe3,SB,0.006578315360122567,0.0066,0.0066,nonbreeding,0.0369,0.002,0.0044,21.0,3.6900000000000004,0.002743370586174741,very_rare,0.2743370586174741,rare,peak_abundance_with_occupancy_days_modifiers,0.0369
chbcuc2,SB,0.004290781417156275,0.0043,0.0043,nonbreeding,0.0196,0.0006,0.0018,35.0,1.96,0.0017893948354753858,very_rare,0.17893948354753858,rare,peak_abundance_with_occupancy_days_modifiers,0.0196
wbseag1,SB,0.0015987213636970278,0.0016,0.0016,resident,0.0165,0.0012,0.0007,365.0,1.6500000000000001,0.0006667185935236227,very_rare,0.06667185935236226,rare,peak_abundance_with_occupancy_days_modifiers,0.0165
