species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
zebdov,SC,1.2718959957641298,2.567610328053606,2.567610328053606,resident,0.5172413793103449,0.00048396463831709366,0.0009134085672643116,365.0,51.724137931034484,0.5304218287564381,common,53.0421828756438,,peak_abundance_with_occupancy_days_modifiers,0.5172413793103449
rudtur,SC,0.9299569226379697,1.1103666666666667,1.5344,nonbreeding,0.6667,0.0027,0.0068,119.0,66.67,0.38782215936924525,common,38.78221593692452,,peak_abundance_with_occupancy_days_modifiers,0.6667
commyn,SC,0.7026023393307004,1.019,1.019,resident,0.2254,0.0001,0.0002,365.0,22.54,0.2930079337913518,common,29.300793379135182,,peak_abundance_with_occupancy_days_modifiers,0.2254
roster,SC,0.6134544116506968,0.8468,0.8468,breeding,0.1143,,,,11.43,0.2558303603204441,fairly_common,25.583036032044408,,peak_abundance_with_occupancy_days_modifiers,0.1143
graher1,SC,0.4432745695037111,0.178025,0.5578,postbreeding_migration,0.654,0.0001,0.0001,91.0,65.4,0.18485985377768588,fairly_common,18.48598537776859,,peak_abundance_with_occupancy_days_modifiers,0.654
grcter1,SC,0.3969623956164152,0.36929999999999996,0.4873,postbreeding_migration,0.4762,0.0029,0.0008,147.0,47.620000000000005,0.1655461771494114,fairly_common,16.554617714941138,,peak_abundance_with_occupancy_days_modifiers,0.4762
cursan,SC,0.3104948705169375,0.2534,0.3641,nonbreeding,0.5683,0.0023,0.0015,126.0,56.830000000000005,0.12948641837664018,fairly_common,12.948641837664018,,peak_abundance_with_occupancy_days_modifiers,0.5683
litsti,SC,0.2924457083008031,0.1289,0.3397,nonbreeding,0.2127,0.0001,0.0001,28.0,21.27,0.1219593330944415,rare,12.19593330944415,rare,peak_abundance_with_occupancy_days_modifiers,0.2127
corplo,SC,0.2876570721392757,0.15813333333333332,0.3333,prebreeding_migration,0.0825,0.0002,0.0005,77.0,8.25,0.11996231670433906,fairly_common,11.996231670433906,,peak_abundance_with_occupancy_days_modifiers,0.0825
comter,SC,0.2728475834933253,0.16395,0.3137,nonbreeding,0.0921,0.0001,0.0001,77.0,9.21,0.11378628023854812,fairly_common,11.378628023854812,,peak_abundance_with_occupancy_days_modifiers,0.0921
grsplo,SC,0.2221030101389624,0.1998,0.2487,nonbreeding,0.5968,0.0038,0.0008,98.0,59.68,0.09262414946077507,fairly_common,9.262414946077508,,peak_abundance_with_occupancy_days_modifiers,0.5968
houspa,SC,0.20985565698727435,0.2335,0.2335,resident,0.0635,0.0,0.0,365.0,6.35,0.08751660648730937,fairly_common,8.751660648730937,,peak_abundance_with_occupancy_days_modifiers,0.0635
bkbplo,SC,0.17504514782317843,0.13583333333333333,0.1913,nonbreeding,0.4698,0.002,0.0005,112.0,46.98,0.07299949660391081,uncommon,7.29994966039108,,peak_abundance_with_occupancy_days_modifiers,0.4698
commoo3,SC,0.1586263632824196,0.10695,0.1719,nonbreeding,0.5841,0.0001,0.0001,140.0,58.41,0.06615233162259868,uncommon,6.615233162259868,,peak_abundance_with_occupancy_days_modifiers,0.5841
categr1,SC,0.14857712024841935,0.1469552299919098,0.1601822678691145,postbreeding_migration,0.0627520261276383,9.826568622708142e-06,9.86308391046606e-06,42.0,6.275202612763831,0.06196147176812613,uncommon,6.196147176812613,,peak_abundance_with_occupancy_days_modifiers,0.0627520261276383
barswa,SC,0.09984533496971613,0.105,0.105,prebreeding_migration,0.2635,0.0,0.0,98.0,26.35,0.041638738814975644,uncommon,4.163873881497564,,peak_abundance_with_occupancy_days_modifiers,0.2635
sander,SC,0.08525984395082342,0.05506666666666666,0.089,postbreeding_migration,0.3841,0.0006,0.0001,56.0,38.41,0.03555611661526994,uncommon,3.555611661526994,,peak_abundance_with_occupancy_days_modifiers,0.3841
litegr,SC,0.08470872792695418,0.0884,0.0884,nonbreeding,0.0635,0.0,0.0,14.0,6.35,0.035326283381883546,rare,3.5326283381883545,rare,peak_abundance_with_occupancy_days_modifiers,0.0635
