species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
whvmyn,SG,1.9841001113872196,6.2725,6.2725,resident,0.8707,0.0125,0.0399,365.0,87.07000000000001,0.8274340142769256,abundant,82.74340142769256,,peak_abundance_with_occupancy_days_modifiers,0.8707
asgsta1,SG,1.508379241670128,3.5194,3.5194,resident,0.6524,0.0024,0.0041,365.0,65.24,0.6290430023283846,common,62.90430023283846,,peak_abundance_with_occupancy_days_modifiers,0.6524
pinpig3,SG,1.4919831212254022,3.4459035481146176,3.4459035481146176,resident,0.7829583420010479,0.0037319068479351,0.0127487899971137,365.0,78.29583420010479,0.6222052890092407,common,62.220528900924066,,peak_abundance_with_occupancy_days_modifiers,0.7829583420010479
yevbul1,SG,1.4065189363676376,3.0817219108952347,3.0817219108952347,resident,0.8350483399207963,0.0007497954575638139,0.0012830160027613,365.0,83.50483399207963,0.5865639556168832,common,58.65639556168832,,peak_abundance_with_occupancy_days_modifiers,0.8350483399207963
spodov,SG,1.0583803977802309,1.8817,1.8817,resident,0.8222,0.0001,0.0002,365.0,82.22,0.4413789083228347,common,44.137890832283475,,peak_abundance_with_occupancy_days_modifiers,0.8222
houcro1,SG,1.0203624173470527,1.7742,1.7742,resident,0.8307,0.0003,0.0003,365.0,83.07,0.42552417902566625,common,42.552417902566624,,peak_abundance_with_occupancy_days_modifiers,0.8307
pacswa1,SG,0.8992666408683598,1.4578,1.4578,resident,0.8141,0.0005,0.0009,365.0,81.41000000000001,0.3750233177693809,common,37.50233177693809,,peak_abundance_with_occupancy_days_modifiers,0.8141
zebdov,SG,0.872802428255699,1.3936093816322832,1.3936093816322832,resident,0.7048233451214251,0.0006548465903658868,0.0004922842589046317,365.0,70.48233451214251,0.3639868838963633,common,36.39868838963633,,peak_abundance_with_occupancy_days_modifiers,0.7048233451214251
lotpar2,SG,0.8256509006968326,1.2833665265986118,1.2833665265986118,resident,0.3472666527983234,0.0012745754070675,0.0048057470681759,365.0,34.72666527983234,0.34432316959918297,common,34.432316959918296,,peak_abundance_with_occupancy_days_modifiers,0.3472666527983234
barswa,SG,0.8066544213535402,0.63765,1.2404,postbreeding_migration,0.9677,0.0,0.0,154.0,96.77,0.3364010223900085,common,33.64010223900085,,peak_abundance_with_occupancy_days_modifiers,0.9677
blnori1,SG,0.7905914452207983,1.104125,1.2047,nonbreeding,0.9192,0.0004,0.0027,140.0,91.92,0.32970224103998047,common,32.97022410399805,,peak_abundance_with_occupancy_days_modifiers,0.9192
olbsun4,SG,0.7640501189655925,1.146954054839646,1.146954054839646,resident,0.8176850072808802,0.0006850086249478249,0.0012001912689169,365.0,81.76850072808803,0.3186336482802009,common,31.863364828020092,,peak_abundance_with_occupancy_days_modifiers,0.8176850072808802
rocpig,SG,0.7235793876801473,1.0618,1.0618,resident,0.6205,0.0,0.0,365.0,62.050000000000004,0.3017560424295436,common,30.175604242954364,,peak_abundance_with_occupancy_days_modifiers,0.6205
litegr,SG,0.6794538534279428,0.6268,0.9728,nonbreeding,0.5812,0.0001,0.0001,84.0,58.120000000000005,0.28335426535747427,fairly_common,28.335426535747427,,peak_abundance_with_occupancy_days_modifiers,0.5812
colkin1,SG,0.5731501749661045,0.7738461850423045,0.7738461850423045,resident,0.8437300062407544,0.0010156473213694,0.0011379836823359,365.0,84.37300062407544,0.23902218811133974,common,23.902218811133974,,peak_abundance_with_occupancy_days_modifiers,0.8437300062407544
eutspa,SG,0.5589870188730085,0.7489,0.7489,resident,0.515,0.0,0.0,365.0,51.5,0.233115693255721,common,23.3115693255721,,peak_abundance_with_occupancy_days_modifiers,0.515
btbeat1,SG,0.49798351575269284,0.41853333333333337,0.6454,nonbreeding,0.8949,0.0006,0.0006,91.0,89.49000000000001,0.20767525646419932,fairly_common,20.767525646419934,,peak_abundance_with_occupancy_days_modifiers,0.8949
pltsun2,SG,0.46598000809483203,0.5935751404269402,0.5935751404269402,resident,0.6787783461615507,0.0004718625238371778,0.0008657394328688028,365.0,67.87783461615507,0.1943287571316775,common,19.43287571316775,,peak_abundance_with_occupancy_days_modifiers,0.6787783461615507
litter1,SG,0.46228642810132875,0.3201,0.5877,breeding,0.4612,0.0005,0.0004,119.0,46.12,0.19278841463407,fairly_common,19.278841463407,,peak_abundance_with_occupancy_days_modifiers,0.4612
orihob2,SG,0.4515850437217175,0.27915,0.5708,nonbreeding,0.7596,0.0001,0.0012,140.0,75.96000000000001,0.18832559071469065,fairly_common,18.832559071469067,,peak_abundance_with_occupancy_days_modifiers,0.7596
whbwat1,SG,0.4460950841940599,0.5524,0.5622,breeding,0.6869,0.0002,0.0003,182.0,68.69,0.1860360997640493,common,18.60360997640493,,peak_abundance_with_occupancy_days_modifiers,0.6869
asikoe2,SG,0.4448781104649994,0.461225,0.5603,nonbreeding,0.7979,0.0002,0.0003,105.0,79.79,0.18552858229951874,fairly_common,18.552858229951873,,peak_abundance_with_occupancy_days_modifiers,0.7979
commyn,SG,0.37404323809982437,0.4536,0.4536,resident,0.5076,0.0001,0.0,365.0,50.760000000000005,0.15598814608083852,common,15.598814608083853,,peak_abundance_with_occupancy_days_modifiers,0.5076
swiwhe1,SG,0.3652679183567513,0.38207500000000005,0.4409,postbreeding_migration,0.5499,0.0003,0.0003,147.0,54.99000000000001,0.1523285535028724,fairly_common,15.232855350287238,,peak_abundance_with_occupancy_days_modifiers,0.5499
graher1,SG,0.36213998336979075,0.32192499999999996,0.4364,nonbreeding,0.6045,0.0,0.0001,147.0,60.45,0.15102410329504057,fairly_common,15.102410329504057,,peak_abundance_with_occupancy_days_modifiers,0.6045
comtai1,SG,0.3567649398889754,0.4287,0.4287,resident,0.7333,0.0001,0.0002,365.0,73.33,0.1487825360582269,common,14.878253605822689,,peak_abundance_with_occupancy_days_modifiers,0.7333
scbflo1,SG,0.3323915747691814,0.3942987138290367,0.3942987138290367,resident,0.5311897164986001,0.0004388963687296168,0.0006908581951130125,365.0,53.118971649860015,0.13861805331526295,common,13.861805331526295,,peak_abundance_with_occupancy_days_modifiers,0.5311897164986001
nutman,SG,0.32851206694003626,0.3889,0.3889,resident,0.4505,0.0001,0.0001,365.0,45.050000000000004,0.1370001728877254,fairly_common,13.700017288772539,,peak_abundance_with_occupancy_days_modifiers,0.4505
rorpar,SG,0.3210684914694144,0.3786,0.3786,resident,0.3393,0.0001,0.0,365.0,33.93,0.13389596080846514,fairly_common,13.389596080846514,,peak_abundance_with_occupancy_days_modifiers,0.3393
pagplo,SG,0.31393444359584666,0.1771666666666667,0.3688,postbreeding_migration,0.1051,0.0,0.0002,84.0,10.51,0.13092083176321612,fairly_common,13.092083176321612,,peak_abundance_with_occupancy_days_modifiers,0.1051
bcnher,SG,0.30527638085273207,0.13849999999999998,0.357,nonbreeding,0.501,0.0001,0.0001,112.0,50.1,0.12731013915235387,fairly_common,12.731013915235387,,peak_abundance_with_occupancy_days_modifiers,0.501
comred1,SG,0.29973415347592225,0.25129999999999997,0.3495,postbreeding_migration,0.1617,0.0,0.0001,161.0,16.17,0.12499885081558591,fairly_common,12.499885081558592,,peak_abundance_with_occupancy_days_modifiers,0.1617
comfla1,SG,0.2762396786787891,0.3181637619176807,0.3181637619176807,resident,0.5572350176821376,0.0014973466357299,0.0062307632761988,365.0,55.72350176821376,0.11520089380568081,common,11.52008938056808,,peak_abundance_with_occupancy_days_modifiers,0.5572350176821376
sttbab1,SG,0.2716564226562506,0.312136103619309,0.312136103619309,resident,0.2347229493097866,0.00012457954403886882,0.00016333716911231684,365.0,23.47229493097866,0.11328952758609197,fairly_common,11.328952758609196,,peak_abundance_with_occupancy_days_modifiers,0.2347229493097866
ashmin1,SG,0.2687285845346934,0.12933333333333333,0.3083,nonbreeding,0.709,0.0003,0.0009,161.0,70.89999999999999,0.11206852425255592,fairly_common,11.206852425255592,,peak_abundance_with_occupancy_days_modifiers,0.709
