species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eursta,SI,2.796888003205239,9.566214375633198,15.39355062980519,breeding,0.4823657263068213,0.0006976548509336881,0.0020283829130147,126.0,48.236572630682126,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4823657263068213
brambl,SI,9.596618481568166,4904.93275589649,14713.938504680713,nonbreeding,0.8698526434817488,0.0025813325960784,0.4242893657181892,91.0,86.98526434817488,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8698526434817488
comcha,SI,1.977475354576163,4.313872918457994,6.224480689837725,postbreeding_migration,0.9986760245177392,0.0029227197873425,0.0032103873695872,112.0,99.86760245177392,0.8246712761014067,abundant,82.46712761014066,,peak_abundance_with_occupancy_days_modifiers,0.9986760245177392
gwfgoo,SI,1.9527751389394368,3.261987464907231,6.048220255595084,nonbreeding,0.0761228782875574,0.00015043047309624722,0.00017531831397307027,70.0,7.61228782875574,0.8143704861057282,abundant,81.43704861057282,,peak_abundance_with_occupancy_days_modifiers,0.0761228782875574
bkhgul,SI,1.823588834371553,1.9948330546244128,5.194048021156585,nonbreeding,0.1101383548240337,0.00016855771782853742,0.00025874133351190965,161.0,11.013835482403369,0.7604956125725224,abundant,76.04956125725224,,peak_abundance_with_occupancy_days_modifiers,0.1101383548240337
mallar3,SI,1.6235632796186446,1.9706172940698912,4.071128007883654,nonbreeding,0.125046689113342,0.0006593516918587728,0.0007568699627971566,154.0,12.5046689113342,0.6770784771279555,common,67.70784771279556,,peak_abundance_with_occupancy_days_modifiers,0.125046689113342
gretit1,SI,1.4461387388616787,3.2466852560055943,3.2466852560055943,resident,0.983243016250709,0.0019358654024876,0.0025751757804457,365.0,98.3243016250709,0.6030866965987296,common,60.30866965987296,,peak_abundance_with_occupancy_days_modifiers,0.983243016250709
eurbla,SI,1.3291480268455538,1.942974139482839,2.777823411967931,prebreeding_migration,0.9825290605435618,0.0026921193209063,0.0041769371503322,119.0,98.25290605435619,0.5542977801922195,common,55.429778019221956,,peak_abundance_with_occupancy_days_modifiers,0.9825290605435618
barswa,SI,1.2833732159259257,2.099991188469143,2.608792453335408,postbreeding_migration,0.7233944477498369,0.000459619223943568,0.0006363015649700483,105.0,72.33944477498369,0.5352082013274143,common,53.520820132741434,,peak_abundance_with_occupancy_days_modifiers,0.7233944477498369
cowpig1,SI,1.189687135448556,0.9735085581891483,2.286052957055537,postbreeding_migration,0.519875419476062,0.001230366640998,0.0007258769760271614,112.0,51.987541947606196,0.4961380711427726,common,49.61380711427726,,peak_abundance_with_occupancy_days_modifiers,0.519875419476062
