species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
gwfgoo,SK,3.8692361850413257,25.88580511535849,46.9057809507288,nonbreeding,0.1730556878196565,0.0056484828528858,0.0224569811677264,126.0,17.30556878196565,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1730556878196565
eursta,SK,5.268901837064802,74.39905322923909,193.2025792276391,postbreeding_migration,0.3336958185101628,0.0022413847941466,0.025152886830828,126.0,33.36958185101628,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.3336958185101628
comcha,SK,2.1088150750132324,3.5968280245502373,7.238473525605349,postbreeding_migration,0.9946136933287,0.0057000390268015,0.0075727683987475,112.0,99.46136933286999,0.8794441938042697,abundant,87.94441938042698,,peak_abundance_with_occupancy_days_modifiers,0.9946136933287
comcra,SK,2.035116652896018,1.8618464906510606,6.653144834917696,postbreeding_migration,0.1281484368106407,0.0034208201562055,0.0037465480632972,133.0,12.814843681064069,0.8487095645845342,abundant,84.87095645845342,,peak_abundance_with_occupancy_days_modifiers,0.1281484368106407
norlap,SK,1.8822808809571252,1.970896796233458,5.5684696866375285,prebreeding_migration,0.2324563273141538,0.0035207974370026,0.0088387214262754,168.0,23.24563273141538,0.7849720971176869,abundant,78.49720971176869,,peak_abundance_with_occupancy_days_modifiers,0.2324563273141538
mallar3,SK,1.871692085760873,3.208436384494112,5.499284446974077,nonbreeding,0.0810191692444257,0.0016444611529481,0.0039355333888982,154.0,8.10191692444257,0.7805562265346923,abundant,78.05562265346923,,peak_abundance_with_occupancy_days_modifiers,0.0810191692444257
barswa,SK,1.814109346718396,3.240516171149063,5.135609042817023,postbreeding_migration,0.5331860279307343,0.0011576269634521,0.0021831003277978,105.0,53.31860279307343,0.7565423591670498,abundant,75.65423591670498,,peak_abundance_with_occupancy_days_modifiers,0.5331860279307343
gretit1,SK,1.7182522607718602,4.574776689070719,4.574776689070719,resident,0.9961207871950092,0.0046602295800829,0.008622190441691,365.0,99.61207871950091,0.7165668493798065,common,71.65668493798066,,peak_abundance_with_occupancy_days_modifiers,0.9961207871950092
cowpig1,SK,1.6983713198441632,2.1619086051957632,4.465039338390172,postbreeding_migration,0.4997466816989793,0.00626279030987,0.0051231868213563,112.0,49.97466816989793,0.7082758530409649,common,70.82758530409649,,peak_abundance_with_occupancy_days_modifiers,0.4997466816989793
fieldf,SK,1.6859729369120913,2.37115,4.3977,nonbreeding,0.7147,0.0032,0.0012,91.0,71.47,0.7031053257570093,common,70.31053257570093,,peak_abundance_with_occupancy_days_modifiers,0.7147
