species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
combul2,SL,1.4860811441276434,3.4197412079045884,3.4197412079045884,resident,0.971456507395385,0.0074868899784595,0.0114330935451638,365.0,97.1456507395385,0.6197439733860312,common,61.97439733860312,,peak_abundance_with_occupancy_days_modifiers,0.971456507395385
vilwea1,SL,1.3033549093346901,2.68162749810462,2.68162749810462,resident,0.6881120167072127,0.0118384820196143,0.0226275872752891,365.0,68.81120167072126,0.5435412147143776,common,54.35412147143776,,peak_abundance_with_occupancy_days_modifiers,0.6881120167072127
reedov1,SL,0.9123922535961553,1.490272777307818,1.490272777307818,resident,0.93335639349134,0.009561219951523,0.0158763272348907,365.0,93.335639349134,0.38049712343416203,common,38.0497123434162,,peak_abundance_with_occupancy_days_modifiers,0.93335639349134
barswa,SL,0.8827085894064427,0.7484429955440973,1.417438695542594,nonbreeding,0.7055976044207127,0.0032547463702014,0.0009094258161694276,63.0,70.55976044207128,0.3681180739708919,common,36.81180739708919,,peak_abundance_with_occupancy_days_modifiers,0.7055976044207127
comswi,SL,0.8345124270819713,0.6436060789227257,1.3036905572901245,nonbreeding,0.8971433828561742,0.0088533766143515,0.011178537978299,91.0,89.71433828561743,0.3480187131392465,common,34.80187131392465,,peak_abundance_with_occupancy_days_modifiers,0.8971433828561742
comhom1,SL,0.5640808735022751,0.5984320083399209,0.7578313706007525,prebreeding_migration,0.4374890518137069,0.0064676472199349,0.0264598346998439,28.0,43.74890518137069,0.23523999563333153,rare,23.523999563333152,rare,peak_abundance_with_occupancy_days_modifiers,0.4374890518137069
lessts1,SL,0.5451224512742321,0.5011301943081495,0.7248195758005967,postbreeding_migration,0.7196688403700991,0.0085456390296827,0.0130258388304227,98.0,71.96688403700992,0.22733371947394015,fairly_common,22.733371947394016,,peak_abundance_with_occupancy_days_modifiers,0.7196688403700991
litswi1,SL,0.534034208902872,0.5345,0.7058,breeding,0.9685,0.0049,0.0035,84.0,96.85000000000001,0.22270956324112023,fairly_common,22.270956324112024,,peak_abundance_with_occupancy_days_modifiers,0.9685
broman1,SL,0.5105670915414716,0.6662358353200944,0.6662358353200944,resident,0.7122740099422779,0.0158264989946693,0.0131643745496025,365.0,71.22740099422778,0.21292301516806195,common,21.292301516806194,,peak_abundance_with_occupancy_days_modifiers,0.7122740099422779
grbcam1,SL,0.4453174458521022,0.5609856456076573,0.5609856456076573,resident,0.9499271554210718,0.0084446579874515,0.0109885054287486,365.0,94.99271554210718,0.18571179938663943,common,18.571179938663942,,peak_abundance_with_occupancy_days_modifiers,0.9499271554210718
