species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eursta,SM,2.270908650133493,5.036499999999999,8.6882,postbreeding_migration,1.0,0.0,0.0,140.0,100.0,0.9470424650711777,abundant,94.70424650711777,,peak_abundance_with_occupancy_days_modifiers,1.0
comcha,SM,1.8225634506047477,2.3671750000000005,5.1877,nonbreeding,1.0,0.0,0.0,112.0,100.0,0.7600679943281241,abundant,76.00679943281241,,peak_abundance_with_occupancy_days_modifiers,1.0
comhom1,SM,1.7572374348685116,2.7935062940186164,4.79640231669912,breeding,1.0,1.0156690202440185e-05,2.0446489643470813e-05,91.0,100.0,0.7328249297634235,common,73.28249297634235,,peak_abundance_with_occupancy_days_modifiers,1.0
comswi,SM,1.7372856838403061,2.1656666666666666,4.6819,breeding,1.0,0.0,0.0,70.0,100.0,0.7245044033190299,common,72.45044033190298,,peak_abundance_with_occupancy_days_modifiers,1.0
rocpig,SM,1.4169690453878097,3.1246,3.1246,resident,0.8667,0.0,0.0,365.0,86.67,0.5909219895722096,common,59.092198957220965,,peak_abundance_with_occupancy_days_modifiers,0.8667
itaspa1,SM,1.346253311582707,2.843,2.843,resident,1.0,0.0003,0.0004,365.0,100.0,0.5614312379921472,common,56.14312379921472,,peak_abundance_with_occupancy_days_modifiers,1.0
hoocro1,SM,1.2902514129063596,1.9293500000000001,2.6337,nonbreeding,1.0,0.0,0.0,168.0,100.0,0.5380766322628517,common,53.80766322628517,,peak_abundance_with_occupancy_days_modifiers,1.0
cowpig1,SM,1.2385481289656264,1.681975,2.4506,postbreeding_migration,1.0,0.0,0.0,112.0,100.0,0.5165146881165611,common,51.65146881165611,,peak_abundance_with_occupancy_days_modifiers,1.0
eurbla,SM,1.1346227261911428,1.7153749999999999,2.11,prebreeding_migration,1.0,0.0,0.0,119.0,100.0,0.47317442886779004,common,47.317442886779006,,peak_abundance_with_occupancy_days_modifiers,1.0
eurjac,SM,1.0573388033523337,1.5479,1.8787,nonbreeding,0.9969,0.0,0.0,140.0,99.69,0.4409445297076746,common,44.09445297076746,,peak_abundance_with_occupancy_days_modifiers,0.9969
barswa,SM,1.0106186111974782,1.3951,1.7473,postbreeding_migration,1.0,0.0,0.0,105.0,100.0,0.4214606962455349,common,42.14606962455349,,peak_abundance_with_occupancy_days_modifiers,1.0
gretit1,SM,0.979941358950431,1.6643,1.6643,resident,1.0,,,,100.0,0.408667288378624,common,40.8667288378624,,peak_abundance_with_occupancy_days_modifiers,1.0
eurrob1,SM,0.9312581589959416,0.8966999999999999,1.5377,nonbreeding,1.0,0.0,0.0,119.0,100.0,0.38836481707941845,common,38.83648170794184,,peak_abundance_with_occupancy_days_modifiers,1.0
blackc1,SM,0.901217702376634,1.047425,1.4626,breeding,1.0,0.0,0.0,140.0,100.0,0.37583697361599233,common,37.583697361599235,,peak_abundance_with_occupancy_days_modifiers,1.0
eucdov,SM,0.7876388436526629,1.1982,1.1982,resident,1.0,0.0,0.0,365.0,100.0,0.32847091054709804,common,32.84709105470981,,peak_abundance_with_occupancy_days_modifiers,1.0
blutit,SM,0.753630615939456,1.1247,1.1247,resident,1.0,0.0,0.0,365.0,100.0,0.314288378015759,common,31.4288378015759,,peak_abundance_with_occupancy_days_modifiers,1.0
eurgol,SM,0.742032578289756,0.89425,1.1002,nonbreeding,1.0,0.0,0.0,245.0,100.0,0.30945162063887616,common,30.945162063887615,,peak_abundance_with_occupancy_days_modifiers,1.0
eurser1,SM,0.6693154473065996,0.5527,0.9529,breeding,1.0,0.0,0.0,161.0,100.0,0.27912622160746037,fairly_common,27.912622160746036,,peak_abundance_with_occupancy_days_modifiers,1.0
eubeat1,SM,0.6324413054425504,0.4761666666666666,0.8822,postbreeding_migration,1.0,0.0,0.0,56.0,100.0,0.263748510044179,fairly_common,26.3748510044179,,peak_abundance_with_occupancy_days_modifiers,1.0
eursis,SM,0.628555324666768,0.5232333333333333,0.8749,nonbreeding,1.0,0.0,0.0,84.0,100.0,0.2621279301882258,fairly_common,26.212793018822577,,peak_abundance_with_occupancy_days_modifiers,1.0
eurmag1,SM,0.5773995720156321,0.7814,0.7814,resident,1.0,0.0,0.0,365.0,100.0,0.24079432432501538,common,24.079432432501537,,peak_abundance_with_occupancy_days_modifiers,1.0
eutspa,SM,0.4379322982456659,0.5495,0.5495,resident,0.9705,0.0,0.0,365.0,97.05,0.18263195361930634,common,18.263195361930634,,peak_abundance_with_occupancy_days_modifiers,0.9705
eurjay1,SM,0.4051317192069267,0.4995,0.4995,year_round,1.0,,,,100.0,0.1689530497026809,fairly_common,16.89530497026809,,peak_abundance_with_occupancy_days_modifiers,1.0
whiwag,SM,0.3539612652410488,0.27442500000000003,0.4247,postbreeding_migration,1.0,0.0,0.0,112.0,100.0,0.14761331291502655,fairly_common,14.761331291502655,,peak_abundance_with_occupancy_days_modifiers,1.0
fieldf,SM,0.3403219597759603,0.21125,0.4054,postbreeding_migration,0.6393,0.0,0.0,42.0,63.93,0.14192528073955488,fairly_common,14.192528073955488,,peak_abundance_with_occupancy_days_modifiers,0.6393
comchi1,SM,0.3332527739942398,0.252225,0.3955,nonbreeding,1.0,0.0,0.0,133.0,100.0,0.1389772012875817,fairly_common,13.89772012875817,,peak_abundance_with_occupancy_days_modifiers,1.0
eurgre1,SM,0.3326076358047733,0.33925,0.3946,nonbreeding,1.0,0.0,0.0,287.0,100.0,0.1387081577656294,common,13.870815776562939,,peak_abundance_with_occupancy_days_modifiers,1.0
eurlin1,SM,0.31575919502367134,0.14957499999999999,0.3713,nonbreeding,0.3257,0.0,0.0,98.0,32.57,0.1316818122149166,fairly_common,13.16818122149166,,peak_abundance_with_occupancy_days_modifiers,0.3257
winwre4,SM,0.3113741847085689,0.294475,0.3653,prebreeding_migration,1.0,,,,100.0,0.12985312087678946,fairly_common,12.985312087678945,,peak_abundance_with_occupancy_days_modifiers,1.0
comnig1,SM,0.2720860848272247,0.19753333333333334,0.3127,prebreeding_migration,1.0,0.0,0.0,63.0,100.0,0.11346871062875782,fairly_common,11.346871062875783,,peak_abundance_with_occupancy_days_modifiers,1.0
comred2,SM,0.26781094280936907,0.19083333333333333,0.3071,breeding,1.0,0.0,0.0,98.0,100.0,0.11168583792937321,fairly_common,11.168583792937321,,peak_abundance_with_occupancy_days_modifiers,1.0
sonthr1,SM,0.26781094280936907,0.20197500000000002,0.3071,nonbreeding,1.0,0.0,0.0,49.0,100.0,0.11168583792937321,fairly_common,11.168583792937321,,peak_abundance_with_occupancy_days_modifiers,1.0
eugwoo2,SM,0.25959119228525523,0.2964,0.2964,resident,1.0,0.0,0.0,365.0,100.0,0.10825793571139136,common,10.825793571139137,,peak_abundance_with_occupancy_days_modifiers,1.0
dunnoc1,SM,0.24216155714997162,0.19120000000000004,0.274,nonbreeding,1.0,0.0,0.0,77.0,100.0,0.10098921328927195,fairly_common,10.098921328927196,,peak_abundance_with_occupancy_days_modifiers,1.0
categr1,SM,0.2326926137153267,0.09850520395781089,0.2619935002072756,nonbreeding,0.3723199323438069,1.5105893887358286e-06,2.996512709564746e-07,77.0,37.23199323438069,0.09704035716446105,fairly_common,9.704035716446105,,peak_abundance_with_occupancy_days_modifiers,0.3723199323438069
combuz1,SM,0.22864837194865476,0.2244,0.2569,postbreeding_migration,1.0,0.0,0.0,154.0,100.0,0.09535377734900802,fairly_common,9.535377734900802,,peak_abundance_with_occupancy_days_modifiers,1.0
blared1,SM,0.2234635001251298,0.187375,0.2504,nonbreeding,1.0,0.0,0.0,98.0,100.0,0.09319151785321524,fairly_common,9.319151785321523,,peak_abundance_with_occupancy_days_modifiers,1.0
meapip1,SM,0.20506104376344406,0.1435,0.2276,nonbreeding,0.4317,0.0,0.0,98.0,43.169999999999995,0.0855170974686211,fairly_common,8.55170974686211,,peak_abundance_with_occupancy_days_modifiers,0.4317
eugori2,SM,0.16653087088763055,0.11596666666666666,0.1812,breeding,0.8542,,,,85.42,0.06944876733223097,uncommon,6.944876733223097,,peak_abundance_with_occupancy_days_modifiers,0.8542
hawfin,SM,0.1605018966540291,0.10896666666666666,0.1741,nonbreeding,1.0,,,,100.0,0.06693448978975697,uncommon,6.693448978975697,,peak_abundance_with_occupancy_days_modifiers,1.0
cirbun1,SM,0.15375059980591857,0.1662,0.1662,resident,0.498,0.0,0.0,365.0,49.8,0.06411898031997444,uncommon,6.411898031997445,,peak_abundance_with_occupancy_days_modifiers,0.498
sarwar1,SM,0.1522059328893311,0.12075,0.1644,nonbreeding,1.0,0.0,0.0,161.0,100.0,0.06347480418179613,uncommon,6.347480418179613,,peak_abundance_with_occupancy_days_modifiers,1.0
shttre1,SM,0.14902327139243993,0.1607,0.1607,resident,0.7584,0.0,0.0,365.0,75.84,0.0621475312466537,fairly_common,6.21475312466537,,peak_abundance_with_occupancy_days_modifiers,0.7584
grswoo,SM,0.143147509218485,0.1539,0.1539,resident,1.0,,,,100.0,0.05969714809580911,uncommon,5.9697148095809105,,peak_abundance_with_occupancy_days_modifiers,1.0
brambl,SM,0.1414995622736995,0.1303,0.152,postbreeding_migration,1.0,0.0,0.0,49.0,100.0,0.05900990084048493,uncommon,5.900990084048493,,peak_abundance_with_occupancy_days_modifiers,1.0
eurnut2,SM,0.13164210905171514,0.1407,0.1407,resident,0.763,,,,76.3,0.0548990235499682,uncommon,5.48990235499682,,peak_abundance_with_occupancy_days_modifiers,0.763
firecr1,SM,0.1212437072853642,0.097475,0.1289,prebreeding_migration,0.9042,0.0,0.0,147.0,90.42,0.05056255319435675,uncommon,5.0562553194356745,,peak_abundance_with_occupancy_days_modifiers,0.9042
eurkes,SM,0.11635980111619529,0.10327499999999999,0.1234,postbreeding_migration,1.0,0.0,0.0,98.0,100.0,0.04852580612513659,uncommon,4.852580612513659,,peak_abundance_with_occupancy_days_modifiers,1.0
redwin,SM,0.11422114409002286,0.07363333333333334,0.121,nonbreeding,0.9705,0.0,0.0,63.0,97.05,0.04763391687107565,uncommon,4.763391687107565,,peak_abundance_with_occupancy_days_modifiers,0.9705
hoopoe,SM,0.11377501425884463,0.0694,0.1205,breeding,1.0,0.0,0.0,70.0,100.0,0.047447866280693723,uncommon,4.744786628069372,,peak_abundance_with_occupancy_days_modifiers,1.0
goldcr1,SM,0.10678949418151776,0.1127,0.1127,nonbreeding,1.0,,,,100.0,0.044534678137503995,uncommon,4.453467813750399,,peak_abundance_with_occupancy_days_modifiers,1.0
eutdov,SM,0.1029175340066863,0.05915,0.1084,breeding,0.8542,0.0,0.0,21.0,85.42,0.042919945326294597,rare,4.2919945326294595,rare,peak_abundance_with_occupancy_days_modifiers,0.8542
corbun1,SM,0.09993582861259949,0.091875,0.1051,nonbreeding,0.2731,0.0,0.0,91.0,27.310000000000002,0.04167647759527597,uncommon,4.167647759527597,,peak_abundance_with_occupancy_days_modifiers,0.2731
