species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,SO,2.372558997116678,7.519909246229268,9.724801935774256,nonbreeding,0.4436008101785933,0.0043980394648382,0.0134106706359329,63.0,44.36008101785933,0.9894339523626797,abundant,98.94339523626797,,peak_abundance_with_occupancy_days_modifiers,0.4436008101785933
ruff,SO,1.1214832773721184,0.8545140212788088,2.06940360536006,nonbreeding,0.4066414251020123,0.0347826383007868,0.0591291965705979,42.0,40.66414251020123,0.4676948531047958,common,46.76948531047958,,peak_abundance_with_occupancy_days_modifiers,0.4066414251020123
litswi1,SO,1.0967104813785133,1.2311,1.9943,breeding,0.7492,0.0195,0.0599,84.0,74.92,0.45736379474931776,common,45.73637947493177,,peak_abundance_with_occupancy_days_modifiers,0.7492
eaywag1,SO,0.8329526002508214,0.7938666666666667,1.3001,nonbreeding,0.9011,0.0265,0.0746,84.0,90.11,0.3473682148256443,common,34.73682148256443,,peak_abundance_with_occupancy_days_modifiers,0.9011
categr1,SO,0.6602336878510333,0.48583355700844216,0.9352445246984852,postbreeding_migration,0.2969559608635178,0.0028761041194307,0.0035617372827922,63.0,29.695596086351777,0.27533883374336576,fairly_common,27.533883374336575,,peak_abundance_with_occupancy_days_modifiers,0.2969559608635178
lessts1,SO,0.5566458627498002,0.41447246611544164,0.7448103411889602,nonbreeding,0.5298593700556823,0.0153347384451571,0.018116523988969,168.0,52.98593700556823,0.23213935531896196,fairly_common,23.213935531896198,,peak_abundance_with_occupancy_days_modifiers,0.5298593700556823
litsti,SO,0.404428134416136,0.2872905105626025,0.49844534566909,nonbreeding,0.2689767982546957,0.0343394937166068,0.0274575610911048,126.0,26.897679825469574,0.16865963205480775,fairly_common,16.865963205480774,,peak_abundance_with_occupancy_days_modifiers,0.2689767982546957
gloibi,SO,0.34813039462686757,0.15703030211332145,0.4164169308562371,postbreeding_migration,0.3370679092868782,0.0101452004789697,0.0086119255937701,63.0,33.706790928687816,0.14518165099870914,fairly_common,14.518165099870913,,peak_abundance_with_occupancy_days_modifiers,0.3370679092868782
isawhe1,SO,0.33896911681980013,0.2642,0.4035,nonbreeding,0.9594,,,,95.94,0.14136110140632593,fairly_common,14.136110140632594,,peak_abundance_with_occupancy_days_modifiers,0.9594
spwlap1,SO,0.260362261796818,0.26375,0.2974,nonbreeding,0.5559,0.0643,0.0475,77.0,55.589999999999996,0.10857949667375272,fairly_common,10.857949667375271,,peak_abundance_with_occupancy_days_modifiers,0.5559
eubeat1,SO,0.25301099030601637,0.15223005062586437,0.2878974311437361,postbreeding_migration,0.3131602701967976,0.0039831665297496,0.0020597374514622,70.0,31.31602701967976,0.1055137783439348,fairly_common,10.55137783439348,,peak_abundance_with_occupancy_days_modifiers,0.3131602701967976
woosan,SO,0.25256550538601336,0.15145227062943892,0.2873238200366864,nonbreeding,0.3630916137048064,0.014089961805994,0.015450832687814,119.0,36.309161370480645,0.10532799670240246,fairly_common,10.532799670240246,,peak_abundance_with_occupancy_days_modifiers,0.3630916137048064
eurrol1,SO,0.22150507831762348,0.16036251895822287,0.2479535857093606,nonbreeding,0.3598173437053171,0.0072005822160181,0.0212164676145588,56.0,35.98173437053171,0.0923747925234135,fairly_common,9.23747925234135,,peak_abundance_with_occupancy_days_modifiers,0.3598173437053171
